lipid_family,comparison,treatment,control,log2FC,pvalue,significance
DG,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,3.11783,0.0318882,*
CER,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,0.973666,0.00193665,**
CHOL,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,-0.470949,0.393217,ns
HEX2CER,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,-0.0451924,0.910968,ns
HEXCER,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,0.332224,0.411817,ns
LPC,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,0.990682,0.00254927,**
LPE,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,,,
PC,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,1.61033,0.00195033,**
PE,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,2.30732,0.0118505,*
SM,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,1.18677,0.00391233,**
TG,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,-1.62999,,
FA,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,0.259035,0.576693,ns
PS,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,1.3663,0.012309,*
PI,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,1.45754,3.63716e-05,***
PG,CHIKV + DMSO vs. DMSO (Vero ref.),Vero DMSO CHIKV,Vero DMSO,1.23078,0.0703567,ns
DG,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,0.923856,0.22639,ns
CER,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,0.638982,0.149136,ns
CHOL,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,-0.187769,0.7644,ns
HEX2CER,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,,,
HEXCER,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,,,
LPC,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,-0.765673,0.164762,ns
LPE,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,0.176698,,
PC,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,-0.165466,0.516417,ns
PE,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,-0.160532,0.852464,ns
SM,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,-0.354791,0.0879112,ns
TG,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,1.48267,0.0500156,ns
FA,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,-0.355041,0.278841,ns
PS,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,-0.410847,0.510972,ns
PI,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,0.219905,0.373692,ns
PG,CHIKV + DMSO vs. DMSO (C636),C636 CHIKV,C636 DMSO,0.477517,0.325367,ns
DG,Simvastatin vs. DMSO (C636),C636 Simvastatin+CHIKV,C636 CHIKV,-0.813608,0.00170487,**
CER,Simvastatin vs. DMSO (C636),C636 Simvastatin+CHIKV,C636 CHIKV,0.0165435,0.956232,ns
