lipid_family,comparison,treatment,control,log2FC,pvalue,significance
DG,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,3.11783,0.0318882,*
CER,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,0.973666,0.00193665,**
CHOL,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,-0.470949,0.393217,ns
HEX2CER,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,-0.0451924,0.910968,ns
HEXCER,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,0.332224,0.411817,ns
LPC,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,0.990682,0.00254927,**
LPE,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,,,
PC,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,1.61033,0.00195033,**
PE,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,2.30732,0.0118505,*
SM,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,1.18677,0.00391233,**
TG,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,-1.62999,,
FA,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,0.259035,0.576693,ns
PS,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,1.3663,0.012309,*
PI,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,1.45754,3.63716e-05,***
PG,CHIKV + DMSO vs. DMSO,Vero DMSO CHIKV,Vero DMSO,1.23078,0.0703567,ns
DG,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-2.36141,0.0345457,*
CER,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-0.465342,0.0119675,*
CHOL,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,0.297798,0.571304,ns
HEX2CER,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,0.0402074,0.864465,ns
HEXCER,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,1.57603,0.031784,*
LPC,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-0.177491,0.168069,ns
LPE,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,,,
PC,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-1.51862,0.002789,**
PE,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-2.73129,0.00417114,**
SM,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-1.13656,0.00690638,**
TG,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,0.7815,0.640086,ns
FA,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,0.14304,0.731495,ns
PS,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-1.56271,0.00516639,**
PI,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-1.30455,0.00233309,**
PG,HMN214 vs. DMSO,Vero HMN214 CHIKV,Vero DMSO CHIKV,-1.15742,0.0818889,ns
