sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj	hover
yes	LPC 16:0	1.7869430716419914	31.064209416895448	22.15085450795076	0.3648658487018329	5.566522750844114	6.12435097842042	One-way ANOVA	688.0579122471762	5.4130662113083224e-30	29.266556660692057	5.846111508212988e-28	27.233132905205107	yes	Lipid: LPC 16:0<br />-log10(pval): 29.3<br />pval: 5.41e-30
yes	LPC 18:0	0.5784901941847311	10.847603403725984	7.162016851163311	0.14167658969096183	2.3453983482148972	2.7066153210750397	One-way ANOVA	405.57757798898507	6.838151595690899e-26	25.165061275513356	1.2308672872243618e-24	23.90978877041005	yes	Lipid: LPC 18:0<br />-log10(pval): 25.2<br />pval: 6.84e-26
yes	LPC 18:1	0.3203095553087992	6.8104189574414065	6.071611538427955	0.059057046823889583	2.099565367771884	1.5281414782888405	One-way ANOVA	656.5042464570657	1.2603948882450942e-29	28.899493366852727	6.806132396523509e-28	27.16709960702976	yes	Lipid: LPC 18:1<br />-log10(pval): 28.9<br />pval: 1.26e-29
yes	LPC 18:2	0.3254419915721379	4.4622170244853905	4.888950068593803	0.09796909351232715	2.302319692144951	2.1250653776228288	One-way ANOVA	191.52969392168606	3.0233194306660643e-20	19.519515964748507	2.968349986472136e-19	18.527484894419782	yes	Lipid: LPC 18:2<br />-log10(pval): 19.5<br />pval: 3.02e-20
yes	LPC 18:3	0.09660223346415953	1.9096086702501145	1.4060348184310625	0.022584007970192516	0.3816443076760506	0.4879307182805318	One-way ANOVA	502.8369142803696	1.4996335548545118e-27	26.824014850642378	5.398680797476243e-26	25.26771234987509	yes	Lipid: LPC 18:3<br />-log10(pval): 26.8<br />pval: 1.50e-27
yes	LPC 20:4	0.12174541045857061	2.6908290368905408	2.360371870843005	0.036500178387446014	0.9213089460722489	0.8625390563191899	One-way ANOVA	456.20462000725	8.488735349944204e-27	26.071157006040014	2.2919585444849353e-25	24.639793241881026	yes	Lipid: LPC 20:4<br />-log10(pval): 26.1<br />pval: 8.49e-27
yes	LPC 22:6	0.029568453625002267	0.7063786559218179	0.9215211910941136	0.012131546814852534	0.28222451886521727	0.3850657215556034	One-way ANOVA	281.9128876346877	4.026091290710302e-23	22.39511638180647	6.211683705667324e-22	21.206790666333777	yes	Lipid: LPC 22:6<br />-log10(pval): 22.4<br />pval: 4.03e-23
yes	PC 34:1;P/34:2;O	0.43362769949207414	0.08348777298422039	0.05264222646033935	0.19242555306331247	0.025772405201834794	0.02689072796027509	One-way ANOVA	119.93830132903898	6.752057513712582e-17	16.170563867066402	3.8380116393734676e-16	15.41589371253228	yes	Lipid: PC 34:1;P/34:2;O<br />-log10(pval): 16.2<br />pval: 6.75e-17
yes	PC 36:2	8.857459520762621	2.273269988064298	3.1034912751004	1.53057479422996	0.46396859712781297	0.7920847840571522	One-way ANOVA	151.7562769106884	1.4698365063720944e-18	17.832730970237726	9.68540628217574e-18	17.013882156833752	yes	Lipid: PC 36:2<br />-log10(pval): 17.8<br />pval: 1.47e-18
yes	PC 36:2;P/36:3;O	0.3649114939256584	0.10740588750226569	0.0635849198279125	0.11336347450392104	0.03881527036405085	0.024433466159780072	One-way ANOVA	120.7580592732129	6.053418695964739e-17	16.217999286262835	3.6320512175788436e-16	15.439848035879193	yes	Lipid: PC 36:2;P/36:3;O<br />-log10(pval): 16.2<br />pval: 6.05e-17
yes	PC 36:3	5.918639143353146	1.2064878804378267	1.298158358199966	1.2133709805489326	0.3383755255052114	0.4317158763878258	One-way ANOVA	199.88026263298002	1.4697022947983275e-20	19.83277062771455	1.5872784783821938e-19	18.7993468722276	yes	Lipid: PC 36:3<br />-log10(pval): 19.8<br />pval: 1.47e-20
yes	PC 36:4	9.656884605165233	1.9960086486970459	2.3975607743337477	1.8401772388904765	0.7298252237594408	0.7679679053385287	One-way ANOVA	159.79132308217174	6.26279405008147e-19	18.203231869694797	4.5092117160586586e-18	17.345899373263528	yes	Lipid: PC 36:4<br />-log10(pval): 18.2<br />pval: 6.26e-19
yes	PC 36:5	0.6750803551082767	0.11307327384351604	0.12275274542709594	0.1658030740492813	0.028613158562816238	0.03535833733391243	One-way ANOVA	227.42285069425756	1.6326669939771132e-21	20.787102386865364	1.9592003927725357e-20	19.70792114081774	yes	Lipid: PC 36:5<br />-log10(pval): 20.8<br />pval: 1.63e-21
yes	PC 38:4	5.047522131102139	1.439528728073723	1.4180152543369569	1.0184972068607556	0.4058013375092801	0.2716042616509613	One-way ANOVA	159.975646723656	6.144211192962473e-19	18.21153386485775	4.5092117160586586e-18	17.345899373263528	yes	Lipid: PC 38:4<br />-log10(pval): 18.2<br />pval: 6.14e-19
yes	PC 38:5	3.0145666598969285	0.6770789969476048	0.7101332047711425	0.42247699700403285	0.19561306777222415	0.20157309394940712	One-way ANOVA	232.52787500399234	1.1164027706009258e-21	20.95217909438405	1.50714374031125e-20	19.821845325889043	yes	Lipid: PC 38:5<br />-log10(pval): 21.0<br />pval: 1.12e-21
yes	PC 38:6	4.837715548651197	0.812943215358667	0.9541936068749506	1.2120382579517472	0.2144200811430843	0.3250782940603061	One-way ANOVA	179.9995156123297	8.592650076558857e-20	19.06587287387189	7.733385068902971e-19	18.111630364432568	yes	Lipid: PC 38:6<br />-log10(pval): 19.1<br />pval: 8.59e-20
yes	PC 40:6	1.8819578892279674	0.3780073399967583	0.407946932442576	0.570062963995842	0.11432882278541041	0.13896346675989216	One-way ANOVA	100.37983883521197	1.1302516091161682e-15	14.94682486599703	6.1033586892273085e-15	14.214431106174061	yes	Lipid: PC 40:6<br />-log10(pval): 14.9<br />pval: 1.13e-15
yes	PE 36:3;P/36:4;O	0.9437925909032353	0.02384630827189733	2.522306451606359e-4	0.24365225272291757	0.05278915077432286	4.244319732736202e-5	One-way ANOVA	174.58107681037765	1.4338122932121527e-19	18.843507700382318	1.1911671358993269e-18	17.92402729720221	yes	Lipid: PE 36:3;P/36:4;O<br />-log10(pval): 18.8<br />pval: 1.43e-19
yes	TG 51:2	4.459127427998426e-4	0.1230879505244791	0.3547840072656208	0.0012059218584472694	0.08194520980620551	0.18623840108892137	One-way ANOVA	426.0013239246931	2.8643454027930317e-26	25.542974612941602	6.186986070032949e-25	24.20852086179067	yes	Lipid: TG 51:2<br />-log10(pval): 25.5<br />pval: 2.86e-26
yes	TG 54:5	0.0944772051450221	3.24993730265061e-4	0.0011978939144644603	0.06260402721510917	6.322729290012911e-5	0.0028339080891116863	One-way ANOVA	151.4202268747529	1.5245546925646999e-18	17.816856990942426	9.68540628217574e-18	17.013882156833752	yes	Lipid: TG 54:5<br />-log10(pval): 17.8<br />pval: 1.52e-18
