sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
yes	14:0	0.07808483739732218	0.20397130837675703	0.12267042170988772	0.04061284636968335	0.20393788380403424	0.045444488265931095	One-way ANOVA	4.895410556254404	0.012994499740680543	1.8862404352121351	0.015090386795629018	1.8212996282791205	yes	14	0	*	*	*	1.8862404352121351
yes	16:0	3.4739938841783853	33.85846749696786	25.713956266631666	1.0193300436019652	5.477440214115479	5.787399626240886	One-way ANOVA	383.08900451619184	1.8737576917436186e-25	24.727286571368506	6.745527690277027e-24	23.170984070601218	yes	16	0	*	*	*	24.727286571368506
yes	16:1	0.23627056290239765	0.8160804935354435	0.9961599471918977	0.19029086115898597	0.3368806725864008	0.4211053958378047	One-way ANOVA	29.807323571501602	1.942839442750987e-8	7.711563088236256	3.411815606782221e-8	7.467014448524723	yes	16	1	*	*	*	7.711563088236256
yes	17:0	0.014657622830455826	0.059212009082450015	2.522306451606359e-4	0.006991895509755313	0.10105154034887912	4.244319732736202e-5	One-way ANOVA	19.197362133387337	1.9095198886122102e-6	5.719075813871154	3.1246689086381625e-6	5.505195993926073	yes	17	0	*	*	*	5.719075813871154
yes	18:0	1.1208175964248863	11.736511506861387	8.336622758909364	0.3391594616192804	2.3012112034582337	2.51266364716829	One-way ANOVA	286.3230905072901	3.0746205774871104e-23	22.512208470545676	7.246964323278905e-22	21.139843876703143	yes	18	0	*	*	*	22.512208470545676
yes	18:1	3.247788066956806	11.15931679879458	15.335687887596205	2.6954279489701984	1.9465469493123015	5.5154659265654935	One-way ANOVA	45.87034021700384	9.593776393174497e-11	10.018010408065466	1.9187552786348994e-10	9.716980412401485	yes	18	1	*	*	*	10.018010408065466
yes	18:2	1.557827342753204	6.1747537542413165	7.788388551951734	0.8440331256717609	2.01303462189612	2.637456295301291	One-way ANOVA	66.20858612264725	5.970620471543504e-13	12.22398053430356	1.482360944659077e-12	11.829046035771249	yes	18	2	*	*	*	12.22398053430356
yes	18:3	0.14880505387894852	1.9520830013499473	1.4883466860344845	0.07319935720076749	0.38015490890200254	0.4681058695982957	One-way ANOVA	228.3062060266104	1.5278811390963706e-21	20.81591043021217	1.6793146223764477e-20	19.774867930448355	yes	18	3	*	*	*	20.81591043021217
yes	20:3	0.07936784550629844	0.8830791169615294	0.617919838002589	0.033630548312377315	0.3469872592325944	0.3620338932965856	One-way ANOVA	78.5175334369564	4.8523010674683265e-14	13.314052260591172	1.397462707430878e-13	12.85465977283194	yes	20	3	*	*	*	13.314052260591172
yes	20:4	0.3271853840852678	2.6950852483356806	2.399853034586368	0.10248828341467069	0.9184048245005384	0.8873185887514565	One-way ANOVA	190.85195271394198	3.209609359025867e-20	19.49354782228151	2.5676874872206936e-19	18.590457835289566	yes	20	4	*	*	*	19.49354782228151
