feature	severity	contrast	estimate	se	p_value	fdr_posthoc
FA 18:0	mild	D60 - D0	-0.4511508794032179	0.04405838064975792	0	0
SM 42:3;O2	mild	D10 - D0	-0.37205968662815453	0.02982797358132415	0	0
SM 42:2;O2	mild	D10 - D0	-0.3470298785294383	0.029359153750444685	0	0
SM 42:2;O2	mild	D60 - D0	-0.28306739308279727	0.02935915375044469	0	0
SM 34:1;O2	mild	D10 - D0	-0.3150021816559016	0.029387803618417172	0	0
SM 34:2;O2	mild	D10 - D0	-0.29276339866981765	0.02487876165761912	0	0
SM 36:1;O2	mild	D10 - D0	-0.3569907007733329	0.03556123749171724	0	0
SM 36:1;O2	mild	D60 - D0	-0.3532097705721884	0.03556123749171726	0	0
SM 40:2;O2	mild	D10 - D0	-0.35813010222445096	0.030023688427150138	0	0
SM 36:2;O2	mild	D10 - D0	-0.3386884178736903	0.03083837247314467	0	0
FA 16:0	severe	D10 - D0	-0.5037126756014921	0.05283280734199463	1.1102230246251565e-16	5.995204332975845e-15
FA 18:1	severe	D10 - D0	-0.6922527718440192	0.07506291569040376	5.551115123125783e-16	2.7478019859472624e-14
FA 18:0	mild	D10 - D0	-0.4046360367502946	0.044058380649757915	6.661338147750939e-16	2.8263106141171844e-14
FA 16:0	mild	D60 - D0	-0.4691101784024788	0.050912466332119106	6.661338147750939e-16	2.8263106141171844e-14
FA 18:2	severe	D10 - D0	-0.6466780620578831	0.07087896055452979	8.881784197001252e-16	3.517186542012496e-14
SM 40:1;O2	mild	D10 - D0	-0.34010344270326626	0.037836649286420394	2.220446049250313e-15	8.243405957841787e-14
SM 36:2;O2	mild	D60 - D0	-0.2773641838787965	0.030838372473144672	1.0880185641326534e-14	3.8016648652635064e-13
SM 41:2;O2	mild	D10 - D0	-0.39104418574040095	0.03354492446520035	1.5654144647214707e-14	4.998107191280915e-13
SM 38:1;O2	mild	D10 - D0	-0.3253991422901228	0.03456575753793849	1.5987211554602254e-14	4.998107191280915e-13
SM 34:1;O2	mild	D60 - D0	-0.26589424581319937	0.02938780361841718	1.942890293094024e-14	5.770384170489251e-13
SM 34:2;O2	severe	D10 - D0	-0.22742145298298722	0.02584891279090014	2.2426505097428162e-14	6.34349715612968e-13
SM 42:2;O2	severe	D10 - D0	-0.29786289044080283	0.03048484327310558	2.4202861936828413e-14	6.534772722943671e-13
SM 42:1;O2	mild	D10 - D0	-0.4019005745303667	0.0455651393440567	2.7644553313166398e-14	7.139506377400365e-13
SM 42:3;O2	severe	D10 - D0	-0.3209382877122785	0.030970154208972887	3.730349362740526e-14	9.232614672782802e-13
SM 38:1;O2	mild	D60 - D0	-0.3028721622338125	0.034565757537938495	3.941291737419306e-14	9.364509168108272e-13
FA 18:0	severe	D10 - D0	-0.4839464162225791	0.045734409624637325	4.2521541843143495e-14	9.714536867241246e-13
SM 41:1;O2	mild	D10 - D0	-0.40883467909429333	0.04544088732748163	4.796163466380676e-14	1.0551559626037488e-12
FA 18:1	mild	D60 - D0	-0.6217611142810638	0.07237567519245965	5.262457136723242e-14	1.1163926925762879e-12
FA 18:1	severe	D60 - D0	-0.6643192769856453	0.07612199744940058	7.072120666862247e-14	1.4485654055573016e-12
SM 40:2;O2	severe	D10 - D0	-0.26684272967812467	0.03118151259425825	8.770761894538737e-14	1.7366108551186699e-12
SM 34:1;O2	severe	D10 - D0	-0.2567305962321915	0.030508103819056113	1.5332179970073412e-13	2.9378435168463247e-12
SM 40:1;O2	mild	D60 - D0	-0.32084696907391613	0.03783664928642038	1.6719958750854857e-13	3.103642343127433e-12
FA 16:0	severe	D60 - D0	-0.45000346595680263	0.05361148013135707	1.9728663147589032e-13	3.5495136242001102e-12
SM 34:2;O2	mild	D60 - D0	-0.2087431517222526	0.02487876165761912	2.0317081350640365e-13	3.5495136242001102e-12
SM 42:3;O2	mild	D60 - D0	-0.24872961957881762	0.029827973581324142	2.7988722450800196e-13	4.750086038792948e-12
SM 41:2;O2	severe	D10 - D0	-0.2849239000251283	0.034853939420852256	6.31272811801864e-13	1.0416001394730756e-11
SM 40:2;O2	mild	D60 - D0	-0.24272501136821123	0.03002368842715015	1.0492717805732354e-12	1.6845065882716265e-11
FA 18:0	severe	D60 - D0	-0.37331812010283505	0.046424236032747875	1.2707612739859542e-12	1.9864005177569917e-11
CAR 18:1	severe	D10 - D0	-1.5497015543282404	0.19440772140449675	1.8827162051593405e-12	2.867521604781149e-11
PC 38:3;P/38:4;O	mild	D10 - D0	-0.267582053920227	0.03382497366353321	2.691069589388917e-12	3.996238340242541e-11
FA 18:2	mild	D60 - D0	-0.5376732080471763	0.06834660928033535	3.4260372316907706e-12	4.9635758917666284e-11
PC 34:1	severe	D60 - D0	-0.2553752744616823	0.03319702237896398	8.374523297050018e-12	1.184396866297074e-10
PC 34:0;P/34:1;O	mild	D10 - D0	-0.24759156682228753	0.03256977670937576	1.4351297927817086e-11	1.9824816207263602e-10
SM 36:2;O2	severe	D10 - D0	-0.2360228143136187	0.03204865353619477	5.013767179207207e-11	6.768585691929729e-10
SM 36:1;O2	severe	D10 - D0	-0.26956615887206437	0.03692754761641134	6.99705848816734e-11	9.236117204380889e-10
PC 32:0	severe	D60 - D0	-0.26413236461472056	0.0364860531576879	9.418321678111852e-11	1.216191973217052e-9
PC 38:4;P/38:5;O	mild	D10 - D0	-0.2490544054591476	0.03471691466385879	1.3993595171513107e-10	1.7685522408252735e-9
FA 18:2	severe	D60 - D0	-0.5135498163285088	0.07187315622457968	1.502430402311461e-10	1.859257622860433e-9
FA 16:0	mild	D10 - D0	-0.3632897473147132	0.050912466332119106	1.7126000617651016e-10	2.0760906871193274e-9
LPC 18:0	severe	D60 - D0	0.205412086122148	0.029113989750162408	2.4388235875250075e-10	2.8973224219797093e-9
SM 42:1;O2	mild	D60 - D0	-0.3206298314874519	0.04556513934405669	2.869277038186624e-10	3.3418638444761853e-9
FA 18:2	mild	D10 - D0	-0.4800727652086054	0.06834660928033538	3.063226339250491e-10	3.499147010605369e-9
PC 34:0;P/34:1;O	severe	D10 - D0	-0.23597597614710594	0.03384200991197358	3.9343472924002754e-10	4.4094382861995535e-9
SM 41:1;O2	mild	D60 - D0	-0.3126648450841568	0.04544088732748164	6.45477893357338e-10	7.1002568269307176e-9
FA 16:1	mild	D60 - D0	-1.2832791998000435	0.18719812366644148	7.088057918380741e-10	7.6551025518512e-9
SM 41:2;O2	mild	D60 - D0	-0.22763643735618297	0.033544924465200354	1.0517319237735023e-9	1.1155870762883222e-8
SM 36:1;O2	severe	D60 - D0	-0.2511243956074047	0.037499564265554876	1.589949727431872e-9	1.656894979113214e-8
PI 38:3	mild	D10 - D0	1.7636908768953163	0.26580776138557227	2.273795374208021e-9	2.32868009013718e-8
LPC 14:0	severe	D10 - D0	2.6409829510792275	0.4049057824300424	3.9166220267006224e-9	3.943175396373169e-8
