feature	n_obs	n_patients	p_time	p_severity	p_interaction	singular_fit	error	fdr_time	fdr_severity	fdr_interaction
PC 34:1	169	43	5.219008958586009e-10	0.36219225715399556	2.5587712917284168e-5	FALSE	NA	1.8266531355051033e-9	0.6070546281876827	0.001522468918578408
LPC 18:0	169	43	1.9180886148264063e-9	0.6274409052138492	1.9844070554384033e-5	FALSE	NA	6.5215012904097816e-9	0.7943134863877452	0.001522468918578408
LPC O-16:0	169	43	0.1140853207333363	0.11279093320552194	1.9229020676800757e-4	FALSE	NA	0.13053993430064442	0.4067309409532458	0.0076275115351309665
PC 38:4;P/38:5;O	169	43	2.1580030126810845e-10	0.0073452893607039976	2.922514861738831e-4	FALSE	NA	8.025073703407783e-10	0.12889037177755447	0.008694481713673022
TG 51:1	169	43	4.993258661256022e-8	0.19943145410637847	5.543833901838099e-4	FALSE	NA	1.4492628797304063e-7	0.511511183863833	0.009424517633124768
DG 36:2	169	43	2.1301376616104514e-6	0.29798069189242793	4.930339104475293e-4	FALSE	NA	4.694192254289699e-6	0.556987293173109	0.009424517633124768
DG 34:1	169	43	5.6051375049720165e-5	0.35627087503480254	5.462760124962235e-4	FALSE	NA	1.010623277411621e-4	0.6066107726708934	0.009424517633124768
DG 32:0	169	43	2.5239597213576616e-5	0.42282598708702324	7.182076684307319e-4	FALSE	NA	4.8443743038961573e-5	0.6708838995114103	0.010683339067907137
TG 54:2	169	43	1.1409234198168706e-10	0.04498138855456871	8.77372334347852e-4	TRUE	NA	4.681720239938193e-10	0.29075885844326527	0.011600811976377154
PI 36:2	169	43	5.600025884408768e-4	0.14246524317011428	0.0012759720948381252	FALSE	NA	8.543629233905684e-4	0.45819902533090806	0.015184067928573691
PC 32:1	169	43	4.2846317237834534e-8	0.23899260813100032	0.00291034073735552	FALSE	NA	1.3073619875134127e-7	0.511511183863833	0.03148459524957335
PC 36:3;P/36:3;O	169	43	1.8852638234850536e-8	0.0033766040241725685	0.003664749921415882	FALSE	NA	6.063416080938416e-8	0.12889037177755447	0.03634210338737416
PC 38:3;P/38:4;O	169	43	1.2673976130305138e-12	0.0074308427765134785	0.005281397565721212	FALSE	NA	5.800781382716582e-12	0.12889037177755447	0.036969782960048485
PI 38:4	169	43	3.4872611257751423e-6	0.02370008206534084	0.004918881813525696	TRUE	NA	7.54516498122258e-6	0.23502581381463	0.036969782960048485
PC 36:2;P/36:3;O	169	43	2.2010119621185222e-5	0.012760191949185349	0.00498096471279402	FALSE	NA	4.293777434296789e-5	0.1687180935503396	0.036969782960048485
DG 34:2	169	43	0.001505841178500831	0.048867035032481555	0.004558379707736828	FALSE	NA	0.0021332750028761776	0.29075885844326527	0.036969782960048485
PC 34:2	169	43	0.13692726292066762	0.04666034277676346	0.0047577452247321485	FALSE	NA	0.15372022912791933	0.29075885844326527	0.036969782960048485
PC 34:1;P/34:2;O	169	43	6.37319403766869e-4	0.22377087885484265	0.006851368080291005	FALSE	NA	9.600127727627521e-4	0.511511183863833	0.045295155641923865
SM 40:1;O2	169	43	1.608354550032857e-18	0.005222608011021304	0.007587512231955912	FALSE	NA	1.2759612763594e-17	0.12889037177755447	0.04752178713698703
SM 38:1;O2	169	43	1.2302621897747556e-19	0.028631656938375664	0.009463982414967136	FALSE	NA	1.0457228613085422e-18	0.2620897827435926	0.049825372200380136
SM 41:1;O2	169	43	4.581333665262196e-16	0.008664898943028873	0.00963011395469532	FALSE	NA	2.69736873626469e-15	0.12889037177755447	0.049825372200380136
TG 51:2	169	43	1.0542085152683318e-7	0.08418449450492682	0.009126929652081136	TRUE	NA	2.734373661185156e-7	0.357784101645939	0.049825372200380136
LPC 16:0	169	43	2.9228580759389837e-5	0.5077251643481907	0.008980338009246027	FALSE	NA	5.434689234949048e-5	0.7078457082176967	0.049825372200380136
