feature	n_obs	n_patients	p_time	p_severity	p_interaction	singular_fit	error	fdr_time	fdr_severity	fdr_interaction
FA	169	43	7.431502886944124e-31	0.978752698646312	0.08287090367026866	FALSE	NA	8.174653175638537e-30	0.978752698646312	0.1139474925466194
SM	169	43	2.94925006466194e-29	0.034494498231755745	0.013412648149053557	FALSE	NA	1.622087535564067e-28	0.12647982684977105	0.02458985493993152
CAR	169	43	6.672460188403273e-16	0.17012440215245656	0.10573888927912918	FALSE	NA	2.4465687357478666e-15	0.31987587129994993	0.12923642023004678
LPC	169	43	3.5134461581898086e-12	0.8632629324129529	0.0013153621897870112	FALSE	NA	9.661976935021974e-12	0.9495892256542483	0.004109326077140923
Cer	169	43	2.6444440113723187e-11	0.7248203372234765	0.41020429227493765	FALSE	NA	5.8177768250191016e-11	0.9495892256542483	0.41020429227493765
TG	169	43	1.7981112042745772e-8	0.01884186770974704	0.0022213190415214363	TRUE	NA	3.296537207836725e-8	0.10363027240360873	0.00488690189134716
PI	169	43	8.289562640057424e-7	0.012334434622940408	7.193132692374193e-4	FALSE	NA	1.3026455577233096e-6	0.10363027240360873	0.003956222980805806
DG	169	43	1.998980920480348e-6	0.1673738901061949	1.3483888569025966e-4	FALSE	NA	2.748598765660478e-6	0.31987587129994993	0.0014832277425928563
PE	169	43	2.403798386395259e-4	0.8538312457017458	0.2913527020670664	FALSE	NA	2.9379758055942057e-4	0.9495892256542483	0.32048797227377307
SE 27:1	169	43	0.004698701749981308	0.1744777479817909	0.08207916076680218	FALSE	NA	0.00516857192497944	0.31987587129994993	0.1139474925466194
PC	169	43	0.08618536370331348	0.417500681299065	0.0014943003916876084	FALSE	NA	0.08618536370331348	0.6560724991842449	0.004109326077140923
