level	group	n_in_set	n_total_in_group	odds_ratio	p_value	fdr
class (interaction hits)	DG	4	7	6.378229104777289	0.025502368195679775	0.28052605015247756
class (interaction hits)	PI	2	3	8.803759094203725	0.09516870633520684	0.5234278848436377
class (interaction hits)	PC	8	34	1.4313474573665579	0.4534276278754752	0.9975407813260455
class (interaction hits)	TG	3	25	0.5070946999242438	0.39879975635841014	0.9975407813260455
class (interaction hits)	FA	0	7	0	0.34330298620035443	0.9975407813260455
class (interaction hits)	CAR	0	3	0	1	1
class (interaction hits)	SE 27:1	0	2	0	1	1
class (interaction hits)	Cer	0	4	0	1	1
class (interaction hits)	LPC	3	14	1.1575658222183443	0.7327294857442946	1
class (interaction hits)	PE	0	1	0	0.9999999999999999	1
class (interaction hits)	SM	3	19	0.7517281559204715	1	1
category (interaction hits)	Fatty Acyls	0	10	0	0.20600796183690467	0.6040084594139512
category (interaction hits)	Glycerophospholipids	13	52	1.8895803489200635	0.2416033837655805	0.6040084594139512
category (interaction hits)	Sphingolipids	3	23	0.5724102519518647	0.5596719415093657	0.9327865691822762
category (interaction hits)	Glycerolipids	7	32	1.24012265230689	0.7938327147889858	0.9922908934862322
category (interaction hits)	Sterol Lipids	0	2	0	1	1
class (time hits)	PC	23	34	0.31438629266876694	0.019168388199441964	0.12200669544492869
class (time hits)	SM	19	19	Inf	0.02218303553544158	0.12200669544492869
class (time hits)	DG	7	7	Inf	0.34615344643026524	0.735689630734848
class (time hits)	LPC	10	14	0.5205659391937425	0.2890542446113264	0.735689630734848
class (time hits)	TG	19	25	0.6521207290082798	0.40128525312809893	0.735689630734848
class (time hits)	FA	7	7	Inf	0.34615344643026524	0.735689630734848
class (time hits)	Cer	3	4	0.6727417562309522	0.5636634368713992	0.8857568293693415
class (time hits)	CAR	3	3	Inf	0.9999999999999999	1
class (time hits)	SE 27:1	2	2	Inf	1	1
class (time hits)	PE	1	1	Inf	1	1
class (time hits)	PI	3	3	Inf	0.9999999999999999	1
category (time hits)	Glycerophospholipids	37	52	0.2909463765841517	0.016162034141560304	0.08081017070780153
category (time hits)	Sphingolipids	22	23	6.099020819911832	0.07087822147426834	0.17719555368567086
category (time hits)	Fatty Acyls	10	10	Inf	0.20477566620310192	0.34129277700516986
category (time hits)	Glycerolipids	26	32	0.9767000623256062	1	1
category (time hits)	Sterol Lipids	2	2	Inf	1	1
