feature	pval_Percentage	padj_Percentage	pval_PQN	padj_PQN
LPC 15:0	6.355886000564946e-40	7.817739780694883e-38	3.125827761812505e-37	3.844768147029381e-35
LPC 16:0	4.9945193158665e-30	3.0716293792578972e-28	9.073211413727644e-26	2.7900125097212503e-24
LPC 18:1	1.1253886855728353e-29	4.614093610848625e-28	4.207286254270729e-25	7.392802989647139e-24
LPC 20:5	3.356340382217976e-29	1.0320746675320275e-27	1.682577205733962e-27	6.898566543509245e-26
LPC 18:3	1.4369060270668806e-27	3.5347888265845264e-26	1.7498080209603826e-25	4.304527731562542e-24
LPC 20:4	8.375115943340008e-27	1.7168987683847017e-25	2.7755065425742055e-25	5.689788412277121e-24
TG 51:2	2.8029658758559057e-26	4.925211467575378e-25	1.2318007114567037e-28	7.575574375458728e-27
LPC 18:0	6.28326992418925e-26	9.660527508440973e-25	2.6621850509231726e-24	4.0931095157943777e-23
LPC 22:6	3.9266366116424114e-23	5.366403369244629e-22	1.241438684511594e-22	1.6966328688325116e-21
PC 38:5	1.2557835114929707e-21	1.544613719136354e-20	1.0762087029412322e-17	1.018259003552089e-16
PC 36:5	1.8182645852761428e-21	2.033150399899687e-20	1.7207681708082868e-16	1.5118177500672808e-15
PC 36:3	1.5812943094464096e-20	1.62082666718257e-19	4.3212594600175064e-14	2.7974469135902804e-13
LPC 18:2	2.810157264434705e-20	2.658841104042067e-19	6.021721331048691e-21	7.40671723718989e-20
PC 38:6	9.919677230222118e-20	8.715144995123719e-19	5.987861138521864e-16	4.910046133587928e-15
PE 36:3;P/36:4;O	1.4605237625011434e-19	1.1976294852509376e-18	1.1072761441567042e-18	1.2381360521024965e-17
PC 36:4	7.214234928710366e-19	5.281731485415788e-18	2.2336593111051415e-15	1.7171255954120776e-14
PC 38:4	7.299954085534016e-19	5.281731485415788e-18	1.3499551908641356e-11	6.641779539051547e-11
TG 54:5	1.530206685004475e-18	9.996549998921585e-18	8.097186589591666e-18	8.299616254331458e-17
PC 36:2	1.5441825201586189e-18	9.996549998921585e-18	1.1701074248928869e-12	6.541964239173867e-12
PC 36:2;P/36:3;O	6.59459820240024e-17	4.055677894476148e-16	7.272424353820115e-15	5.261812914822789e-14
PC 34:1;P/34:2;O	7.23408308215672e-17	4.237105805263221e-16	2.4223318191256302e-14	1.655260076402514e-13
PC 40:6	1.2439427696190772e-15	6.9547709392339315e-15	1.6945202247747543e-11	8.016384140280569e-11
PC 38:3	1.5196984584511918e-15	8.127083060412895e-15	2.446973865267796e-9	8.852287806704085e-9
PC 38:7	1.6897995625948838e-15	8.66022275829878e-15	1.658900930840736e-9	6.183176196770016e-9
PC 40:5	2.9568169265342086e-15	1.4547539278548306e-14	1.0657264225798693e-10	4.369478332577464e-10
PC 34:1	3.6824908943065245e-15	1.7421014615373173e-14	2.3838601971523425e-8	7.51832831409585e-8
PC 34:3	5.064176161292635e-15	2.3070135845888667e-14	2.267423078790682e-12	1.2125784290924083e-11
PC 38:3;P/38:4;O	3.124696873570261e-14	1.3726346980326504e-13	1.0188642983684493e-12	5.967633747586631e-12
PC 36:1;P/36:2;O	1.817909814506541e-13	7.710445075320846e-13	2.9033654473642063e-11	1.275406964377848e-10
PC 34:2	2.239433455428212e-13	9.181677167255667e-13	1.671649681946167e-10	6.632674544496081e-10
PC 36:1	5.693182354403977e-13	2.2589078373925454e-12	2.150487025217206e-8	6.960786950045167e-8
TG 54:2	6.777791503932758e-13	2.605213609324154e-12	5.82175735895972e-14	3.580380775760228e-13
PC 32:2	7.239507300309823e-13	2.6983618119336612e-12	1.7752237736576126e-11	8.087130524440235e-11
DG 34:2	1.9675324928612278e-12	7.117838135939147e-12	7.480715882540868e-12	3.833866889802195e-11
PC 40:4	2.3864096254622194e-12	8.3865252551958e-12	1.0130109698558693e-8	3.367577007899241e-8
PC 32:0	2.5854774484870226e-12	8.833714615663993e-12	2.1335706089658925e-5	3.803321520330504e-5
FA 20:4	7.649202802572604e-12	2.5428430938281898e-11	8.866129628789325e-11	3.760461877038231e-10
PC 38:4;P/38:5;O	8.228595258925922e-12	2.6634663601260223e-11	3.9780126500236745e-10	1.52904861235285e-9
PC 34:0;P/34:1;O	3.636351433592894e-11	1.1468492982869896e-10	6.141281234816616e-8	1.7985180759105803e-7
DG 36:1	1.8829852572707827e-10	5.790179666107657e-10	2.5209843125083488e-9	8.859459155386483e-9
PC 40:7	8.132003970611932e-10	2.4396011911835795e-9	5.413336718757654e-8	1.6240010156272961e-7
PC 32:1	2.1705067186281855e-9	6.356483961696829e-9	2.2527387780666393e-5	3.9583838528885234e-5
PC 40:8	2.9480720544939548e-9	8.432857272157126e-9	1.0328842190674895e-7	2.8873808851204823e-7
DG 32:0	5.3846427465270774e-9	1.5052524041427968e-8	4.36340895863418e-8	1.3417482547800104e-7
DG 34:1	1.3584700135151246e-8	3.713151370274674e-8	9.44078903853909e-6	1.8144016433442316e-5
DG 32:1	5.989015588568834e-8	1.6014106899868836e-7	1.1368462580919706e-6	2.5894831434317106e-6
PC 40:3;P/40:4;O	1.341703998055587e-7	3.511267909805047e-7	5.565265034496835e-7	1.3422109789080602e-6
PC 38:2;P/38:3;O	1.6721770775908703e-7	4.284953761326605e-7	3.0622292330865343e-6	6.725967779815067e-6
PC O-32:0	1.073011929547402e-6	2.693478925190417e-6	6.007416455213297e-4	8.493243953922246e-4
PC 38:2	1.5567609646686128e-6	3.8296319730847876e-6	1.8323559566939344e-4	2.7485339350409013e-4
LPC 17:0	1.948226623067655e-6	4.6583665191367e-6	1.931919152093239e-5	3.4945008192274765e-5
LPC O-16:0	1.9693907235374666e-6	4.6583665191367e-6	9.905301002105673e-7	2.2987774023754676e-6
PC 34:4	2.5027918544398916e-6	5.808366001813334e-6	2.916884589118897e-5	4.9147507460496484e-5
TG 49:1	3.5340643052512806e-6	8.049813139739028e-6	8.834218756524851e-8	2.52699745826176e-7
PC 32:1;O/32:0;P	3.964517176097965e-6	8.86610204836454e-6	1.2667395799075177e-4	1.9975508760080088e-4
LPC 20:3	4.467990845260288e-6	9.813622749410991e-6	3.2938845644696443e-7	8.268322478158495e-7
PC 30:0	4.959052613899852e-6	1.0701113535257576e-5	6.397754435964055e-5	1.0354260468731299e-4
LPC 14:0	5.641796039311919e-6	1.1964498497161482e-5	4.9064072549921166e-5	8.155244491405815e-5
PI 36:2	6.3599419433191325e-6	1.3258862017428024e-5	1.8327738299118523e-5	3.4156239557448154e-5
Cer 42:1;O2	8.801156848378616e-6	1.8042371539176162e-5	5.903167470798341e-5	9.681194652109279e-5
PI 36:4	2.4106673618689745e-5	4.860853860817768e-5	1.8882033174372594e-4	2.798180819816662e-4
SM 41:2;O2	2.908461015537506e-5	5.7357255907518144e-5	5.096782524786874e-6	1.0808693974979059e-5
SM 41:1;O2	2.9378106684338564e-5	5.7357255907518144e-5	2.453570735825168e-5	4.250552119809798e-5
