feature	p_time_Percentage	fdr_time_Percentage	p_interaction_Percentage	fdr_interaction_Percentage	p_time_PQN	fdr_time_PQN	p_interaction_PQN	fdr_interaction_PQN
CAR 16:0	4.441317833169428e-8	1.321292055367905e-7	0.038803387526961546	0.12480008420833578	2.264327000148618e-6	3.962572250260081e-6	0.02544172692977774	0.09929259089159442
CAR 18:1	1.5370556410253152e-15	7.952592229652717e-15	0.0481324979711148	0.13970164045274783	3.9126478631369626e-13	1.662875341833209e-12	0.027997401986531254	0.10096032837567331
CAR 18:2	1.1939982173246286e-10	4.736192928721027e-10	0.2261647386436524	0.35884805198126185	1.0993583862911629e-8	2.6698703667071097e-8	0.1737549244033095	0.32371792383241677
CE 18:1	0.039466459498398894	0.04841761526092236	0.8306368081893615	0.8825516087011965	0.14192606832851482	0.15079644759904698	0.8296529559914018	0.873705325336078
CE 18:2	0.0033187895034254627	0.004339955504479452	0.07404822943222673	0.17277920200852906	0.0034532779811306783	0.0045158250522478105	0.06256727867024171	0.18159771126240887
Cer 40:1;O2	7.923073356291582e-6	1.6255960851701697e-5	0.857976519179243	0.9035327945338931	2.3782720910198176e-5	3.986118011709272e-5	0.9165910968666742	0.9407097790135734
Cer 41:1;O2	0.04291779267740022	0.052114462536843126	0.9594823912046077	0.9675473260378801	0.020557792185209797	0.023984090882744766	0.9524893952968142	0.9605613393247533
Cer 42:1;O2	0.021904271852061768	0.02743798263574053	0.5588944614256655	0.6786575603025937	0.08823882067496436	0.09633412532404365	0.5513895437580728	0.6862083643762802
Cer 42:2;O2	1.7493414607504887e-10	6.715213994493811e-10	0.054843272437015894	0.14257192305629712	2.1307055797750864e-8	4.695443777652505e-8	0.07393387218337881	0.1999575179505018
DG 32:0	2.5239597213576616e-5	4.8443743038961573e-5	7.182076684307319e-4	0.010683339067907137	1.3412739217719637e-6	2.455563026013287e-6	4.6443744394764785e-4	0.006908506978721262
DG 32:1	9.913915674645716e-9	3.277099903563445e-8	0.21677440194577416	0.3533719702951661	3.714775592051231e-10	1.1947521498759365e-9	0.1842046952253789	0.3271695333107476
DG 34:1	5.6051375049720165e-5	1.010623277411621e-4	5.462760124962235e-4	0.009424517633124768	4.4028581667842114e-7	8.58918232536592e-7	3.659106295888201e-4	0.006411775804062902
DG 34:2	0.001505841178500831	0.0021332750028761776	0.004558379707736828	0.036969782960048485	3.75617397216584e-4	5.587308783596688e-4	0.0038555242994211974	0.023566125120728913
DG 36:1	3.4509129838913326e-7	8.380788675164664e-7	0.09989823105756007	0.2085594648394675	4.6074031466978014e-7	8.718469139404119e-7	0.09216084262248547	0.22848208900157854
DG 36:2	2.1301376616104514e-6	4.694192254289699e-6	4.930339104475293e-4	0.009424517633124768	3.6140590468115077e-6	6.2329424140662236e-6	3.065093594270593e-4	0.006411775804062902
DG 36:3	5.528939167408012e-4	8.543629233905684e-4	0.04729863936126485	0.13970164045274783	2.5417093419978354e-5	4.2008807180242e-5	0.040591045320322906	0.13419745969018043
FA 14:0	6.21224620410234e-7	1.449524114290546e-6	0.032922139403350544	0.11871922996965802	7.51337095869539e-5	1.2082312757902047e-4	0.04564474489961007	0.14680336873117833
FA 16:0	1.1685883612019873e-29	2.7812402996607297e-28	0.08798549965934835	0.19389397147152693	1.259795670257978e-18	1.3628698614609036e-17	0.10093681556973762	0.2402296210559755
FA 16:1	1.368128000474123e-16	8.568801687180034e-16	0.44711700804709714	0.5600728837642585	3.6352635462577177e-14	1.8808537478463844e-13	0.4868026904751363	0.6365881336982552
FA 18:0	4.86897971154181e-33	3.674636237726727e-31	0.02615274456824766	0.10373922012071572	1.4657884075023034e-22	5.814294016425803e-21	0.04059755083064282	0.13419745969018043
FA 18:1	6.864384071950707e-30	2.042154261405335e-28	0.09091289704651705	0.19670244997337324	2.07612708817241e-21	4.117652058208613e-20	0.09970857738278165	0.2402296210559755
FA 18:2	6.256352456804769e-28	1.2408432372662791e-26	0.13957686151683238	0.2666643495328606	6.680428841425526e-19	7.949710321296375e-18	0.15689989102026908	0.3060833939575741
FA 18:3	1.2309221134155317e-7	3.1165900318393247e-7	0.3578906841172876	0.48396581147678663	1.5127951727930297e-6	2.727615538823796e-6	0.31490219092513655	0.46263408296408953
LPC 13:0	0.21745718818567492	0.23740738893665425	0.40129121680888075	0.5190614652201827	0.09824984405211315	0.10628846765637695	0.39457233495643196	0.5385278961199442
LPC 14:0	4.760062475761217e-16	2.69736873626469e-15	0.3700100755479294	0.4947325729236359	2.7735618505983735e-17	2.3575275730086176e-16	0.3451002760854083	0.4947823235441396
LPC 16:0	2.9228580759389837e-5	5.434689234949048e-5	0.008980338009246027	0.049825372200380136	5.088572822917042e-11	1.8349701997791758e-10	0.02133531754807483	0.09067509957931803
LPC 16:1	6.414338488866472e-5	1.1392631047389705e-4	0.1387434810167376	0.2666643495328606	5.4119117300297645e-6	9.2002499410506e-6	0.11583713865952998	0.2506294454633467
LPC 17:0	5.435682656653269e-12	2.3957268005249592e-11	0.29994300655456807	0.4258826279653685	5.191746118224558e-13	2.1304061657542156e-12	0.2613118699242291	0.4202177367700441
LPC 18:0	1.9180886148264063e-9	6.5215012904097816e-9	1.9844070554384033e-5	0.001522468918578408	5.0900136419911615e-17	3.7856976462309266e-16	6.086762550467734e-4	0.008048052705618447
LPC 18:1	1.0058403952861698e-5	2.0287289328653254e-5	0.07792219812240885	0.17832195339551254	5.364752464226142e-12	2.0593727201384225e-11	0.0593241875458681	0.1764894579489576
LPC 18:2	2.798574847564241e-17	1.8501689270008038e-16	0.9286142501804276	0.95573848176649	1.5263732402645296e-21	3.6327683118295805e-20	0.7945127571907354	0.8441698045151564
LPC 18:3	0.3163657167679079	0.3331638964193013	0.2199006102574996	0.35362395433300614	0.016284825031012785	0.019378941786905215	0.14597873827588975	0.2944316924547607
LPC 20:3	6.38758348634726e-6	1.3335481313602173e-5	0.11929887965196861	0.24476839101007355	2.667528616025569e-8	5.771561914673504e-8	0.11501239542245585	0.2506294454633467
LPC 20:4	0.005649678302604123	0.007229158258170867	0.711515257049221	0.7941051263159574	1.4592249855824655e-8	3.339380255467565e-8	0.6373399755256371	0.7363442435684545
LPC 22:5	0.0029682119845183233	0.00392463584619645	0.5859737551124344	0.6898022870975766	6.636368888211512e-4	9.290916443496117e-4	0.6110609064471785	0.7163781386729752
LPC 22:6	0.42639118670783926	0.43000467134095655	0.6418703276093547	0.7274530379572687	0.17788201379052518	0.18568385650063593	0.7590758163117637	0.836389093899073
LPC O-16:0	0.1140853207333363	0.13053993430064442	1.9229020676800757e-4	0.0076275115351309665	0.0533117937028414	0.05985003255318988	1.5291204903933843e-4	0.004549133458920318
PC 30:0	8.149383750818497e-4	0.0012122208329342515	0.29293370573862837	0.4251111095475216	1.7800258181539046e-4	2.681304713421704e-4	0.28081038373739947	0.4339796839577992
PC 32:0	1.50034347820028e-17	1.0502404347401962e-16	0.08188927041230872	0.18386458828424035	5.678537370432851e-8	1.1650792191060505e-7	0.20708549576430693	0.35204534279932176
PC 32:1	4.2846317237834534e-8	1.3073619875134127e-7	0.00291034073735552	0.03148459524957335	1.2619070257770794e-10	4.4166745902197777e-10	0.0026905301034770455	0.020010817644610525
PC 32:1;O/32:0;P	0.010727348139156915	0.013580366261273116	0.05289135189536124	0.14257192305629712	0.1493512687477411	0.15728142461045302	0.02316808432561231	0.09506903568096087
PC 32:2	7.122048062133288e-15	3.531348830807755e-14	0.9316442343269986	0.95573848176649	6.250967194279776e-17	4.3756770359958434e-16	0.9208734916068538	0.9407097790135734
PC 34:0;P/34:1;O	2.341763240531603e-21	2.143614043255852e-20	0.1338947479002547	0.26555791666883855	5.13370123914385e-10	1.6076590722582058e-9	0.5988563236783321	0.7163781386729752
PC 34:1	5.219008958586009e-10	1.8266531355051033e-9	2.5587712917284168e-5	0.001522468918578408	1.3978179220573529e-8	3.261575151467157e-8	5.285217867979079e-6	6.289409262895104e-4
PC 34:1;P/34:2;O	6.37319403766869e-4	9.600127727627521e-4	0.006851368080291005	0.045295155641923865	1.2148916140516788e-9	3.526148831028043e-9	0.004993275872159017	0.02829522994223443
PC 34:2	0.13692726292066762	0.15372022912791933	0.0047577452247321485	0.036969782960048485	7.575742931139889e-4	0.0010362223089720078	0.020279232533170707	0.09067509957931803
PC 34:3	1.0569847765925813e-7	2.734373661185156e-7	0.05511183580327452	0.14257192305629712	1.9118084586070708e-19	3.2500743796320203e-18	0.11151515157443416	0.25038307617655975
PC 36:1	9.454417781582551e-8	2.556990263655281e-7	0.15803975554816369	0.29385517047236687	7.40776529578482e-15	4.407620350991968e-14	0.21329589814948388	0.35749594196885326
PC 36:1;P/36:2;O	0.0028293329659249706	0.003783040707247994	0.5481786680926539	0.672507850546658	0.048598932792909444	0.0550787904986307	0.38893596234329797	0.5381788316145635
PC 36:2	0.38795921593859256	0.3945909974076283	0.013697970319313801	0.0652023387199337	2.5448067514671786e-15	1.5938526496031278e-14	0.07062016533595324	0.19543720174368454
PC 36:2;P/36:3;O	2.2010119621185222e-5	4.293777434296789e-5	0.00498096471279402	0.036969782960048485	4.2810926483537394e-11	1.5920313286065468e-10	0.0012072832501957883	0.011972225564441566
PC 36:3	5.935502621489796e-7	1.4126496239145713e-6	0.09716995973285085	0.20648616443230805	8.981992343465604e-24	5.344285444362034e-22	0.5535798569758227	0.6862083643762802
PC 36:3;P/36:3;O	1.8852638234850536e-8	6.063416080938416e-8	0.003664749921415882	0.03634210338737416	2.449600174862016e-9	6.202179166139998e-9	7.889360003151201e-4	0.009388338403749929
PC 36:4	0.33022604744499295	0.3447096460171417	0.03772483156137664	0.1247015265501061	1.9299164497901033e-7	3.827667625417038e-7	0.22197263447299379	0.3668714375317536
PC 36:5	9.684124038584837e-4	0.001405378976331214	0.33260530403708793	0.4656474256519231	2.205375643192845e-14	1.2497128644759456e-13	0.7829123648224882	0.8416423932162986
PC 38:2	0.33832544841917145	0.3500932901033165	0.20398541593731	0.3415209245491884	0.006283716291891222	0.007871181460369003	0.19865325281236682	0.3447612097122198
PC 38:2;P/38:3;O	0.14643312668231595	0.16285553341304299	0.205671824858206	0.3415209245491884	0.1378083484996418	0.1477404817248412	0.19990355857263162	0.3447612097122198
PC 38:3	1.900538557719326e-13	9.046563534743992e-13	0.41591925885652753	0.5321977613325459	1.0014156076762652e-24	1.1916845731347555e-22	0.4748842366174743	0.6279024906386604
