feature	n_obs	n_patients	p_time	p_severity	p_interaction	singular_fit	error	fdr_time	fdr_severity	fdr_interaction	max_abs_group_log2fc
9-HODE	166	43	0.9918690273008046	0.369339836321726	0.44087175565187453	TRUE	NA	0.9918690273008046	0.7892149567020655	0.9748671503544434	0.39228105081587816
13-HODE	166	43	0.8616610990869601	0.24707048057502837	0.7042825968792734	TRUE	NA	0.9918690273008046	0.7892149567020655	0.9748671503544434	0.20891489174494426
9,10-DiHOME	166	43	0.5512820946098215	0.06890427166057915	0.2415605127999242	TRUE	NA	0.9918690273008046	0.4593618110705277	0.9748671503544434	0.5314289967071085
12,13-DiHOME	166	43	0.9383956633370962	0.029244337262621014	0.20313411725760291	TRUE	NA	0.9918690273008046	0.2924433726262101	0.9748671503544434	0.43275285071745817
9-oxo-ODE	166	43	0.9487495228691301	0.539870524426019	0.24164256940054518	TRUE	NA	0.9918690273008046	0.8305700375784908	0.9748671503544434	0.8535419547427441
13-oxo-ODE	166	43	0.9650567401094503	0.12020361990626598	0.34619923540238595	FALSE	NA	0.9918690273008046	0.4808144796250639	0.9748671503544434	1.1943893816051907
9,10,13-TriHOME	166	43	0.6509688891552089	0.10574477027804442	0.7742126773832623	TRUE	NA	0.9918690273008046	0.4808144796250639	0.9748671503544434	0.5803220657930553
9,12,13-TriHOME	166	43	0.44675491118423194	0.026049353547124843	0.8823046960009034	TRUE	NA	0.9918690273008046	0.2924433726262101	0.9748671503544434	0.36387112695730656
8,9-EET	166	43	0.28925520724338094	0.7663108776161237	0.6562812375879049	TRUE	NA	0.9918690273008046	0.9038136555769382	0.9748671503544434	1.0329215989652274
5-HETE	166	43	0.1736403165726402	0.9235361722752636	0.4315774229930138	FALSE	NA	0.9918690273008046	0.9235361722752636	0.9748671503544434	0.6516124376929183
8-HETE	166	43	0.9739693460738174	0.5107315847974938	0.5778901223168826	TRUE	NA	0.9918690273008046	0.8305700375784908	0.9748671503544434	0.3575682121003999
12-HETE	166	43	0.6265651421409246	0.47228159061024194	0.8949417511657597	TRUE	NA	0.9918690273008046	0.8305700375784908	0.9748671503544434	0.3289774888261871
15-HETE	166	43	0.9136581796221311	0.9093622983841048	0.4410902108743763	FALSE	NA	0.9918690273008046	0.9235361722752636	0.9748671503544434	0.40137671930683505
5-oxo-ETE	166	43	0.6985126665488752	0.39460747835103277	0.5109955304938726	FALSE	NA	0.9918690273008046	0.7892149567020655	0.9748671503544434	0.817497877579106
LxA4	166	43	0.9771901711963198	0.3577998772762999	0.9721989128271222	TRUE	NA	0.9918690273008046	0.7892149567020655	0.9748671503544434	0.5785206258415827
TXB2	166	43	0.6340210881672989	0.792180209749441	0.9024490985710485	TRUE	NA	0.9918690273008046	0.9038136555769382	0.9748671503544434	0.39148713368499755
9-HOTrE	166	43	0.924086647180788	0.8134322900192443	0.858328869791081	FALSE	NA	0.9918690273008046	0.9038136555769382	0.9748671503544434	0.39607620559285006
13-HOTrE	166	43	0.8658358826677683	0.5965463998252936	0.769565165116834	TRUE	NA	0.9918690273008046	0.8522091426075622	0.9748671503544434	0.36489633986405
14-HDHA	166	43	0.9160630282974263	0.7019582851334878	0.9748671503544434	FALSE	NA	0.9918690273008046	0.9038136555769382	0.9748671503544434	0.1783536911569343
17-HDHA	166	43	0.5907712614246216	0.3738915142411748	0.31488976678577135	TRUE	NA	0.9918690273008046	0.7892149567020655	0.9748671503544434	0.5429925587574201
