feature	n_obs	n_patients	p_time	p_severity	p_interaction	singular_fit	error	fdr_time	fdr_severity	fdr_interaction
DiHOME	166	43	0.7953695894737733	0.04859080463966628	0.2130087113056046	TRUE	NA	0.9815250157520475	0.26724942551816455	0.9741080132626573
EET	166	43	0.28925520724338094	0.7663108776161237	0.6562812375879049	TRUE	NA	0.9815250157520475	0.792180209749441	0.9741080132626573
HDHA	166	43	0.8749346976369323	0.6322208401741726	0.9741080132626573	FALSE	NA	0.9815250157520475	0.7727143602128776	0.9741080132626573
HETE	166	43	0.8086525777089838	0.11756879906933897	0.35119471443578865	TRUE	NA	0.9815250157520475	0.43108559658757617	0.9741080132626573
HODE	166	43	0.9740510908585729	0.2892460353220427	0.5965974821159683	TRUE	NA	0.9815250157520475	0.6200974659801943	0.9741080132626573
HOTrE	166	43	0.8452738562038654	0.6029118422283186	0.7810518522881532	TRUE	NA	0.9815250157520475	0.7727143602128776	0.9741080132626573
LX	166	43	0.9771901711963198	0.3577998772762999	0.9721989128271222	TRUE	NA	0.9815250157520475	0.6200974659801943	0.9741080132626573
OxoETE	166	43	0.6985126665488752	0.39460747835103277	0.5109955304938726	FALSE	NA	0.9815250157520475	0.6200974659801943	0.9741080132626573
OxoODE	166	43	0.9815250157520475	0.24219254114124483	0.34144798242641616	TRUE	NA	0.9815250157520475	0.6200974659801943	0.9741080132626573
TX	166	43	0.6340210881672989	0.792180209749441	0.9024490985710485	TRUE	NA	0.9815250157520475	0.792180209749441	0.9741080132626573
TriHOME	166	43	0.41773155061715594	0.025996236201510786	0.9512364984210984	TRUE	NA	0.9815250157520475	0.26724942551816455	0.9741080132626573
