sample_name	total_abundance	group
BS-064D0	139.91918150882907	severe
BS-035D0	399.26562726061894	severe
JV-048D0	238.7501803876895	severe
KT-515D0	378.7237093458786	severe
KT-926D0	337.8468556316104	severe
JV-148D0	1823.2627766899839	severe
JV-157D0	448.92191419236065	severe
KT-193D0	254.65911758503407	severe
KT-247D0	72.55084260049186	severe
KT-310D0	268.7428057731802	severe
KT-347D0	83.12674810781479	severe
KT-352D0	82.55482066774157	severe
KT-417D0	413.8561589447202	severe
KT-434D0	292.5278651633654	severe
KT-522D0	147.32889468021665	severe
KT-525D0	179.08626319095086	severe
KT-565D0	290.2940280380391	severe
KT-612D0	1095.3452798307612	severe
KT-705D0	822.7610738209856	severe
KT-718D0	1428.3420833620783	severe
BS-082D0	1246.558924795834	mild
BS-336D0	575.4745644637246	mild
BS-346D0	1320.9212995838195	mild
BS-351D0	1092.4557446326896	mild
BS-364D0	3716.226506553897	mild
BS-377D0	240.78748770965487	mild
JV-138D0	216.35219620618517	mild
KT-313D0	172.38110505179458	mild
KT-412D0	227.75015296713482	mild
KT-445D0	337.15024700670705	mild
KT-537D0	121.43286879155697	mild
KT-538D0	283.7078756504138	mild
KT-539D0	5041.757354822183	mild
KT-663D0	828.7646160788554	mild
KT-695D0	1704.6121351667837	mild
KT-716D0	1492.03211026318	mild
KT-723D0	90.35602915863896	mild
KT-771D0	339.74485594209506	mild
KT-805D0	495.2856162446779	mild
KT-880D0	5759.648459082922	mild
KT-974D0	1333.2122721926148	mild
BS-671D0	9.402074820657763	mild
JV-015-RAN-IC-M2	142.37161366492398	healthy
BS-007-RAN-01-M3	158.17232800321077	healthy
BS-007-RAN-02-M3	1.2908749469945675e-5	healthy
KT-004-SOC-16-M1	276.29038355423864	healthy
BS-135-RAN-IC-M3	117.48298842496187	healthy
JV-070-DAV-07-M3	99.93114977093019	healthy
JV-036-SOC-10-M2	107.97605411526952	healthy
BS-126-RAT-05-M2	130.50617605297987	healthy
JV-070-DAV-04-M1	74.647303068638	healthy
BS-356-RAN-03-M4	1308.9103513994612	healthy
BS-391-RAN-06-M2	316.9570615938277	healthy
JV-061-MIN-03-M5	255.20836040815766	healthy
JV-070-MIN-01-M1	870.9661368161339	healthy
KT-004-SOC-14-M1	120.85614280727144	healthy
JV-089-SOC-04-M1	498.5147820688791	healthy
