"","Significance(p-value)","Feature","Comparison","Mean(ctrl)","Mean(exp)","Method","FC","Log2(FC)","Statistic","p-value","-Log10(p-value)","padj","-Log10(padj)","Significance(padj)"
"1","yes","LPC O-16:0","severe(exp) / mild(ctrl)","4.61e-01","1.69e-01","t-test","0.367","-1.45","-3.96","6.14e-04","3.21e+00","6.38e-02","1.19e+00","no"
"2","yes","CE 18:2","severe(exp) / mild(ctrl)","1.1e-01","4.35e-02","t-test","0.395","-1.34","-3.35","2.79e-03","2.55e+00","6.81e-02","1.17e+00","no"
"3","yes","LPC 18:0","severe(exp) / mild(ctrl)","1.06e+01","7.41e+00","t-test","0.701","-0.513","-3.2","3.94e-03","2.4e+00","6.81e-02","1.17e+00","no"
"4","yes","PC 40:3;P/40:4;O","severe(exp) / mild(ctrl)","2.38e-02","1.17e-02","t-test","0.492","-1.02","-3.18","4.14e-03","2.38e+00","6.81e-02","1.17e+00","no"
"5","yes","TG 54:3","severe(exp) / mild(ctrl)","1.87e-01","6.2e-01","t-test","3.31","1.73","3.18","4.19e-03","2.38e+00","6.81e-02","1.17e+00","no"
"6","yes","TG 54:2","severe(exp) / mild(ctrl)","3.56e-01","9.12e-01","t-test","2.56","1.36","3.17","4.24e-03","2.37e+00","6.81e-02","1.17e+00","no"
"7","yes","PC 34:1","severe(exp) / mild(ctrl)","4.35e+00","6.08e+00","t-test","1.4","0.485","3.09","5.17e-03","2.29e+00","6.81e-02","1.17e+00","no"
"8","yes","PC 38:4;P/38:5;O","severe(exp) / mild(ctrl)","2.64e-01","1.6e-01","t-test","0.605","-0.725","-3.06","5.52e-03","2.26e+00","6.81e-02","1.17e+00","no"
"9","yes","DG 34:1","severe(exp) / mild(ctrl)","4.87e-02","9.66e-02","t-test","1.98","0.988","3.03","5.89e-03","2.23e+00","6.81e-02","1.17e+00","no"
"10","yes","PC 34:1;P/34:2;O","severe(exp) / mild(ctrl)","8.16e-02","5.15e-02","t-test","0.631","-0.663","-2.9","8.03e-03","2.1e+00","7.57e-02","1.12e+00","no"
"11","yes","LPC 16:0","severe(exp) / mild(ctrl)","3.05e+01","2.29e+01","t-test","0.751","-0.413","-2.87","8.64e-03","2.06e+00","7.57e-02","1.12e+00","no"
"12","yes","FA 20:3","severe(exp) / mild(ctrl)","1.58e-02","6.56e-02","t-test","4.15","2.05","2.84","9.37e-03","2.03e+00","7.57e-02","1.12e+00","no"
"13","yes","SM 41:1;O2","severe(exp) / mild(ctrl)","2.43e-01","1.5e-01","t-test","0.617","-0.697","-2.78","1.08e-02","1.97e+00","7.57e-02","1.12e+00","no"
"14","yes","TG 58:5","severe(exp) / mild(ctrl)","1.72e-02","3.89e-02","t-test","2.26","1.18","2.76","1.11e-02","1.95e+00","7.57e-02","1.12e+00","no"
"15","yes","CAR 18:2","severe(exp) / mild(ctrl)","5.46e-03","1.6e-03","t-test","0.293","-1.77","-2.74","1.16e-02","1.93e+00","7.57e-02","1.12e+00","no"
"16","yes","CAR 16:0","severe(exp) / mild(ctrl)","6.02e-03","2.13e-03","t-test","0.355","-1.5","-2.74","1.16e-02","1.93e+00","7.57e-02","1.12e+00","no"
"17","yes","PC 32:1","severe(exp) / mild(ctrl)","1.81e-01","2.85e-01","t-test","1.58","0.659","2.7","1.29e-02","1.89e+00","7.87e-02","1.1e+00","no"
"18","yes","PC 36:3;P/36:3;O","severe(exp) / mild(ctrl)","3.13e-01","2.05e-01","t-test","0.655","-0.609","-2.66","1.4e-02","1.85e+00","8.11e-02","1.09e+00","no"
"19","yes","PC 36:2;P/36:3;O","severe(exp) / mild(ctrl)","1.02e-01","6.64e-02","t-test","0.654","-0.612","-2.63","1.51e-02","1.82e+00","8.21e-02","1.09e+00","no"
"20","yes","PC 34:2","severe(exp) / mild(ctrl)","4.3e+00","6.74e+00","t-test","1.57","0.647","2.59","1.63e-02","1.79e+00","8.21e-02","1.09e+00","no"
"21","yes","TG 51:1","severe(exp) / mild(ctrl)","1.86e-01","3.61e-01","t-test","1.94","0.954","2.58","1.66e-02","1.78e+00","8.21e-02","1.09e+00","no"
"22","yes","PC 38:2;P/38:3;O","severe(exp) / mild(ctrl)","3.16e-02","1.72e-02","t-test","0.543","-0.882","-2.51","1.97e-02","1.71e+00","9.09e-02","1.04e+00","no"
"23","yes","SM 42:1;O2","severe(exp) / mild(ctrl)","5.11e-01","3.54e-01","t-test","0.692","-0.531","-2.5","2.01e-02","1.7e+00","9.09e-02","1.04e+00","no"
"24","yes","PC 38:2","severe(exp) / mild(ctrl)","2.55e-02","1.26e-02","t-test","0.495","-1.01","-2.41","2.42e-02","1.62e+00","1.02e-01","9.91e-01","no"
"25","yes","TG 56:6","severe(exp) / mild(ctrl)","4.55e-02","1.03e-01","t-test","2.25","1.17","2.38","2.58e-02","1.59e+00","1.02e-01","9.91e-01","no"
"26","yes","SM 40:1;O2","severe(exp) / mild(ctrl)","6.03e-01","4.3e-01","t-test","0.713","-0.488","-2.38","2.62e-02","1.58e+00","1.02e-01","9.91e-01","no"
"27","yes","DG 34:2","severe(exp) / mild(ctrl)","6.01e-03","1.86e-02","t-test","3.09","1.63","2.34","2.81e-02","1.55e+00","1.02e-01","9.91e-01","no"
"28","yes","DG 32:0","severe(exp) / mild(ctrl)","6.02e-03","1.81e-02","t-test","3","1.59","2.34","2.83e-02","1.55e+00","1.02e-01","9.91e-01","no"
