feature	sig_pval	FC	log2FC	pval	negLog10pval	padj	negLog10padj	sig_padj
PC 36:3	yes	1.2647451498136322	0.33884670654724947	0.003713209981026426	2.43025049084318	0.23884174670191677	0.6218897613881386	no
PC 36:2	yes	1.2337734319752314	0.30307748478173074	0.004382417370677372	2.3582862636647812	0.23884174670191677	0.6218897613881386	no
PC 34:2	yes	1.4775105170922571	0.5631683997109921	0.0074472562496637395	2.128003702434286	0.27058364373778254	0.5676984592133247	no
PC 34:3	yes	1.4322520467112332	0.5182853994060239	0.015375669959836412	1.8131659517463017	0.3525043235486445	0.4528355519156936	no
PC 34:1	yes	1.2734131407765676	0.34870055706437747	0.017829768136092917	1.7488543044898246	0.3525043235486445	0.4528355519156936	no
PC 32:0	yes	1.2544652318465328	0.3270724862610875	0.021030365657227656	1.6771531761232048	0.3525043235486445	0.4528355519156936	no
DG 36:3	yes	0.6766053441423824	-0.5636135226368322	0.025448632735459848	1.5943355457985806	0.3525043235486445	0.4528355519156936	no
SM 35:1;O2	yes	1.9038851623861728	0.928946461496462	0.028001287362608065	1.5528220014569067	0.3525043235486445	0.4528355519156936	no
PI 36:4	yes	1.50971121059151	0.5942726059122351	0.029105861577411015	1.5360195404169923	0.3525043235486445	0.4528355519156936	no
TG 56:7	yes	0.5329257735924311	-0.9079934878452774	0.04347877339217852	1.3617227165756822	0.4739186299747459	0.32429621863505864	no
