feature	mean_exp	mean_ctrl	pval	padj	M	A	negLogP	sig_fc.pval_color
CAR 18:1	0.0060235874480756325	0.004831806973909545	0.2593680489685981	0.5135487369578242	0.31806014254723264	-7.534191391868246	0.5860835248258858	none
CE 18:2	0.03175885157818837	0.028482955166211934	0.9840665861430089	0.9930670509563486	0.15705990788411833	-5.0552273991328915	0.006975514357174246	none
Cer 40:1;O2	0.014178127574057599	0.012634271558745452	0.1802308944953875	0.44961540195744865	0.16632452980899182	-6.223351438180006	0.7441707618651123	none
Cer 41:1;O2	0.009563309689005558	0.00652567943872884	0.1536149745600093	0.4363903409940687	0.5513818757667123	-6.983965227187605	0.8135664467277306	none
Cer 42:1;O2	0.01372303093549714	0.02344443580701803	0.22866211079489304	0.49212062975422627	-0.772646403495758	-5.800933830664387	0.6408057918249319	none
Cer 42:2;O2	0.030337134644702786	0.032107122143758125	0.9930670509563486	0.9930670509563486	-0.08180852898057756	-5.001867096426342	0.0030214273583413034	none
DG 32:0	0.017644149070205825	0.014802598737580084	0.3266577937596966	0.5481207047832197	0.2533393775162558	-5.951336024034168	0.48590697547677014	none
DG 34:1	0.08703569425164843	0.0959315736454491	0.649988924844046	0.8005784701353856	-0.1403985362102534	-3.4520497349738752	0.18709404323421294	none
DG 34:2	0.018135390816105414	0.019152128957818967	0.6245319998329042	0.782641366879209	-0.07869693598802348	-5.745699886184022	0.20444530429575583	none
DG 36:1	0.006142815169845201	0.008059871797068593	0.8586135785492572	0.9340960909491919	-0.3918569160199334	-7.150955851710915	0.06620224764974952	none
DG 36:2	0.08594639946839674	0.1205147556076713	0.14919170735621007	0.4363903409940687	-0.4877006906194419	-3.296568641968094	0.8262553159352511	none
DG 36:3	0.04119222487611153	0.0473423231126969	0.6221281536815346	0.782641366879209	-0.20075845040066	-4.50110491336102	0.20612014472408405	none
FA 14:0	0.07040695784221808	0.09254850770774715	0.13984944909837133	0.4363903409940687	-0.3944917199674319	-3.630892322115211	0.854339240082648	none
FA 16:0	1.9800511866457706	2.1525594678444517	0.48791061499594746	0.6849792048965777	-0.12051536874863172	1.0457954105203586	0.3116597332629807	none
FA 16:1	0.32219108772354876	0.3397123368783988	0.5533416834494973	0.725583530918336	-0.07639702405120856	-1.595812995319042	0.25700661297717736	none
FA 18:0	0.6540627206258967	0.9489600596283928	0.03277372108014401	0.35994155660093524	-0.5369183795406846	-0.34403991710430315	1.4844742466607086	down-regulated
FA 18:1	4.686875239963918	4.623769648903691	0.9696215909620609	0.9930670509563486	0.019556866041145454	2.2188479591761547	0.013397722456581983	none
FA 18:2	1.6447105430626785	1.5690957625684172	0.8095583180620556	0.9259370819942396	0.06790029933047437	0.6838835529378556	0.09175186056066634	none
LPC 16:0	30.977417589711017	27.40005543389889	0.3115466494456991	0.541107338510951	0.17703806794909724	4.864625940811586	0.5064769150401579	none
LPC 16:1	0.3957871002373369	0.19805414042138933	0.01667087724877342	0.3300833695257137	0.9988297300295493	-1.8366183680495598	1.7780415462861296	up-regulated
LPC 18:0	10.345202700959952	8.995837132219748	0.14346317709601375	0.4363903409940687	0.2016324664632955	3.270073774886961	0.8432595556280815	none
LPC 18:1	6.9423061217474	5.732111526839706	0.1048199270718789	0.4363903409940687	0.2763483026925614	2.657240831018442	0.9795561467922843	none
LPC 18:2	4.628497761865197	4.016557298199314	0.35892084309635786	0.5696371098467586	0.20458456690478738	2.1082517408803945	0.445001320772651	none
LPC 18:3	1.7556396822717437	1.6069533749938882	0.3978851749633523	0.5968277624450284	0.12766871404985874	0.7481624275183777	0.40024224218448695	none
LPC 20:3	0.576461762358684	0.5733102266482581	0.978204250902905	0.9930670509563486	0.007908900844347054	-0.7986576305548857	0.009570454232316299	none
LPC 20:4	2.218012550009229	2.435380907402554	0.8105688525486173	0.9259370819942396	-0.1348799070392087	1.2167074821323267	0.09121008875884515	none
LPC 22:6	0.6809011658117733	0.6991848397155921	0.884525803177052	0.936312659931684	-0.038228500194519364	-0.5353684414737016	0.05328949343378811	none
LPC O-16:0	0.21135345337963762	0.157557114212467	0.4237522921484117	0.6169334841572465	0.42378278710552775	-2.4541618031687733	0.372887939609594	none
PC 30:0	0.013715141101245462	0.02245086892928216	0.5303151390211855	0.7094756589607754	-0.7110018188321131	-5.832585815662821	0.27546597480579077	none
PC 32:0	0.2788108082927425	0.3651724168832647	0.3037360734943041	0.541107338510951	-0.3892913068298738	-1.6479959521165264	0.517503625634721	none
PC 32:1	0.17716548065898516	0.24534801388940647	0.1405895795457611	0.4363903409940687	-0.4697320595662917	-2.261964531941774	0.8520468678900692	none
PC 32:1;O/32:0;P	0.02384016981796322	0.030196050117606017	0.3624963426297555	0.5696371098467586	-0.3409653335382532	-5.219979010583845	0.44069637084120356	none
PC 34:0;P/34:1;O	0.0599609756594607	0.08846777528833408	0.17053679748924283	0.44961540195744865	-0.561128185524512	-3.779268238616394	0.7681818968928219	none
PC 34:1	4.673140451355256	6.027604810834066	0.22247142369783382	0.49212062975422627	-0.36719243421690473	2.4079886151989633	0.6527257659296649	none
PC 34:1;P/34:2;O	0.045968681559070246	0.06696648388989404	0.1820268092304739	0.44961540195744865	-0.542787932186126	-4.171810935283487	0.7398646436445486	none
PC 34:2	5.739029788472162	6.158433936753221	0.8268345133991934	0.9259370819942396	-0.10175666367621822	2.5716851945808985	0.0825814035179169	none
PC 34:3	0.06139555601830969	0.0800113381675087	0.09949582730169385	0.4363903409940687	-0.38207022140623914	-3.8346868459904027	1.0021951324989826	none
PC 36:1	0.5312605500116627	0.6707779907883245	0.4434001310114757	0.636182796668639	-0.33641576662319433	-0.7443006254646444	0.35320418290048294	none
PC 36:1;P/36:2;O	0.01973536128118584	0.02417098923502609	0.24056858261637978	0.4991964514653149	-0.2924935889700533	-5.516826465427602	0.6187610905757984	none
PC 36:2	2.834742920928292	3.149465180045974	0.5959503423006617	0.7662218686722794	-0.15188895611712389	1.5791623830606438	0.22478992643976414	none
PC 36:2;P/36:3;O	0.05399438789720386	0.08117527178860304	0.12209543297648255	0.4363903409940687	-0.5882308465876034	-3.9169313031609407	0.9133005806923608	none
PC 36:3	1.1570833396659945	1.4806426652192362	0.11817757168217252	0.4363903409940687	-0.35573072682396806	0.38835814263074936	0.9274649381663688	none
PC 36:3;P/36:3;O	0.1651166256180679	0.2527770125103992	0.07750669917228431	0.4262868454475637	-0.6143798783420705	-2.291252762968875	1.1106607582960455	none
PC 36:4	2.0261293971841714	2.6764590314544936	0.03251095872552632	0.35994155660093524	-0.4015992558135505	1.2195259415891009	1.4879702232732839	down-regulated
PC 36:5	0.09796076235777822	0.12502339914413882	0.03939976155763275	0.35994155660093524	-0.3519222257367492	-3.1756910755084777	1.404506406461677	down-regulated
PC 38:2	0.018247347171962393	0.021811547520221606	0.3095769290061639	0.541107338510951	-0.2574053942600656	-5.64746675468187	0.509231412261295	none
PC 38:2;P/38:3;O	0.01300691735772831	0.02252942336981301	0.8174131520246366	0.9259370819942396	-0.7925313054074742	-5.868311453545918	0.08755837885127392	none
PC 38:3	0.32273887783883687	0.47491568186869965	0.2663763637797394	0.515625183538775	-0.5573040167096015	-1.3529087080046993	0.5745043137939343	none
PC 38:3;P/38:4;O	0.09466555186626978	0.15637040144581216	0.026999703225856028	0.35994155660093524	-0.7240560184706943	-3.0389886460073767	1.5686410094736587	down-regulated
PC 38:4	1.2465712065733965	1.622346347130121	0.04736235389716348	0.3907394196515987	-0.38011655191768146	0.5080235706905497	1.324566721421433	down-regulated
