feature	mean_ctrl	mean_exp	sd_ctrl	sd_exp	FC	log2FC	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_pval	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
14:0	0.09254850770774715	0.07040695784221808	0.03977672413909422	0.0262962571238938	0.7607573540197059	-0.3944917199674319	t-test	-1.5445710629048635	0.13984944909837133	0.854339240082648	0.43790641390622065	0.35861869375813815	no	no	14	0	ns	ns		-0.3944917199674319
16:0	29.71017201595581	33.16882222973643	8.794604678395192	5.520191639376683	1.116412998616203	0.15887082719662637	t-test	1.0438527827656783	0.31037068734265716	0.5081193019965379	0.5196904532249144	0.28425526114485594	no	no	16	0	ns	ns		0.15887082719662637
16:1	0.5377664772997881	0.7179781879608856	0.27834299132925944	0.18814131940972867	1.335111462443642	0.41696019105290666	t-test	1.9305785356644738	0.06944284851990029	1.1583724728675477	0.3986058814574622	0.399456297543015	no	no	16	1	ns	ns		0.41696019105290666
18:0	9.94479719184814	10.999265421585848	2.025530372785806	1.6560782835511263	1.1060321502184145	0.1453933225405513	t-test	1.285108211637224	0.2150451123006767	0.6674704239537316	0.4691893359287491	0.3286518674003506	no	no	18	0	ns	ns		0.1453933225405513
18:1	10.360712982717306	11.635204949159393	3.4553539208852	2.317286941482937	1.1230119943065757	0.16737333649559977	t-test	1.168325660161327	0.2579172735713626	0.588519570752682	0.4875001735275691	0.31202522537661914	no	no	18	1	ns	ns		0.16737333649559977
18:2	5.614136015933943	6.304967156506064	1.8874618160911498	2.0281191774198053	1.1230520847039358	0.16742483833653593	t-test	0.8958231974909961	0.3821712767329466	0.4177419568025817	0.5395359200935717	0.2679796364692496	no	no	18	2	ns	ns		0.16742483833653593
18:3	1.6069533749938882	1.7556396822717437	0.6176934388315491	0.4723990621114791	1.092526833442458	0.12766871404985874	t-test	0.8660025629889255	0.3978851749633523	0.40024224218448695	0.540523256553988	0.26718561535400753	no	no	18	3	ns	ns		0.12766871404985874
20:3	0.5733102266482581	0.576461762358684	0.23758028569258546	0.2721494551160122	1.0054970861567403	0.007908900844347054	t-test	-0.027702511588880718	0.978204250902905	0.009570454232316299	0.978204250902905	0.009570454232316299	no	no	20	3	ns	ns		0.007908900844347054
20:4	2.435380907402554	2.218012550009229	1.2166003352157149	1.0038475718200006	0.9107456428139785	-0.1348799070392087	t-test	-0.24324137491605208	0.8105688525486173	0.09121008875884515	0.8917234385723307	0.049769817961874185	no	no	20	4	ns	ns		-0.1348799070392087
22:6	0.6991848397155921	0.6809011658117733	0.42848270787683934	0.32215022557280926	0.9738500138085716	-0.038228500194519364	t-test	-0.14730873070620665	0.884525803177052	0.05328949343378811	0.9015456085385742	0.045012297742913064	no	no	22	6	ns	ns		-0.038228500194519364
30:0	0.02245086892928216	0.013715141101245462	0.019008784626682002	0.009199708458547208	0.6108957806687435	-0.7110018188321131	t-test	-0.6398745099408872	0.5303151390211855	0.27546597480579077	0.6471642374495824	0.18898549001666645	no	no	30	0	ns	ns		-0.7110018188321131
32:0	0.43256959721932664	0.3263945926414049	0.2733933855632266	0.09724302743132225	0.7545481576596157	-0.40631511381791446	t-test	-1.0056430543237709	0.3279156489062862	0.4842378572815978	0.524665038250058	0.28011787462567306	no	no	32	0	ns	ns		-0.40631511381791446
