JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	BS-082D0	BS-364D0	KT-313D0	KT-412D0	KT-445D0	KT-537D0	KT-538D0	KT-539D0	KT-663D0	KT-695D0	KT-723D0	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
-2.5544329118081035	-2.8555626545214765	-2.448276871269326	-3.702841370769593	-2.4888010955210835	-2.308787016900124	-3.6331491823060067	-2.6762362167633116	-3.6727183631521716	-2.5113181878501214	-2.016152575550185	-3.691268083674257	-2.690206715681512	-2.728367117962111	-3.878224121363594	-2.304453425414488	-2.904368593108231	-3.798551208934782	-3.9997293502216116	-2.751924675473007	-2.2514847257653043	-2.0021938408988844	-3.6312519470842317	-2.1407550388638668	-2.07579814508189	-2.3563430122915348	-2.2106620226046143	-2.1265962524436803	-2.3608088908616085	-2.064054479761844	-2.1425458840862768	-2.597105856613671	-2.660190840972862	-3.6843767168968276	-3.508547225062685	-2.2126993277764435	-3.5549347343348727	-2.398527578935814	-3.6861677649851177	-3.6140890140659057
-2.285587599515524	-2.8177740936320768	-2.199634945065033	-3.702841370769593	-2.3486223923560465	-2.267394331741899	-2.6331491823060063	-2.543610651488721	-2.6313256779939467	-2.289469438233765	-1.965847457238789	-2.788178096682313	-2.347784034859306	-2.6192226485370433	-3.878224121363594	-2.1979980945002016	-2.8074585801001746	-2.5681022875565085	-3.9997293502216116	-2.496652170369701	-1.809125577304854	-1.9178729551988483	-2.517308594777395	-1.739830176642367	-1.8779876363329724	-1.8557406617223495	-1.817317765621726	-1.7447430636650973	-2.1130244071508524	-1.7075071562480315	-1.7323714189972275	-2.1499478252714517	-2.2102218322968143	-3.6843767168968276	-2.278098303684411	-1.893185926418449	-2.049784756014967	-2.0073209529227447	-2.0427150884989302	-2.1991156660950875
-2.5866175951795047	-3.8969553396797014	-2.560250630713258	-3.702841370769593	-2.8110203902550026	-2.5554593502415126	-3.6331491823060067	-2.977266212427293	-3.6727183631521716	-2.784319459913859	-2.2535134913447887	-3.691268083674257	-2.690206715681512	-3.8744951536403494	-3.878224121363594	-2.4805446844701695	-3.8074585801001746	-3.798551208934782	-3.9997293502216116	-3.751924675473007	-2.2514847257653043	-2.2830204504745786	-3.6312519470842317	-1.9903691800430872	-2.2354989879494016	-2.231404275683235	-2.3432875878792054	-2.1679889376019053	-2.43335955801022	-1.9751133964250631	-1.9462512389423086	-3.597105856613671	-3.701583526131087	-3.6843767168968276	-3.508547225062685	-2.3983359047383552	-3.5549347343348727	-2.5582284218033258	-3.6861677649851177	-2.6598465046265805
-3.7005609474863417	-3.8969553396797014	-3.790699552091532	-3.702841370769593	-2.198236533535267	-3.7859082716197863	-3.6331491823060067	-3.8223642524415498	-1.8803266736539177	-2.107625850288992	-2.109269599541102	-1.950905394180013	-3.690206715681512	-3.8744951536403494	-1.9917333961911123	-1.7743960955070273	-2.1542460663248306	-2.0351232153718453	-3.9997293502216116	-1.9960498198005159	-1.7122155642967976	-2.134081437462512	-2.269524111066639	-3.603153036762823	-3.490771493052708	-3.43552425833916	-1.866166333159543	-1.912716432498599	-2.027594211826226	-2.064054479761844	-3.464765178820196	-1.9738565662157705	-2.099523534803125	-3.6843767168968276	-3.508547225062685	-1.6349079111754177	-3.5549347343348727	-3.512470931242651	-3.6861677649851177	-1.9419911561301881
-0.7969284314021041	-1.8716494744149312	-0.8721450215412586	-1.3806220760356738	-0.9967727945230825	-0.7593750070964896	-0.7047533300492927	-2.5670917473382437	-0.7604963066197561	-0.8199419590467512	-0.807767801025827	-0.8737027141144761	-1.5729354200257477	-3.8744951536403494	-0.9591460289875203	-3.559725930517794	-1.09062085680065	-0.9584451144780245	-3.9997293502216116	-0.85429758418256585	-0.979821804473829	-1.1782850999545653	-1.0959578270414614	-0.6403103555615803	-0.5379790500086158	-1.2128077871915766	-1.472382284258663	-1.1110840862654328	-0.9682472107635732	-0.9624323646659743	-0.9462512389423087	-1.2187079556655334	-0.9764890050496181	-1.4748617023541963	-3.508547225062685	-1.1462923697652474	-3.5549347343348727	-3.512470931242651	-3.6861677649851177	-1.2638409957317427
-3.7005609474863417	-2.449797308337482	-2.5119459511387032	-3.702841370769593	-2.606900407599078	-2.44348559079758	-2.4027002609277326	-2.5213342567775685	-2.5587750108453347	-2.4321369418024967	-1.4666760617760521	-2.4871481010183323	-3.690206715681512	-2.5127673176227563	-2.431066090021375	-2.082604675798132	-2.5521860749968686	-2.497521213270801	-2.6195181085100057	-2.575833416417326	-3.3654280780721413	-3.6254431312967847	-3.6312519470842317	-3.603153036762823	-3.490771493052708	-1.944162564504887	-1.6900750741038617	-3.4690189332658865	-3.474752243168445	-1.959319129241831	-3.464765178820196	-2.091955878293765	-1.8954035521472	-2.207255462177165	-3.508547225062685	-2.042948246751781	-1.6741211420540814	-1.9809920142003956	-3.6861677649851177	-1.9419911561301881
-1.8876475908434862	-2.263486884100115	-2.1886395607635696	-2.1843274308917056	-2.2312367936381925	-2.113810413684069	-2.042084575279507	-2.1063609088067503	-2.154204423274284	-2.1559305298635474	-1.9796357417244221	-2.159789166632002	-2.008965478305925	-2.111067160077412	-1.7352093211094992	-2.0282470134755393	-2.227674983483364	-2.175301918536882	-2.022005744932764	-2.274803420753345	-1.7526442213524058	-1.7063650389207108	-3.6312519470842317	-2.059084992412547	-3.490771493052708	-1.9170103184612723	-1.6698716880155746	-1.7700489289298675	-1.5939386508876539	-1.7162810805555369	-2.033401414661209	-1.7278741368826949	-1.6845501868323067	-2.140308672546552	-1.94034550099569	-1.7483523610932097	-1.577211129046025	-1.7343196808590071	-3.6861677649851177	-1.716461922775464
-1.8432284510550734	-2.3058907326532023	-2.210915955474722	-2.171362453727338	-2.2547178894877153	-2.0455455821255426	-2.089081137955731	-2.1063609088067503	-2.128650318801896	-2.2724360989349845	-2.1699674398947137	-2.2141468289545947	-2.1716927758036246	-2.111067160077412	-1.8175262810099826	-2.0683642366835215	-2.184209289702274	-2.1357933772532083	-2.085915497837895	-2.289526677574051	-1.9674880694001038	-1.8620151377338474	-2.139890253249959	-3.603153036762823	-3.490771493052708	-3.43552425833916	-1.9453475792071677	-3.4690189332658865	-1.62349389444937	-3.4064771605840503	-3.464765178820196	-1.9636374010340845	-1.9381555325681499	-3.6843767168968276	-3.508547225062685	-1.9309744873078487	-1.921466278755286	-1.8790024756630643	-3.6861677649851177	-1.8737263245716616
-1.2806051989965839	-1.6465353373708074	-1.617513283679258	-1.5444788786743435	-1.6806866217599965	-1.4741544105640323	-1.4570579232503253	-1.5670917473382435	-1.5113503609171968	-1.5171477315108453	-1.4160015740295533	-1.4981434853197952	-1.4623200110678385	-1.573465157976368	-1.2250116075882507	-1.4593553854002312	-1.5473871921150997	-1.5681022875565085	-1.430355440606566	-1.6152041083166004	-1.3360443003869316	-1.1751940229774236	-1.4494083591394593	-3.603153036762823	-1.390400947935145	-3.43552425833916	-3.4894156235574436	-1.2929276742102052	-3.474752243168445	-1.3309301991915197	-1.4040673384665845	-3.597105856613671	-3.701583526131087	-1.63905373811017	-3.508547225062685	-3.574427163794036	-3.5549347343348727	-3.512470931242651	-1.438194498623311	-3.6140890140659057
-1.8432284510550734	-1.8675715619944917	-1.8562011008479644	-1.7785620847077115	-1.9025353713763529	-1.7484817736791627	-1.71933532992229	-1.8538813038876145	-1.8531744276103028	-1.747890194287184	-1.521607428913782	-1.7936409923838155	-1.7607877899672193	-1.8832690779478545	-1.6426956744560455	-1.5263021750308445	-1.8580685734552616	-1.78571398422961	-1.7902143356789808	-1.9810726638308631	-1.7972263540051463	-2.0021938408988844	-1.7447612219117499	-1.7706441240565864	-1.6215397733217316	-1.4670413097852246	-1.2641063418315805	-1.456181708560714	-1.5402537919248775	-1.887963220706163	-1.6014423186997402	-1.722044593221971	-1.3671297749801563	-2.0216188852152532	-1.5042258512800426	-1.810999170231099	-1.6798734709431726	-1.3221392330723591	-1.5100765059294365	-1.788014211365079
