sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj
yes	CAR 16:0	0.002192601948553445	0.006330515816372237	0.0017869473806113023	0.002349376100575589	0.002662168840784991	0.002129021188935501	One-way ANOVA	6.062441149807272	0.005280240728913513	2.277346277304151	0.007040320971884684	2.152407540695851	yes
yes	CAR 18:1	0.003455860868683158	0.01409955301863721	0.007293873379602056	0.0026219984860580557	0.00503261885140957	0.0035175790018238374	One-way ANOVA	9.057977057980272	6.282048598295261e-4	3.201898708197014	9.423072897442892e-4	3.0258074491413325	yes
yes	CAR 18:2	0.0012562991698884718	0.006352750045638845	0.0011559535894055811	0.0015079713933989901	0.003286592526961119	0.0014467576541475331	One-way ANOVA	11.402183634978282	1.387309138074991e-4	3.8578267530575214	2.3050674909553696e-4	3.6373163542134272	yes
yes	CE 18:2	0.09531591726086633	0.11564738586755072	0.03627547290570237	0.06856139253483996	0.07628900838359853	0.038956701503809026	One-way ANOVA	4.015355786148471	0.026413072023937757	1.5781810843873503	0.032416042938469065	1.4892400010505693	yes
yes	Cer 41:1;O2	0.007690536312660254	0.006264966630255992	0.008157626856049578	0.002687070283015709	0.007881996100939006	0.0059883723634782116	One-way ANOVA	4.1610569067860075	0.023441963724187543	1.6300060104501577	0.0291003687610604	1.5361015075818265	yes
yes	Cer 42:1;O2	0.032382576927140944	0.029771977760505434	0.006808329566185897	0.009475347020510727	0.024675312620657818	0.013414937047125894	One-way ANOVA	16.24699922157207	8.623962148090413e-6	5.064293158339101	1.6631926999888652e-5	4.779057429858352	yes
yes	DG 32:0	0.03834920853952255	0.0035117237773977994	0.019264706460963905	0.017418927024161333	0.007451704001953093	0.012968829323091027	One-way ANOVA	33.33433512956403	5.275366391647704e-9	8.277747371794266	1.3565227864236953e-8	7.867572906705218	yes
yes	DG 32:1	0.029172817025222317	0.0024370908789078114	0.005125728420092955	0.01101409378407178	0.00503196975931271	0.008103341135926763	One-way ANOVA	27.006566797852997	5.8655217217026065e-8	7.231693352554528	1.4397189680542762e-7	6.841722273553765	yes
yes	DG 34:1	0.1498433754148781	0.04252910681405255	0.10445220120408334	0.05371601813263935	0.025516575698180027	0.05361902171837378	One-way ANOVA	30.87579000453545	1.2961847717808495e-8	7.887333085159057	3.255533845403064e-8	7.487377785251693	yes
yes	DG 34:2	0.06970944889403259	0.003178476836671425	0.020778153511514984	0.023569493739942767	0.006592689738909778	0.014126325318390559	One-way ANOVA	61.00074472925142	1.931122534261157e-12	11.714190168341222	6.517538553131405e-12	11.185916391174178	yes
yes	DG 36:1	0.014265162306623278	7.668519621133776e-4	0.005527706531316648	0.005307043637577905	0.0014665217062883188	0.005755534096026057	One-way ANOVA	43.64906656889376	1.8371164487879777e-10	9.735863314318483	5.221278328134252e-10	9.282223155448342	yes
yes	DG 36:2	0.093666662715147	0.03858436157724639	0.10504262022837871	0.03537497496996268	0.022088891678448477	0.04959933076939364	One-way ANOVA	8.236466407174234	0.0010996457859762574	2.9587471857230185	0.0016268732176087095	2.7886462903565246	yes
yes	DG 36:3	0.053693623588959474	0.016128752436875105	0.04299875219446571	0.02251426087739028	0.016500527902531315	0.02792311690221539	One-way ANOVA	9.724651894281871	4.0368999012551396e-4	3.393952019197935	6.318625932399349e-4	3.1993773544482407	yes
yes	FA 16:0	1.6659366006621108	2.257565920212382	3.4333638363096886	1.0031676738398627	0.9710285822125879	0.9596272532450925	One-way ANOVA	9.586497062883266	4.420504031672235e-4	3.3545282090006925	6.820206220294305e-4	3.1662024935279995	yes
