"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"DG 32:0","DG 32:0","1.86205","0.68879","0.06978","0.05943","0.55252","0.23707","0.04713","0.95704","0.64317","1.48094","0.57172","3.28466","0.28165","0.19157","1.13215","1.99813","0.66073","0.03539","0.07305","2.46407","0.04696","0.17761","0.00458","0.23652","0.08869","0.44049","0.08443","1.18552","1.60907","7.7754","0.46279","5.83228","4.70497","0.14493","0.08313","0.98338","0.80642","0.00252","0.33244","3.68422","0.36937","2.10056","0.00018"
"DG 34:1","DG 34:1","1.64413","1.75047","0.6044","0.12569","0.25074","0.02469","0.08245","1.26147","0","0.46888","0.08133","0.88102","0.0335","0.00064","0.0631","0.60157","0.037","0.48878","0.34496","2.01015","0.19948","0.38256","0.01564","0.06375","0.03884","1.29277","1.02166","0.90682","0.21226","0.45582","2.10901","0.06865","0.24853","1.30243","0.36098","0.10665","0.04361","0.05063","0.12022","2.06058","0.4171","0.03129","0.08514"
"DG 36:3","DG 36:3","1.51403","1.10492","0.63349","0.51891","0.26971","0.10197","0.24698","2.10834","0.26024","0.55249","0.00418","3.40968","0.65509","0.30258","0.91904","1.69401","0.07441","1.45772","0.37579","0.60522","1.0441","2.17175","0.17085","0.3815","0.02454","0.00187","0.48345","0.10217","0.75715","0.70459","3.42969","0.04038","0.00153","0.37237","0.51039","0.07142","0.50623","0.04085","0.39105","0.54058","1.66794","0.15203","0.23664"
"DG 34:2","DG 34:2","1.65828","1.04401","0.24473","0.0408","0.13108","0.1735","0.53005","1.54104","0.10917","1.23962","0.97019","2.22268","0.00149","1.39729","0.02773","0.04091","0.03124","1.683","0.09686","0.73328","2.2707","0.00159","3.67318","1.44566","2.74178","0.88793","0.08818","1.47386","0.75144","5.13311","0.4694","0.00842","1.04608","0.98851","0.78138","1.82806","2.57213","0.0664","0.58671","5.19223","0.1417","0.48908","0.22696"
"DG 36:2","DG 36:2","1.62652","1.55759","0.31747","0.14075","0.12177","0.01635","0.39327","1.1159","0.06393","0.06129","0.16766","0.89809","0.00436","0.34627","0.16454","0.51095","1.44728","0.03747","0.89206","1.3623","0.08541","0.05331","0.86932","1.35369","0.23183","0.01921","0.06842","2.1542","0.09071","10.00296","3.90261","1.21172","3.73513","0.80611","0.164","0.79298","6.24256","0.31961","6.38086","0.21951","0.52237","0.1893","0.00461"
"CAR 16:0","CAR 16:0","0.00006","0.42791","0.37974","0.07392","2.26759","2.52845","1.62108","1.23994","10.42739","1.81819","4.64529","3.64887","1.64805","1.98235","0.16539","0.0248","0.17758","0.42199","0.21173","0.05319","0.76291","4.22282","0.14677","2.1534","0.57369","2.96552","0.39435","5.00968","0.17202","0.07654","0.3862","0.02339","1.04263","1.8693","1.56873","0.54432","0.30666","0.28171","0.31934","0.11368","3.0429","1.88292","0.07655"
"CAR 18:1","CAR 18:1","0.08633","0.65814","0.0598","0.06688","2.19207","0.68979","5.75437","4.31394","3.11026","0.03174","4.95375","0.51015","0.92893","0.21113","0.03686","3.93575","6.41821","0.97237","0.0094","5.24472","3.53191","1.01172","0.29663","1.24033","1.68743","0.14767","0.23698","0.70095","1.36452","0.16046","0.04294","2.6248","0.56015","0.14218","2.86169","0.07549","3.70808","0.00009","0.00471","0.02067","1.25157","0.18123","1.06875"
"CAR 18:2","CAR 18:2","0.02783","0.10702","0.13335","0.00132","1.26832","4.12238","0.1602","0.18527","12.0922","0.71158","13.56694","0.52396","1.43276","2.0682","0.02287","0.6225","1.90788","0.37801","0.16858","0.00494","3.62796","0.10612","0.11564","2.64038","2.68114","2.11798","1.21312","0.42395","1.29529","0.02196","0.02762","1.211","0.61243","0.32836","1.75699","0.78575","0.21789","0.06973","0.41597","1.2319","3.26741","4.91857","0.15335"
"CE 18:2","CE 18:2","0.00166","1.05061","0.8776","0.01162","0.00904","2.54821","1.90696","4.32103","0.18326","2.56072","1.86211","0.00057","6.8934","0.03858","3.7871","0.67975","4.77245","0.00003","11.17191","0.40839","0.29132","3.3204","0.61734","0.25837","8.94425","1.22567","0.22737","0.32255","0.01255","0.00854","0.08958","0.03927","1.71447","0.11842","3.88774","0.03813","2.98158","0.17492","0.76452","0.72137","1.60429","0.86705","0.07369"
"Cer 40:1;O2","Cer 40:1;O2","0.9239","0.19616","0.75916","1.52146","1.35813","2.17738","0.04969","0.38522","0.03785","0.10559","0.51968","7.48346","0.19434","1.23205","2.69001","3.1829","2.93866","0.221","1.95149","0.7806","2.49402","0.02851","3.22466","0.47421","0.02366","1.90585","0.85935","2.14333","0.51554","0.09566","1.15577","6.66324","0.69616","2.72676","1.74859","2.3708","0.05869","0.00055","0.04596","2.06138","0.87599","7.59059","0.11768"
"Cer 41:1;O2","Cer 41:1;O2","1.57598","0.2081","0.05055","2.05314","0.73065","0.47697","0.24458","0.21758","0.00279","0.0005","0.08598","7.9347","2.49124","0.26122","0.83214","0.28794","3.51155","0.23153","0.75217","0.24851","0.37312","1.03993","0.45719","3.10948","0.02015","0.4641","0.09715","2.37077","3.28079","0.03295","1.03255","0.00144","0.6481","0.34352","0.05446","0.38214","0.25983","0.03655","0.3825","0.8177","0.03845","1.31983","0.68255"
"Cer 42:2;O2","Cer 42:2;O2","0.98314","0.00185","0.02558","0.85862","1.42383","0.16612","0.16471","0.29675","0.67713","3.54479","5.32426","0.08933","11.52716","0.8529","0.05834","0.54132","0.62028","0.92257","0.64328","0.36911","4.76307","4.66655","0.21986","7.42888","1.61808","0.22516","0.36393","1.13742","2.42769","0.08004","0.35106","0.03027","7.27752","1.51566","0.33304","0.02559","2.56276","1.26784","0.618","1.61865","0.35694","0.08123","0.04954"
"LPC 16:0","LPC 16:0","0.46061","0.34575","0.9866","7.37632","0.68634","0.00638","0.42883","1.15211","2.32455","1.2689","1.78799","0.04294","0.05497","0.59493","0.39887","0.4506","0.20913","0.00306","0.19875","2.40008","1.02369","1.03639","1.25929","0.06256","0.63032","0.0909","0.02077","0.19829","0.45238","0.80193","0.8196","0.41642","0.19437","1.14015","0.0987","1.27388","1.69917","0.75915","0.05389","0.921","0.17194","0.69701","12.10721"
"LPC 16:1","LPC 16:1","0.00053","0.09796","1.54298","2.1601","2.7671","0.61287","0.0094","0.22419","6.06743","0.01277","0.16866","2.60965","8.65813","1.59537","0.94721","0.08834","3.10801","0.52761","1.01048","0.96425","8.89393","4.99539","0.01194","0.41152","1.78796","0.5659","0.48835","0.21187","0.12935","0.52612","1.0622","0.10805","4.76431","0.64774","0.09551","4.06267","2.32785","0.46535","0.00638","5.01074","0.99358","1.27113","0.00035"
"LPC 18:0","LPC 18:0","0.41171","0.93981","1.30965","5.82624","0.70948","0.57196","0.30117","1.52058","1.35903","0.76714","2.39817","0.12641","0.00073","0.01712","0.04177","0.21213","0.25867","0.36606","0.15813","0.81903","1.18566","0.06164","0.75048","0.51194","0.15476","0.09714","0.07562","0.00324","0.03867","2.27105","0.93903","0.13214","0.1262","0.03843","0.01837","0.49073","0.04531","0.36674","0.15595","0.0016","1.79068","1.81976","1.30232"
"LPC 18:1","LPC 18:1","0.76396","0.02173","0.00262","3.04343","5.14527","0.41791","0.63841","0.16055","6.66812","1.19445","0.42457","0.47616","0","0.24563","0.04609","0.57198","0.9456","1.33881","0.29184","2.08881","0.00893","3.43444","0.00482","0.08771","0.02589","0.52121","0.00825","0.57446","0.14145","0.83576","0.01119","0.06625","0.69459","0.14286","0.00396","0.46481","0.00001","0.1896","0.426","0.58231","0.02394","0.01529","0.00561"
"LPC 18:2","LPC 18:2","0.8763","0.00002","0.07674","0.25788","8.00227","0.04483","0.7536","3.41018","2.3296","1.08234","0.1953","0.20766","0.43497","0.67131","0.36422","2.46506","0.61655","1.00413","0.03422","0.42765","1.09497","0.01667","0.10404","0.05558","0.01261","0.00396","0.0404","0.71312","0.07467","1.30127","2.22861","0.00112","0.11797","3.33226","0.19673","2.04716","0.41593","3.42425","1.81881","1.47537","2.75871","0.41979","3.65969"
"LPC 18:3","LPC 18:3","0.37385","0.33109","0.8457","5.77542","0.8484","0.06464","0.64773","1.54267","0.49452","4.25103","4.65965","0.02879","0.01047","0.89665","1.22631","0.90453","1.07519","0.07598","0.3972","3.12778","0.11989","0.38852","2.74327","0.20711","0.12785","0.96754","0.0039","1.84538","2.95037","0.26797","0.04793","0.14584","0.05687","0.72616","0.82703","0.68715","1.44906","0.0003","0.68968","1.04528","0.97976","1.30668","3.43706"
"LPC 20:3","LPC 20:3","0.12069","0.91974","0.16432","2.08722","1.05667","6.14617","0.66256","1.82331","0.07366","0.00021","3.74887","0.33871","0.10175","1.44578","3.27236","4.61271","5.62878","0.0014","0.91875","0.79906","0.03925","0.00906","0.39862","0.03161","2.28326","3.60586","4.51382","0.688","0.36022","1.73494","0.35756","0.46358","1.70019","0.28265","0.99953","2.04752","0.51359","1.09124","0.01631","0.00045","0.0015","1.12091","0.04668"
"LPC 20:4","LPC 20:4","0.63473","0.30057","0.25127","2.11704","3.99645","0.4945","1.36321","0.60657","2.18483","4.71454","1.89603","0.00351","0.7384","0.02984","1.11365","0.44502","0.19899","3.65902","0.00471","2.03834","0.00034","0.01016","5.55431","0.01227","0.91097","2.87458","0.39597","1.24706","0.71452","0.01576","0.49369","0.56384","0.14548","0.57685","1.85973","1.45046","0.01338","0.03775","0.31953","1.95038","0.04038","0.21663","0.00701"
"LPC 22:5","LPC 22:5","0.48057","0.04455","0.01313","1.59266","3.37849","1.95117","0.2549","0.77593","0.08177","10.20691","0.47611","0.45118","0.47157","0.04355","7.57934","0.55798","0.35057","1.29268","7.20164","0.01431","0.31276","4.29418","3.43142","1.58415","1.79025","0.14784","4.42616","0.40513","0.03528","0.14414","1.74415","0.75117","0.24759","0.23796","1.8784","0.19644","0.1128","1.56923","0.00116","0.05625","0.85911","2.87548","0.12217"
"LPC 22:6","LPC 22:6","0.79089","0.38241","0.94079","2.74136","0.24454","0.0028","1.25389","1.287","0.08737","0.87658","5.03062","4.27738","0.05207","0.03449","4.112","1.70462","0.11047","0.04469","7.98218","0.65428","0.10483","0.15387","1.27681","1.5994","0.01059","0.00157","1.3133","0.00406","0.09458","0.3671","0.6474","0.4818","0.19392","0.65125","2.24722","0.60432","1.27319","4.77367","1.24632","0.03555","0.0075","0.62073","1.5528"
"LPC O-16:0","LPC O-16:0","0.19005","1.95837","0.14635","2.02977","0.03255","1.80153","0.02935","0.14301","0.77526","0.14202","4.33006","1.42853","1.5142","2.57579","0.98853","4.63376","0.14008","0.03136","1.56775","6.00283","0.45589","0.95741","1.88058","3.03035","2.59693","0.31545","0.53794","0.09224","1.59033","5.26548","0.2124","1.08424","1.72244","0.31287","2.84578","0.05207","0.18763","3.62913","1.58938","1.81018","0.66768","2.01385","0.93969"
"PC 30:0","PC 30:0","1.41989","0.00294","0.31886","0.34168","0.00471","0.6231","5.95181","0.62354","0.66418","1.07027","0.94432","1.05884","0.03536","5.81436","0.57337","0.00048","0.37968","0.81415","2.4145","1.26377","1.26321","3.14111","3.14409","0.59548","0.02146","1.00499","0.07657","0.39759","2.17445","2.54421","0.10604","0.23321","3.65899","1.39138","0.22642","0.03676","0.02527","1.81839","0.1184","0.01579","0.26297","0.12162","0.12102"
