"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"BS-064D0","BS-064D0","3","-8.25621","3.15111","2.53174","-5.19997","0.15771","-0.36817","0.09118","-2.01909","0.59965","-0.04093","0.89077","0.13667","-2.18655","0.60346","-1.21645","0.50356","1.73342","-0.89421","-0.56541","0.34709","0.29151","0.40313","0.05917","-0.06194","-0.23643","-0.54283","-0.32739","0.01224","0.12004","0.25337","0.26902","0.48966","0.19509","-0.50938","-0.44119","-0.32497","-0.43219","0.17652","0.04833","0.43795","0.51538","-0.6215","0"
"JV-035D0","JV-035D0","3","-5.98302","-6.30994","-1.30994","-0.34402","-3.54496","-0.1703","1.44041","0.50164","-0.77732","1.81043","-2.07301","-2.46679","-1.05708","-1.69441","0.96506","-0.19","0.30984","-0.24451","0.10813","-0.28849","1.03271","-1.07597","0.7104","-0.41492","0.50711","-1.157","-0.76404","1.02197","-1.23971","-0.29805","0.03516","-0.33861","-0.06763","0.08671","-0.36524","0.24965","0.04123","-0.0758","0.25863","-0.09605","-0.12839","-0.12828","0"
"JV-048D0","JV-048D0","1","1.91289","-0.91111","1.74842","2.80657","0.06073","0.31275","1.98348","3.1296","-0.2547","-0.1529","-1.78387","-0.83006","-2.04737","0.29672","-0.23834","-0.20323","0.73153","0.75957","1.21799","1.19649","-1.46329","2.08265","1.2345","-0.00606","0.51887","-0.73277","0.48757","-0.37702","0.12525","-0.1264","0.56437","-0.13153","0.19853","-0.17591","-0.12358","0.1309","-0.29196","0.08007","-0.01994","-0.0532","0.37062","0.34293","0"
"KT-515D0","KT-515D0","2","9.2589","2.08698","-1.25504","1.24651","-0.58049","-0.35263","-1.99439","-0.34736","0.5077","0.72178","0.76596","-0.37275","-1.26313","0.98824","-0.54687","-0.15437","-0.55287","0.02623","0.75194","0.1894","0.7222","-1.1815","0.87179","1.0895","0.14693","-0.01826","1.47528","0.15143","-0.79166","-0.21671","0.38754","1.39798","-0.23667","0.05487","-0.18846","0.29003","0.36613","-0.4859","-0.36653","0.27449","0.14938","0.02436","0"
"KT-926D0","KT-926D0","1","0.57729","-4.93023","-7.64455","2.97224","-0.2109","3.42022","-1.20953","1.09681","0.84366","-2.19913","-0.63625","0.0963","1.39626","2.98033","-0.52308","0.85042","1.62329","0.21619","-0.36088","-1.68279","-0.30727","-0.01525","-0.18188","0.53871","0.39751","0.52659","-0.71895","-0.01404","-0.60147","-0.25868","0.3998","-0.08022","0.21764","-0.20499","0.17205","0.20791","0.07073","0.16534","0.26137","0.12915","0.26224","-0.15058","0"
"JV-148D0","JV-148D0","1","0.92671","-1.08413","-4.90502","-1.27303","-0.61014","-3.28129","0.14935","-0.99178","0.63618","-1.27949","2.07808","-1.66495","0.07164","-0.16832","-0.10681","-0.83259","0.50916","-0.01855","-1.07145","1.10073","-0.42541","0.66563","-0.48989","1.15112","1.44858","0.13804","-0.40796","0.57169","0.27982","-0.44313","-1.06571","0.05522","0.57949","-0.01734","-0.50471","-0.40781","0.25121","-0.40578","-0.10135","-0.34678","0.12245","0.27054","0"
"JV-157D0","JV-157D0","1","-2.52255","-5.47306","-0.89964","-2.6188","-0.15297","3.13455","-0.01894","-1.50535","-1.23092","-1.70219","1.24577","-1.24213","-0.77088","-0.61809","0.61091","-0.48485","-0.32083","1.66865","-0.79879","1.70884","-1.15528","-0.585","-0.21987","-1.14939","-0.77671","0.80938","0.03396","-0.31606","-0.40201","-0.27952","0.32679","-0.01161","0.09792","-0.52036","-0.23254","0.22646","0.48953","0.28741","-0.26321","0.51911","-0.28213","0.20811","0"
"KT-193D0","KT-193D0","3","-6.36132","-4.90528","1.55065","-0.59823","-0.00226","-0.63077","-0.06534","0.64388","1.96652","-0.08301","1.46398","0.01212","-1.26243","2.09411","1.12446","0.90907","-0.70797","-0.47542","0.11815","-1.01612","0.56342","-0.23829","0.38217","-1.41428","-0.74112","-0.63655","0.32365","-0.03365","0.14546","-0.70226","-0.16268","0.17272","0.75658","0.42044","0.65922","-0.98749","0.20112","-0.09564","-0.02832","0.01084","0.12758","0.4456","0"
"KT-247D0","KT-247D0","3","-4.40439","-0.64759","4.94612","1.39055","-1.06492","3.41567","0.43553","-0.70699","-0.8661","0.42242","-1.43749","-0.78528","1.25805","0.25236","-0.3093","-1.37425","-2.10121","-0.12203","0.60282","-0.27303","-1.51067","-0.91474","-0.33282","1.15318","0.30997","-0.06505","0.04552","0.05791","0.20058","-0.77113","-0.8106","0.09394","0.28986","-0.50528","0.3978","-0.40265","-0.60054","-0.26597","0.1118","0.29009","0.13109","-0.24184","0"
"KT-312D0","KT-312D0","1","-0.85901","-4.60786","1.9217","5.28637","-1.35259","0.71554","1.89821","-1.89069","0.74796","0.46019","1.34501","-0.69736","-0.90954","-1.4861","0.74102","1.27036","0.42373","-0.68376","0.98288","0.25203","-0.36436","-0.28762","-1.39122","0.42761","0.35782","0.30521","-0.0429","-0.92194","0.32343","0.54958","1.00805","-0.23955","0.59403","0.41655","0.07815","-0.14795","0.36975","-0.49159","-0.2283","-0.23542","-0.07296","-0.41292","0"
