"","LPC","PC","TG","CE","CAR","Cer","PC O-","LPC O-","DG","PI","FA","SM"
"TG",0.0705225007550589,0.80217456961643,1,-0.13832678948958,-0.166565992147388,0.544115981812639,0.425507816662794,-0.550890969495621,0.841437632135307,0.660978556327394,0.528692237994564,0.144669284204168
"SM",0.306251887647236,0.318936877076412,0.144669284204168,0.377680459075808,0.191633947447901,0.55816060748807,0.467945330942207,0.265025672002416,0.0487768045907581,0.0974025974025974,0.261099365750529,1
"PI",0.278918755662942,0.733766233766234,0.660978556327394,-0.257475083056478,-0.0256720024161885,0.341450523141376,0.263686476625817,-0.237692540018121,0.732105104198127,1,0.500453035336756,0.0974025974025974
"PC O-",0.0411538172282561,0.624858417548292,0.425507816662794,-0.110397946399469,0.0115532734604095,0.523617142151601,1,-0.148833346342922,0.351355434060689,0.263686476625817,0.194970928593316,0.467945330942207
"PC",0.284959226819692,1,0.80217456961643,-0.156448202959831,-0.102234974327998,0.605504587587504,0.624858417548292,-0.361069163394745,0.847931138628813,0.733766233766234,0.420567804288735,0.318936877076412
"LPC O-",0.567351253397765,-0.361069163394745,-0.550890969495621,0.302476593174268,0.26698882512836,-0.292747385718513,-0.148833346342922,1,-0.438689217758985,-0.237692540018121,-0.166565992147388,0.265025672002416
"LPC",1,0.284959226819692,0.0705225007550589,0.140440954394443,-0.0359408033826639,0.192396270005357,0.0411538172282561,0.567351253397765,0.198882512836001,0.278918755662942,0.118997281787979,0.306251887647236
"FA",0.118997281787979,0.420567804288735,0.528692237994564,-0.0691633947447901,-0.127755964965267,0.21618152316536,0.194970928593316,-0.166565992147388,0.459075807913017,0.500453035336756,1,0.261099365750529
"DG",0.198882512836001,0.847931138628813,0.841437632135307,-0.351253397765026,-0.195258230141951,0.407671688288432,0.351355434060689,-0.438689217758985,1,0.732105104198127,0.459075807913017,0.0487768045907581
"Cer",0.192396270005357,0.605504587587504,0.544115981812639,-0.012911994572573,-0.188922867956595,1,0.523617142151601,-0.292747385718513,0.407671688288432,0.341450523141376,0.21618152316536,0.55816060748807
"CE",0.140440954394443,-0.156448202959831,-0.13832678948958,1,0.189066747206282,-0.012911994572573,-0.110397946399469,0.302476593174268,-0.351253397765026,-0.257475083056478,-0.0691633947447901,0.377680459075808
"CAR",-0.0359408033826639,-0.102234974327998,-0.166565992147388,0.189066747206282,1,-0.188922867956595,0.0115532734604095,0.26698882512836,-0.195258230141951,-0.0256720024161885,-0.127755964965267,0.191633947447901
