"","KT-522D0","KT-193D0","KT-705D0","KT-974D0","BS-082D0","KT-539D0","KT-538D0","KT-695D0","KT-434D0","KT-880D0","KT-663D0","KT-537D0","KT-612D0","KT-723D0","KT-515D0","BS-671D0","KT-525D0","BS-351D0","KT-352D0","JV-148D0","KT-347D0","BS-064D0","JV-157D0","KT-417D0","JV-071D0","KT-716D0","KT-805D0","BS-364D0","KT-412D0","KT-926D0","KT-445D0","BS-346D0","KT-312D0","KT-313D0","JV-138D0","JV-035D0","BS-336D0","BS-377D0","JV-048D0","KT-718D0","KT-771D0","KT-247D0","KT-565D0"
"BS-671D0",0.840402646398892,0.808556855685569,0.856506789735131,0.93346094898068,0.921574922221136,0.917914052668921,0.879089820826077,0.950401593812221,0.84217632380891,0.920841896921753,0.88997701743225,0.955049235236128,0.890579760347399,0.921003441619542,0.936581326547053,1,0.83600163224301,0.888292158984843,0.9159998440201,0.904913350360401,0.920835896231673,0.871424370999013,0.819845363177794,0.866654665466547,0.821535082733559,0.898249909276494,0.859142801518839,0.941466619899703,0.934850703346092,0.852942411911017,0.935964020116103,0.925940594059406,0.855190084582561,0.895539673826606,0.893608084169774,0.810199881201993,0.945255868725363,0.88923159085786,0.900937607926279,0.800340836143039,0.911186786582977,0.876385413620798,0.817986252587698
"KT-974D0",0.839691198018047,0.845970362600434,0.887416702021004,1,0.96688189351145,0.920840709358526,0.911314470946846,0.956095292456867,0.863844891405547,0.877958402358526,0.877015905214772,0.953353075947911,0.887279993759114,0.927386688909825,0.938005196737937,0.93346094898068,0.8817332705607,0.896483853550268,0.940232230257639,0.90757270720682,0.929376395206479,0.893543480122512,0.833661376038917,0.914036598630004,0.831813640425925,0.937129826944985,0.908178512294021,0.950742596606021,0.951090495074369,0.888343819765061,0.924906237877526,0.905839606792184,0.899298513161336,0.916582404958414,0.894358949776547,0.854670543255156,0.945011686592595,0.930724409977633,0.923849643568157,0.830370457141485,0.909705719994296,0.868404708258356,0.830508983248482
"KT-880D0",0.873041495394401,0.858038674544113,0.883822942611855,0.877958402358526,0.884342352461271,0.879982117798449,0.850065408125911,0.868607707371351,0.868763332947194,1,0.818265829358988,0.892920043361414,0.821577734586694,0.854084155460518,0.868681140650767,0.920841896921753,0.877299417029911,0.870936383337661,0.8858448447767,0.926277637264101,0.915148969366018,0.886319244664505,0.875379547079597,0.855386369528738,0.879646437254538,0.849894386919278,0.833439347115125,0.874266409050461,0.833010792374381,0.848607681563842,0.874407426536632,0.844261090120354,0.821448931033013,0.826624941120889,0.859777191707216,0.837161296550792,0.863407652775788,0.855580958614726,0.856686369228,0.833200817332646,0.886945302889376,0.861522582507351,0.888218809883526
"KT-805D0",0.875774850730595,0.946398835972619,0.947412636967448,0.908178512294021,0.910019382352647,0.836107677367045,0.884974736883305,0.885637819105513,0.842230963336134,0.833439347115125,0.794706695994144,0.875265907210225,0.913354216189844,0.885018362513234,0.88988202397128,0.859142801518839,0.917777557753965,0.910625185684353,0.918536898591961,0.878973629654922,0.890500765099463,0.921777535119086,0.92167828812432,0.968355360975465,0.89107181972628,0.955603494850565,1,0.86961583237887,0.850917066471272,0.925371970045858,0.89480095533457,0.839358526324966,0.96083337840784,0.878693866288171,0.930733203120985,0.910529174066943,0.860143238195122,0.974277964870011,0.919409523238021,0.92369176674119,0.932605238681029,0.936907608716176,0.844473647951268
"KT-771D0",0.898487803414444,0.903259874987252,0.946698550562964,0.909705719994296,0.913949846147658,0.872196152338591,0.923322492005631,0.910918953966691,0.841048813203062,0.886945302889376,0.856085859423156,0.918252108542327,0.902918796972643,0.905199107094861,0.908277525759855,0.911186786582977,0.92377531946973,0.890639767447937,0.929104208938634,0.906427116247843,0.932161180953524,0.900711986186812,0.888506174781668,0.949357176182076,0.892995052437516,0.948843656630504,0.932605238681029,0.903036976601355,0.875337167824253,0.927421218004944,0.881467301961312,0.886481945523476,0.94985808332223,0.896903288141359,0.933856599792377,0.915194738600441,0.899904287848607,0.946770719013019,0.96021182753758,0.873699717701231,1,0.917906081512972,0.860417529330418
"KT-723D0",0.801526007551456,0.797304474017183,0.864886840726084,0.927386688909825,0.916457640895956,0.869276005943369,0.922103873569964,0.925026253479563,0.82290144592564,0.854084155460518,0.946553570950622,0.945027018537683,0.9486957147915,1,0.98333563365998,0.921003441619542,0.801730630206292,0.811960119026473,0.888469501099121,0.902406020037217,0.907332397222356,0.841693895219396,0.804218548469212,0.876742085985749,0.825911890903072,0.939158090619409,0.885018362513234,0.933676377996373,0.945356732483712,0.873917987682764,0.915734045491855,0.967725094949898,0.872358172554736,0.935584046186631,0.914476625428223,0.80565631844309,0.927822400416837,0.907699554891872,0.915904563037062,0.765316195242905,0.905199107094861,0.840401815856186,0.736264296892104
"KT-716D0",0.869216782896727,0.897835864145558,0.925429424387969,0.937129826944985,0.936914934489529,0.860369523603785,0.920247589215528,0.922566862889821,0.845325284363212,0.849894386919278,0.859444149441791,0.923050150771493,0.920315641099614,0.939158090619409,0.939710162388779,0.898249909276494,0.894972291651318,0.868203843445904,0.936746536091259,0.909248019014393,0.930907432538393,0.870220075312577,0.872748984380157,0.95047360166108,0.890442400880109,1,0.955603494850565,0.907442078165223,0.904801480983271,0.951595433479133,0.901246347068954,0.904694611749325,0.954454898965866,0.929308022156456,0.917376002500431,0.904342999449007,0.919554266070333,0.966234218249838,0.956017546192938,0.857099566454,0.948843656630504,0.895631745267927,0.828899836796643
"KT-695D0",0.82375514565289,0.825828015287116,0.880097211183247,0.956095292456867,0.947836157666722,0.909410310416629,0.896829825919459,1,0.837536341901139,0.868607707371351,0.908197341099106,0.949705216104126,0.912739656221035,0.925026253479563,0.938927060585488,0.950401593812221,0.859237967797971,0.869983048054442,0.920550624973747,0.899886886317294,0.920424132609013,0.886052896087038,0.80048545728396,0.883740327731518,0.801134130428605,0.922566862889821,0.885637819105513,0.947100757889431,0.964961760377348,0.853223120662716,0.904804766962502,0.935261943589734,0.88969564592836,0.918635666766889,0.908116882146827,0.801398160792098,0.959219065511244,0.913326292561209,0.925677784061888,0.832925786469193,0.910918953966691,0.849209849685307,0.793972924981891
"KT-663D0",0.76960235711696,0.722539259749716,0.808027195430419,0.877015905214772,0.871971508650655,0.877953500130078,0.915830310486528,0.908197341099106,0.769636052700706,0.818265829358988,1,0.909190739717195,0.927377905533043,0.946553570950622,0.931821523195918,0.88997701743225,0.737522877987416,0.776979345494791,0.823160541422103,0.843751687734595,0.855644800762352,0.80498481817542,0.736272506638166,0.807935336500608,0.752640327454801,0.859444149441791,0.794706695994144,0.915671290290956,0.932176182920561,0.786703551297011,0.876582325990907,0.964397799096544,0.808303804851332,0.910905883200115,0.896600558088693,0.732972888690978,0.901782231706356,0.835307072249726,0.867532381810685,0.709083926457941,0.856085859423156,0.789890425097813,0.666788681505485
"KT-539D0",0.865409310770115,0.80768803802886,0.855194347353795,0.920840709358526,0.901793000832327,1,0.882827173606486,0.909410310416629,0.830890537758808,0.879982117798449,0.877953500130078,0.892278612044401,0.868360886977837,0.869276005943369,0.880065408566487,0.917914052668921,0.834959030046393,0.902920835900192,0.899503141370682,0.8556825375909,0.865799359136119,0.866859688868121,0.832850276332607,0.848642502067099,0.752954589781214,0.860369523603785,0.836107677367045,0.882389121916386,0.909013990696965,0.795625496935728,0.928861605669469,0.868456661811314,0.842128318386819,0.869747457962391,0.8659587810164,0.767326242521343,0.897084547234253,0.883517954026756,0.876657705571273,0.799207908913122,0.872196152338591,0.879537701323694,0.839938073079306
