"feature","BS-064D0","JV-035D0","JV-048D0","KT-515D0","KT-926D0","JV-148D0","JV-157D0","KT-193D0","KT-247D0","KT-312D0","KT-347D0","KT-352D0","KT-417D0","KT-434D0","KT-522D0","KT-525D0","KT-565D0","KT-612D0","KT-705D0","KT-718D0","JV-071D0","BS-082D0","BS-336D0","BS-346D0","BS-351D0","BS-364D0","BS-377D0","JV-138D0","KT-313D0","KT-412D0","KT-445D0","KT-537D0","KT-538D0","KT-539D0","KT-663D0","KT-695D0","KT-716D0","KT-723D0","KT-771D0","KT-805D0","KT-880D0","KT-974D0","BS-671D0"
"DG 30:0","0","0.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DG 32:0","0.75","3.28","0.5","0","1.15","0","0.88","1.65","0.88","0.89","0.67","0.43","0.93","0","0","0","1.37","0.27","0.88","0.96","1.59","0.53","0","0","0.48","0","0.61","0.75","0","0","0","0","0.4","0","0","0","0.69","0","0.85","0.83","0.8","0","0"
"DG 32:1","0","2.45","0","0","1.15","0","0.45","0.9","0","0.45","0","0","0.47","0","0","0","0","0","0","0","1.58","0.37","0","0","0","0","0","0","0.34","0","0","0","0","0","0","0","0","0","0","0.57","0","0","0"
"DG 34:1","2.27","18.08","2.31","0.74","8.03","2.89","3.56","8.93","3.75","3.31","4.27","3.1","4.4","1.37","1.45","2.56","5.56","1.03","3.62","3.36","9.15","2.4","1.68","0.86","2.19","1.5","4.02","2.34","1.37","0.7","1.1","1.24","2.27","0.85","0.58","1.25","4.49","0.8","4.02","5.64","4.03","0.88","1.53"
"DG 34:3","0","0.57","0","0","0.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DG 36:3","1.05","6.12","1.26","0.47","3.78","1.48","1.85","3.99","1.29","1.61","1.7","2.12","2.23","0","0","0.84","2.11","0.37","1.87","1.73","4.18","0.99","0.92","0","0.73","0.38","1.58","1.21","0.44","0","0","0.91","0.98","0","0","0.91","2.21","0.39","2.27","2.35","1.11","0.38","0.73"
"DG 34:2","0.48","2.95","0.54","0","1.5","0.59","0.59","2.05","0.7","0.61","0.76","0.82","0.95","0","0","0.43","1.16","0","0.92","0.72","2.02","0.46","0","0","0.42","0","0.68","0.65","0","0","0","0","0.38","0","0","0","0.99","0","1","1","0","0","0"
"DG 36:1","0.14","0.94","0.18","0","0.27","0","0.12","0.63","0.43","0.23","0","0.21","0.4","0","0","0","0","0","0.36","0.29","0.55","0","0","0","0.15","0","0.28","0.41","0","0","0","0","0.16","0","0","0","0.16","0","0.31","0.21","0","0","0"
"DG 36:2","2.89","10.33","1.96","1.07","5.85","2.72","3.01","8.36","4.3","2.15","3.67","4.13","4.47","1.42","1.79","2.65","5.8","0.98","4.95","2.98","8.92","1.5","1.24","0.7","2.88","1.17","4.4","2.98","0.77","0","1.01","1.73","2.19","1.36","0.57","1.15","4.17","1.06","3.89","6.49","2.52","0.9","1.57"
"DG 36:4","0","0.91","0","0","0","0","0","0","0.42","0.36","0","0","0","0","0","0","0","0","0","0","0.58","0","0","0","0","0","0","0.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CAR 16:0","0","0.1","0.14","0.22","0.12","0","0","0.1","0.11","0","0","0.2","0.23","0.13","0","0.13","0","0.17","0","0","0","0.13","0.18","0.24","0.19","0.42","0.22","0","0","0.29","0.26","0.12","0.19","0.22","0.13","0.22","0.49","0.21","0.14","0.49","0","0.26","0.22"
"CAR 18:1","0.18","0.22","0.41","0.4","0.22","0.16","0.17","0.28","0.31","0","0.17","0.63","0.48","0.4","0.32","0.32","0.44","0.35","0.26","0.18","0.2","0.36","0.42","0.44","0.32","0.51","0.53","0","0.13","0.73","0.41","0.38","0.47","0.53","0.23","0.5","0.76","0.54","0.29","1.08","0","0.52","0.46"
"CAR 18:2","0","0","0.21","0.22","0.1","0","0","0","0","0","0","0.17","0.15","0.14","0","0.09","0","0.18","0.09","0","0","0.13","0.17","0.16","0","0.22","0.17","0","0","0.41","0.18","0.16","0.14","0.2","0.11","0.27","0.4","0.33","0","0.37","0","0.25","0.19"
"CAR 2:0","0","0","0","0","0","0","0","0.12","0","0","0","0","0.14","0","0.48","0","0","0","0","0","0","0","0.12","0","0.18","0","0","0","0","0","0","0","0","0","0","0.13","0","0","0","0","0","0","0"
"CAR 3:0","0","0","0","0","0","0","0","0","0","0","0","0","0.15","0","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CAR 8:0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CE 16:1","0.48","0","0","0","0","0","0.67","0","0.83","0","0","0","0.66","0","0","0","0","0.44","0","0","0","0","0","0.71","0.91","2.14","0.63","2.49","0","0","0","0","0","0","2.1","0","0","0","0","0.95","0","0","0"
"CE 18:1","0","0","0","0.63","0","0","0","0.42","0.4","0","0","0","0.87","0","0","0","0","3.86","0.47","0.31","0","0.45","0","0.46","0.28","0.31","4.25","0","0.23","0","0","0","0.42","0.36","0.28","0.22","0","0","0","0","0","0.19","0"
"CE 18:2","7.28","0.97","0","3.22","0","0","4.4","2.39","5.31","1.62","0","0.86","2.68","0","0","0","0","3.5","2.24","2.62","0","2.43","2.03","2.85","3.47","2.8","4.52","7.48","3.43","9.18","8.97","1.67","1.04","2.28","3.21","2.78","1.76","3.3","0","7.57","0","4.78","1.54"
"Cer 34:1;O2","0.79","0.43","0.33","0","0","0","0","0.32","0.64","0.3","0","0","0.34","0","0.76","0.34","0","0","0.47","0","0.32","0","0","0","0.43","0","0.3","0.46","0","0","0","0.31","0.63","0","0","0.28","0","0","0.47","0.38","0","0","0"
"Cer 40:1;O2","2.02","0.52","0.38","0.34","0.33","0","0.45","0.74","1.04","0.35","0.37","0.32","0.67","0.28","0.95","0.6","0","0.5","0.79","0.53","1.24","0.41","0.4","0.57","1.44","0.83","0.64","1.37","0","0.35","0","0.33","0.66","0.5","0.76","0.49","0.51","0.27","1.18","0.78","0","0","0.42"
"Cer 41:1;O2","1.38","0.32","0","0","0.33","0","0","0.43","0.58","0","0","0","0.44","0","0.43","0.43","0","0.49","0.55","0.42","0.84","0.25","0","0","1.09","0.58","0.46","1.23","0.31","0","0","0","0.35","0","0.71","0","0.43","0","0.79","0.43","0","0","0"
"Cer 42:1;O2","0","0","0","1.19","0","0.91","1.55","0","0","1.11","0","0.93","0","0","0","0","1.77","0","0","1.53","0","1.07","0","1.64","0","2.82","0","0","1.52","0","1.26","0","0","1.5","0","1.19","0","1.15","0.07","0","0.8","1.06","1.58"
"Cer 42:2;O2","0.93","1.73","0.47","0.26","0.85","0.87","1.23","0.75","2.16","0.46","1.01","0.91","0.58","0.9","0.75","1.55","1.5","1.06","0.67","0.53","2.5","0.37","0.96","1.18","1.52","0.42","1.23","1.63","0.77","0.68","0.74","0.93","1.68","1.03","0.86","0.33","1.16","0.73","2.12","0.64","0.93","0.3","1.14"
"Cer 42:3;O2","0","0","0","0","0","0","0","0.28","0","0","0","0","0","0","0","0","0","0","0.31","0","0.41","0","0","0","0","0","0","0","0","0","0","0","0.23","0","0","0","0","0","0.27","0","0","0","0"
"HexCer 42:1;O2","3.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.63","0","0","0","0","0","0","2.32","1.8","0.8","3.47","0","0","0","0","0","1.02","0.83","0","0","0","1.25","0","0","0","0"
