"feature","BS-064D0","JV-035D0","JV-048D0","KT-515D0","KT-926D0","JV-148D0","JV-157D0","KT-193D0","KT-247D0","KT-312D0","KT-347D0","KT-352D0","KT-417D0","KT-434D0","KT-522D0","KT-525D0","KT-565D0","KT-612D0","KT-705D0","KT-718D0","JV-071D0","BS-082D0","BS-336D0","BS-346D0","BS-351D0","BS-364D0","BS-377D0","JV-138D0","KT-313D0","KT-412D0","KT-445D0","KT-537D0","KT-538D0","KT-539D0","KT-663D0","KT-695D0","KT-716D0","KT-723D0","KT-771D0","KT-805D0","KT-880D0","KT-974D0","BS-671D0"
"DG 32:0","-0.12494","0.51587","-0.30103","-2","0.0607","-2","-0.05552","0.21748","-0.05552","-0.05061","-0.17393","-0.36653","-0.03152","-2","-2","-2","0.13672","-0.56864","-0.05552","-0.01773","0.2014","-0.27572","-2","-2","-0.31876","-2","-0.21467","-0.12494","-2","-2","-2","-2","-0.39794","-2","-2","-2","-0.16115","-2","-0.07058","-0.08092","-0.09691","-2","-2"
"DG 34:1","0.35603","1.2572","0.36361","-0.13077","0.90472","0.4609","0.55145","0.95085","0.57403","0.51983","0.63043","0.49136","0.64345","0.13672","0.16137","0.40824","0.74507","0.01284","0.55871","0.52634","0.96142","0.38021","0.22531","-0.0655","0.34044","0.17609","0.60423","0.36922","0.13672","-0.1549","0.04139","0.09342","0.35603","-0.07058","-0.23657","0.09691","0.65225","-0.09691","0.60423","0.75128","0.60531","-0.05552","0.18469"
"DG 36:3","0.02119","0.78675","0.10037","-0.3279","0.57749","0.17026","0.26717","0.60097","0.11059","0.20683","0.23045","0.32634","0.3483","-2","-2","-0.07572","0.32428","-0.4318","0.27184","0.23805","0.62118","-0.00436","-0.03621","-2","-0.13668","-0.42022","0.19866","0.08279","-0.35655","-2","-2","-0.04096","-0.00877","-2","-2","-0.04096","0.34439","-0.40894","0.35603","0.37107","0.04532","-0.42022","-0.13668"
"DG 34:2","-0.31876","0.46982","-0.26761","-2","0.17609","-0.22915","-0.22915","0.31175","-0.1549","-0.21467","-0.11919","-0.08619","-0.02228","-2","-2","-0.36653","0.06446","-2","-0.03621","-0.14267","0.30535","-0.33724","-2","-2","-0.37675","-2","-0.16749","-0.18709","-2","-2","-2","-2","-0.42022","-2","-2","-2","-0.00436","-2","0","0","-2","-2","-2"
"DG 36:2","0.4609","1.0141","0.29226","0.02938","0.76716","0.43457","0.47857","0.92221","0.63347","0.33244","0.56467","0.61595","0.65031","0.15229","0.25285","0.42325","0.76343","-0.00877","0.69461","0.47422","0.95036","0.17609","0.09342","-0.1549","0.45939","0.06819","0.64345","0.47422","-0.11351","-2","0.00432","0.23805","0.34044","0.13354","-0.24413","0.0607","0.62014","0.02531","0.58995","0.81224","0.4014","-0.04576","0.1959"
"CAR 16:0","-2","-1","-0.85387","-0.65758","-0.92082","-2","-2","-1","-0.95861","-2","-2","-0.69897","-0.63827","-0.88606","-2","-0.88606","-2","-0.76955","-2","-2","-2","-0.88606","-0.74473","-0.61979","-0.72125","-0.37675","-0.65758","-2","-2","-0.5376","-0.58503","-0.92082","-0.72125","-0.65758","-0.88606","-0.65758","-0.3098","-0.67778","-0.85387","-0.3098","-2","-0.58503","-0.65758"
"CAR 18:1","-0.74473","-0.65758","-0.38722","-0.39794","-0.65758","-0.79588","-0.76955","-0.55284","-0.50864","-2","-0.76955","-0.20066","-0.31876","-0.39794","-0.49485","-0.49485","-0.35655","-0.45593","-0.58503","-0.74473","-0.69897","-0.4437","-0.37675","-0.35655","-0.49485","-0.29243","-0.27572","-2","-0.88606","-0.13668","-0.38722","-0.42022","-0.3279","-0.27572","-0.63827","-0.30103","-0.11919","-0.26761","-0.5376","0.03342","-2","-0.284","-0.33724"
"CAR 18:2","-2","-2","-0.67778","-0.65758","-1","-2","-2","-2","-2","-2","-2","-0.76955","-0.82391","-0.85387","-2","-1.04576","-2","-0.74473","-1.04576","-2","-2","-0.88606","-0.76955","-0.79588","-2","-0.65758","-0.76955","-2","-2","-0.38722","-0.74473","-0.79588","-0.85387","-0.69897","-0.95861","-0.56864","-0.39794","-0.48149","-2","-0.4318","-2","-0.60206","-0.72125"
"CE 18:2","0.86213","-0.01323","-2","0.50786","-2","-2","0.64345","0.3784","0.72509","0.20952","-2","-0.0655","0.42813","-2","-2","-2","-2","0.54407","0.35025","0.4183","-2","0.38561","0.3075","0.45484","0.54033","0.44716","0.65514","0.8739","0.53529","0.96284","0.95279","0.22272","0.01703","0.35793","0.50651","0.44404","0.24551","0.51851","-2","0.8791","-2","0.67943","0.18752"
"Cer 40:1;O2","0.30535","-0.284","-0.42022","-0.46852","-0.48149","-2","-0.34679","-0.13077","0.01703","-0.45593","-0.4318","-0.49485","-0.17393","-0.55284","-0.02228","-0.22185","-2","-0.30103","-0.10237","-0.27572","0.09342","-0.38722","-0.39794","-0.24413","0.15836","-0.08092","-0.19382","0.13672","-2","-0.45593","-2","-0.48149","-0.18046","-0.30103","-0.11919","-0.3098","-0.29243","-0.56864","0.07188","-0.10791","-2","-2","-0.37675"
