"","sig_p","feature","mean_ctrl","mean_moderate","mean_severe","method","statistic","pval","mLog10p","padj","mLog10padj","sig_padj"
"1","yes","PC 38:4;P/38:5;O","9.41e+00","6.11e+00","7.09e+00","Kruskal–Wallis test","1.32e+01","1.38e-03","2.86","1.23e-01","0.911","no"
"2","yes","SM 41:1;O2","8.44e+00","4.99e+00","7.3e+00","Kruskal–Wallis test","1.1e+01","4.15e-03","2.38","1.23e-01","0.911","no"
"3","yes","PC 32:1","6.53e+00","1.14e+01","9.4e+00","Kruskal–Wallis test","1.06e+01","5.04e-03","2.3","1.23e-01","0.911","no"
"4","yes","TG 54:3","8.07e+00","2.08e+01","2e+01","Kruskal–Wallis test","1.02e+01","6.11e-03","2.21","1.23e-01","0.911","no"
"5","yes","CAR 18:1","4.73e-01","3.16e-01","2.86e-01","Kruskal–Wallis test","1.02e+01","6.13e-03","2.21","1.23e-01","0.911","no"
"6","yes","TG 54:2","1.63e+01","3.51e+01","2.89e+01","Kruskal–Wallis test","9.38e+00","9.18e-03","2.04","1.27e-01","0.897","no"
"7","yes","SM 42:1;O2","1.81e+01","1.19e+01","1.77e+01","Kruskal–Wallis test","9.3e+00","9.57e-03","2.02","1.27e-01","0.897","no"
"8","yes","SM 41:2;O2","5.19e+00","3.94e+00","4.07e+00","Kruskal–Wallis test","9.08e+00","1.07e-02","1.97","1.27e-01","0.897","no"
"9","yes","PC 36:3;P/36:3;O","1.15e+01","8.05e+00","9.15e+00","Kruskal–Wallis test","8.65e+00","1.32e-02","1.88","1.27e-01","0.897","no"
"10","yes","PC 36:2;P/36:3;O","3.71e+00","2.71e+00","3.12e+00","Kruskal–Wallis test","8.62e+00","1.34e-02","1.87","1.27e-01","0.897","no"
"11","yes","PC 34:1","1.69e+02","2.52e+02","2.3e+02","Kruskal–Wallis test","8.52e+00","1.41e-02","1.85","1.27e-01","0.897","no"
"12","yes","SM 40:1;O2","2.14e+01","1.49e+01","1.84e+01","Kruskal–Wallis test","8.37e+00","1.52e-02","1.82","1.27e-01","0.897","no"
"13","yes","PC 34:2","1.73e+02","2.88e+02","2.68e+02","Kruskal–Wallis test","8.06e+00","1.78e-02","1.75","1.37e-01","0.865","no"
"14","yes","TG 51:1","7.3e+00","1.43e+01","1.36e+01","Kruskal–Wallis test","7.82e+00","2.01e-02","1.7","1.37e-01","0.863","no"
"15","yes","DG 36:2","2.15e+00","3.89e+00","4.42e+00","Kruskal–Wallis test","7.77e+00","2.05e-02","1.69","1.37e-01","0.863","no"
"16","yes","DG 34:1","2.08e+00","3.89e+00","6.29e+00","Kruskal–Wallis test","7.44e+00","2.42e-02","1.62","1.52e-01","0.82","no"
"17","yes","TG 51:2","7.16e+00","1.33e+01","1.36e+01","Kruskal–Wallis test","7.28e+00","2.62e-02","1.58","1.54e-01","0.814","no"
"18","yes","TG 58:8","1.43e+00","2.1e+00","1.44e+00","Kruskal–Wallis test","7.18e+00","2.76e-02","1.56","1.54e-01","0.814","no"
"19","yes","SM 39:1;O2","1.48e+00","1.06e+00","1.02e+00","Kruskal–Wallis test","6.82e+00","3.3e-02","1.48","1.58e-01","0.8","no"
"20","yes","PC 38:3;P/38:4;O","6.6e+00","4.77e+00","5.41e+00","Kruskal–Wallis test","6.79e+00","3.35e-02","1.47","1.58e-01","0.8","no"
"21","yes","LPC 22:5","9.85e+00","9.23e+00","7.06e+00","Kruskal–Wallis test","6.75e+00","3.41e-02","1.47","1.58e-01","0.8","no"
"22","yes","TG 58:7","1.56e+00","2.47e+00","1.86e+00","Kruskal–Wallis test","6.71e+00","3.49e-02","1.46","1.58e-01","0.8","no"
"23","yes","TG 52:1","1.88e+00","3.08e+00","3.14e+00","Kruskal–Wallis test","6.57e+00","3.74e-02","1.43","1.62e-01","0.789","no"
"24","yes","PC 34:1;P/34:2;O","3.09e+00","2.29e+00","3.14e+00","Kruskal–Wallis test","6.48e+00","3.92e-02","1.41","1.63e-01","0.787","no"
"25","yes","CAR 16:0","2.38e-01","1.84e-01","1.58e-01","Kruskal–Wallis test","6.3e+00","4.29e-02","1.37","1.69e-01","0.771","no"
"26","yes","SM 38:1;O2","8.88e+00","6.73e+00","7.45e+00","Kruskal–Wallis test","6.14e+00","4.64e-02","1.33","1.69e-01","0.771","no"
"27","yes","TG 56:6","2.3e+00","4.23e+00","4.56e+00","Kruskal–Wallis test","6.14e+00","4.65e-02","1.33","1.69e-01","0.771","no"
"28","yes","SM 35:1;O2","8.9e-01","8.27e-01","6.36e-01","Kruskal–Wallis test","6.1e+00","4.74e-02","1.32","1.69e-01","0.771","no"
"29","no","DG 36:3","1.21e+00","1.91e+00","2.54e+00","Kruskal–Wallis test","5.91e+00","5.21e-02","1.28","1.8e-01","0.746","no"
"30","no","PC 36:2","9.28e+01","1.27e+02","1.29e+02","Kruskal–Wallis test","5.8e+00","5.51e-02","1.26","1.8e-01","0.744","no"
"31","no","SM 40:2;O2","1.3e+01","1.08e+01","1.1e+01","Kruskal–Wallis test","5.77e+00","5.59e-02","1.25","1.8e-01","0.744","no"
"32","no","PC 32:0","1.11e+01","1.39e+01","1.48e+01","Kruskal–Wallis test","5.38e+00","6.79e-02","1.17","2.12e-01","0.673","no"
"33","no","SM 38:2;O2","3.36e+00","2.62e+00","2.87e+00","Kruskal–Wallis test","5.22e+00","7.37e-02","1.13","2.17e-01","0.663","no"
"34","no","PC 38:2;P/38:3;O","1.12e+00","8.84e-01","9.1e-01","Kruskal–Wallis test","5.21e+00","7.38e-02","1.13","2.17e-01","0.663","no"
"35","no","TG 56:7","2.16e+00","3.06e+00","2.04e+00","Kruskal–Wallis test","4.63e+00","9.88e-02","1.01","2.82e-01","0.549","no"
"36","no","TG 49:2","1.86e+00","2.77e+00","3.44e+00","Kruskal–Wallis test","3.71e+00","1.57e-01","0.805","4.15e-01","0.382","no"
"37","no","PI 38:4","1.18e+01","1.58e+01","1.31e+01","Kruskal–Wallis test","3.7e+00","1.58e-01","0.803","4.15e-01","0.382","no"
"38","no","PC 40:4","1.61e+00","1.16e+00","1.26e+00","Kruskal–Wallis test","3.69e+00","1.58e-01","0.802","4.15e-01","0.382","no"
"39","no","SM 42:4;O2","1.85e+00","1.46e+00","1.62e+00","Kruskal–Wallis test","3.57e+00","1.68e-01","0.776","4.3e-01","0.367","no"
"40","no","PC 36:1;P/36:2;O","1.13e+00","9.84e-01","1.21e+00","Kruskal–Wallis test","3.41e+00","1.82e-01","0.74","4.55e-01","0.342","no"
"41","no","FA 20:3","2.35e+00","2.84e+00","2.03e+00","Kruskal–Wallis test","3.26e+00","1.96e-01","0.708","4.7e-01","0.327","no"
"42","no","PC 38:2","8.75e-01","6.35e-01","9.48e-01","Kruskal–Wallis test","3.24e+00","1.98e-01","0.703","4.7e-01","0.327","no"
"43","no","PC 36:1","1.92e+01","2.6e+01","2.94e+01","Kruskal–Wallis test","3.2e+00","2.02e-01","0.694","4.7e-01","0.327","no"
"44","no","PC 36:4","8e+01","9.21e+01","7.48e+01","Kruskal–Wallis test","3.13e+00","2.09e-01","0.68","4.75e-01","0.324","no"
"45","no","LPC 18:0","4.05e+02","3.09e+02","3.84e+02","Kruskal–Wallis test","2.92e+00","2.32e-01","0.635","5.15e-01","0.288","no"
"46","no","SM 36:2;O2","6.72e+00","5.57e+00","5.45e+00","Kruskal–Wallis test","2.85e+00","2.41e-01","0.618","5.24e-01","0.281","no"
"47","no","SM 36:1;O2","1.97e+01","1.68e+01","1.62e+01","Kruskal–Wallis test","2.52e+00","2.84e-01","0.547","6.04e-01","0.219","no"
"48","no","LPC 18:2","1.65e+02","1.88e+02","1.97e+02","Kruskal–Wallis test","2.46e+00","2.93e-01","0.533","6.1e-01","0.214","no"
"49","no","LPC 16:1","1.71e+01","1.52e+01","1.57e+01","Kruskal–Wallis test","2.37e+00","3.05e-01","0.515","6.22e-01","0.206","no"
"50","no","SM 42:2;O2","5.56e+01","5.02e+01","5.07e+01","Kruskal–Wallis test","2.29e+00","3.19e-01","0.497","6.22e-01","0.206","no"
"51","no","PC 38:6","3.45e+01","3.95e+01","3.46e+01","Kruskal–Wallis test","2.26e+00","3.23e-01","0.491","6.22e-01","0.206","no"
"52","no","SM 34:1;O2","8.98e+01","8.13e+01","8.45e+01","Kruskal–Wallis test","2.26e+00","3.23e-01","0.49","6.22e-01","0.206","no"
"53","no","FA 18:1","1.83e+02","2.73e+02","2.09e+02","Kruskal–Wallis test","2.14e+00","3.43e-01","0.465","6.47e-01","0.189","no"
"54","no","FA 18:2","6.2e+01","8.69e+01","6.99e+01","Kruskal–Wallis test","2.08e+00","3.53e-01","0.452","6.52e-01","0.186","no"
"55","no","SM 33:1;O2","1.66e+00","1.61e+00","1.36e+00","Kruskal–Wallis test","2.05e+00","3.59e-01","0.445","6.52e-01","0.186","no"
"56","no","PC 36:5","4.15e+00","5.14e+00","4.21e+00","Kruskal–Wallis test","1.94e+00","3.8e-01","0.421","6.64e-01","0.178","no"
"57","no","SM 42:3;O2","2.45e+01","2.21e+01","2.37e+01","Kruskal–Wallis test","1.92e+00","3.83e-01","0.417","6.64e-01","0.178","no"
"58","no","TG 56:8","1.28e+00","1.55e+00","1.24e+00","Kruskal–Wallis test","1.91e+00","3.85e-01","0.414","6.64e-01","0.178","no"
"59","no","FA 18:0","3.18e+01","3.69e+01","2.71e+01","Kruskal–Wallis test","1.75e+00","4.17e-01","0.38","7.02e-01","0.153","no"
"60","no","LPC 22:6","2.71e+01","3.24e+01","2.73e+01","Kruskal–Wallis test","1.73e+00","4.21e-01","0.375","7.02e-01","0.153","no"
"61","no","CAR 18:2","2.21e-01","1.76e-01","1.86e-01","Kruskal–Wallis test","1.65e+00","4.39e-01","0.358","7.04e-01","0.152","no"
"62","no","FA 16:1","1.57e+01","2.22e+01","1.4e+01","Kruskal–Wallis test","1.63e+00","4.43e-01","0.354","7.04e-01","0.152","no"
"63","no","PC 34:3","2.69e+00","3.77e+00","3.34e+00","Kruskal–Wallis test","1.62e+00","4.45e-01","0.352","7.04e-01","0.152","no"
"64","no","DG 32:0","8.14e-01","9.43e-01","1.32e+00","Kruskal–Wallis test","1.55e+00","4.61e-01","0.337","7.04e-01","0.152","no"
"65","no","PC 38:3","1.67e+01","1.42e+01","1.52e+01","Kruskal–Wallis test","1.54e+00","4.64e-01","0.334","7.04e-01","0.152","no"
