"","sig_p","feature","mean_ctrl","mean_moderate","mean_severe","method","statistic","pval","mLog10p","padj","mLog10padj","sig_padj"
"1","yes","PC 38:4;P/38:5;O","9.41e+00","6.11e+00","7.09e+00","One-way ANOVA","9.17e+00","5.28e-04","3.28","5.28e-02","1.28","no"
"2","yes","TG 54:3","8.07e+00","2.08e+01","2e+01","One-way ANOVA","6.11e+00","4.83e-03","2.32","9.58e-02","1.02","no"
"3","yes","PC 32:1","6.53e+00","1.14e+01","9.4e+00","One-way ANOVA","5.94e+00","5.52e-03","2.26","9.58e-02","1.02","no"
"4","yes","TG 54:2","1.63e+01","3.51e+01","2.89e+01","One-way ANOVA","5.88e+00","5.79e-03","2.24","9.58e-02","1.02","no"
"5","yes","PC 36:3;P/36:3;O","1.15e+01","8.05e+00","9.15e+00","One-way ANOVA","5.82e+00","6.05e-03","2.22","9.58e-02","1.02","no"
"6","yes","SM 41:1;O2","8.44e+00","4.99e+00","7.3e+00","One-way ANOVA","5.5e+00","7.75e-03","2.11","9.58e-02","1.02","no"
"7","yes","CAR 18:1","4.73e-01","3.16e-01","2.86e-01","One-way ANOVA","5.47e+00","7.97e-03","2.1","9.58e-02","1.02","no"
"8","yes","PC 34:2","1.73e+02","2.88e+02","2.68e+02","One-way ANOVA","5.13e+00","1.04e-02","1.98","9.58e-02","1.02","no"
"9","yes","DG 34:1","2.08e+00","3.89e+00","6.29e+00","One-way ANOVA","5.04e+00","1.11e-02","1.95","9.58e-02","1.02","no"
"10","yes","PC 34:1","1.69e+02","2.52e+02","2.3e+02","One-way ANOVA","4.99e+00","1.16e-02","1.93","9.58e-02","1.02","no"
"11","yes","DG 36:2","2.15e+00","3.89e+00","4.42e+00","One-way ANOVA","4.98e+00","1.17e-02","1.93","9.58e-02","1.02","no"
"12","yes","PC 38:3;P/38:4;O","6.6e+00","4.77e+00","5.41e+00","One-way ANOVA","4.98e+00","1.17e-02","1.93","9.58e-02","1.02","no"
"13","yes","PC 36:2;P/36:3;O","3.71e+00","2.71e+00","3.12e+00","One-way ANOVA","4.87e+00","1.28e-02","1.89","9.58e-02","1.02","no"
"14","yes","SM 41:2;O2","5.19e+00","3.94e+00","4.07e+00","One-way ANOVA","4.81e+00","1.34e-02","1.87","9.58e-02","1.02","no"
"15","yes","TG 51:1","7.3e+00","1.43e+01","1.36e+01","One-way ANOVA","4.68e+00","1.49e-02","1.83","9.63e-02","1.02","no"
"16","yes","PC 34:1;P/34:2;O","3.09e+00","2.29e+00","3.14e+00","One-way ANOVA","4.64e+00","1.54e-02","1.81","9.63e-02","1.02","no"
"17","yes","TG 51:2","7.16e+00","1.33e+01","1.36e+01","One-way ANOVA","4.27e+00","2.09e-02","1.68","1.17e-01","0.932","no"
"18","yes","SM 42:1;O2","1.81e+01","1.19e+01","1.77e+01","One-way ANOVA","4.11e+00","2.37e-02","1.62","1.17e-01","0.932","no"
"19","yes","SM 35:1;O2","8.9e-01","8.27e-01","6.36e-01","One-way ANOVA","4.11e+00","2.38e-02","1.62","1.17e-01","0.932","no"
"20","yes","SM 40:1;O2","2.14e+01","1.49e+01","1.84e+01","One-way ANOVA","4.08e+00","2.45e-02","1.61","1.17e-01","0.932","no"
"21","yes","TG 58:7","1.56e+00","2.47e+00","1.86e+00","One-way ANOVA","4.07e+00","2.46e-02","1.61","1.17e-01","0.932","no"
"22","yes","PC 36:2","9.28e+01","1.27e+02","1.29e+02","One-way ANOVA","3.97e+00","2.67e-02","1.57","1.21e-01","0.916","no"
"23","yes","SM 39:1;O2","1.48e+00","1.06e+00","1.02e+00","One-way ANOVA","3.71e+00","3.33e-02","1.48","1.44e-01","0.841","no"
"24","yes","TG 58:8","1.43e+00","2.1e+00","1.44e+00","One-way ANOVA","3.66e+00","3.46e-02","1.46","1.44e-01","0.841","no"
"25","yes","CAR 16:0","2.38e-01","1.84e-01","1.58e-01","One-way ANOVA","3.51e+00","3.95e-02","1.4","1.58e-01","0.801","no"
"26","yes","TG 52:1","1.88e+00","3.08e+00","3.14e+00","One-way ANOVA","3.42e+00","4.25e-02","1.37","1.63e-01","0.787","no"
"27","yes","SM 40:2;O2","1.3e+01","1.08e+01","1.1e+01","One-way ANOVA","3.33e+00","4.6e-02","1.34","1.7e-01","0.769","no"
"28","yes","FA 20:3","2.35e+00","2.84e+00","2.03e+00","One-way ANOVA","3.24e+00","4.97e-02","1.3","1.78e-01","0.751","no"
"29","no","LPC 22:5","9.85e+00","9.23e+00","7.06e+00","One-way ANOVA","3.14e+00","5.42e-02","1.27","1.84e-01","0.735","no"
"30","no","DG 36:3","1.21e+00","1.91e+00","2.54e+00","One-way ANOVA","3.08e+00","5.69e-02","1.24","1.84e-01","0.735","no"
"31","no","SM 38:2;O2","3.36e+00","2.62e+00","2.87e+00","One-way ANOVA","3.08e+00","5.71e-02","1.24","1.84e-01","0.735","no"
"32","no","SM 38:1;O2","8.88e+00","6.73e+00","7.45e+00","One-way ANOVA","2.94e+00","6.44e-02","1.19","2.01e-01","0.696","no"
"33","no","PC 38:2;P/38:3;O","1.12e+00","8.84e-01","9.1e-01","One-way ANOVA","2.86e+00","6.88e-02","1.16","2.08e-01","0.681","no"
"34","no","TG 56:6","2.3e+00","4.23e+00","4.56e+00","One-way ANOVA","2.67e+00","8.17e-02","1.09","2.4e-01","0.619","no"
"35","no","TG 56:7","2.16e+00","3.06e+00","2.04e+00","One-way ANOVA","2.64e+00","8.41e-02","1.08","2.4e-01","0.619","no"
"36","no","SM 42:4;O2","1.85e+00","1.46e+00","1.62e+00","One-way ANOVA","2.36e+00","1.08e-01","0.967","3e-01","0.523","no"
"37","no","PC 32:0","1.11e+01","1.39e+01","1.48e+01","One-way ANOVA","2.08e+00","1.38e-01","0.861","3.72e-01","0.429","no"
"38","no","PC 40:4","1.61e+00","1.16e+00","1.26e+00","One-way ANOVA","2.05e+00","1.42e-01","0.848","3.74e-01","0.428","no"
"39","no","PC 36:1;P/36:2;O","1.13e+00","9.84e-01","1.21e+00","One-way ANOVA","2e+00","1.48e-01","0.829","3.8e-01","0.42","no"
