"feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"DG 34:1","8.21343","0.00839","1.67746","0.03653","0.01217","0.12545","3.34729","5.57257","0.20111","2.1296","2.3171","1.17218","5.35467","11.11741","4.76547","0.50609","5.96694","3.03641","7.59201","2.17835","16.76027","4.91618","0.13141","5.47335","1.07137","1.86597","2.90755","1.54327"
"DG 36:2","7.87146","0.10748","0.67104","0.97142","0.41623","0.96344","6.02724","5.6489","3.01827","0.30836","6.23335","1.59254","0.0605","0.31911","5.58253","12.31231","7.67997","3.23565","0.47744","6.47467","28.39941","0.81826","0.05217","0.20627","0.17323","0.12605","0.25005","0.00263"
"CAR 16:0","0.36015","1.77517","0.14893","24.43055","18.21943","0.00885","3.84656","9.41153","12.72051","1.08996","0.18013","6.97074","9.95013","5.83457","0.19003","0.77128","0.41113","0.0432","1.64115","0.90724","0.00903","0.26364","0.17756","0.28892","0.21429","0.07822","0.0338","0.02333"
"CAR 18:1","0.79323","0.60309","0.12924","35.89789","0.50036","6.5301","13.6909","1.65143","5.45678","4.84984","4.38539","3.10611","9.92612","1.66993","3.25801","3.85047","0.03703","0.10462","0.07259","1.10047","0.52408","0.53106","0.57878","0.00248","0.24777","0.36147","0.05503","0.08575"
"LPC 22:5","0.40549","0.96585","0.64421","1.77792","62.46417","0.13021","0.11485","0.16879","5.31248","2.77283","0.63912","14.63671","1.28767","2.65191","0.75486","0.73525","0.12478","0.02403","0.94533","0.80013","0.14595","1.10715","0.07433","0.02717","1.24097","0.00295","0.0407","0.0042"
"PC 32:1","5.79673","0.50585","0.02506","10.88292","1.86334","0.46965","0.7178","0.42351","25.28939","1.8325","0.00005","0.58967","12.16632","1.09483","4.06722","3.43893","0.07923","0.61102","0.22577","0.22546","4.34837","8.01435","3.88808","2.57198","9.40936","0.0173","0.50398","0.94133"
"PC 34:1","7.18962","1.43551","0.00013","3.97106","1.08143","1.10434","0.03158","0.40317","11.00506","4.18858","1.15509","0.59523","0.89619","0.51034","0.19923","0.48323","0.01916","0.05298","1.27352","1.94604","0.42993","10.4782","3.70004","4.14572","36.88387","0.36837","0.31118","6.14119"
"PC 34:2","7.4291","0.74013","0.10247","1.19882","0.44182","5.74944","0.28798","2.50892","1.79894","1.37995","9.41181","0.08209","0.58101","0.89964","4.01229","43.7077","1.3413","1.14779","4.12424","4.28806","0.40101","0.55964","0.06994","1.50779","1.5565","2.25913","2.12255","0.28995"
"PC 34:1;P/34:2;O","0.03273","5.25561","13.17425","0.14497","0.37428","2.27951","0.06447","6.97523","0.88405","24.15642","7.42072","0.30783","0.11082","12.3118","0.6444","3.13326","8.09464","0.03497","0.25216","0.09181","0.36872","8.68315","0.67196","0.77986","1.66699","0.44318","1.47841","0.16381"
"PC 36:2;P/36:3;O","0.03626","7.65132","12.54615","0.52259","0.00632","0.55209","0.57708","0.14083","0.17995","0.08527","1.75251","0.2461","0.13296","0.0215","0.5333","1.69988","0.02075","3.78885","18.23681","6.7857","0.35127","21.52112","1.72134","0.07425","7.83793","0.31591","2.88989","9.77209"
