"","PLSDA1","PLSDA2"
"DG 32:0","-0.14232","-0.24644"
"DG 34:1","-0.16479","-0.28741"
"DG 36:3","-0.10427","-0.29345"
"DG 34:2","-0.17791","-0.17568"
"DG 36:2","-0.15434","-0.20971"
"CAR 16:0","0.1879","-0.20323"
"CAR 18:1","0.05133","0.09734"
"CAR 18:2","0.16723","-0.01124"
"CE 18:2","0.15466","-0.0633"
"LPC O-16:0","0.22622","-0.31174"
"PC 32:1","-0.17909","0.11636"
"PC 34:1","-0.17","0.03087"
"PC 34:2","-0.1723","-0.01653"
"PC 34:1;P/34:2;O","0.14432","-0.37649"
"PC 36:2;P/36:3;O","0.16648","-0.19343"
"PC 36:3;P/36:3;O","0.18071","-0.12137"
"PC 38:2;P/38:3;O","0.15133","0.08547"
"PC 38:3;P/38:4;O","0.16967","-0.11961"
"PC 38:4;P/38:5;O","0.21389","-0.09168"
"PC 40:3;P/40:4;O","0.18914","-0.08088"
"SM 38:1;O2","0.13559","-0.07891"
"SM 39:1;O2","0.14599","-0.13153"
"SM 40:1;O2","0.15672","-0.14801"
"SM 41:1;O2","0.17701","-0.1323"
"SM 41:2;O2","0.16659","0.03052"
"SM 42:1;O2","0.15764","-0.12179"
"TG 51:1","-0.16612","-0.17402"
"TG 51:2","-0.15934","-0.23766"
"TG 52:1","-0.15884","-0.21559"
"TG 54:2","-0.18157","-0.11196"
"TG 54:3","-0.18118","-0.19999"
"TG 56:6","-0.18616","-0.03003"
"TG 58:5","-0.15916","-0.00285"
"TG 58:7","-0.15678","-0.01085"
"TG 58:8","-0.16748","-0.08856"
"FA 20:3","-0.13372","-0.15746"
"PI 38:4","-0.13219","-0.01609"
