"","Aspect","Characteristic","feature*group_fval","feature*group_pval","feature*group_padj","feature_fval","feature_pval","feature_padj","group_fval","group_pval","group_padj"
"1","Lipid classification","class","6.89445","3.84e-18","9.97e-17","2.31e+02","8.13e-184","3.52e-183","2.960","5.28e-02","1.14e-01"
"2","Fatty acid properties","Total.FA","2.16229","3.65e-14","4.75e-13","1.60e+02","0.00e+00","0.00e+00","10.830","2.06e-05","1.78e-04"
"3","Fatty acid properties","Total.C","2.62481","4.37e-09","3.79e-08","2.67e+02","0.00e+00","0.00e+00","5.189","5.71e-03","1.49e-02"
"4","Lipid classification","Main.Class","4.05105","3.93e-07","2.55e-06","3.21e+02","7.69e-159","2.86e-158","0.683","5.06e-01","5.99e-01"
"5","Lipid classification","Sub.Class","4.30394","5.33e-07","2.77e-06","2.74e+02","5.79e-131","1.88e-130","0.774","4.62e-01","5.99e-01"
"6","Cellular component","Cellular.Component","5.61707","1.97e-06","8.54e-06","5.44e+02","2.84e-106","6.70e-106","1.237","2.92e-01","4.47e-01"
"7","Lipid classification","Category","4.78012","2.16e-05","8.02e-05","2.99e+02","3.25e-83","6.03e-83","0.906","4.06e-01","5.55e-01"
"8","Specific ratios","Chains Ether/Ester linked ratio","10.82332","6.92e-05","2.25e-04","2.27e+00","1.36e-01","1.41e-01","13.481","9.00e-06","1.17e-04"
"9","Fatty acid properties","FA","1.83314","1.88e-04","5.44e-04","2.35e+02","0.00e+00","0.00e+00","14.079","9.04e-07","2.35e-05"
"10","Fatty acid properties","FA.C","2.63302","3.31e-04","8.60e-04","4.83e+02","8.45e-209","4.39e-208","6.332","1.96e-03","7.29e-03"
"11","Fatty acid properties","Total.DB","2.49476","7.03e-04","1.66e-03","1.41e+03","6.76e-297","4.39e-296","2.774","6.36e-02","1.18e-01"
"12","Function","Function","4.90801","1.06e-03","2.30e-03","8.91e+02","1.02e-72","1.47e-72","4.689","1.10e-02","2.59e-02"
"13","Fatty acid properties","Total.OH","4.26158","1.74e-02","3.48e-02","5.09e+03","3.45e-74","5.28e-74","1.801","1.72e-01","2.98e-01"
"14","Physical or chemical properties","Transition.Temperature","2.36583","1.87e-02","3.48e-02","3.75e+02","1.07e-91","2.32e-91","1.498","2.26e-01","3.67e-01"
"15","Physical or chemical properties","Intrinsic.Curvature","2.92626","2.38e-02","4.12e-02","1.58e+03","5.38e-87","1.08e-86","6.317","2.46e-03","8.01e-03"
"16","Physical or chemical properties","Headgroup.Charge","2.80615","2.87e-02","4.66e-02","5.36e+02","1.48e-60","1.83e-60","6.152","2.86e-03","8.26e-03"
"17","Fatty acid properties","FA.OH","2.35473","1.01e-01","1.55e-01","3.86e+03","1.82e-69","2.36e-69","2.892","6.13e-02","1.18e-01"
"18","Fatty acid properties","FA.Chain.Length.Category3","0.69538","5.02e-01","7.25e-01","2.16e+03","1.09e-59","1.28e-59","0.936","3.97e-01","5.55e-01"
"19","Physical or chemical properties","Lateral.Diffusion","0.66722","6.76e-01","8.96e-01","5.00e+02","4.85e-81","7.88e-81","7.580","7.16e-04","3.10e-03"
"20","Fatty acid properties","FA.Chain.Length.Category1","0.37415","6.89e-01","8.96e-01","1.07e+03","5.19e-48","5.87e-48","0.437","6.48e-01","7.02e-01"
"21","Fatty acid properties","FA.Unsaturation.Category1","0.10219","9.03e-01","9.99e-01","3.52e+02","4.82e-31","5.23e-31","0.121","8.86e-01","8.86e-01"
"22","Fatty acid properties","FA.Unsaturation.Category2","0.42476","9.05e-01","9.99e-01","2.24e+02","1.13e-72","1.55e-72","0.224","7.99e-01","8.31e-01"
"23","Fatty acid properties","FA.Chain.Length.Category2","0.39050","9.25e-01","9.99e-01","5.58e+02","2.84e-107","7.38e-107","0.535","5.86e-01","6.63e-01"
"24","Fatty acid properties","FA.DB","0.43399","9.49e-01","9.99e-01","3.16e+02","1.87e-121","5.41e-121","0.682","5.06e-01","5.99e-01"
"25","Physical or chemical properties","Bilayer.Thickness","0.21878","9.70e-01","9.99e-01","5.17e+02","4.79e-82","8.30e-82","7.918","5.26e-04","2.73e-03"
"26","Specific ratios","Ratio of Lysophospholipids to Phospholipids","0.00117","9.99e-01","9.99e-01","1.39e-02","9.06e-01","9.06e-01","9.395","2.16e-04","1.41e-03"
