"","post.hoc.pval.signif","class","mean_ctrl","mean_moderate","mean_severe","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","LPC O-","1.6e+01","5.08e+00","1.12e+01","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","8.31e-05","4.08","9.97e-04","3","yes"
"2","yes","TG","5.25e+01","1.1e+02","1e+02","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","3.28e-03","2.48","1.97e-02","1.71","yes"
"3","yes","DG","5.47e+00","1.1e+01","1.55e+01","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","6.62e-03","2.18","2.65e-02","1.58","yes"
"4","yes","CE","3.5e+00","1.61e+00","2.3e+00","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","2.56e-02","1.59","7.67e-02","1.12","no"
"5","no","PC","8.11e+02","1.07e+03","1.01e+03","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","5.17e-02","1.29","1.24e-01","0.907","no"
"6","no","PI","1e+01","1.58e+01","1.31e+01","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","7.29e-02","1.14","1.46e-01","0.836","no"
"7","no","SM","2.93e+02","2.48e+02","2.65e+02","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","1.65e-01","0.784","2.76e-01","0.559","no"
"8","no","CAR","8.27e-01","4.22e-01","5.14e-01","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","1.84e-01","0.735","2.76e-01","0.559","no"
"9","no","PC O-","1.55e+00","1.58e+00","2.26e+00","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","4.22e-01","0.375","5.62e-01","0.25","no"
"10","no","FA","3.85e+02","5.35e+02","4.12e+02","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","5.19e-01","0.285","6.22e-01","0.206","no"
"11","no","LPC","2.21e+03","1.96e+03","2.25e+03","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","6.62e-01","0.179","7.22e-01","0.141","no"
"12","no","Cer","1.82e+00","1.94e+00","1.98e+00","Two-way ANOVA","6.89e+00","3.84e-18","One-way ANOVA","7.92e-01","0.101","7.92e-01","0.101","no"
