"feature","BS-064D10","JV-035D10","JV-048D10","KT-515D10","KT-926D10","JV-148D10","JV-157D10","KT-193D10","KT-247D10","KT-312D10","KT-347D10","KT-352D10","KT-417D10","KT-434D10","KT-522D10","KT-525D10","KT-565D10","KT-612D10","KT-705D10","KT-718D10","BS-082D10","BS-336D10","BS-346D10","BS-351D10","BS-364D10","BS-377D10","JV-138D10","KT-313D10","KT-412D10","KT-445D10","KT-537D10","KT-538D10","KT-539D10","KT-663D10","KT-695D10","KT-716D10","KT-723D10","KT-771D10","KT-805D10","KT-880D10","KT-974D10","BS-671D10"
"DG 32:0","0.14922","0.4456","-0.00436","0.25527","-0.04576","0.29226","0.04139","0.14301","0.13988","0.72016","-0.29243","0.30535","-0.3098","-0.27572","-0.26425","0.20683","0.30535","0.64246","0.0607","-0.08092","-0.0655","0.11727","0.6637","0.20683","-0.13668","0.37658","0.64444","-0.00436","0.04922","0.21484","-0.35655","0.17898","-0.14267","0.26717","-0.03621","-0.5941","0.14613","0.36173","0.38917","0.28103","-0.39167","-0.21467"
"DG 32:1","0.23805","0.61278","-0.07572","0.22272","-0.87771","0.3032","-0.09691","0.02119","0.06819","0.44248","-0.3279","0.26482","-0.7138","-0.25181","-0.44292","-0.04576","0.17609","0.05308","0.12057","-0.10791","-0.11919","0.07918","0.4456","0.08636","0.01284","0.31387","0.43297","-0.01323","-0.14267","0.02938","-0.26761","0.0569","-0.18709","0.27646","-0.20761","-0.78966","-0.02228","0.21748","0.30963","0.22272","-0.78212","-0.79964"
"DG 34:1","0.70927","0.94596","0.60746","0.91908","0.61066","0.82866","0.74036","0.61172","0.87564","0.82995","0.5302","0.89542","0.47276","0.55991","0.53403","0.75967","0.79865","0.80754","0.4843","0.79518","0.50106","0.67117","1.05308","0.70501","0.7574","0.82672","0.97405","0.41497","0.66464","0.8109","0.35025","0.88986","0.64147","0.87967","0.67578","0.12057","0.7348","0.85248","1.02979","0.99432","0.29226","0.5563"
"DG 36:3","-0.03621","0.16435","0.33244","0.52244","0.13672","0.21748","0.35025","0.01284","0.12385","0.43457","0.06819","0.35603","0.0086","0.02531","-0.06048","0.23805","0.21219","0.31597","-0.00436","0.55509","-0.18046","0.21484","0.70927","0.20683","0.07918","0.12385","0.40993","-0.16749","0.45637","0.43933","0.07188","0.34635","0.03743","0.35603","0.20412","-0.11919","0.35411","0.37658","0.69984","0.20952","-0.12494","0.17026"
"DG 34:2","-0.03152","0.22011","0.04922","0.18184","-0.20066","0.12385","0.09691","-0.01773","-0.01323","0.19866","-0.13077","0.1959","-0.37675","-0.25181","-0.16912","-0.05552","0.01703","0.04922","-0.3279","0.13988","-0.73182","-0.10237","0.23553","0.07188","-0.07572","-0.08092","0.2014","-0.31876","-0.01773","0.11394","-0.36653","0.13033","-1.01389","0.24551","-0.09151","-0.57035","0.12057","0.18469","0.29667","0.17898","-0.37349","-0.33775"
"DG 36:1","-0.63827","-0.82824","-0.74473","-0.42022","-0.33248","-0.58503","-0.49485","-0.67778","-0.45593","-0.5376","-0.65758","-0.3279","-0.45411","-1.09691","-0.9663","-0.38722","-0.58503","-0.39794","-0.92082","-0.50864","-1.10232","-0.72125","-0.46852","-0.5376","-0.31857","-0.46852","-0.18709","-0.64587","-0.40894","-0.50864","-0.74473","-0.52288","-0.52018","-0.49485","-0.74473","-0.50378","-0.52288","-0.24413","-0.27572","-0.43211","-0.73243","-0.84136"
"DG 36:2","0.61172","0.69984","0.57519","0.83378","0.52634","0.57287","0.81954","0.57864","0.58206","0.3784","0.34242","0.6721","0.36361","0.45637","0.49969","0.67117","0.5977","0.63347","0.42651","0.68034","0.26717","0.57634","0.93247","0.66558","0.55145","0.52504","0.91116","-0.10237","0.46982","0.75205","0.22531","0.79796","0.5563","0.6721","0.55267","0.13354","0.67943","0.74036","0.90146","0.70329","0.35793","0.39445"
"CAR 18:1","-0.54532","-0.4978","-0.72281","-0.73565","-0.49987","-0.54496","-0.67765","-0.77128","-0.88606","-0.4418","-0.74064","-0.85387","-0.60295","-0.91666","-0.78693","-0.5376","-0.43181","-0.57792","-0.85387","-0.95861","-0.79588","-0.88606","-0.58503","-0.86484","-0.39794","-0.93634","-0.4558","-0.58321","-0.39794","-0.69897","-0.66799","-0.80964","-0.88606","-0.70826","-0.56864","-1","-0.5992","-0.88606","-0.88606","-0.74473","-0.79593","-0.85387"
"CE 18:2","-0.55739","-0.37172","0.53275","0.15836","-0.89259","0.34635","-0.7562","0.07918","0.12385","0.66558","0.56585","-0.78726","0.2014","0.49969","-0.44162","0.03342","-0.45168","0.60314","0.04139","0.40654","0.35411","0.65321","-0.87965","-0.08619","0.48855","-0.22185","-0.74949","-0.72077","0.07555","-0.74914","-0.67597","0.36922","0.34044","-0.78215","-0.3098","0.66558","0.49136","0.51455","0.37658","-0.34399","-0.41104","0.17609"
"Cer 40:1;O2","-0.13077","-0.31876","0.1271","-0.30103","-0.39794","-0.08092","-0.23657","0.04922","-0.17393","0.21748","-0.27572","-0.25181","-0.25181","-0.37675","-0.13857","0.08636","-0.09691","0.13033","-0.23657","0.02119","-0.47234","0.06446","-0.18046","-0.31876","-0.24413","-0.18046","0.1959","-0.81995","-0.33724","-0.25181","-0.3279","-0.19382","-0.20761","-0.11351","-0.22915","-0.33724","-0.25964","-0.0655","-0.30103","-0.3098","-0.94275","-0.35655"
