"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42"
"BS-064D10","BS-064D10","2","-4.01567","-1.44408","5.11317","-1.60826","4.09501","-2.08286","1.27903","-1.7345","1.2019","-0.26787","1.39409","-1.3278","0.30979","2.46793","-0.61926","-0.71184","0.98993","-0.37754","-0.55807","-0.50577","-0.42142","0.28321","1.17388","0.47615","1.26442","-1.26213","-0.00686","-1.45921","0.32408","0.44841","0.62073","0.26583","0.10028","-1.37008","-0.82401","-0.34057","-0.24519","0.06725","0.02153","0.41133","-0.31106","0"
"JV-035D10","JV-035D10","2","1.60289","-3.22392","6.19851","-1.05387","2.39347","1.82119","0.69347","1.96939","2.46098","-0.80045","0.5621","-0.86733","0.34329","0.59524","3.23687","1.16148","-1.15335","-0.39294","0.6158","1.1365","1.70621","1.25265","0.30051","0.84121","-1.08886","0.04786","-0.29114","-0.20015","-0.31804","-0.03762","-0.06135","-0.76021","-1.10568","-0.37346","0.80346","0.42219","-0.24529","-0.11467","0.17799","-0.30765","0.19309","0"
"JV-048D10","JV-048D10","2","-3.10551","0.96919","-2.36457","-4.50515","-1.64148","3.35229","-2.42808","-0.96736","2.83553","0.4495","1.12748","-1.56039","0.12067","0.93912","-0.32691","0.27122","0.27913","-0.94959","-0.09169","-0.40608","1.3777","-2.00348","0.21957","-0.27815","-0.83925","0.67524","0.41067","-1.30022","0.00856","1.21885","0.36149","1.03216","-0.70927","0.84861","-0.02543","0.09422","0.90549","-0.05674","-0.25199","0.19497","-0.06558","0"
"KT-515D10","KT-515D10","2","-0.58075","-5.34566","-4.67481","-2.18768","1.94773","-1.74338","-0.30028","1.26355","-1.3594","0.44424","-1.74317","2.60188","0.73061","-1.53437","1.2935","0.70535","0.74762","2.1151","0.91917","0.9223","-1.03952","0.21154","0.68257","0.88578","-0.52381","0.34324","0.8712","-0.70106","-0.75679","0.39976","0.01283","0.63764","0.02009","-1.02024","0.79445","-0.02593","0.67255","-0.26562","-0.33508","0.47931","-0.40038","0"
"KT-926D10","KT-926D10","1","9.01723","0.33048","-0.62139","1.92339","0.89615","-4.60908","-2.45916","-0.40901","5.43551","-0.84077","-0.93325","1.02048","1.45749","-0.71091","-0.63416","-0.89997","-0.20785","0.71886","2.86503","-1.74983","-0.26212","-0.17094","1.10692","-0.36393","-0.93306","-0.03249","-0.80814","0.79801","-0.23609","-0.15695","0.34508","0.21852","-0.18114","0.20585","-0.39364","-0.23934","-0.23904","0.32585","0.17728","-0.16451","-0.0293","0"
"JV-148D10","JV-148D10","2","-1.96244","-6.74531","-2.28437","-2.48881","-1.30806","-0.00739","0.69288","-2.3295","-0.99353","-2.46706","0.67193","1.02079","-1.64316","0.85825","0.80631","0.76622","0.04691","-2.18376","2.104","0.49084","0.27388","-0.1732","1.02076","-0.75317","-0.05267","0.39466","-0.76323","-0.02589","1.11105","-0.28995","0.04495","-1.00374","1.18814","0.61012","0.37362","-0.34383","-0.41377","-0.58439","-0.20937","0.29564","-0.42926","0"
"JV-157D10","JV-157D10","1","2.26968","0.16389","0.01931","3.66073","2.53082","0.6422","-0.05126","1.16531","-0.66317","0.91941","0.70175","-0.11649","2.72565","1.56624","-0.39257","2.42167","-0.93713","-0.05708","-0.14914","0.13427","0.31536","0.11441","-0.04095","-0.00306","-0.56245","-1.74676","1.04399","1.00087","0.78403","-0.31693","0.18264","-0.75678","0.53999","0.59065","-0.24665","-0.1871","1.07005","0.62848","-0.72616","-0.05614","-0.36025","0"
"KT-193D10","KT-193D10","2","-9.44133","1.35255","0.68467","-2.14088","1.59753","0.15425","2.49437","-1.66046","-0.25393","-0.0116","-0.69829","-1.41544","-0.96375","0.9596","1.08626","-1.1119","0.47386","1.57727","0.05217","-2.37774","0.88168","0.44028","-0.89877","-0.4111","0.02273","0.67013","0.67014","0.90961","-1.18526","-1.12715","0.08624","-0.32439","-0.23586","0.22837","-0.092","-1.20024","0.49513","-0.73047","-0.34148","-0.30332","-0.13153","0"
"KT-247D10","KT-247D10","2","-3.04165","3.44728","2.81693","2.42209","-2.3735","0.10448","0.02147","-0.37676","0.67472","2.09826","0.43849","0.56079","-0.75221","-0.98058","-1.68957","0.2986","0.85739","0.19555","2.16476","1.21162","1.06025","0.6706","-1.88796","-0.77906","0.62068","-0.86842","-0.90815","-0.00615","0.11869","-0.07586","-1.41569","0.41171","-0.96538","-0.2948","-0.10022","0.16723","-0.09127","-0.39905","-0.65039","0.45415","-0.43849","0"
"KT-312D10","KT-312D10","2","-9.29975","-4.61537","2.80822","1.06154","-5.97686","3.22187","-0.57659","-3.44128","3.00744","1.21125","-1.90956","-0.41821","-0.61663","-0.77391","-1.02602","-0.57943","-1.28912","0.03773","-1.79676","0.66124","-0.73326","0.26424","0.7811","0.86808","-0.95381","-0.43147","0.09283","0.69652","-1.16257","-0.12053","-0.14962","-0.06107","0.83658","-0.30007","0.28355","0.05387","-0.28381","0.3809","-0.10524","-0.04108","-0.43296","0"
"KT-347D10","KT-347D10","1","0.51648","3.99142","-1.50049","2.22596","-1.82876","-0.54009","-0.25369","-1.50268","-0.23719","-2.27179","1.24864","-2.06095","-2.25462","0.45154","-0.58885","0.99673","-0.99282","-1.10217","1.39117","-0.43885","-2.34679","0.22142","0.18831","0.33254","0.90742","-0.28115","0.79173","0.05827","-0.31517","-0.42904","0.56087","0.37453","-0.70578","-0.4826","1.20928","0.1583","0.14424","0.27896","-0.75764","-0.14265","0.59451","0"
"KT-352D10","KT-352D10","2","-0.95238","-3.0309","-0.94087","4.17193","1.34232","1.55517","1.43201","1.52045","-1.40004","0.13221","-1.73537","1.53971","-0.97058","1.08141","-0.91794","0.26471","0.35631","0.22782","-0.25283","-0.52116","0.19378","-0.88563","1.06293","-0.7517","0.3383","-1.21207","-1.41589","-1.0702","-0.93345","1.3914","-0.90323","-0.12245","0.0198","0.22493","0.53391","-0.67901","0.04151","0.00042","-0.06544","-1.00018","0.30673","0"
