"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42"
"DG 32:0","DG 32:0","0.78596","2.42228","0.0497","0.64148","0.00066","0.44349","0.0214","0.89063","0.27662","0.04383","0.07267","0.14211","0.99515","0.17324","0.34709","0.49982","0.0292","0.80594","0.09638","1.04746","0.80029","1.52631","0.77901","0.00716","1.22037","1.0857","0.00015","0.28865","0.00224","1.53495","0.73861","1.90038","0.40241","0.57824","0.87926","1.13305","2.57255","0.57585","0.16094","0.03757","1.56242","0.68661"
"DG 32:1","DG 32:1","0.66519","2.4099","0.24161","0.32906","0.00164","0.77191","1.13784","0.69608","0.06878","0.04292","0.55249","0.03408","0.10189","1.14059","0.17265","0.00368","0.47034","0.91608","0.12117","0.39054","2.90413","0.25166","0.06167","0.43186","0.00277","0.03479","1.40331","2.36959","0.01373","0.22011","1.68762","2.1732","0.38545","2.90749","0.38574","0.66484","0.09423","0.63262","0.00683","4.05367","0.91689","0.17122"
"DG 34:1","DG 34:1","0.81448","1.51557","0.06719","1.42368","0.3748","0.02378","0.00296","2.82173","0.92582","0.21933","0.67403","0.31429","0.00851","0.63673","0.00734","0.33902","0.00601","0.05166","0.16875","2.43479","1.03736","0.96358","0.00596","0.02206","0.09456","0.53017","0.00423","1.71356","0.01888","0.43661","0.54656","0.06896","0.11977","0.12151","0.00122","1.70397","3.38285","1.52458","1.70784","0.25883","0.00026","0.76143"
"DG 36:3","DG 36:3","0.65076","0.32892","3.23529","1.44788","0.25822","0.65023","0.00703","1.42646","2.01331","0.01829","0.00185","0.7142","0.49607","1.35233","0.01521","0.91376","0.003","0.0557","1.85434","1.74405","0.00616","0.32272","0.03331","0.74332","0.83638","0.15071","0.01701","0.01572","0.68908","0","0.89279","0.3162","0.01102","0.016","0.20603","0.07394","1.43522","0.0232","0.00405","0.94281","0.26363","0.13945"
"DG 34:2","DG 34:2","0.64911","1.30799","0.53775","0.54831","0.31399","0.41144","0.5521","0.61297","3.42202","0.10684","0.43802","1.25658","0.01231","0.7368","1.11016","0.59733","0.15132","1.47318","0.0072","1.55253","1.0948","0.02074","5.36433","2.25389","0.00828","0.02981","2.55988","0.02639","1.26799","0.00287","0.00012","0.57225","0.21694","0.00715","0.89303","0.00498","3.09031","1.07685","3.13787","1.49958","0.14675","0.32448"
"DG 36:1","DG 36:1","0.57512","0.014","0.92967","0.66324","0.02685","0.0069","0.40887","2.3557","0.53232","0.13003","0.06653","1.77717","8.75432","0.01534","0.00117","1.47135","3.1732","0.98776","0.99494","1.67032","3.44399","0.17133","0.48528","5.05176","3.64308","1.28253","0.74914","0.68058","2.1643","0.00017","2.25219","1.29115","1.94481","0.23024","0.64416","10.19912","4.46311","0.02373","2.00225","0.26539","0.00001","0.48854"
"DG 36:2","DG 36:2","0.83603","0.44716","0.67297","0.57642","3.71544","0.26786","0.51567","2.39494","0.52272","0.02326","0.17186","0.05412","0.0269","0.26348","0.00926","0.94678","0.38579","0.20413","0.00534","3.083","2.05024","0.2562","0.01588","0.03013","0.16823","0.32596","0.57733","0.49226","0.33982","0.15761","0.01979","0.01973","0.118","0.24658","1.74794","0.06367","1.07647","0.07357","0.30416","1.16745","0.64246","0.06866"
"CAR 18:1","CAR 18:1","0.03751","0.29261","0.29734","1.20873","0.10296","0.00192","0.50907","2.37255","1.67061","2.46507","0.84374","0.52011","7.63978","0.28304","9.15441","6.96929","6.23702","0.11955","0.00992","0.95231","0.02643","0.15249","2.09676","0.04781","1.00659","0.946","0.04589","1.80098","0.00263","2.18186","0.11502","0.00459","3.07327","0.43758","0.02094","0.45629","0.9983","0.00373","0.55555","0.71948","1.32266","0.12772"
"CE 18:2","CE 18:2","0.0169","0.0371","1.17854","2.24656","0.83282","1.73371","1.41752","0.29139","0.555","4.72324","0.1462","5.08182","3.06513","2.11392","0.13471","0.01034","0.77315","0.08919","1.00994","2.16133","3.4854","2.57192","0.09293","0.13847","0.0904","0.09635","0.02695","0.07547","1.30373","0.30039","2.417","1.86531","0.10825","1.13209","0.27518","0.006","1.65901","2.83837","1.55372","0.03894","0.28698","0.31579"
"Cer 40:1;O2","Cer 40:1;O2","1.46224","0.25222","0.04444","0.22899","0.22805","0.56192","0.45388","1.53082","0.01244","1.18767","0.24459","0.27341","0.01156","0.02631","0.8","0.04808","4.91345","0.12919","0.17295","0.70888","0.29339","4.35087","0.20112","0.00236","0.04779","0.01199","0.54634","1.01004","0.01852","1.0224","0.0026","0.86372","0.46905","1.02775","0.20668","1.24719","1.03302","0.19979","0.70933","0.18291","0.39699","2.47592"
"Cer 41:1;O2","Cer 41:1;O2","1.06712","0.19706","0.06891","0.70288","0.86259","3.08288","0.37134","0.50749","0.7722","0.59405","0.22222","1.23103","0.00107","1.6092","0.00563","0.37384","1.01125","0.01315","0.83003","0.02455","0.04317","2.13957","0.41859","0.10967","1.72249","0.285","2.06681","0.27016","2.21245","1.67619","1.2948","0.01661","0.71523","1.18775","0.09302","0.19466","0.38508","0.28449","0.1133","0.01452","1.163","0.15215"
"Cer 42:2;O2","Cer 42:2;O2","0.01596","0.64311","0.07362","0.27827","0.00502","0.111","0.24883","0.23943","6.67519","0.83187","0.05844","9.31199","0.28441","0.17256","11.35337","1.26766","5.49217","0.11212","0.25151","2.69266","0.02589","0.66767","0.77093","0.22553","0.0162","0.00475","4.10875","6.392","0.20005","1.18911","0.01608","0.11916","1.51045","1.80249","0.00249","0.01332","0.0326","1.11547","0.00143","0.07674","0.00349","0.04256"
"LPC 13:0","LPC 13:0","0.0368","0.07437","0.85305","0.29527","0.05876","3.64818","2.55019","0.04081","0.63965","0.04121","0.20112","10.05908","0.00954","5.42209","1.0055","0.37315","0.00349","3.0016","2.01811","0.7378","0.32016","2.11066","4.54097","0.12184","3.87461","0.0845","0.53045","1.64261","0.94116","1.50743","3.82422","2.45058","0.56673","0.6417","1.24184","0.33865","0.75238","0.91146","0.40563","0.3477","1.72275","1.07512"
"LPC 14:0","LPC 14:0","0.19913","0.00502","0.18408","0.00845","0.58771","7.24506","1.8358","0.00036","1.51546","0.12317","4.44997","0.03111","0.89707","0.75316","2.32224","1.64762","2.08184","0.03623","3.42062","0.00146","0.12123","0.18935","2.92575","0.57829","2.94014","0.26932","0.5892","1.66882","0.54982","0.00204","1.88122","0.43011","5.42935","3.36862","0.34714","0.04607","0.00667","0.79779","0.79864","0.00061","0.85595","0.04414"
"LPC 15:0","LPC 15:0","0.65206","0.28482","0.00117","1.66249","0.0286","0.06306","1.02624","1.4863","3.42573","0.0002","0.47811","0.09069","0.0501","0.09548","0.46722","1.37681","4.06178","1.23289","4.17079","5.17636","0.2907","0.83026","1.85488","0.04309","0.15238","6.75777","0.14933","0.30703","2.80688","1.45292","1.34017","0.90489","4.80965","2.36853","0.83814","0.25232","0.61387","0.38963","0.22154","0.58169","0.95058","1.86897"
"LPC 16:0","LPC 16:0","1.01557","0.70846","0.19116","2.45573","0.57548","0.02413","0.0763","2.18645","0.17352","0.80736","0.88505","0.2308","0.15426","0.0378","0.05768","0.00454","0.62602","0.01067","0.19361","0.89006","0.26558","0.43775","0.00121","0.10562","0.40308","0.00532","0.25189","0.99474","0.05583","3.5682","0.73191","1.3042","0.13312","0.02457","0.36522","0.26132","0.3635","0.01626","0.466","0.96526","1.96927","8.31881"
