"","LPC","PC","PI","PE","CAR","PC O-","CE","Cer","DG","LPC O-","FA","SM","TG"
"TG",0.056316343894336,0.444453447856738,0.442832833643951,0.303297949923021,0.122399381566134,0.299538054019891,0.177383412487076,0.399967589358569,0.703265537638765,-0.153229073818977,0.0619884936390892,0.255327769224536,1
"SM",0.427436998622478,0.577505874726521,0.567133943764687,0.327607163114821,0.000324451640997042,0.620147507943778,0.32583768917795,0.47566560931012,0.101369419009805,0.419820111822381,0.0751154687626611,1,0.255327769224536
"PI",0.54363503767928,0.841341868568187,1,0.461631958512276,-0.011842484896392,0.551908589793143,-0.137352619536589,0.485553359239552,0.575561137671177,0.157280609350944,0.231504740296572,0.567133943764687,0.442832833643951
"PE",0.208816141317559,0.462118142776112,0.461631958512276,1,0.0774628292880439,0.136315748609701,-0.146266358857548,0.264537834177582,0.397131512843368,0.0136941900980472,-0.0196904626853578,0.327607163114821,0.303297949923021
"PC O-",0.342815467668868,0.649809555500942,0.551908589793143,0.136315748609701,0.195838305748042,1,0.160392269289156,0.446236777410247,0.216224980553319,0.435772758783807,0.20795850828329,0.620147507943778,0.299538054019891
"PC",0.524835912810955,1,0.841341868568187,0.462118142776112,0.0386908581888973,0.649809555500942,-0.0230946882406654,0.647080290463792,0.523863544283283,0.111741349971639,0.176890041325662,0.577505874726521,0.444453447856738
"LPC O-",0.563244469653999,0.111741349971639,0.157280609350944,0.0136941900980472,0.0150058883961132,0.435772758783807,0.125035452474901,0.182437090911072,-0.0472409043027307,1,0.501012883882992,0.419820111822381,-0.153229073818977
"LPC",1,0.524835912810955,0.54363503767928,0.208816141317559,0.110719122490241,0.342815467668868,-0.0303877476850861,0.535964674453539,0.146098371282716,0.563244469653999,0.396321205736974,0.427436998622478,0.056316343894336
"FA",0.396321205736974,0.176890041325662,0.231504740296572,-0.0196904626853578,0.197996613918445,0.20795850828329,-0.0111016571542848,0.201645260855951,0.238473381411555,0.501012883882992,1,0.0751154687626611,0.0619884936390892
"DG",0.146098371282716,0.523863544283283,0.575561137671177,0.397131512843368,-0.0119235978066413,0.216224980553319,-0.0798995179133197,0.327835643152059,1,-0.0472409043027307,0.238473381411555,0.101369419009805,0.703265537638765
"Cer",0.535964674453539,0.647080290463792,0.485553359239552,0.264537834177582,0.063118631838279,0.446236777410247,0.400915874938304,1,0.327835643152059,0.182437090911072,0.201645260855951,0.47566560931012,0.399967589358569
"CE",-0.0303877476850861,-0.0230946882406654,-0.137352619536589,-0.146266358857548,-0.223150657307044,0.160392269289156,1,0.400915874938304,-0.0798995179133197,0.125035452474901,-0.0111016571542848,0.32583768917795,0.177383412487076
"CAR",0.110719122490241,0.0386908581888973,-0.011842484896392,0.0774628292880439,1,0.195838305748042,-0.223150657307044,0.063118631838279,-0.0119235978066413,0.0150058883961132,0.197996613918445,0.000324451640997042,0.122399381566134
