"","KT-718D10","KT-347D10","KT-565D10","BS-064D10","JV-157D10","KT-247D10","BS-671D10","KT-771D10","KT-538D10","KT-805D10","KT-412D10","KT-445D10","KT-539D10","KT-352D10","BS-336D10","KT-695D10","BS-364D10","KT-663D10","KT-525D10","KT-193D10","BS-346D10","KT-312D10","KT-417D10","JV-048D10","KT-705D10","KT-716D10","KT-537D10","KT-723D10","KT-926D10","JV-148D10","KT-522D10","JV-138D10","KT-612D10","BS-377D10","BS-082D10","KT-434D10","KT-313D10","KT-880D10","KT-974D10","JV-035D10","KT-515D10","BS-351D10"
"BS-671D10",0.883778087734357,0.893443277689487,0.881890029886706,0.812769970940677,0.884171331318036,0.909628828601024,1,0.807955514259841,0.795725005576849,0.878557044042714,0.904562721899266,0.861680965300742,0.870855011621665,0.878760787366395,0.82341772736787,0.85296331457814,0.8785587666936,0.852316838080003,0.87281949505478,0.846840370280535,0.861637055720601,0.785832456478824,0.908907694175718,0.883825528623276,0.897517469658992,0.943749183951526,0.925145469408172,0.854662031721402,0.808801910929563,0.809058734619699,0.782361516259831,0.791465372246286,0.804435050295964,0.843324449505495,0.769402931197211,0.910480684851227,0.800978823029358,0.817233206196365,0.843696188151725,0.793972620419234,0.784256949427466,0.878343940289584
"KT-974D10",0.79158147629945,0.84544995107574,0.802733366923096,0.809847417715125,0.819276090527286,0.82951965468371,0.843696188151725,0.754353356108831,0.771195344950476,0.787266856533883,0.799557596894663,0.815927077444884,0.878362934224737,0.778870982856289,0.772577501072355,0.823223362535937,0.809496232698555,0.806701157617913,0.817790667488941,0.785132206129736,0.776325471018005,0.741709575540099,0.846312419754346,0.808794885344213,0.794649961784082,0.813033032663996,0.836558918453259,0.76166607782353,0.894057069825743,0.741218415559875,0.856172253511754,0.742735701821221,0.739554803201522,0.72926395408853,0.858960297641206,0.819573415717482,0.733718084874178,0.807983459207014,1,0.820976569641503,0.723038330916495,0.830809477302515
"KT-880D10",0.81152447707994,0.84952157998558,0.832416789058964,0.876108492060725,0.872467922288476,0.885753171341811,0.817233206196365,0.842186434341147,0.825915981066166,0.806017837232182,0.76824056753402,0.851633496996089,0.876552616141206,0.83949339091102,0.86444596351216,0.824479450711343,0.853220972690673,0.883403277456169,0.873017848017786,0.865997434721662,0.846477490749832,0.817157094682674,0.840890937019969,0.780861940794714,0.811361157717196,0.762573041937848,0.801896168500843,0.772643065867525,0.821909812057371,0.777650281038738,0.850985717318048,0.838539714545565,0.865245154748764,0.833636458611488,0.806607700795514,0.802031985293971,0.789720839436898,1,0.807983459207014,0.822581363670933,0.801354238878389,0.860311647519922
"KT-805D10",0.921861151008392,0.892249556449259,0.830098280479621,0.789090546011269,0.885029838939899,0.853432914706306,0.878557044042714,0.866759140641332,0.847772790536633,1,0.923542839253554,0.862365858982801,0.799835943692434,0.929410915334611,0.8673426596077,0.870950993337901,0.836959310105335,0.846805039681782,0.878645765329495,0.846113552689274,0.870375746740259,0.824606678406458,0.822266735078335,0.911197338228616,0.839007785153094,0.848354977162011,0.917294295656195,0.948315801133737,0.844649873889153,0.879588936936037,0.78633662879649,0.828947732241076,0.849514973234284,0.866355143062243,0.813525735949222,0.926685171989075,0.822883783922019,0.806017837232182,0.787266856533883,0.776789376263407,0.884198091858379,0.880280803121922
"KT-771D10",0.908638034511428,0.867651418679873,0.806910069555386,0.812942689092854,0.868983230235452,0.855467825930703,0.807955514259841,1,0.900052535207806,0.866759140641332,0.868739919204088,0.908674760980166,0.825082873271543,0.908000264213633,0.930270925405596,0.893875644979249,0.856206268874444,0.879032307616684,0.888550260910152,0.946106781815304,0.903965468254362,0.846678607417603,0.809786849704071,0.8479981320815,0.851858565350951,0.809430837859759,0.82148348753463,0.867589363896013,0.788049622729619,0.880935739709454,0.797291526500167,0.898514881903311,0.927644383274033,0.893886560817952,0.789256122179966,0.823054294693389,0.75006874226618,0.842186434341147,0.754353356108831,0.776363186701848,0.946785583176589,0.825580502267547
"KT-723D10",0.903202962876973,0.884791033986823,0.776950490794616,0.751606397024222,0.815280088366253,0.797776610321542,0.854662031721402,0.867589363896013,0.826037266321353,0.948315801133737,0.89522080284122,0.817852808802766,0.772611645011758,0.881090156670353,0.860143566174944,0.82702472699329,0.798411042845823,0.802056867236769,0.82418958173876,0.813153524868507,0.824340661137414,0.829141768694676,0.788621707760448,0.917579379103856,0.818742088914722,0.834229404449474,0.900617673679399,1,0.823690072048005,0.91970088681158,0.779653206198511,0.823018786774802,0.842176005514395,0.819464200682833,0.795613463774942,0.920484866759462,0.79655781048906,0.772643065867525,0.76166607782353,0.726005428654188,0.900555617855182,0.837435828116999
"KT-716D10",0.895604100198755,0.868679079499576,0.832448017794382,0.751359845652069,0.84893846784935,0.861179127179597,0.943749183951526,0.809430837859759,0.740205716813724,0.848354977162011,0.904818814425382,0.821828839678522,0.856370412020128,0.825694978887011,0.777473114068546,0.840348023245553,0.833216844992296,0.781889792808514,0.818678541859327,0.848033229339041,0.825124616941303,0.743881645242952,0.885572261597433,0.844793791628776,0.910809141863549,1,0.884900452079638,0.834229404449474,0.754783468921277,0.746796048499099,0.739251053008586,0.736999840243813,0.773289420931706,0.835125470051859,0.733960681668733,0.858468321132297,0.746383546185438,0.762573041937848,0.813033032663996,0.745729984808704,0.773931663984107,0.823648054972015
"KT-695D10",0.878308796425606,0.924737938412209,0.826662734201602,0.786685550671002,0.887213667760473,0.906947736445157,0.85296331457814,0.893875644979249,0.844993248755588,0.870950993337901,0.91114750018925,0.924536591136759,0.849695772467405,0.899631330742408,0.863148435459838,1,0.869415079110843,0.907700720901974,0.889825066978909,0.89392924622498,0.919476984444249,0.813510478640449,0.839176952228686,0.803551815617447,0.867735815750996,0.840348023245553,0.864363924599159,0.82702472699329,0.839707461394466,0.820166760885725,0.810661558581434,0.814932925340943,0.803507569989291,0.842764339292935,0.764164898862633,0.821244454583688,0.771471407869838,0.824479450711343,0.823223362535937,0.769459532532449,0.837964755114648,0.813000874066026
"KT-663D10",0.833492833257255,0.894372136106974,0.909860643448768,0.851534501908091,0.926507658301567,0.950552235829921,0.852316838080003,0.879032307616684,0.879698982475975,0.846805039681782,0.86469070185818,0.911069567675179,0.870173918657735,0.906325893907437,0.93500831808845,0.907700720901974,0.926601586811581,1,0.937017755952398,0.887305661676861,0.917489381648618,0.872176616609728,0.876082187925527,0.817768881952466,0.862672930022847,0.781889792808514,0.848442302760017,0.802056867236769,0.824547767100057,0.853514553920942,0.841599154527669,0.863743333251407,0.83888613241716,0.847283837589402,0.790311431445494,0.831550650216665,0.80406861630799,0.883403277456169,0.806701157617913,0.857937028509767,0.840490392319701,0.893305252955474
"KT-539D10",0.849309134479762,0.879337014878264,0.869885129513748,0.826461032727801,0.893423144572057,0.897107798576671,0.870855011621665,0.825082873271543,0.811769386511234,0.799835943692434,0.832790571942872,0.860103165317411,1,0.800616903723288,0.8426787999346,0.849695772467405,0.908434293861105,0.870173918657735,0.860985107413515,0.855442378037726,0.858599962827262,0.803068845492381,0.898810749038801,0.789465033475617,0.866427645429087,0.856370412020128,0.83127212958723,0.772611645011758,0.862917323358819,0.734343581748806,0.862598234090532,0.787034903551213,0.828995614406619,0.796179381073322,0.831206336137242,0.817142277880875,0.712586311614284,0.876552616141206,0.878362934224737,0.818502446256313,0.788047761052198,0.875776893691478
