"feature","BS-064D10","JV-035D10","JV-048D10","KT-515D10","KT-926D10","JV-148D10","JV-157D10","KT-193D10","KT-247D10","KT-312D10","KT-347D10","KT-352D10","KT-417D10","KT-434D10","KT-522D10","KT-525D10","KT-565D10","KT-612D10","KT-705D10","KT-718D10","JV-071D10","BS-082D10","BS-336D10","BS-346D10","BS-351D10","BS-364D10","BS-377D10","JV-138D10","KT-313D10","KT-412D10","KT-445D10","KT-537D10","KT-538D10","KT-539D10","KT-663D10","KT-695D10","KT-716D10","KT-723D10","KT-771D10","KT-805D10","KT-880D10","KT-974D10","BS-671D10"
"DG 30:0","0","1.25","0","0","0","0.58","0","0","0","1.15","0","0.59","0","0","0","0","0","0.57","0.53","0","0","0","0","0","0","0","0.96","0.59","0.47","0","0","0","0","0","0","0","0","0","0.46","0","0","0","0"
"DG 32:0","1.41","2.79","0.99","1.8","0.9","1.96","1.1","1.39","1.38","5.25","0.51","2.02","0.49","0.53","0","1.61","2.02","4.39","1.15","0.83","0","0.86","1.31","4.61","1.61","0.73","2.38","4.41","0.99","1.12","1.64","0.44","1.51","0.72","1.85","0.92","0","1.4","2.3","2.45","1.91","0","0.61"
"DG 32:1","1.73","4.1","0.84","1.67","0","2.01","0.8","1.05","1.17","2.77","0.47","1.84","0","0.56","0","0.9","1.5","1.13","1.32","0.78","0","0.76","1.2","2.79","1.22","1.03","2.06","2.71","0.97","0.72","1.07","0.54","1.14","0.65","1.89","0.62","0","0.95","1.65","2.04","1.67","0","0"
"DG 34:1","5.12","8.83","4.05","8.3","4.08","6.74","5.5","4.09","7.51","6.76","3.39","7.86","2.97","3.63","3.42","5.75","6.29","6.42","3.05","6.24","0","3.17","4.69","11.3","5.07","5.72","6.71","9.42","2.6","4.62","6.47","2.24","7.76","4.38","7.58","4.74","1.32","5.43","7.12","10.71","9.87","1.96","3.6"
"DG 34:3","0","0","0","0.43","0","0.37","0","0","0","0.49","0","0.43","0","0","0","0","0","0","0","0","0","0","0","0.73","0","0","0","0.55","0","0","0","0","0","0","0","0","0","0","0.44","0.54","0","0","0"
"DG 36:3","0.92","1.46","2.15","3.33","1.37","1.65","2.24","1.03","1.33","2.72","1.17","2.27","1.02","1.06","0.87","1.73","1.63","2.07","0.99","3.59","0","0.66","1.64","5.12","1.61","1.2","1.33","2.57","0.68","2.86","2.75","1.18","2.22","1.09","2.27","1.6","0.76","2.26","2.38","5.01","1.62","0.75","1.48"
"DG 34:2","0.93","1.66","1.12","1.52","0.63","1.33","1.25","0.96","0.97","1.58","0.74","1.57","0.42","0.56","0","0.88","1.04","1.12","0.47","1.38","0","0","0.79","1.72","1.18","0.84","0.83","1.59","0.48","0.96","1.3","0.43","1.35","0","1.76","0.81","0","1.32","1.53","1.98","1.51","0","0"
"DG 36:1","0.23","0","0.18","0.38","0","0.26","0.32","0.21","0.35","0.29","0.22","0.47","0","0.08","0","0.41","0.26","0.4","0.12","0.31","0","0","0.19","0.34","0.29","0","0.34","0.65","0","0.39","0.31","0.18","0.3","0","0.32","0.18","0","0.3","0.57","0.53","0","0","0"
"DG 36:2","4.09","5.01","3.76","6.82","3.36","3.74","6.6","3.79","3.82","2.39","2.2","4.7","2.31","2.86","3.16","4.69","3.96","4.3","2.67","4.79","0","1.85","3.77","8.56","4.63","3.56","3.35","8.15","0.79","2.95","5.65","1.68","6.28","3.6","4.7","3.57","1.36","4.78","5.5","7.97","5.05","2.28","2.48"
"DG 36:4","0","0","0","0","0","0","0","0","0","1.02","0","0","0","0","0","0","0","0","0","0.37","0","0","0","0","0","0","0","0","0","0.63","0","0","0","0","0","0","0","0","0.42","0","0","0","0"
"CAR 16:0","0","0","0","0","0","0.13","0","0","0","0","0","0.12","0","0","0","0.21","0","0","0.1","0","0","0","0","0.2","0","0.31","0","0","0","0.24","0.11","0","0","0","0","0.16","0","0","0.11","0","0.15","0","0"
"CAR 18:1","0","0","0","0","0","0","0","0","0.13","0","0","0.14","0","0","0","0.29","0","0","0.14","0.11","0","0.16","0.13","0.26","0","0.4","0","0","0","0.4","0.2","0","0","0.13","0","0.27","0.1","0","0.13","0.13","0.18","0","0.14"
"CAR 18:2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13","0","0.17","0","0","0","0.21","0","0","0","0","0","0.13","0","0","0","0","0","0","0"
"CAR 2:0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CAR 3:0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CAR 8:0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CE 16:1","0","0","0.46","0.35","0","0.98","0","0.62","0","3.59","1.31","0","0","0","0","0","0","0.48","0","0","0","1.23","1.18","0","0","0","0","0.85","0","0","0","0","0","0","0","0","0","0.63","0.87","0","0","0","0"
"CE 18:1","0","0","1.39","0","0","0.85","0","0","0","0","0.28","0","0.5","0","0","0","0","0","0","0.89","0","0","0","0","0","0","0","0","0","0.26","0","0","0.29","0.72","0","0","0.12","0.5","0","0","0","0","0"
"CE 18:2","0","0","3.41","1.44","0","2.22","0","1.2","1.33","4.63","3.68","0","1.59","3.16","0","1.08","0","4.01","1.1","2.55","0","2.26","4.5","0","0.82","3.08","0.6","0","0","1.19","0","0","2.34","2.19","0","0.49","4.63","3.1","3.27","2.38","0","0","1.5"
"Cer 34:1;O2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cer 40:1;O2","0.74","0.48","1.34","0.5","0.4","0.83","0.58","1.12","0.67","1.65","0.53","0.56","0.56","0.42","0","1.22","0.8","1.35","0.58","1.05","0","0","1.16","0.66","0.48","0.57","0.66","1.57","0","0.46","0.56","0.47","0.64","0.62","0.77","0.59","0.46","0.55","0.86","0.5","0.49","0","0.44"
"Cer 41:1;O2","0.47","0","1.03","0.38","0","0.64","0","0.92","0.44","1.47","0.46","0.38","0.5","0.3","0","0.77","0.44","1.2","0.49","0.78","0","0","1.02","0.4","0.38","0.5","0.44","1.33","0","0.42","0.41","0.31","0.44","0.42","0.59","0.38","0.43","0.47","0.68","0.34","0.42","0","0"
"Cer 42:1;O2","0","0","0","0","1.28","0","2.01","0","0","0","2.21","0","0","0","1.01","0","0","0.2","0","0","0","0.91","0","0","1.57","0","0","0","0.96","0","0","0","0","0","2.85","0","0","2.59","0","0","0","1.2","0"
"Cer 42:2;O2","1.48","1.01","1.62","0.36","1.18","0.51","1.06","0.55","1.47","1.45","1.28","1","0.9","1.18","0","0.64","0.59","1.31","1.14","1.73","0","0.58","0.46","0.97","0.33","0.91","0.88","0.6","0.57","0.97","1.2","0.5","1.2","1.11","0.48","1.32","0.94","0.39","0.57","1.44","0.88","0.81","1.02"
"Cer 42:3;O2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HexCer 42:1;O2","0","0","1.09","0","0","0","0","0","0","1.78","0","0","1.38","0","0","1.21","0","1.67","0","0.75","0","0","1.18","0","0","1.35","0","2.08","0","0","0","0","0","0","0","0","0","0.94","0.72","0","0","0","0"
"HexCer 42:2;O2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LPC 13:0","0","0","20.12","12.35","0","14.1","0","0","0","10.74","0","15.79","0","12.51","0","0","13.96","0","8.67","10.72","0","0","0","9.76","7.92","0","9.79","17","10.68","13.48","0","9.96","0","0","0","0","12.21","59.17","0","12.37","0","0","14.47"
"LPC 14:0","20.7","30.39","27.77","8.88","0","19.67","11.8","31.26","19.63","0","15.47","16.89","15.92","8.19","0","21.54","17.96","12.18","23.65","15.78","0","0","17.98","14.03","16.61","27.27","28.54","11.96","10.45","22.37","20.11","13.4","13.51","0","14.5","12.69","19.33","11.01","27.73","13.95","0","0","17.24"
"LPC 15:0","0","0","0","9.88","0","17.65","0","14.51","9.68","10.83","0","13.47","0","0","0","22.36","15.22","0","11.99","0","0","0","9.69","18.81","0","12.26","7.54","9.79","0","7.78","12.46","0","12.94","0","16.28","9.99","0","0","13.16","0","0","0","0"
"LPC 16:0","2422.5","1426.34","2009.11","1477.47","1807.41","1721.61","2321.33","3046.04","2399.2","2188.28","2614.76","2222.15","1946.55","973.68","1684.35","3566.29","2650.78","1805.07","2071.86","2498.45","0","1229.7","2281.58","2926.31","1567.67","2876.64","1833.49","1672.44","914.27","2535.84","2595.8","1834.39","2306.54","2396.46","2973.66","2895.04","1835.12","1838.56","2332.85","2292.6","1402.87","1287.04","2163.92"
"LPC 16:1","76.3","70.14","37.19","47.4","24.69","51.69","31.56","95.71","41.38","35.79","47.52","44.83","59.42","21.37","48.86","64.82","50.05","23.56","50.82","37.69","0","31.12","56.18","84.53","44.9","48.95","35.11","52.5","0","36.74","42.88","37.35","55.63","67.19","55.62","78.54","20.5","33.6","52.36","33.08","0","19.22","42.78"
"LPC 17:0","23.44","0","0","25.86","0","27.41","10.12","21.21","17.85","24.2","26.06","24.11","0","0","22.79","37.28","32.63","17.66","29.3","13.41","0","0","17.84","31.71","9.23","15.67","18.71","19.23","0","18.62","26.1","14.03","19.7","20.21","35.03","32.4","17.96","11.83","21.54","9.64","17.41","0","10.94"
"LPC 18:0","900.25","518.9","945.97","644.09","731.95","719.83","816.91","1016.03","832.62","842.41","846.11","866.23","771.22","387.6","723.27","971.28","964.47","779.61","928.82","744.07","0","444.89","907.46","750.57","622.57","934.39","561.37","820.94","419.14","958.69","1013.97","755.6","705.44","1019.33","975.09","1037.01","555.73","625.2","772.18","666.63","506.08","463.1","561.32"
"LPC 18:1","730.94","450.97","518.83","428.82","515.94","398.13","616.49","661.68","535.16","588.64","479.58","457.81","502.08","221.09","616.53","638.31","539.3","413.78","500.09","468.43","0","298.21","449.14","763.5","452.69","622.37","493.16","528.49","163.98","412.58","433.56","605.2","517.34","578.12","573.75","645.56","331.53","576.89","475.31","505.5","241.99","491.17","615.88"
"LPC 18:2","520.44","369.84","572.54","344.85","418.15","328.33","628.6","909.3","518.4","414.63","598.09","427.22","684.65","352.46","321.6","607.33","605.61","369.55","464.13","838.35","0","161.84","293.18","671.71","329.48","383.86","458.72","518.64","90.64","470.79","250.82","659.09","463.89","263.49","412.15","595.74","671.17","577.21","406.98","387.75","43.25","705.91","572.34"
"LPC 18:3","156.46","106.35","100.25","90.45","119.83","69.16","124.95","149.55","112.91","149.05","113.84","94.7","116.66","68.6","107.85","134.36","125.21","81.36","104.56","94.3","0","69.24","135.07","128.02","85.88","155.99","97.8","114.16","67.93","111.57","108.17","99.32","139.82","113.33","126.87","124.2","84.24","71.69","104.56","111.89","114.53","78.55","115.36"
"LPC 20:3","106.44","69.48","81.26","59.89","21.04","73.77","69.05","145.92","77.45","104.75","85.53","114.29","89.27","32.23","40.85","148.3","104.24","54.46","66.42","68.83","0","41.33","82.16","119.32","63.78","77.18","86.22","83.56","33.84","81.45","64.4","103.13","75.78","60.65","106.35","118.26","58.96","86.95","90.87","46.73","31.43","50.84","62"
"LPC 20:4","214.21","104.1","141.29","117.6","113.79","135.58","205.97","231.39","139.5","151.7","159.71","148.9","150.66","86.22","149.37","214.67","162.6","103.54","141.49","165.05","0","71.19","105.02","187.52","75.41","106.65","150.47","146.85","66.62","170.01","192.87","154.08","144.27","163.49","157.64","216.98","168.83","263.42","204.37","152.82","100.07","119.03","141.18"
"LPC 20:5","0","0","0","6.45","0","0","0","21.37","0","10.29","0","7.22","0","0","0","0","0","0","11.2","16.33","0","0","0","11.43","0","0","9.68","0","0","11.86","0","11.81","0","0","0","9.86","8.05","10.5","9.85","8.24","0","0","0"
"LPC 22:5","0","0","12.12","6.64","0","12.45","15.91","14.27","7.94","9.83","20.34","10.26","10","6.91","0","12.05","0","7.14","5.63","9.5","0","0","8.47","11.24","0","0","9.25","8.24","9.97","11.11","9.1","5.9","0","0","13.45","16.18","9.62","25.26","17.41","15.11","12.2","0","10.14"
"LPC 22:6","24.4","22.6","27.01","38.76","30.43","45.75","23.86","45.7","40.27","41.23","46.59","31.31","21.41","15.86","27.94","35.84","27.43","20.61","30.11","49.44","0","12.76","27.97","61.22","10.81","24.54","31.02","27.22","21.05","51.86","35.45","36.55","19.81","18.47","29.01","53.32","26.69","75.11","37.87","26.14","26.97","20.19","30.75"
"LPC O-16:0","0","0","20.79","11.54","0","10.33","14.6","13.67","19.1","18.2","24.81","15.52","17.18","8.36","0","19.82","13.83","12.73","14.26","11.65","0","0","16.1","23.58","12.54","39.08","10.55","0","14.75","20.81","27.12","21.2","10.73","25.7","17.15","20.02","12.96","14.7","25.31","12.09","14.43","0","21.03"
"LPC 16:0/16:1","0","0","11.62","6.76","0","15.63","11.5","13.78","10.44","14.74","19.21","10.38","12.9","5.75","0","14.4","15.14","12.29","14.87","14.35","0","0","11.69","13.64","8.8","22.5","9.67","0","10.74","17.83","18.64","11.14","0","17.69","17.75","22.62","14.64","14.66","13.78","13.49","0","0","15.98"
"LPC 16:1/16:2","53.09","34.11","43.77","30.32","25.52","39.78","38.25","59.23","45.9","47.08","58.01","42.9","41.83","21.45","23.13","67.57","50.88","40.4","45.97","55.42","0","22.51","47.71","69.99","32.95","63.51","46.56","34.14","18.92","61.32","49.85","33.28","47.99","35.87","55.77","62.99","47.18","33.96","51.73","46.33","25.82","18.45","36.51"
"LPC 18.0/18:1","0","0","15.21","7.06","0","9.04","10.97","0","16.86","10.62","19.46","8.02","11.36","5.99","0","15.9","0","10","12.22","9.81","0","0","13.6","17.85","7.06","23.14","0","0","11.45","16.62","19.98","16.84","0","20","13.72","17.61","8.54","13.71","19.2","11.58","0","0","16.09"
"LPC 18:1/18:2","0","0","13.14","9.6","0","10.11","0","0","10.74","14.38","10.99","11.12","0","0","0","16.52","12.56","9.9","13.57","12.43","0","0","11.14","17.13","7.05","13.65","8.37","10.78","0","15.5","17.29","12.65","10.27","0","16.37","18.72","11.2","8.18","16.33","0","0","0","0"
"PC 30:0","3","5.55","2.27","0.9","0","2.41","0.95","4.29","2.87","6.67","1.03","1.89","1.48","0.8","1.58","1.47","2.59","2.37","4.01","1.71","0","0.82","1.49","2.3","2.78","2.14","3.5","2.63","2.97","0.66","1.09","0.97","1.12","0.99","2.17","0.73","2.19","0.84","2.5","0.64","4.59","0.7","1.27"
"PC 32:0","15.53","17.53","13.29","9","9.43","12.67","10.13","19.46","16.71","26.53","12.76","14.14","16.26","6.88","12.66","16.39","17.46","19.66","15.2","16.71","0","6.3","11.79","24.07","13.82","16.83","12.11","18.81","7.7","8.25","12.26","8.77","10.28","14.04","15.36","10.48","10.35","10.85","15.68","8.53","23.75","8.95","11.94"
"PC 32:1","34.11","41.57","13.3","12.1","7.86","23.53","9.36","38.69","17.27","50.39","10.74","17.45","18","6.24","22","13.74","19.74","12.97","19.13","12.14","0","9.33","19.25","28.87","23.34","15.7","15.4","37.16","10.11","4.43","8.3","6.47","18.94","19.95","23.43","12.73","6.21","7.28","17.5","8.22","38.14","6.59","9.22"
"PC 32:2","1.23","2.74","1.97","0.54","0","0.88","0.79","2.43","1.25","2.5","0.88","0.87","1.46","0.6","0","0.76","1.02","0.97","1.52","1.84","0","0","0.97","1.51","1.02","1.07","1.39","1.32","0.48","0.82","0.59","0.68","1.05","0.64","1.25","0.76","1.25","0.61","0.81","0.72","1.53","0","1.15"
"PC 34:0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PC 34:1","428.53","390.04","244.36","254.57","212.69","293.89","255.44","494.92","379.98","462.98","249.96","369.48","319.14","153.01","304.57","379.71","377.45","357.56","331.55","361.23","0","170.24","313.97","537.1","307.8","338.61","336.35","537.14","106.69","141.88","250.27","178.12","300.4","380.06","319.48","257.03","195.49","177.73","309.87","236.44","474.66","199.41","184.63"
"PC 34:2","356.37","339.69","423.47","283.49","300.05","196.42","393.35","500.7","474.54","551.49","355.02","368.42","526.49","244.94","140.82","454.69","383.64","448.3","408.34","709.03","0","88.29","306.47","609.2","349.82","316","363.77","464.09","70.67","273.15","225.99","270.19","389.47","235.88","320.84","234.94","370.32","227.56","299.94","291.04","264.05","375.73","276.27"
"PC 34:3","10.33","10.39","8.11","6.33","3.94","7.11","5.59","15.6","7.71","15.16","6.66","6.87","9.69","3.28","6.01","7.44","8.1","5.64","12.17","12.86","0","3.49","6.39","14.92","7.26","5.89","6.5","12.84","2.27","4.24","4.46","4.41","11.17","6.23","9.3","8","4.64","3.74","7.01","4.32","6.4","3.84","4.69"
"PC 34:4","0.75","0.68","0.61","0.42","0","0.65","0","1.41","0.66","0.65","0","0.54","0.68","0","0","0","0","0.52","0.97","0.66","0","0","0.6","0.92","0","0","0.94","0.99","0.48","0.6","0.6","0","0.61","0","0","0","0.91","0","1.18","0","1.29","0","0"
"PC 36:0","0","0","0","0","0","0","0","0","0","0","0.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.53","0","0","0","0","0","0","0","0.18","0","0","0","1.39","0.02"
"PC 36:1","91.48","54.98","47.81","67.89","34.49","65.46","49.54","90.12","66.54","96.08","36.69","86.1","46.81","23.97","77.61","75.97","80.34","81.96","88.17","50.47","0","38","62.47","172.91","82.83","72.26","49.7","149.05","20.38","23.01","46.27","35.16","58.2","106.89","87.59","59.92","28.49","27.01","77.21","31.35","51.58","10.68","18.96"
