"feature","BS-064D03","JV-035D03","JV-048D03","KT-515D03","KT-926D03","JV-148D03","JV-157D03","KT-193D03","KT-247D03","KT-312D03","KT-347D03","KT-352D03","KT-417D03","KT-434D03","KT-522D03","KT-525D03","KT-565D03","KT-612D03","KT-705D03","KT-718D03","JV-071D03","BS-082D03","BS-336D03","BS-346D03","BS-351D03","BS-364D03","BS-377D03","JV-138D03","KT-313D03","KT-412D03","KT-445D03","KT-537D03","KT-538D03","KT-539D03","KT-663D03","KT-695D03","KT-716D03","KT-723D03","KT-771D03","KT-805D03","KT-880D03","KT-974D03","BS-671D03"
"DG 32:0","-0.10791","-0.0655","0.01703","0.04532","-0.04096","-0.01323","-0.04576","0.30103","0.08279","0.05308","-0.22915","-0.4318","-0.60534","-0.38074","0.15229","-0.4318","-0.17393","0.25768","-0.29243","-0.33724","0.27184","-0.70624","-0.31876","0.20412","-0.05552","-0.05061","-0.00436","-0.22915","-0.41477","-0.09691","-0.23657","-0.40121","-0.11351","-0.61603","-0.20066","-0.02228","-0.25181","-0.18046","-0.11351","0.04139","-0.01773","-0.38722","0.32015"
"DG 32:1","-0.0655","0.00432","0.07918","-0.07572","-0.4318","0.25527","0.15836","-0.16749","-0.94631","0.16732","-0.42022","-0.81564","-0.7144","-0.87256","-0.89345","-0.91604","-0.46062","-0.03152","-0.93212","-0.95251","-0.24413","-0.5631","-0.3279","-0.284","-0.24413","-0.56834","0.03342","-0.54523","-0.6002","-0.18046","-0.46852","-0.64191","-0.42022","-0.50924","-0.64298","-1.06769","0.12057","-0.00877","-0.70519","-0.29039","-0.51124","-0.99375","-0.05552"
"DG 34:1","0.61278","0.68664","0.5977","0.89542","0.46982","0.96095","0.85431","0.97635","0.68485","0.82802","0.49693","0.34242","0.46538","-0.01773","0.67669","0.38739","0.42325","0.91116","0.36361","0.61805","0.81023","0.29447","0.54531","0.79727","0.54777","0.60423","0.87274","0.51587","0.21748","0.72181","0.43616","0.30535","0.70415","0.32428","0.36549","0.3927","0.77159","0.72591","0.86923","0.73719","0.43775","0.33244","0.78675"
"DG 36:3","0.25042","0.38739","0.22272","0.58659","0.17026","0.78888","0.42813","0.48001","0.46835","0.39967","0.10037","0.02531","0.31597","-0.38722","0.45788","0.11727","0.08279","0.52244","0.01284","0.3075","0.55023","-0.74954","0.31387","0.48144","0.28103","0.08279","0.41664","0.11727","-0.03152","0.35411","0.08636","0.26007","0.43136","0.11059","0.14613","0.17319","0.25527","0.48572","0.52892","0.39445","-0.07572","0.14301","0.54531"
"DG 34:2","0.06446","0.08279","0.01284","0.20683","-0.20761","0.39794","0.16137","0.19312","0.04532","0.3962","-0.14874","-0.23657","-0.04576","-0.81543","0.02531","-0.4437","-0.49026","0.2878","-0.46852","-0.13668","0.14301","-0.39263","0.0607","0.13354","-0.04096","0.0086","0.08279","-0.03621","-0.70655","0.04532","-0.38722","-0.75548","0.08991","-0.19382","-0.16115","-0.08619","0.09691","0.15229","-0.03152","-0.0655","-0.49662","-0.37675","0.22789"
"DG 36:1","-0.48149","-0.92082","-0.72125","-0.48149","-0.56864","-0.74473","-0.48149","-0.31876","-0.14267","-0.13668","-0.63827","-0.85387","-0.55496","-0.52182","-0.39794","-0.79588","-0.41254","-0.26761","-0.82391","-0.67778","-0.52288","-0.27108","-0.92082","-0.23657","-0.72125","-0.34679","-0.79588","-0.24413","-0.29631","-0.58503","-0.85387","-0.40968","0.04532","-0.4318","-0.49485","-0.61979","-0.56864","-0.46852","-0.4437","-0.33869","-0.73908","-1.30103","-0.3279"
"DG 36:2","0.73719","0.76641","0.45179","0.95424","0.48714","0.80209","0.86451","0.72754","0.54654","0.80686","0.5302","0.47129","0.7364","0.03342","0.78817","0.41664","0.47567","0.90037","0.29447","0.51455","0.60206","0.0607","0.549","0.8651","0.64836","0.83059","0.71181","0.63246","0.2833","0.67578","0.33244","0.59218","0.85733","0.65225","0.55145","0.4456","0.72509","0.83378","0.75891","0.76567","0.36549","0.5302","0.88309"
"CAR 18:1","-0.82317","-0.10237","-0.94865","-0.60206","-0.97015","-0.82391","-0.50864","-0.92082","-0.61979","-0.94216","-0.58503","-0.72125","-0.37675","-0.67778","-0.45593","-0.50864","-0.33724","-0.82391","-0.56864","-0.46852","-1.02563","-0.44145","-0.4437","-0.67778","-0.85387","-0.36653","-0.65758","-0.90811","-0.55328","-0.34679","-1.00969","-0.33621","-0.50864","-0.55284","-0.63118","-0.85387","-0.65758","-0.36653","-0.52288","-0.65758","-0.56604","-0.37675","-0.43859"
"CE 18:2","0.16435","0.55751","-0.22915","-0.83234","0.43616","0.04532","-0.95828","0.13988","0.50786","-0.91019","0.28556","-0.66038","0.03342","0.45788","-0.81792","-0.98395","-0.5295","-0.64644","0.75815","0.7007","-0.04096","-0.04576","0.6464","0.77085","0.39967","-0.57216","-0.8627","-0.71928","-0.31324","0.35025","-0.02687","-1.08123","0.20952","-0.90175","-0.31876","0.52763","-0.89214","-1.16491","-0.87575","-0.46316","-0.3098","0.85187","0.48855"
"Cer 40:1;O2","-0.14874","-0.64678","-0.46852","-0.23657","0.24551","-0.6093","-0.42022","-0.13077","0.13988","-0.36653","-0.37675","-0.78458","-0.10237","-0.3953","-0.09691","-0.34679","-0.35655","-0.14267","-0.16115","-0.22915","0.10721","-0.19546","-0.22915","-0.01323","-0.14267","-0.07572","-0.639","-0.16115","-0.33084","-0.4437","-0.52288","-0.36167","-0.04576","-0.18046","-0.20066","-0.17393","-0.19382","-0.36653","-0.07572","-0.38722","-0.4688","-0.20761","0.23553"
