"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"BS-064D03","BS-064D03","3","-4.14562","3.9205","0.85301","-2.172","1.27105","-0.02995","2.38006","-1.27491","0.10835","-0.85257","0.84096","-0.2479","0.11369","0.07016","-0.55334","0.19179","0.83746","-0.61586","-1.02728","0.3951","0.37723","0.18627","0.52194","0.13304","-0.63922","-0.50798","0.91283","0.30764","0.32274","0.46745","0.61944","0.78222","-0.1574","-0.08711","-0.40659","-0.68565","1.18977","0.12114","0.25488","0.66088","-0.09194","-0.16541","0"
"JV-035D03","JV-035D03","3","-3.95736","5.06718","4.20985","1.65084","-0.73658","-4.26651","-0.64464","0.06839","0.82162","-0.72187","-1.433","-0.67248","1.62031","0.26859","-1.20728","0.83297","-0.53043","-0.58862","0.90073","-0.7616","1.45987","-0.3282","0.06801","0.34442","0.92795","0.13565","0.43633","-0.75881","-0.19988","-0.89551","-0.59291","0.72104","0.07488","-0.0326","0.05448","-0.31425","-0.32923","0.02678","0.22586","0.30564","0.3227","0.44743","0"
"JV-048D03","JV-048D03","3","0.23736","1.76887","4.90869","-3.01054","-0.35839","2.33576","1.66835","-0.05947","2.47428","-1.54938","0.0156","-0.41795","1.7226","-1.25981","1.02396","0.17927","-0.15722","1.22718","-0.02803","0.67906","0.41672","0.38519","0.23879","1.22509","-1.30979","-0.49408","-0.93551","0.22029","-0.49136","-0.6162","0.61406","-0.44481","-0.14954","0.61249","-0.10597","0.01605","0.02591","0.39325","0.12504","-0.4064","0.48805","0.08236","0"
"KT-515D03","KT-515D03","3","-3.74442","-0.20077","0.49251","2.97112","-0.61155","-0.39585","-1.49321","1.23496","-1.27767","-0.5181","0.6969","-0.33262","-1.76699","0.21611","-0.00221","-0.29407","0.02825","0.4438","-0.4493","0.81569","-0.72206","-1.91983","1.21842","0.94425","-0.335","-0.39062","0.02315","-0.64306","0.11738","0.81598","0.20519","1.0698","-0.30293","0.80259","-0.00371","0.66336","0.19147","-0.50675","-0.2697","-0.17806","0.2291","0.35304","0"
"KT-926D03","KT-926D03","2","-2.26813","-4.79337","-2.57827","-2.85388","2.16507","2.70121","-0.65473","-0.13796","-0.25951","-1.00959","0.66926","2.58303","-0.28296","1.07233","-0.37034","0.48214","-0.90732","-0.35317","-0.9364","0.47813","0.92967","-0.00134","-0.37101","-0.76709","1.34347","-0.61648","-0.62967","0.36764","1.03278","-0.93943","0.19663","-0.30376","-0.78093","0.02478","-0.33198","0.51313","0.15275","-0.00412","0.01656","0.27317","0.17669","0.4181","0"
"JV-148D03","JV-148D03","1","4.66565","3.26397","3.62866","2.70733","1.41855","1.90904","-2.03218","4.20386","0.41771","-0.74196","2.13052","0.06229","-1.68222","1.38517","-0.28149","0.13749","-0.00162","1.39399","-1.10652","-1.17026","0.44582","-0.41603","0.5413","-2.187","-0.28445","0.43198","0.15972","-0.38561","-0.66768","-0.10813","0.4919","-0.14268","-0.08777","-0.33096","0.14804","-0.38504","-0.10017","0.34474","0.03375","-0.02859","0.12747","-0.09588","0"
"JV-157D03","JV-157D03","3","-1.00949","2.69191","2.34811","0.12115","-0.55414","-0.41349","-0.8819","1.19285","-1.22811","-0.7437","1.33258","-0.55638","-1.44388","-0.76591","0.13954","-0.61056","-0.3628","0.16063","1.03748","-1.55626","0.06101","0.67429","-0.25659","1.50809","-0.0117","-0.92467","0.37609","0.37115","0.26464","0.50106","-0.34695","-0.70831","-1.49716","-0.26011","-0.36562","-0.28385","-0.22972","0.22175","-0.12161","-0.1011","-0.51724","0.21949","0"
"KT-193D03","KT-193D03","3","-2.25776","1.31655","-2.7129","4.76178","0.76706","2.07816","2.43184","0.31669","-0.10508","-0.5449","-1.42886","2.20503","-0.59214","-0.59743","0.49211","-0.65302","-0.51319","0.92927","-0.03858","-1.24397","-0.04496","-1.03837","-0.13358","1.04061","-0.45732","0.07104","0.31242","-0.24356","1.14616","-0.40461","-0.20541","-0.90749","0.47573","0.33283","0.59221","-0.66182","-0.12009","-0.42098","-0.20885","0.41092","0.21412","-0.20947","0"
"KT-247D03","KT-247D03","3","-4.83067","-0.51499","-3.7426","1.43808","3.46508","-0.82819","0.4924","-2.48061","-3.74008","-2.44505","-0.9169","0.58369","-1.32652","-0.77564","-1.08213","0.08872","1.05712","-0.3973","-0.73476","0.70653","0.21488","0.137","0.83369","-0.06281","-1.0112","0.3419","-0.61542","-0.37785","-1.02271","0.04358","-0.65859","-0.69207","0.12445","-0.634","-0.46985","-0.18383","-0.28274","0.0371","0.39799","-0.16984","0.16044","0.14316","0"
"KT-312D03","KT-312D03","3","-6.63767","3.46097","3.22239","0.79886","-0.14793","-0.60762","2.59256","-0.38761","0.40125","0.35042","-0.77406","0.27598","-2.9565","0.53388","1.06485","-0.32554","2.68013","0.22752","-0.73366","0.38713","-0.85011","0.0654","-1.891","0.03967","0.01791","-0.31932","0.2834","0.34446","0.30534","-1.07252","-0.25271","0.74861","-0.00473","-0.42322","0.32045","0.51674","-0.24227","0.2231","0.11604","-0.20838","-0.04932","-0.086","0"
