"","LPC","PC","PI","CAR","CE","Cer","PC O-","DG","LPC O-","FA","SM","TG"
"TG",0.366958622772576,0.542887345212927,0.663545756569012,-0.120264414876177,0.29130172153428,0.363485351857445,0.34297806412395,0.434913923286016,0.0567804288734521,0.155542132286318,0.157203261854425,1
"SM",0.314859559045606,0.481274539414074,0.342494714587738,-0.141038732772502,0.053156146179402,0.636212624584718,0.526932157987787,0.261250377529447,0.242977952280278,0.280730897009967,1,0.157203261854425
"PI",0.62745394140743,0.722742373905165,1,-0.0712370246408511,0.073542736333434,0.426608275445485,0.318047940520227,0.57278767743884,0.174569616430082,0.216399879190577,0.342494714587738,0.663545756569012
"PC O-",0.0169222657188909,0.656568800727148,0.318047940520227,-0.18990212023689,0.118833589177748,0.450479778936369,1,0.313061915799482,0.186900381198822,0.0948855613523528,0.526932157987787,0.34297806412395
"PC",0.408033826638478,1,0.722742373905165,-0.213333359051711,-0.110993657505285,0.493657505285412,0.656568800727148,0.677740863787376,0.149199637571731,0.238749622470553,0.481274539414074,0.542887345212927
"LPC O-",0.588945937783147,0.149199637571731,0.174569616430082,0.0305949045382234,-0.0249169435215947,-0.10555723346421,0.186900381198822,0.200996677740864,1,-0.079734219269103,0.242977952280278,0.0567804288734521
"LPC",1,0.408033826638478,0.62745394140743,-0.0453257845010717,0.027786167321051,0.218363032316521,0.0169222657188909,0.487315010570825,0.588945937783147,0.181516158260344,0.314859559045606,0.366958622772576
"FA",0.181516158260344,0.238749622470553,0.216399879190577,0.297488232275367,0.0416792509815766,0.33615221987315,0.0948855613523528,0.24509211718514,-0.079734219269103,1,0.280730897009967,0.155542132286318
"DG",0.487315010570825,0.677740863787376,0.57278767743884,-0.200944311288085,-0.183177287828451,0.218514044095439,0.313061915799482,1,0.200996677740864,0.24509211718514,0.261250377529447,0.434913923286016
"Cer",0.218363032316521,0.493657505285412,0.426608275445485,-0.148970745060189,0.172606463304138,1,0.450479778936369,0.218514044095439,-0.10555723346421,0.33615221987315,0.636212624584718,0.363485351857445
"CE",0.027786167321051,-0.110993657505285,0.073542736333434,-0.0492540191578313,1,0.172606463304138,0.118833589177748,-0.183177287828451,-0.0249169435215947,0.0416792509815766,0.053156146179402,0.29130172153428
"CAR",-0.0453257845010717,-0.213333359051711,-0.0712370246408511,1,-0.0492540191578313,-0.148970745060189,-0.18990212023689,-0.200944311288085,0.0305949045382234,0.297488232275367,-0.141038732772502,-0.120264414876177
