"","JV-071D03","KT-312D03","KT-771D03","KT-663D03","KT-880D03","JV-138D03","KT-695D03","KT-434D03","KT-352D03","KT-445D03","BS-082D03","KT-537D03","KT-412D03","KT-926D03","KT-525D03","KT-522D03","KT-538D03","JV-035D03","KT-718D03","KT-716D03","KT-417D03","KT-805D03","KT-313D03","KT-247D03","BS-336D03","BS-671D03","BS-346D03","KT-612D03","BS-364D03","JV-148D03","KT-515D03","KT-193D03","JV-048D03","BS-064D03","BS-377D03","KT-723D03","KT-974D03","JV-157D03","BS-351D03","KT-565D03","KT-705D03","KT-347D03","KT-539D03"
"BS-671D03",0.907897725633501,0.885704966978364,0.828825365818974,0.726234158096051,0.825092023166591,0.781089195728007,0.938397113610816,0.909602381077361,0.871661958720629,0.867702603231824,0.822786653357743,0.858969169526658,0.858795298612648,0.845417746599854,0.803123006989692,0.891546687228504,0.824199377385997,0.907164406920179,0.879729639311295,0.843962130664635,0.834483140242277,0.839291538590162,0.80964376102446,0.915699841642592,0.910550685824582,1,0.920097613960144,0.868124859946478,0.831728753201521,0.858274847855205,0.860074550816883,0.940546081510087,0.859842395920789,0.94529591469369,0.882754985615755,0.799627829530998,0.889743761518676,0.904246458918863,0.912604508633607,0.892452044496493,0.826017571837423,0.935595283546338,0.784165035930565
"KT-974D03",0.937200234138042,0.915825798282833,0.926198692471785,0.805733921580609,0.84012580265066,0.836715260022016,0.929725448186394,0.837066136311526,0.904296243666344,0.889596850298726,0.861894541918813,0.888897948738998,0.935778747877093,0.948012918147372,0.89608025865889,0.875318510756635,0.915810502298638,0.946140741715452,0.955663432321768,0.911352557120975,0.898714013640308,0.866253148709973,0.877453435698466,0.957725068802384,0.961498923977483,0.889743761518676,0.86281475962605,0.817522626951861,0.815704946202442,0.922377567397539,0.914372162511558,0.917625475039928,0.893321102524209,0.950806066481665,0.92138208186299,0.882985724852502,1,0.929305901371171,0.959594753595234,0.891177481260593,0.942267482833131,0.948755656767445,0.893894785891762
"KT-880D03",0.838814889033837,0.832837307365258,0.829590327202414,0.837901431583362,1,0.829680106003897,0.878519614327671,0.820587190387769,0.858605566797908,0.908901359072221,0.815322162635626,0.910223444005991,0.848662752829918,0.84506427021125,0.833525048793771,0.896830481426691,0.847198399533777,0.842228797073932,0.832517465211438,0.826028334720083,0.815777748660254,0.857202762990833,0.8490173181514,0.843775116774802,0.834170078699274,0.825092023166591,0.882253245520179,0.89167348579428,0.906195762326876,0.824175728186282,0.866290616624185,0.867907605213806,0.823655488124498,0.828405606342531,0.849002318023506,0.826855370640819,0.84012580265066,0.840900884110473,0.840083052563718,0.893434674358395,0.840725694903025,0.825239156077408,0.888283497769339
"KT-805D03",0.911038049602806,0.903679716711901,0.919300166571538,0.811622732938066,0.857202762990833,0.953554944018953,0.894527325519158,0.745315930798493,0.931775162074546,0.922360999080781,0.886732013596947,0.897148198735884,0.942846659275596,0.900979632740372,0.937132889429581,0.912503348903307,0.925956557099691,0.895397733229275,0.878114835019754,0.937107412750228,0.90012958837872,1,0.933234710848839,0.889194981886801,0.89704537646326,0.839291538590162,0.832870313760857,0.924568356745534,0.917768407319829,0.908679243100614,0.95022044650033,0.9223403883563,0.921210497501427,0.877188793149845,0.926295006348356,0.932156845619061,0.866253148709973,0.920925112697876,0.902005550430881,0.954119891091569,0.913531064812621,0.874305100543902,0.886789595685448
"KT-771D03",0.93849921665919,0.904104881827395,1,0.861454414145768,0.829590327202414,0.909649237762124,0.896833693949877,0.733650166874218,0.949509892442879,0.894046832096092,0.855898986030742,0.887561626925373,0.95843234560598,0.944643761992061,0.967049223873666,0.891687730783119,0.962911299917641,0.901466528439469,0.931644714430692,0.932727616888301,0.934201138634401,0.919300166571538,0.915360355510773,0.919862199909143,0.925720892052253,0.828825365818974,0.841420159712347,0.880927905605706,0.871282717329264,0.925164679654823,0.958097695374934,0.907372246619064,0.925159291313818,0.898659568957529,0.921443464687999,0.945351563072778,0.926198692471785,0.946595184568254,0.929093731166413,0.917873003396486,0.958828754062803,0.912485621518451,0.924495334832089
"KT-723D03",0.932703928156247,0.92771298359426,0.945351563072778,0.868780850045181,0.826855370640819,0.926131499094335,0.862817272201846,0.700693366596628,0.944972669802168,0.868612330967917,0.840601403072874,0.889585201939397,0.951183927396073,0.90598527052479,0.96784705443533,0.88580206468146,0.928714122651107,0.891608788716488,0.89257300610723,0.960112873259288,0.904273225507726,0.932156845619061,0.925275774922798,0.88170474235584,0.907045280484229,0.799627829530998,0.784922407622332,0.895176414417214,0.881195125151161,0.902816889107566,0.947421758746915,0.877552090162285,0.945159364584156,0.884966627465533,0.934702019544143,1,0.882985724852502,0.929594199104103,0.916778296792448,0.907330937640145,0.937881850003203,0.891168744940214,0.913111722655628
"KT-716D03",0.957780152773628,0.953234613204584,0.932727616888301,0.848760174147078,0.826028334720083,0.906821318951409,0.875869258829751,0.746319857220011,0.933897895418252,0.884576407428019,0.847211827741949,0.866515626288736,0.948178606930367,0.918944183490456,0.95053729002634,0.863576930360831,0.905428781116839,0.933889544114969,0.893458281416218,1,0.90405772960506,0.937107412750228,0.909658237152728,0.906419720733615,0.934433724628518,0.843962130664635,0.785825152841457,0.862747382045874,0.877706431372845,0.911247462823432,0.948971004072249,0.891230215935869,0.96136810379126,0.92839462313308,0.970625664326543,0.960112873259288,0.911352557120975,0.948738333410159,0.936251441500346,0.919488983500003,0.92842041503346,0.912505751410916,0.90432300994865
"KT-695D03",0.91934361307546,0.889361293200858,0.896833693949877,0.814025748626765,0.878519614327671,0.879462777682682,1,0.867940791910471,0.89874342961248,0.906644767878671,0.862087542483394,0.889981886906738,0.912965610927518,0.910892703772439,0.884112035360007,0.903152910483537,0.910464364610945,0.91629804570609,0.939993826405512,0.875869258829751,0.876108050195991,0.894527325519158,0.888391895118783,0.950867363434697,0.933068332422509,0.938397113610816,0.941837337911209,0.894373292797279,0.869888205200589,0.870280580705615,0.907031261409998,0.964935628445807,0.863944647161326,0.934909347171504,0.890718323110851,0.862817272201846,0.929725448186394,0.909338171275008,0.945800499711705,0.938514135299963,0.911542359274159,0.941222378843906,0.868627273975209
"KT-663D03",0.824630016845963,0.786133210637282,0.861454414145768,1,0.837901431583362,0.844249333861091,0.814025748626765,0.664913598809173,0.830253295062918,0.844975349234939,0.766801204446345,0.791189206665032,0.85112640952564,0.865909130634324,0.878237927120889,0.783020186606716,0.847786646818979,0.783509417698517,0.796197986590329,0.848760174147078,0.829965491638517,0.811622732938066,0.825592535756579,0.816121911728733,0.820847190122078,0.726234158096051,0.765042312431801,0.820042108699826,0.857019301331407,0.767270249347597,0.836630808939215,0.775937984134935,0.83473890202565,0.785988229370508,0.8079389393004,0.868780850045181,0.805733921580609,0.831637526354413,0.825982754657736,0.800017472593267,0.871002781057582,0.783517523554917,0.89395333667253
"KT-539D03",0.888891477443336,0.876530303206793,0.924495334832089,0.89395333667253,0.888283497769339,0.896824356794088,0.868627273975209,0.720196390206683,0.892499577759652,0.913467502632027,0.850267037096757,0.902325879379592,0.893920068087858,0.937421737145843,0.939395616175717,0.863690899136857,0.93246804685075,0.84581940383697,0.888953601811589,0.90432300994865,0.890432300998257,0.886789595685448,0.897258857827257,0.877229204766509,0.862548559395399,0.784165035930565,0.830633841795345,0.87488824888183,0.899713450360517,0.875856887438631,0.931405324511857,0.849852648254493,0.866993209006511,0.84839413274209,0.881795361623315,0.913111722655628,0.893894785891762,0.879148271965894,0.879139887655629,0.876090216809434,0.914722113022414,0.848576711953394,1
