"feature","BS-064D03","JV-035D03","JV-048D03","KT-515D03","KT-926D03","JV-148D03","JV-157D03","KT-193D03","KT-247D03","KT-312D03","KT-347D03","KT-352D03","KT-417D03","KT-434D03","KT-522D03","KT-525D03","KT-565D03","KT-612D03","KT-705D03","KT-718D03","JV-071D03","BS-082D03","BS-336D03","BS-346D03","BS-351D03","BS-364D03","BS-377D03","JV-138D03","KT-313D03","KT-412D03","KT-445D03","KT-537D03","KT-538D03","KT-539D03","KT-663D03","KT-695D03","KT-716D03","KT-723D03","KT-771D03","KT-805D03","KT-880D03","KT-974D03","BS-671D03"
"DG 30:0","0","0","0.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DG 32:0","0.78","0.86","1.04","1.11","0.91","0.97","0.9","2","1.21","1.13","0.59","0.37","0","0","1.42","0.37","0.67","1.81","0.51","0.46","1.87","0","0.48","1.6","0.88","0.89","0.99","0.59","0","0.8","0.58","0","0.77","0","0.63","0.95","0.56","0.66","0.77","1.1","0.96","0.41","2.09"
"DG 32:1","0.86","1.01","1.2","0.84","0.37","1.8","1.44","0.68","0","1.47","0.38","0","0","0","0","0","0","0.93","0","0","0.57","0","0.47","0.52","0.57","0","1.08","0","0","0.66","0.34","0","0.38","0","0","0","1.32","0.98","0","0","0","0","0.88"
"DG 34:1","4.1","4.86","3.96","7.86","2.95","9.14","7.15","9.47","4.84","6.73","3.14","2.2","2.92","0.96","4.75","2.44","2.65","8.15","2.31","4.15","6.46","1.97","3.51","6.27","3.53","4.02","7.46","3.28","1.65","5.27","2.73","2.02","5.06","2.11","2.32","2.47","5.91","5.32","7.4","5.46","2.74","2.15","6.12"
"DG 34:3","0","0","0","0","0","0.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.38","0","0","0","0","0"
"DG 36:3","1.78","2.44","1.67","3.86","1.48","6.15","2.68","3.02","2.94","2.51","1.26","1.06","2.07","0.41","2.87","1.31","1.21","3.33","1.03","2.03","3.55","0","2.06","3.03","1.91","1.21","2.61","1.31","0.93","2.26","1.22","1.82","2.7","1.29","1.4","1.49","1.8","3.06","3.38","2.48","0.84","1.39","3.51"
"DG 34:2","1.16","1.21","1.03","1.61","0.62","2.5","1.45","1.56","1.11","2.49","0.71","0.58","0.9","0","1.06","0.36","0","1.94","0.34","0.73","1.39","0","1.15","1.36","0.91","1.02","1.21","0.92","0","1.11","0.41","0","1.23","0.64","0.69","0.82","1.25","1.42","0.93","0.86","0","0.42","1.69"
"DG 36:1","0.33","0.12","0.19","0.33","0.27","0.18","0.33","0.48","0.72","0.73","0.23","0.14","0","0","0.4","0.16","0","0.54","0.15","0.21","0.3","0","0.12","0.58","0.19","0.45","0.16","0.57","0","0.26","0.14","0","1.11","0.37","0.32","0.24","0.27","0.34","0.36","0","0","0.05","0.47"
"DG 36:2","5.46","5.84","2.83","9","3.07","6.34","7.32","5.34","3.52","6.41","3.39","2.96","5.45","1.08","6.14","2.61","2.99","7.95","1.97","3.27","4","1.15","3.54","7.33","4.45","6.77","5.15","4.29","1.92","4.74","2.15","3.91","7.2","4.49","3.56","2.79","5.31","6.82","5.74","5.83","2.32","3.39","7.64"
"DG 36:4","0.32","0","0","0","0.37","0","0","0.57","1.05","1.47","0.3","0","0","0","0","0","0","0","0","0","0.57","0","0","0","0","0","0","0.42","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0.61"
