"feature","class","Lipid.Maps.Category","Species.Name","Molecular.Species.Name","Structural.Species.Name","Level","Mass","Sum.Formula","Total.FA","Total.C","Total.DB","Total.OH","FA","FA.C","FA.DB","FA.OH","LCB","LCB2","LCB.C","LCB.DB","LCB.OH","LCB.Bond.Type","FA1","FA1.C","FA1.DB","FA1.OH","FA1.Bond.Type","FA2","FA2.C","FA2.DB","FA2.OH","FA2.Bond.Type","FA3","FA3.C","FA3.DB","FA3.OH","FA3.Bond.Type","FA4","FA4.C","FA4.DB","FA4.OH","FA4.Bond.Type","Category","Main.Class","Sub.Class","Cellular.Component","Function","Bond.type","Headgroup.Charge","Lateral.Diffusion","Bilayer.Thickness","Intrinsic.Curvature","Transition.Temperature","FA.Unsaturation.Category1","FA.Unsaturation.Category2","FA.Chain.Length.Category1","FA.Chain.Length.Category2","FA.Chain.Length.Category3","LION.abbr","GATOM.abbr","LIPIDMAPS.reaction.abbr"
"DG 32:0","DG","GL","DG 32:0","","","SPECIES","568.50668","C35H68O5","32:0","32","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","diradylglycerols [GL02]","diacylglycerols [GL0201]","","lipid-mediated signalling|membrane component","","headgroup with neutral charge","","","negative intrinsic curvature","","","","","","","DG(32:0)","DG(32:0)","1_2-DG"
"DG 32:1","DG","GL","DG 32:1","","","SPECIES","566.49103","C35H66O5","32:1","32","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","diradylglycerols [GL02]","diacylglycerols [GL0201]","","lipid-mediated signalling|membrane component","","headgroup with neutral charge","","","negative intrinsic curvature","","","","","","","DG(32:1)","DG(32:1)","1_2-DG"
"DG 34:1","DG","GL","DG 34:1","","","SPECIES","594.52233","C37H70O5","34:1","34","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","diradylglycerols [GL02]","diacylglycerols [GL0201]","","lipid-mediated signalling|membrane component","","headgroup with neutral charge","","","negative intrinsic curvature","","","","","","","DG(34:1)","DG(34:1)","1_2-DG"
"DG 36:3","DG","GL","DG 36:3","","","SPECIES","618.52233","C39H70O5","36:3","36","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","diradylglycerols [GL02]","diacylglycerols [GL0201]","","lipid-mediated signalling|membrane component","","headgroup with neutral charge","","","negative intrinsic curvature","","","","","","","DG(36:3)","DG(36:3)","1_2-DG"
"DG 34:2","DG","GL","DG 34:2","","","SPECIES","592.50668","C37H68O5","34:2","34","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","diradylglycerols [GL02]","diacylglycerols [GL0201]","","lipid-mediated signalling|membrane component","","headgroup with neutral charge","","","negative intrinsic curvature","","","","","","","DG(34:2)","DG(34:2)","1_2-DG"
"DG 36:1","DG","GL","DG 36:1","","","SPECIES","622.55363","C39H74O5","36:1","36","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","diradylglycerols [GL02]","diacylglycerols [GL0201]","","lipid-mediated signalling|membrane component","","headgroup with neutral charge","","","negative intrinsic curvature","","","","","","","DG(36:1)","DG(36:1)","1_2-DG"
"DG 36:2","DG","GL","DG 36:2","","","SPECIES","620.53798","C39H72O5","36:2","36","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","diradylglycerols [GL02]","diacylglycerols [GL0201]","","lipid-mediated signalling|membrane component","","headgroup with neutral charge","","","negative intrinsic curvature","","","","","","","DG(36:2)","DG(36:2)","1_2-DG"
"CAR 18:1","CAR","FA","CAR 18:1","CAR 18:1","CAR 18:1","SN_POSITION","425.35051","C25H47NO4","18:1","18","1","0","18:1","18","1","0","","","","","","","18:1","18","1","0","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","","","","","","","","","","","FA with less than 2 double bonds","Monounsaturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","CAR(18:1)","CAR(18:1)","O-acyl-R-carnitine"
"CE 18:2","CE","ST","CE 18:2","CE 18:2","CE 18:2","SN_POSITION","648.58453","C45H76O2","18:2","18","2","0","18:2","18","2","0","","","","","","","18:2","18","2","0","ESTER","","","","","","","","","","","","","","","","Sterol lipids [ST]","sterols [ST01]","steryl esters [ST0102]","lipid droplet|endosome/lysosome","lipid storage","","headgroup with neutral charge","","","","","Polyunsaturated fatty acid","FA with 2 double bonds","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","CE(18:2)","CE(18:2)","Cholesterolester"
"Cer 40:1;O2","Cer","SP","Cer 40:1;O2","","","SPECIES","621.606","C40H79NO3","40:1;O2","40","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","ceramides [SP02]","","endoplasmic reticulum (ER)|plasma membrane","lipid-mediated signalling","","","","","negative intrinsic curvature","","","","","","","Cer(40:1)","Cer 40:1;O2","Ceramide"
"Cer 41:1;O2","Cer","SP","Cer 41:1;O2","","","SPECIES","635.62165","C41H81NO3","41:1;O2","41","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","","","","","","","","","","","","","","","","Cer(41:1)","Cer 41:1;O2","Ceramide"
