"","sig_p","feature","mean_ctrl","mean_moderate","mean_severe","method","statistic","pval","mLog10p","padj","mLog10padj","sig_padj"
"1","yes","TG 54:3","1.96e+01","3.39e+01","2.71e+01","Kruskal–Wallis test","7.02e+00","2.99e-02","1.52","7.96e-01","0.0993","no"
"2","yes","TG 58:8","2.42e+00","2.89e+00","1.91e+00","Kruskal–Wallis test","6.97e+00","3.06e-02","1.51","7.96e-01","0.0993","no"
"3","no","TG 58:7","2.98e+00","3.41e+00","2.48e+00","Kruskal–Wallis test","5.69e+00","5.8e-02","1.24","7.96e-01","0.0993","no"
"4","no","TG 54:2","4.16e+01","5.61e+01","4.23e+01","Kruskal–Wallis test","5.32e+00","6.98e-02","1.16","7.96e-01","0.0993","no"
"5","no","LPC 18:2","1.77e+02","2.84e+02","2.76e+02","Kruskal–Wallis test","5.09e+00","7.85e-02","1.11","7.96e-01","0.0993","no"
"6","no","PC 38:2;P/38:3;O","3.96e+00","7.72e-01","9.36e-01","Kruskal–Wallis test","4.98e+00","8.28e-02","1.08","7.96e-01","0.0993","no"
"7","no","TG 51:2","1.67e+01","2.17e+01","1.93e+01","Kruskal–Wallis test","4.85e+00","8.85e-02","1.05","7.96e-01","0.0993","no"
"8","no","PC 38:4;P/38:5;O","7.06e+00","5.63e+00","7.55e+00","Kruskal–Wallis test","4.7e+00","9.55e-02","1.02","7.96e-01","0.0993","no"
"9","no","PI 38:4","1.91e+01","2.42e+01","2.44e+01","Kruskal–Wallis test","4.68e+00","9.65e-02","1.02","7.96e-01","0.0993","no"
"10","no","LPC 18:1","2.57e+02","3.44e+02","3.82e+02","Kruskal–Wallis test","4.6e+00","1e-01","0.999","7.96e-01","0.0993","no"
"11","no","TG 56:8","1.93e+00","2.23e+00","2.38e+00","Kruskal–Wallis test","4.38e+00","1.12e-01","0.951","7.96e-01","0.0993","no"
"12","no","PC 38:3;P/38:4;O","5.4e+00","4.25e+00","5.71e+00","Kruskal–Wallis test","4.35e+00","1.13e-01","0.946","7.96e-01","0.0993","no"
"13","no","PI 36:2","3.95e+00","5.12e+00","4.21e+00","Kruskal–Wallis test","4.16e+00","1.25e-01","0.903","7.96e-01","0.0993","no"
"14","no","TG 58:5","4.39e+00","2.12e+00","1.86e+00","Kruskal–Wallis test","4.04e+00","1.33e-01","0.877","7.96e-01","0.0993","no"
"15","no","TG 51:1","1.64e+01","2.02e+01","1.98e+01","Kruskal–Wallis test","3.77e+00","1.52e-01","0.819","7.96e-01","0.0993","no"
"16","no","PC 36:1;P/36:2;O","4.09e+00","9.61e-01","1.11e+00","Kruskal–Wallis test","3.68e+00","1.59e-01","0.799","7.96e-01","0.0993","no"
"17","no","TG 50:0","1.94e+00","1.98e+00","3.81e+00","Kruskal–Wallis test","3.48e+00","1.76e-01","0.755","7.96e-01","0.0993","no"
"18","no","LPC 18:0","3.85e+02","5.12e+02","4.87e+02","Kruskal–Wallis test","3.47e+00","1.77e-01","0.753","7.96e-01","0.0993","no"
"19","no","PC 36:3;P/36:3;O","9.06e+00","7.47e+00","9.18e+00","Kruskal–Wallis test","3.28e+00","1.94e-01","0.712","7.96e-01","0.0993","no"
"20","no","PC 40:7","1.8e+00","1.7e+00","2.7e+00","Kruskal–Wallis test","3.26e+00","1.96e-01","0.709","7.96e-01","0.0993","no"
"21","no","PC 34:3","3.13e+00","3.22e+00","5.12e+00","Kruskal–Wallis test","3.24e+00","1.98e-01","0.703","7.96e-01","0.0993","no"
"22","no","TG 49:1","6.2e+00","6.1e-01","3.46e-01","Kruskal–Wallis test","3.13e+00","2.09e-01","0.679","7.96e-01","0.0993","no"
"23","no","PC 38:2","8.5e-01","8.4e-01","1.42e+00","Kruskal–Wallis test","2.94e+00","2.3e-01","0.638","7.96e-01","0.0993","no"
