"","sig_p","feature","mean_ctrl","mean_moderate","mean_severe","method","statistic","pval","mLog10p","padj","mLog10padj","sig_padj"
"1","yes","TG 54:3","1.96e+01","3.39e+01","2.71e+01","One-way ANOVA","3.97e+00","2.68e-02","1.57","9.14e-01","0.0388","no"
"2","no","LPC 18:1","2.57e+02","3.44e+02","3.82e+02","One-way ANOVA","3.08e+00","5.69e-02","1.24","9.14e-01","0.0388","no"
"3","no","LPC 18:2","1.77e+02","2.84e+02","2.76e+02","One-way ANOVA","2.54e+00","9.19e-02","1.04","9.14e-01","0.0388","no"
"4","no","PC 40:7","1.8e+00","1.7e+00","2.7e+00","One-way ANOVA","2.51e+00","9.43e-02","1.03","9.14e-01","0.0388","no"
"5","no","LPC 18:0","3.85e+02","5.12e+02","4.87e+02","One-way ANOVA","2.48e+00","9.68e-02","1.01","9.14e-01","0.0388","no"
"6","no","PC 34:3","3.13e+00","3.22e+00","5.12e+00","One-way ANOVA","2.38e+00","1.06e-01","0.976","9.14e-01","0.0388","no"
"7","no","PC 38:3;P/38:4;O","5.4e+00","4.25e+00","5.71e+00","One-way ANOVA","2.36e+00","1.08e-01","0.967","9.14e-01","0.0388","no"
"8","no","TG 50:0","1.94e+00","1.98e+00","3.81e+00","One-way ANOVA","2.29e+00","1.15e-01","0.94","9.14e-01","0.0388","no"
"9","no","TG 58:8","2.42e+00","2.89e+00","1.91e+00","One-way ANOVA","2.29e+00","1.15e-01","0.94","9.14e-01","0.0388","no"
"10","no","TG 51:2","1.67e+01","2.17e+01","1.93e+01","One-way ANOVA","2.22e+00","1.22e-01","0.914","9.14e-01","0.0388","no"
"11","no","TG 54:2","4.16e+01","5.61e+01","4.23e+01","One-way ANOVA","2.17e+00","1.28e-01","0.893","9.14e-01","0.0388","no"
"12","no","TG 49:1","6.2e+00","6.1e-01","3.46e-01","One-way ANOVA","2.05e+00","1.42e-01","0.848","9.14e-01","0.0388","no"
"13","no","PC 38:4;P/38:5;O","7.06e+00","5.63e+00","7.55e+00","One-way ANOVA","2.05e+00","1.42e-01","0.847","9.14e-01","0.0388","no"
"14","no","PC 38:2;P/38:3;O","3.96e+00","7.72e-01","9.36e-01","One-way ANOVA","1.99e+00","1.5e-01","0.823","9.14e-01","0.0388","no"
"15","no","TG 58:7","2.98e+00","3.41e+00","2.48e+00","One-way ANOVA","1.93e+00","1.59e-01","0.798","9.14e-01","0.0388","no"
"16","no","CAR 18:1","6.05e+00","3.17e-01","4.67e-01","One-way ANOVA","1.92e+00","1.6e-01","0.797","9.14e-01","0.0388","no"
"17","no","TG 51:1","1.64e+01","2.02e+01","1.98e+01","One-way ANOVA","1.87e+00","1.67e-01","0.777","9.14e-01","0.0388","no"
"18","no","Cer 41:1;O2","6.89e+00","4.68e-01","5.75e-01","One-way ANOVA","1.86e+00","1.69e-01","0.773","9.14e-01","0.0388","no"
"19","no","PI 36:2","3.95e+00","5.12e+00","4.21e+00","One-way ANOVA","1.78e+00","1.81e-01","0.741","9.14e-01","0.0388","no"
"20","no","TG 58:11","8.99e+00","3.76e+00","3.04e-01","One-way ANOVA","1.72e+00","1.92e-01","0.717","9.14e-01","0.0388","no"
