"feature","BS-064D60","JV-035D60","KT-515D60","KT-926D60","JV-148D60","JV-157D60","KT-193D60","KT-247D60","KT-312D60","KT-347D60","KT-352D60","KT-417D60","KT-434D60","KT-522D60","KT-525D60","KT-612D60","KT-705D60","KT-718D60","JV-071D60","BS-082D60","BS-336D60","BS-346D60","BS-351D60","BS-364D60","BS-377D60","JV-138D60","KT-313D60","KT-412D60","KT-445D60","KT-537D60","KT-538D60","KT-539D60","KT-663D60","KT-695D60","KT-716D60","KT-723D60","KT-771D60","KT-805D60","KT-880D60","KT-974D60","BS-671D60"
"DG 32:0","-0.02228","-0.36653","-0.4318","-0.40894","-0.4318","-0.33724","-0.10791","-0.08619","-0.09691","-0.34532","-0.59021","-0.60879","-0.62113","-0.5278","-1.21909","-0.11351","0.15836","-0.8699","-0.09691","-0.29243","-0.33724","0.07188","-0.3279","-0.21467","0.42975","-0.12494","-0.18709","0.4609","-0.21467","-0.80141","-0.25964","-0.63468","-0.35655","-0.2078","-0.20066","-0.45593","0.38382","-0.14267","0.40824","-0.31876","-0.18046"
"DG 34:1","0.68034","0.46982","0.32634","0.24304","0.25768","0.43297","0.55509","0.75435","0.24055","0.32015","0.38202","0","0.65321","0.2878","-0.00436","0.62839","0.63849","0.27416","0.55751","0.25042","0.5832","0.79029","0.3962","0.51455","0.89763","0.48714","0.56703","1.00389","0.50106","-0.05061","0.62118","0.20683","0.32634","0.29447","0.57978","0.44091","0.9619","0.60097","0.75205","0.40993","0.49415"
"DG 36:3","0.22011","0.18752","0.1038","-0.00436","0.11059","0.18752","0.20952","0.38021","-0.07058","0.21748","0.14301","-0.10791","0.16732","-0.23657","-0.1549","0.41497","0.27646","0.20683","0.27646","-0.10237","0.38561","0.23805","0.04139","-0.01323","0.57171","0.08279","-0.01323","0.59329","0.0607","-0.29243","0.21484","-0.14267","0.20683","-0.00436","0.29885","0.17026","0.61595","0.24055","0.17609","-0.07058","0.16435"
"DG 34:2","-0.30103","-0.16749","-0.3098","-0.34679","-0.3279","-0.25964","-0.16749","-0.01323","-0.19382","-0.35631","-0.22327","-0.45922","-0.17414","-0.65608","-0.59428","-0.10237","-0.07572","-0.27572","-0.07058","-0.29243","-0.12494","-0.09151","-0.6734","-0.39794","0.16137","-0.00877","-0.24413","0.22272","-0.22915","-0.6347","-0.25964","-0.39042","-0.17393","-0.10673","-0.11919","-0.284","0.32428","-0.13668","0.07188","-0.78562","-0.17393"
"DG 36:2","0.28556","0.34242","0.20412","0.34044","0.13988","0.44716","0.3032","0.52892","-0.1549","0.36173","0.29003","0.31806","0.30963","-0.08619","-0.02228","0.5955","0.57519","0.31597","0.67302","0.34242","0.45025","0.35984","0.35025","0.11059","0.63144","0.54777","0.18469","0.83822","0.38382","0.13988","0.50106","0.08279","0.29003","0.25042","0.50379","0.2878","0.79588","0.5682","0.55751","0.11394","0.47276"
"CAR 18:1","-0.76955","-1.26234","-0.95861","-0.88606","-0.95861","-0.50864","-0.85387","-1.02899","-1.13566","-0.62461","-0.37652","-0.47048","-0.61469","-0.707","-0.5376","-0.85387","-0.69897","-0.60206","-0.9966","-0.35655","-0.49485","-0.52288","-0.45593","-0.34679","-0.57997","-0.22443","-0.50767","-0.61979","-0.88606","-0.87057","-0.66007","-0.79588","-0.56909","-0.46293","-0.50864","-0.45593","-0.61979","-0.61979","-0.85387","-0.79751","-0.74473"
"CE 18:2","0.22531","0.66464","-0.17393","0.74663","0.39445","0.62221","-0.10237","0.62941","0.62531","-0.34042","0.38021","-0.05552","-0.16356","-0.54078","0.15836","0.44716","0.42813","0.39445","0.66558","0.5966","-0.22915","0.35411","-0.04576","0.3784","0.03743","0.39445","0.13033","0.78176","0.3962","0.69548","0.1038","-0.05061","0.23805","0.74115","0.87852","1.07482","-0.87688","0.09342","-0.39113","0.13988","-0.01323"
"Cer 40:1;O2","-0.46852","-0.49485","-0.45593","-0.14267","-0.52288","-0.42022","-0.38722","-0.25964","-0.37675","-0.58035","-0.55424","-0.46208","-0.17783","-0.94596","-0.60099","-0.69945","0.1271","-0.4318","-0.18709","-0.11919","-0.5376","-0.38722","-0.6303","-0.66424","-0.5376","-0.38799","-0.64122","-0.03621","-0.3279","-1.01403","-0.4437","-0.19281","-0.50864","-0.10803","-0.30103","-0.78478","-0.23657","-0.25964","-0.35624","-0.56864","-0.80007"
"Cer 41:1;O2","-0.51433","-0.55284","-0.50864","-0.10791","-0.56864","-0.49485","-0.3279","-0.27572","-0.38722","-0.46546","-0.4182","-0.50496","-0.32679","-0.49451","-0.45698","-0.6533","0.19033","-0.4318","-0.27572","-0.13668","-0.50864","-0.4318","-0.59166","-0.95406","-0.58503","-0.34333","-0.47355","0.02938","-0.36653","-0.5712","-0.39794","-0.79561","-0.46852","-0.09808","-0.27572","-0.87815","-0.25964","-0.35655","-0.39402","-0.72608","-0.89529"
"Cer 42:2;O2","-0.42022","-0.38722","-0.11919","-0.38722","-0.05061","-0.02687","-0.04096","0.16435","-0.56864","-0.14267","-0.86035","-0.91321","0.10037","-0.35925","-0.13668","-0.1549","0.20952","-0.12494","-0.22915","-0.04096","-0.56864","-0.48149","-0.47913","-0.12494","-0.57001","-0.25718","-0.3098","-0.284","0.03342","-0.01773","-0.5376","-0.27152","-0.61089","-0.24203","-0.46852","0.03342","0.08279","0.07188","-0.11919","-0.11919","-0.64136"
"LPC 14:0","-0.65185","1.08707","-1.09781","-0.73126","0.7356","-0.74203","1.69082","0.97727","1.28217","-0.43657","-0.74015","-1.22059","1.21112","-0.42676","-0.46465","-0.70217","1.62003","1.08565","0.95809","1.38863","1.07335","1.27346","1.34986","1.08707","1.02407","1.0976","-0.53816","1.306","1.27346","-0.64395","-0.65389","-0.19347","-0.74174","-0.31946","1.52634","1.46389","1.54283","0.77525","-0.54513","1.00303","0.89209"
