"feature","BS-064D60","JV-035D60","JV-048D60","KT-515D60","KT-926D60","JV-148D60","JV-157D60","KT-193D60","KT-247D60","KT-312D60","KT-347D60","KT-352D60","KT-417D60","KT-434D60","KT-522D60","KT-525D60","KT-565D60","KT-612D60","KT-705D60","KT-718D60","JV-071D60","BS-082D60","BS-336D60","BS-346D60","BS-351D60","BS-364D60","BS-377D60","JV-138D60","KT-313D60","KT-412D60","KT-445D60","KT-537D60","KT-538D60","KT-539D60","KT-663D60","KT-695D60","KT-716D60","KT-723D60","KT-771D60","KT-805D60","KT-880D60","KT-974D60","BS-671D60"
"DG 30:0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.43","0","0","0","0","0","0","0","0.48","0","0","0.45","0","0","0","0","0","0","0","0","0.83","0","0","0","0"
"DG 32:0","0.95","0.43","0","0.37","0.39","0.37","0.46","0.78","0.82","0.8","0","0","0","0","0","0","0","0.77","1.44","0","0.8","0.51","0.46","1.18","0.47","0.61","2.69","0.75","0.65","2.89","0.61","0","0.55","0","0.44","0","0.63","0.35","2.42","0.72","2.56","0.48","0.66"
"DG 32:1","0","0","0","0","0","0.35","0","0.92","0.78","0.62","0","0","0","0","0","0","0","0.62","1.32","0","1.04","0.48","0.58","0.65","0","0","1.39","1.09","0.82","1.5","0.51","0","0","0","0","0","0.49","0.59","2.33","0.51","0","0","0"
"DG 34:1","4.79","2.95","0","2.12","1.75","1.81","2.71","3.59","5.68","1.74","2.09","2.41","1","4.5","1.94","0.99","0","4.25","4.35","1.88","3.61","1.78","3.83","6.17","2.49","3.27","7.9","3.07","3.69","10.09","3.17","0.89","4.18","1.61","2.12","1.97","3.8","2.76","9.16","3.99","5.65","2.57","3.12"
"DG 34:3","0","0","0","0","0","0.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.31","0","0","0","0","0","0.37","0","0","0.6","0","0","0","0","0","0","0","0","0.57","0","0","0","0"
"DG 36:3","1.66","1.54","0","1.27","0.99","1.29","1.54","1.62","2.4","0.85","1.65","1.39","0.78","1.47","0.58","0.7","0","2.6","1.89","1.61","1.89","0.79","2.43","1.73","1.1","0.97","3.73","1.21","0.97","3.92","1.15","0.51","1.64","0.72","1.61","0.99","1.99","1.48","4.13","1.74","1.5","0.85","1.46"
"DG 34:2","0.5","0.68","0","0.49","0.45","0.47","0.55","0.68","0.97","0.64","0","0","0","0","0","0","0","0.79","0.84","0.53","0.85","0.51","0.75","0.81","0","0.4","1.45","0.98","0.57","1.67","0.59","0","0.55","0","0.67","0","0.76","0.52","2.11","0.73","1.18","0","0.67"
"DG 36:1","0","0.18","0","0","0","0.06","0","0","0.31","0","0","0","0","0","0","0","0","0.15","0.17","0","0.15","0.1","0.15","0","0","0","0.35","0","0","0.49","0.2","0","0.11","0","0","0","0.08","0","0.44","0.16","0","0","0.15"
"DG 36:2","1.93","2.2","0","1.6","2.19","1.38","2.8","2.01","3.38","0.7","2.3","1.95","2.08","2.04","0.82","0.95","0","3.94","3.76","2.07","4.71","2.2","2.82","2.29","2.24","1.29","4.28","3.53","1.53","6.89","2.42","1.38","3.17","1.21","1.95","1.78","3.19","1.94","6.25","3.7","3.61","1.3","2.97"
"DG 36:4","0","0","0","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CAR 16:0","0.13","0","0","0","0","0.09","0.17","0.1","0","0","0","0","0","0","0","0.15","0","0","0.17","0.14","0","0.27","0.15","0.22","0.26","0.38","0","0","0","0.17","0.09","0","0","0","0","0","0.2","0.24","0.17","0.12","0","0","0.11"
"CAR 18:1","0.17","0","0","0.11","0.13","0.11","0.31","0.14","0","0","0","0","0","0","0","0.29","0","0.14","0.2","0.25","0","0.44","0.32","0.3","0.35","0.45","0","0","0","0.24","0.13","0","0","0.16","0","0","0.31","0.35","0.24","0.24","0.14","0","0.18"
"CAR 18:2","0","0","0","0","0","0","0.15","0","0","0","0","0","0","0","0","0.15","0","0","0.13","0.16","0","0.2","0.17","0.13","0.2","0.21","0","0","0","0","0","0","0","0","0","0","0.21","0.22","0.16","0.09","0","0","0.09"
"CAR 2:0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CAR 3:0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.15","0","0","0","0"
"CAR 8:0","0","0","0","0","0","0.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CE 16:1","0","0","0","0","0","0","0","0","0","0.39","0","0","0","0","0","0","0","0","0.33","0","0.64","1.15","0","0","0","0","0","0.64","0","0.73","0.53","0.57","0","0","0","0","1","0.9","0","0","0","0","0"
"CE 18:1","0","3.3","0","0","0.73","0","0","0","0.07","0","0","0","0","0","0","0.48","0","0.1","0","0","0","0.22","1.58","0","0","0.15","0","0","0","0","0.31","0.15","0.48","0","0","0.17","0","0","0","0.5","0","0","0.43"
"CE 18:2","1.68","4.62","0","0.67","5.58","2.48","4.19","0.79","4.26","4.22","0","2.4","0.88","0","0","1.44","0","2.8","2.68","2.48","4.63","3.95","0.59","2.26","0.9","2.39","1.09","2.48","1.35","6.05","2.49","4.96","1.27","0.89","1.73","5.51","7.56","11.88","0","1.24","0","1.38","0.97"
"Cer 34:1;O2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cer 40:1;O2","0.34","0.32","0","0.35","0.72","0.3","0.38","0.41","0.55","0.42","0","0","0","0","0","0","0","0","1.34","0.37","0.65","0.76","0.29","0.41","0","0","0.29","0","0","0.92","0.47","0","0.36","0","0.31","0","0.5","0","0.58","0.55","0","0.27","0"
"Cer 41:1;O2","0","0.28","0","0.31","0.78","0.27","0.32","0.47","0.53","0.41","0","0","0","0","0","0","0","0","1.55","0.37","0.53","0.73","0.31","0.37","0","0","0.26","0","0","1.07","0.43","0","0.4","0","0.34","0","0.53","0","0.55","0.44","0","0","0"
"Cer 42:1;O2","1.45","0","0","0","0","0","1.73","0","0","0","1.38","0.82","0","0","0.56","0","0","1.14","0","1.33","0","0","0","0","0","0.97","0","1.52","1.12","0","0","0","0","1.34","0","2.23","0","1.4","0","0","0","0","1.48"
"Cer 42:2;O2","0.38","0.41","0","0.76","0.41","0.89","0.94","0.91","1.46","0.27","0.72","0","0","1.26","0","0.73","0","0.7","1.62","0.75","0.59","0.91","0.27","0.33","0","0.75","0","0","0.49","0.52","1.08","0.96","0.29","0","0","0","0.34","1.08","1.21","1.18","0.76","0.76","0"
"Cer 42:3;O2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HexCer 42:1;O2","0","0","0","0","1.35","0.43","0","0","0","0.75","0","0","0","0","0","0","0","0","1.74","0","0.68","2.03","0","1.1","0","0","0","0","0","1.72","0.69","0","0","0","0","0","1.01","0","0","0.63","0","0","0.71"
"HexCer 42:2;O2","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0.87","0","0","0.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.54","0","0","0.83"
"LPC 13:0","8.73","0","0","0","16.85","12.56","9.26","0","30.23","11.53","0","15.84","11.78","0","7.66","0","0","13.37","9.05","0","23.15","0","10.35","0","0","6.73","19.02","0","0","13.89","0","0","15.21","0","0","0","0","0","9.32","16.95","0","16.06","0"
"LPC 14:0","0","12.22","0","0","0","5.44","0","49.07","9.49","19.15","0","0","0","16.26","0","0","0","0","41.69","12.18","9.08","24.47","11.84","18.77","22.38","12.22","10.57","12.52","0","20.23","18.77","0","0","0","0","0","33.6","29.1","34.9","5.96","0","10.07","7.8"
"LPC 15:0","0","0","0","10.28","0","5.45","0","11.39","0","0","0","0","0","0","0","0","0","0","9.58","0","0","0","0","0","0","0","0","0","0","16.32","10.94","0","0","0","0","0","10.55","9.52","10.76","0","0","0","0"
