"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"BS-064D60","BS-064D60","1","-1.46218","-3.15517","3.26313","-0.06807","0.48654","-3.10883","1.04989","-1.79497","0.73947","-1.42297","0.48715","-1.9017","2.37653","-0.88765","-0.66045","1.07875","0.68166","1.19297","-0.5461","-0.99463","-0.13266","0.99007","0.30844","1.35955","-0.57824","-0.60518","-0.27247","-0.74677","-0.55541","1.33241","0.34816","0.00744","0.13234","0.36369","-0.09489","-0.45678","-0.17397","0.08539","0.0802","0.05281","0"
"JV-035D60","JV-035D60","1","1.36927","0.44458","1.96842","-1.63489","1.5277","2.6731","-2.45467","-2.63496","-0.36607","-0.97457","-0.56439","-1.75756","1.65535","0.16258","-0.61849","0.87895","-0.71064","-0.82076","0.30292","0.96261","1.02063","-0.5198","0.70763","-1.7307","0.47653","0.07887","-1.45936","0.11878","0.00677","0.14267","0.49532","0.22848","-0.51866","0.53378","-0.12171","0.58304","-0.29848","-0.02437","-0.25155","0.13181","0"
"KT-515D60","KT-515D60","1","-0.96382","0.11118","-3.47121","-2.303","0.06777","-0.86975","-0.52336","-1.14653","3.08425","-1.92856","1.33524","0.19527","-0.49706","-1.37806","0.74035","-1.19265","-0.79461","-1.26325","-0.58389","-1.08856","0.14459","-0.37181","-1.33181","-0.5447","0.20694","0.35048","0.11054","-0.03451","-0.19497","0.24373","1.09385","-0.76793","0.25326","-0.58083","0.56313","0.06199","-0.6688","0.13026","-0.07083","-0.18512","0"
"KT-926D60","KT-926D60","1","0.21045","-2.60954","-3.08077","-5.02882","2.0893","-0.73035","-0.31329","1.59357","-0.55822","0.42066","-1.10777","0.11308","0.58041","-1.07402","1.82625","1.88574","0.90441","0.25021","-0.54673","0.07742","-0.20898","-0.19134","0.14786","0.56038","0.88814","-1.04041","-0.21858","-0.39076","1.9333","-0.3216","0.43273","-0.25015","-0.16919","-0.39335","-0.21474","0.05893","0.28021","0.23977","-0.02609","0.08676","0"
"JV-148D60","JV-148D60","1","-2.05427","-1.03549","-1.16017","-4.90287","-2.32262","4.15536","-2.55524","-0.84951","-0.55702","-0.45744","1.67939","0.85285","0.71739","1.74691","1.36986","-0.75388","0.96893","1.60991","-0.70369","0.39147","1.79896","0.41603","0.10038","-0.42813","0.6191","-0.11728","0.6991","0.36671","-0.5605","0.6503","-0.68753","-0.54922","-0.00485","-0.00439","-0.1292","-0.40901","0.24887","0.20289","0.17099","-0.05806","0"
"JV-157D60","JV-157D60","2","-4.58943","0.61319","0.49381","-1.19412","0.4231","-2.44319","1.29362","2.37742","-0.75416","-1.46784","2.10088","0.60647","0.73352","-0.2171","-0.94144","0.82776","0.45959","-1.53794","-1.2969","-0.2945","-0.79493","-0.8715","-0.40867","-1.09499","-0.30198","0.64881","0.43498","0.00831","-0.39585","0.7169","-0.46674","0.42411","-1.09109","-0.64865","-0.41684","0.22691","0.52291","-0.00645","0.19445","0.11363","0"
"KT-193D60","KT-193D60","3","7.04668","-2.23151","1.0323","4.65256","0.27634","2.90472","-0.55263","-1.71695","1.50988","-0.22776","0.9907","-1.30993","-0.6676","-0.74423","-0.38042","-0.13524","0.00667","0.98266","-0.38905","0.10504","-0.24086","-1.18442","-0.33463","-0.1903","0.39416","-0.42089","0.16362","-0.41566","-0.21487","-0.24559","0.0291","0.8001","0.49954","-0.81251","-0.30426","-0.16867","0.71896","0.69479","-0.47677","-0.1615","0"
"KT-247D60","KT-247D60","1","3.27936","-0.64016","3.54565","-2.96374","0.17998","-0.66503","-0.87364","-1.142","-1.69437","1.70538","-1.63024","0.21226","-0.26717","-1.11834","1.07747","-0.68217","0.07832","0.05181","-2.02564","-0.1408","-0.76366","-0.06285","0.36034","1.24543","-0.53407","0.42191","-0.78086","1.01277","-1.00439","-0.77749","-0.2736","-0.05274","-0.73239","-0.23463","0.33954","0.03565","-0.13187","0.33727","-0.20574","-0.35007","0"
"KT-312D60","KT-312D60","1","-0.93782","1.06047","3.45984","-1.4737","-2.65649","3.65039","1.07492","-1.66672","0.60724","-2.00334","-1.87218","-0.69042","-1.25041","-2.39643","-0.43313","-0.5663","-0.49518","-0.66569","0.19335","1.64983","-0.42731","0.43277","0.3927","0.80993","0.68418","0.33076","0.42802","-0.9086","0.35102","0.2176","-0.48725","0.02302","-0.14502","-0.49566","0.20328","0.09737","0.13295","-0.61096","0.45559","-0.07165","0"
"KT-347D60","KT-347D60","1","0.46448","-0.89759","-0.03015","4.99725","1.40199","-0.46634","-0.46624","-1.77794","1.87147","1.89754","-0.4044","2.22407","0.48299","0.03557","1.56073","1.16552","-0.42133","-1.35175","-0.88286","0.13732","-0.47438","1.03778","0.87097","-0.37035","1.11933","-0.87317","0.96869","-0.13469","-0.83041","-0.29014","-0.20463","-0.0513","-0.10167","-0.06002","-0.66787","0.1344","-0.59286","-0.09447","0.15023","0.12357","0"
