"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"DG 32:0","DG 32:0","0.90322","1.74051","0.41151","0.27531","0.23105","2.39051","2.12325","0.47887","0.25058","0.71562","1.01364","1.81795","0.50422","0.01347","0.14537","0.93704","1.44701","0.46112","0.1921","0.39819","0.01884","0.20739","0.14407","4.27475","6.59131","0.77838","1.67711","0.85389","0.31605","1.77045","0.08865","0.00552","0.29781","1.55322","0.15163","0.13511","0.11396","0.19007","0.0846","0.7664","0.31063"
"DG 34:1","DG 34:1","0.65165","1.37849","1.85848","0.23879","0.0308","3.99104","2.35924","0.00704","0.06965","0.52003","0.60928","2.61156","0.00529","0.0006","0.23581","0.24809","1.73772","2.91058","0.00395","0.27133","0.40882","0.00218","1.43564","0.61734","0.00906","0.84316","2.55585","4.23137","0.04681","0.05508","0.13982","2.20936","0.055","0.08202","3.75715","0.60408","0.00982","0.25587","1.39046","0.42056","0.0326"
"DG 36:3","DG 36:3","0.7083","1.17254","1.48429","0.1159","0.25571","3.11454","2.25172","0.21045","0.92721","0.32797","4.53283","0.03314","1.00586","2.07956","0.02716","0.61657","0.31719","1.08053","0.58222","0.69873","2.03885","0.99015","0.83827","0.65144","0.43739","0.24379","0.01945","2.98304","1.01793","0.06125","0.2986","0.22509","0.02315","0.20254","0.0014","0.23072","1.52406","0.00554","0.03304","0.10968","0.13945"
"DG 34:2","DG 34:2","0.85757","2.01062","0.45507","0.40931","0.77893","3.64565","0.0483","1.17847","0.00347","0.0649","0.4343","1.01305","0.0553","0.92481","0.00107","0.00108","0.07834","0.41143","0.42137","2.86826","0.59138","2.57047","1.7897","0.0277","0.16925","2.65166","0.44373","0.16618","0.61015","2.78707","2.7705","0.1035","3.79","0.18032","0.22335","5.0734","0.01193","0.02849","2.60883","0.39083","1.89883"
"DG 36:2","DG 36:2","0.89132","1.80416","0.12762","0.00001","0.64653","3.58572","0.87951","0.0509","0.60257","0.15765","0.92633","0.66043","0.00147","4.88094","0.06455","1.11577","0.19828","0.10439","0.59991","0.22358","2.0303","0.93925","0.48629","0.43731","1.69859","0.35957","0.62548","1.34254","0.38007","0.84955","0.11842","3.84522","0.62979","3.32504","6.42625","1.91801","0.21854","5.02028","0.98647","0.25647","0.17283"
"CAR 18:1","CAR 18:1","0.01716","0.00588","0.01587","1.25457","0.24347","1.91824","5.63792","4.78479","0.19185","0.75801","0.02028","3.77301","0.92988","10.77409","0.20927","3.76514","2.78143","3.26407","7.23949","0.02921","0.03","0.0296","3.46423","0.37329","1.80041","1.65612","0.23403","2.01924","2.35997","4.16864","0.03289","0.11335","0.20563","0.62993","0.06597","3.48831","3.93055","0.0024","0.04762","1.31366","0.00001"
"CE 18:2","CE 18:2","0.03409","0.08933","0.21346","4.9956","1.71192","1.86909","2.58153","0.39352","0.92793","0.00657","4.34774","1.44278","2.87917","0.3016","5.77018","1.20937","0.09134","4.40349","0.36548","1.55994","4.34232","0.3735","0.32589","1.77319","0.00737","2.07006","0.06346","2.90704","0.0011","1.3531","0.32089","0.63111","0.05886","0.007","4.25273","0.93516","0.11358","0.07043","3.34867","1.20364","0.09524"
"Cer 40:1;O2","Cer 40:1;O2","0.9941","0.21226","0.02998","0.22468","0.20705","0.47768","2.32161","0.14653","4.57877","0.00109","0.3697","0.27513","1.37072","5.81682","10.25767","0.20754","0.04587","1.56595","0.03426","0.03454","0.11362","4.7109","0.27922","0.09041","0.32754","1.41344","1.74754","3.13157","0.01299","1.24322","0.44344","1.73684","1.25247","4.00762","0.44231","2.80893","3.65699","0.00902","0.11583","4.44924","0.14547"
"Cer 41:1;O2","Cer 41:1;O2","0.54132","1.30857","0.59196","0.03576","0.05447","0.02018","3.35394","0.42454","2.16392","0.20384","0.69258","0.07047","0.00858","2.76432","11.66619","1.88317","0.17353","0.28935","0.57155","4.0909","0.44047","3.62532","1.6529","9.3039","0.44313","5.38052","0.1415","5.07657","0.00395","0.16299","0.16739","3.41747","1.14585","0.05917","1.60195","0.4968","1.13592","0.00379","0.04615","0.54496","0.24407"
"Cer 42:2;O2","Cer 42:2;O2","0.23817","0.005","0.01088","0.00129","0.85667","1.56425","0.01805","0.19574","3.42748","6.74984","8.39501","0.0001","4.85944","2.20064","0.36274","0.82185","1.51894","0.26815","5.06661","15.10802","4.79861","0.00052","4.39121","0.53005","4.42179","1.35436","0.16725","2.45612","5.31847","1.53355","1.13856","0.26479","0.01189","1.7719","0.31269","0.0618","0.66243","0.33531","0.05312","0.23179","0.00417"
"LPC 14:0","LPC 14:0","0.80454","0.1937","2.46243","0.02283","0.06166","3.00929","0.00905","0.55344","0.07636","5.75927","0.02165","1.17884","2.59951","0.6984","0.35027","0.55882","2.62632","1.17365","2.56486","0.15043","2.44695","0.6768","2.58081","0.09732","0.06606","0.3895","2.54067","1.75986","0.00201","0.47986","0.86272","0.01004","4.17182","0.47309","0.08833","0.02335","5.2731","2.37171","2.21576","0.35328","0.08899"
"LPC 16:0","LPC 16:0","1.46076","0.37427","1.66148","0.24694","0.38133","0.00034","1.84015","0.01412","0.00298","0.01179","0.28872","0.39014","0.39755","0.00918","0.33988","0.27703","1.11035","0.23409","5.62229","2.63257","0.12711","0.12799","0.12103","0.2535","0.16388","0.01459","0.82236","8.99064","0.80708","1.95941","0.26554","0.00826","0.07169","0.33095","0.15873","0.35013","0.9377","0.06897","0.24656","0.90319","14.15522"
"LPC 16:1","LPC 16:1","0.1224","0.02976","3.0007","0.016","5.31951","2.20524","3.58418","1.20581","1.74825","0.13769","0.74245","0.02897","0.52497","2.97842","3.22479","1.1094","3.33789","0.01489","0.18363","0.06552","0.29044","1.95112","0.87928","0.76714","0.81862","0.81764","0.53034","0.04774","0.10045","0.91008","0.37869","0.00024","0.03116","0.07092","2.00272","0.1921","0.48184","0.19542","0.37415","0.62478","0.6385"
"LPC 17:0","LPC 17:0","0.86122","0.05865","0.7699","1.58723","0.02574","2.48164","1.88523","2.57317","2.29512","0.00046","0.07778","0.39218","3.54351","0.26238","0.43201","0.01674","4.00882","1.33961","0.16832","0.15085","0.11431","0.51271","2.99163","1.22057","2.98997","1.81629","0.03849","0.73586","0.37998","0.18928","4.87672","1.58305","0.80787","0.56481","2.14225","0.25876","0.00594","1.22752","0.2957","0.11637","0.00287"
"LPC 18:0","LPC 18:0","0.93034","0.19707","3.36845","0.00242","2.1176","0.01936","2.64837","0.12959","0.46044","0.07501","0.73634","0.64135","0.81972","0.00031","0.90225","0.32499","0.25674","0.75646","0.20071","1.14986","0.06617","1.92002","1.61057","1.06146","0.25994","0.05404","0.1822","1.22419","2.2155","0.00053","11.81738","0.03169","0.43292","2.94265","3.04646","0.35361","3.37017","0.65786","1.135","2.89346","0.67466"
"LPC 18:1","LPC 18:1","1.01347","0.13152","2.03423","0.27353","3.98349","1.13232","1.78153","0.5346","0.10348","0.05056","0.10121","0.11488","0.03031","0.08045","0.1455","1.16758","0.95739","0.00745","2.73169","2.11599","1.4995","0.11654","0.01728","0.03819","0.10655","0.00002","1.4625","0.06796","0.04192","0.34449","4.08506","0.01488","0.28897","1.78675","2.62476","0.14372","0.07626","1.69722","1.13549","0.6779","1.39038"
"LPC 18:2","LPC 18:2","0.23765","0.37329","1.379","0.00017","12.45663","0.67836","1.78421","2.03463","0.02125","0.00066","0.33388","0.43721","0.16894","0.02859","0.03575","0.18855","0.13682","0.04193","0.19829","0.04644","0.10912","1.00671","0.04196","0.21904","0.00451","1.42743","0.78769","2.24639","0.14913","0.15118","0.00039","0.00705","1.49441","0.94738","0.00935","0.53715","0.66196","0.15297","0.14926","0.02246","7.66185"
"LPC 18:3","LPC 18:3","1.01914","0.10951","1.0721","1.17525","0.00926","1.26186","4.40471","0.00088","1.25514","0.03569","0.7159","0.0177","0.78964","1.78032","2.4267","0.97252","2.4995","1.10293","2.36912","0.12665","0.80011","0.29159","0.33028","0.01606","1.14691","0.44998","0.00053","0.41517","0.14811","0.46543","1.83023","0.0533","0.8817","0.17062","2.80353","0.5331","0.12021","0.09001","0.57333","7.03933","0.29353"
"LPC 20:3","LPC 20:3","0.87267","0.32214","1.95943","0.81937","1.27891","1.2386","0.20802","0.15994","1.81661","3.11255","0.17955","0.76209","2.43092","0.10192","0.00955","3.3645","3.11112","1.111","0.07314","1.50393","0.32669","0.47724","0.05967","0.00527","0.33824","7.41927","0.56789","0","0.46292","0.69398","0.19969","2.66948","0.1208","0.03256","4.46225","0.46027","0.53864","1.27698","0.32765","0.18122","0.64871"
"LPC 20:4","LPC 20:4","1.31857","0.0911","0.00403","0.24634","2.86397","0.55001","2.38252","0.03567","0.6202","0.27138","1.97817","4.08224","0.35467","0.53307","0.30841","0.00771","1.00852","0.31341","0.27659","0.78561","0.04789","1.00546","0.11997","3.95972","0.40375","0.09926","0.00579","0.33282","0.01411","0.39218","0.69481","1.69697","0.39209","0.57168","2.71148","0.82223","0.00008","0.60197","0.70085","1.211","0.69663"
"LPC 22:5","LPC 22:5","0.84256","0.49358","0.51412","0.91312","0.16352","0.0369","1.0242","0.16083","0.35887","10.04982","0.07002","0.03306","1.74906","0.42972","3.06199","1.71325","0.2216","1.63699","7.03054","2.00344","0.10263","2.53013","2.01083","0.05522","1.09511","0.01629","5.18709","1.45451","0.83556","0.03441","0.00016","0.34565","0.53538","0.00719","1.2207","0.94271","0.04105","0.78799","0.55106","1.26056","0.664"
"LPC 22:6","LPC 22:6","1.17049","0.1198","0.09742","1.28913","0.42649","1.7166","0.00528","2.09604","0.00003","2.99738","0.05949","6.56118","0.0024","0.00613","1.04295","0.77106","0.93067","1.13151","0.04097","2.95821","0.20424","5.07277","0.18561","0.06144","0.65549","0.00077","0.00424","0.9432","0.00745","0.81736","2.70417","0.01495","0.04269","2.10368","0.11901","0.87845","0.8866","0.35817","0.03896","0.84798","0.41551"
"LPC O-16:0","LPC O-16:0","0.57039","0.58109","2.13355","1.43287","0.07631","0.00076","1.2404","2.75844","0.00615","4.60661","0.04647","0.08992","3.91976","4.36349","1.14374","0.00464","0.0314","0.92548","0.48857","6.0212","0.99815","1.69604","2.95084","0.0497","0.58357","0.23729","0.00152","1.40818","0.6908","0.13831","0.04177","0.01193","5.75468","0.32607","0.54322","0.01288","0.05877","0.01084","4.33323","1.23994","2.73769"
"PC 30:0","PC 30:0","0.74705","0.61828","0.02211","3.22427","1.38851","3.69891","0.06105","0.11547","0.25578","1.65246","1.49242","1.08036","0.00788","0.05739","1.05577","0.43591","0.4352","0.0316","2.18356","0.86265","1.2003","1.32546","0.49241","0.27199","2.37004","2.3723","1.07131","0.239","1.22197","0.02853","3.41103","0.94015","1.25648","2.3211","2.88764","1.62456","0.55235","0.94693","0.04202","0.11623","0.09218"
"PC 32:0","PC 32:0","1.83152","0.14703","0.11331","1.04693","0.03698","0.00411","0.03643","1.68331","0.04425","0.33998","0.00001","1.11283","0.41704","0.43325","0.20937","0.59416","0.18827","0.00103","0.00307","0.07608","7.06297","0.54958","1.35151","0.88101","0.06609","0.68091","0.0464","0.11132","0.79375","2.37308","0.00659","0.04748","0.5776","0.34183","0.91115","0.47504","0.27753","3.21019","0.05797","0.00794","0.00001"
"PC 32:1","PC 32:1","0.8638","0.46659","0.0187","6.34965","0.56978","1.57142","0.00034","0.28856","0.94208","0.08223","0.70978","1.12574","0.12515","0.01445","0.01201","0.00756","0.31913","0.03514","0.75456","0.10271","0.44645","3.01574","1.34222","0.35223","0.02726","0.17501","0.97538","0.97799","1.70969","0.54821","0.08005","0.54162","0.04201","0.00847","0.06965","0.14474","1.30834","0.58554","1.95627","1.02753","0.30249"
