"","LPC","PC","FA","SM","TG","DG","CE","CAR","Cer","PC O-","LPC O-","PI"
"TG",0.298606271777004,0.441114982578397,0.122299651567944,0.414634146341464,1,0.708536585365854,0.200383345087652,0.00627505750776416,0.258362369337979,0.351326640308699,0.239198606271777,0.623693379790941
"SM",0.56411149825784,0.640243902439025,0.345121951219512,1,0.414634146341464,0.374390243902439,0.0611604818484922,0.071814547033301,0.409756097560976,0.649152646403722,0.522822299651568,0.617770034843206
"PI",0.500522648083624,0.652090592334495,0.108885017421603,0.617770034843206,0.623693379790941,0.589024390243903,-0.112388919636118,0.0149904151574366,0.205749128919861,0.482464188340592,0.155749128919861,1
"PC O-",0.587722765099746,0.700126377698511,0.390014395342693,0.649152646403722,0.351326640308699,0.373458824494813,0.103011025325684,0.0361361762647546,0.155360962219844,1,0.457456562901952,0.482464188340592
"PC",0.613763066202091,1,0.194076655052265,0.640243902439025,0.441114982578397,0.440940766550523,-0.177034329225265,0.156876437694104,0.451742160278746,0.700126377698511,0.237282229965157,0.652090592334495
"LPC O-",0.693031358885018,0.237282229965157,0.706271777003484,0.522822299651568,0.239198606271777,0.214808362369338,0.248649594295722,0.0146418008514497,0.143379790940767,0.457456562901952,1,0.155749128919861
"LPC",1,0.613763066202091,0.560278745644599,0.56411149825784,0.298606271777004,0.292160278745645,0.186617880512066,0.229039599033392,0.312717770034843,0.587722765099746,0.693031358885018,0.500522648083624
"FA",0.560278745644599,0.194076655052265,1,0.345121951219512,0.122299651567944,0.363937282229965,0.0817215555183556,0.155481980470156,0.163066202090592,0.390014395342693,0.706271777003484,0.108885017421603
"DG",0.292160278745645,0.440940766550523,0.363937282229965,0.374390243902439,0.708536585365854,1,-0.0097577976738335,-0.022137008430168,0.202439024390244,0.373458824494813,0.214808362369338,0.589024390243903
"Cer",0.312717770034843,0.451742160278746,0.163066202090592,0.409756097560976,0.258362369337979,0.202439024390244,0.219376201274221,-0.0126372685920251,1,0.155360962219844,0.143379790940767,0.205749128919861
"CE",0.186617880512066,-0.177034329225265,0.0817215555183556,0.0611604818484922,0.200383345087652,-0.0097577976738335,1,-0.0224023723520133,0.219376201274221,0.103011025325684,0.248649594295722,-0.112388919636118
"CAR",0.229039599033392,0.156876437694104,0.155481980470156,0.071814547033301,0.00627505750776416,-0.022137008430168,-0.0224023723520133,1,-0.0126372685920251,0.0361361762647546,0.0146418008514497,0.0149904151574366
