"","BS-346D60","KT-193D60","KT-412D60","KT-716D60","BS-082D60","KT-771D60","KT-705D60","BS-336D60","KT-445D60","KT-522D60","JV-148D60","KT-352D60","KT-515D60","KT-926D60","KT-525D60","BS-377D60","JV-138D60","KT-612D60","KT-663D60","KT-537D60","KT-805D60","KT-434D60","KT-417D60","KT-538D60","KT-974D60","KT-347D60","JV-071D60","KT-880D60","KT-313D60","JV-157D60","BS-671D60","KT-718D60","BS-351D60","KT-723D60","JV-035D60","BS-064D60","KT-539D60","KT-312D60","BS-364D60","KT-247D60","KT-695D60"
"BS-671D60",0.968391292070896,0.942114459227929,0.90321431500026,0.949080854288122,0.9126316801339,0.954478242803483,0.946126508701855,0.968419028939999,0.933262085913421,0.830544701977393,0.918534100156564,0.868636891823918,0.927082066958941,0.902713614439437,0.87744981624247,0.893295975662854,0.892162240103139,0.946753859946051,0.926722797414744,0.804269215030556,0.951950262387426,0.876372282650612,0.88918481073138,0.900974562976994,0.90885701603713,0.869590048077232,0.914757787717205,0.874833543969094,0.909318118847152,0.901254463569875,1,0.910850499578737,0.939807746693,0.930090274502656,0.952645641052659,0.926502062503526,0.865756290655627,0.93937449110341,0.949530533027637,0.961289009267793,0.861311846211112
"KT-974D60",0.942049595876679,0.94905809209957,0.835373680384745,0.921887943639056,0.913985699627908,0.895701983062004,0.875198615782246,0.934166070608933,0.859427304804126,0.838686785585362,0.914264630658882,0.826428195818673,0.886142980749144,0.90926414417223,0.880234323566646,0.812967031106143,0.828980737753422,0.91002725504388,0.891231760521746,0.841688012815483,0.929557952476891,0.859134063536854,0.924435108115444,0.859170021713562,1,0.832204784323925,0.846461802054291,0.845033588166109,0.871958201514948,0.875508911607708,0.90885701603713,0.957593646543097,0.914732583387677,0.916796249922771,0.914072616457075,0.889464398805754,0.89814786021851,0.908952628680883,0.938707598022347,0.915153365737605,0.848178818743596
"KT-880D60",0.852120022988024,0.869218568439169,0.782809063111543,0.834974568631287,0.816113792317022,0.877958032007431,0.824624397097702,0.86146177620411,0.813212476250792,0.857270488585461,0.814392707829563,0.827632613146469,0.855752647752712,0.809251986873352,0.857390040715151,0.791601285849524,0.849113789489875,0.861448814801411,0.850496328781987,0.797850684502738,0.881239486001345,0.836272752474509,0.88460146566543,0.883852234687415,0.845033588166109,0.879386144747902,0.801001987580139,1,0.894729104293406,0.859110648692663,0.874833543969094,0.836065898215653,0.821540349309589,0.79558832677736,0.846525527729582,0.888972450918303,0.842151094605058,0.825898019483362,0.84972773384301,0.827196724883642,0.851633733798612
"KT-805D60",0.960864918720866,0.938783588181117,0.865062468754346,0.946968583205223,0.893103116815147,0.937994950513954,0.897169045853978,0.966538683389688,0.895517324251872,0.836831629435255,0.9305327799477,0.85386644503873,0.910239555358346,0.896453451565947,0.891314058943392,0.836226590079414,0.853914095734271,0.943151585409274,0.912164683810837,0.815503840904832,1,0.86332086506525,0.922489715719205,0.901528152790609,0.929557952476891,0.865930822395337,0.891697955320507,0.881239486001345,0.904731747051468,0.900134296501993,0.951950262387426,0.919464738094859,0.915306278295898,0.910666474444471,0.953109052204447,0.933863922309674,0.86546714999682,0.923572353503311,0.965085935171287,0.945368338927626,0.86232322495322
"KT-771D60",0.942965951471251,0.944469732742629,0.879208368674018,0.937746501972936,0.908263806234352,1,0.926061634153237,0.943615261831093,0.905653976005296,0.805854695662524,0.885548283213776,0.828413910093299,0.873486005089059,0.827997817356482,0.831849500004738,0.882360425110751,0.885911467098443,0.903132050520803,0.869934605416554,0.751668099206667,0.937994950513954,0.881981905569692,0.866272922111232,0.83645369780075,0.895701983062004,0.838815835977806,0.893776912010674,0.877958032007431,0.907749244417664,0.856518838118517,0.954478242803483,0.902009901077682,0.907303061063674,0.91379700310998,0.92012915051573,0.881195256984724,0.808813093548346,0.928874149375929,0.927701441899915,0.919510657370532,0.815230943653403
"KT-723D60",0.923016898457468,0.919046986282967,0.904059937800396,0.966098292619899,0.955990828363528,0.91379700310998,0.940882103477523,0.927214125256984,0.941418950645249,0.812057710090071,0.946600885037826,0.879937800395816,0.891716143624541,0.90548743423442,0.857950641929802,0.86946810706626,0.899680236588941,0.907078920449449,0.901698902177486,0.83004048679876,0.910666474444471,0.858767316935256,0.863832987477692,0.839905795352955,0.916796249922771,0.80189764801664,0.920245745680086,0.79558832677736,0.895710759717348,0.891692913177462,0.930090274502656,0.939538986543157,0.9132911696639,1,0.940061521818914,0.881882283770297,0.847173177348092,0.963101185512609,0.929669211195929,0.943519772465667,0.848609418693189
"KT-716D60",0.950743568010676,0.938065807553336,0.932866646502588,1,0.946021747366397,0.937746501972936,0.953121156693537,0.965619999270106,0.949213592428949,0.822662271203117,0.946060719213214,0.874299899070215,0.920036528238136,0.903539177490401,0.861662425798338,0.895928164705483,0.89195867661112,0.936154392039863,0.92141883753937,0.825225123370416,0.946968583205223,0.865642820593849,0.884782737770608,0.88696539693934,0.921887943639056,0.840254452939642,0.949957308212091,0.834974568631287,0.899965507297186,0.894039248286708,0.949080854288122,0.929606613551674,0.939230986726918,0.966098292619899,0.96675101432675,0.904471906748654,0.842205258707272,0.9672119560455,0.948252610274105,0.960562400692116,0.857625106035763
"KT-695D60",0.85736015063528,0.821074356812674,0.802350007495411,0.857625106035763,0.839372349462104,0.815230943653403,0.818408768991767,0.863758708167346,0.834302613268951,0.939966072958199,0.852783181159524,0.923395749520938,0.880777832127263,0.891925360489238,0.913712673380416,0.795171048924219,0.891993214602894,0.878611474760116,0.887865422688777,0.951254887753128,0.86232322495322,0.87652565302682,0.904215166035256,0.922682846182033,0.848178818743596,0.903591158658984,0.816663839424987,0.851633733798612,0.900621996056241,0.913590369245102,0.861311846211112,0.866898501568849,0.843902494190024,0.848609418693189,0.844038824275663,0.911888357082156,0.917094050924224,0.829278084746752,0.860608253867579,0.839010460855935,1
"KT-663D60",0.899281877311521,0.898065581371679,0.89157730160747,0.92141883753937,0.889858014464317,0.869934605416554,0.888472967130967,0.9367928209729,0.91532582973928,0.859218881644793,0.947202949502746,0.897192245387373,0.982089290615434,0.938998806891755,0.902052586952504,0.844686710131242,0.845826100232402,0.957079081816789,1,0.872910275833998,0.912164683810837,0.802555280057717,0.905967537189404,0.924624749436119,0.891231760521746,0.877608142507669,0.894384474891009,0.850496328781987,0.911919207911834,0.919742039093632,0.926722797414744,0.898834599008193,0.903720667246565,0.901698902177486,0.922973183142942,0.936439947190176,0.875527283022196,0.915495227554671,0.903268032992112,0.908823346470718,0.887865422688777
"KT-539D60",0.882047599391578,0.860621996055602,0.739737801140075,0.842205258707272,0.825015549914235,0.808813093548346,0.785024639458497,0.886054691161597,0.779804296901945,0.912032796169514,0.864833077117107,0.866635943922197,0.871764569512759,0.90171331638422,0.952389299466783,0.72722080860648,0.80900763360072,0.869371980161269,0.875527283022196,0.915501121107487,0.86546714999682,0.842265077003431,0.924232186157605,0.893991784006667,0.89814786021851,0.876517520398528,0.763686740187499,0.842151094605058,0.88317217982752,0.90542523448333,0.865756290655627,0.91453208935587,0.870139269780776,0.847173177348092,0.827601025819411,0.909253348218593,1,0.823668779632992,0.890633614270978,0.856454622575185,0.917094050924224
"KT-538D60",0.885368632682773,0.839602823889337,0.873044235491681,0.88696539693934,0.844926589711517,0.83645369780075,0.863171406128621,0.899624815903752,0.87616484212431,0.891907480134864,0.875324080519367,0.901039870186133,0.930471758407629,0.932642911874623,0.90129177637332,0.868325148364921,0.872851621589196,0.9322271102868,0.924624749436119,0.892766063334544,0.901528152790609,0.828633466982244,0.916442368587714,1,0.859170021713562,0.888241131615585,0.889529738734729,0.883852234687415,0.910954856844383,0.948017506559305,0.900974562976994,0.846108392214794,0.859182525285429,0.839905795352955,0.903221428707039,0.945475775807473,0.893991784006667,0.841521650012552,0.870734355311378,0.902289247579922,0.922682846182033
"KT-537D60",0.801126387920487,0.797056786242782,0.779658237632415,0.825225123370416,0.818286942168849,0.751668099206667,0.779562109884286,0.822016958308699,0.809159895289644,0.930581433189159,0.851585140705316,0.927070139387974,0.866057292193264,0.894683272343072,0.899249923046507,0.750386632577636,0.859350570437618,0.839081239729101,0.872910275833998,1,0.815503840904832,0.845452026653179,0.882559500599361,0.892766063334544,0.841688012815483,0.891701088874131,0.792620760853516,0.797850684502738,0.85372425397832,0.889429846152407,0.804269215030556,0.848018773267333,0.828177790677525,0.83004048679876,0.824186014950861,0.873721352369394,0.915501121107487,0.801751801706942,0.827269745823282,0.807054100313174,0.951254887753128
"KT-445D60",0.888738729855915,0.89446616737282,0.954893722908808,0.949213592428949,0.935789673085502,0.905653976005296,0.963499934988177,0.915406864177823,1,0.799186874644483,0.918443395859362,0.877737504891074,0.923793744961022,0.877745641046548,0.801138821456076,0.931234927074068,0.908789161347947,0.896153759160409,0.91532582973928,0.809159895289644,0.895517324251872,0.828531685236233,0.820727404324618,0.87616484212431,0.859427304804126,0.816700075517292,0.950525449753161,0.813212476250792,0.878316751347175,0.862362028408577,0.933262085913421,0.861627325086778,0.897740734385513,0.941418950645249,0.944791260257009,0.87306048131729,0.779804296901945,0.938828651808273,0.879592194485051,0.923157391782529,0.834302613268951
"KT-412D60",0.871572316734281,0.852832493168501,1,0.932866646502588,0.921003452091473,0.879208368674018,0.96407690132881,0.878677957084645,0.954893722908808,0.765518138307098,0.886328616551899,0.857625106022053,0.891761379700311,0.881936335701392,0.748547501989133,0.965493258395881,0.900302234389333,0.906422993641823,0.89157730160747,0.779658237632415,0.865062468754346,0.811054566016398,0.7939994006313,0.873044235491681,0.835373680384745,0.789486034817872,0.980766131658236,0.782809063111543,0.849222078663498,0.865484113579647,0.90321431500026,0.810649733251002,0.888326580929248,0.904059937800396,0.935509590216343,0.836973915613695,0.739737801140075,0.903247695093517,0.843494486853266,0.919544584523281,0.802350007495411
"KT-313D60",0.897466779771204,0.890313205050636,0.849222078663498,0.899965507297186,0.881955792794983,0.907749244417664,0.869682979033668,0.909512177250877,0.878316751347175,0.874438079943907,0.879783089393372,0.889389000255181,0.904424383448295,0.8795808853881,0.914481198770628,0.835574416592686,0.902436541908634,0.922461881218399,0.911919207911834,0.85372425397832,0.904731747051468,0.878588856630191,0.9360724009571,0.910954856844383,0.871958201514948,0.884223918589199,0.879275540150072,0.894729104293406,1,0.95348278329007,0.909318118847152,0.885501190280974,0.86888888890278,0.895710759717348,0.882935862851421,0.945215820324561,0.88317217982752,0.906320682182227,0.892049454483222,0.899504662169421,0.900621996056241
