"feature","KT-539_D0_D60","BS-671_D0_D60","BS-064_D0_D60","KT-805_D0_D60","KT-926_D0_D60","KT-705_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","KT-347_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-515_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-538_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-612_D0_D60","KT-445_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60"
"DG 30:0","1","1","1","1","1","0.6993006993006994","1","1","1","1","0.6756756756756757","1","1","1","1","0.6896551724137931","1","0.5464480874316939","1","1","1","1","1","1","1","1","1.42","1","1","1","1","1","1","1","1","1","1","1","1","1"
"DG 32:0","1","0.6024096385542168","0.8974358974358975","1.063953488372093","1.546762589928057","0.7704918032786885","0.684931506849315","1.013245033112583","1.006802721088435","1.67","0.4363143631436314","0.6060606060606061","0.6211180124223603","0.5056179775280899","1","0.2570694087403599","0.7299270072992701","0.5409356725146199","0.7407407407407407","1.96","1.93","1","1.05","1.287671232876712","0.9032258064516128","1.48876404494382","2.993006993006993","1","1.032967032967033","1.03680981595092","0.6756756756756757","1","0.7175141242937854","0.6211180124223603","1","1.43","0.7299270072992701","0.4587155963302753","0.6944444444444444","1"
"DG 32:1","1","1","1","1.039735099337748","2.15","0.4310344827586207","0.6329113924050632","0.9256756756756758","1","1","0.4184100418410042","0.7362637362637364","1","1","0.4784688995215312","0.4","1","0.3003003003003003","0.628930817610063","1","1.47","1","0.8950617283950616","1.45","1","0.9895833333333334","3.45","1","0.5617977528089888","0.6711409395973155","1","1","0.6172839506172839","0.6622516556291391","1","1","0.7407407407407407","0.6060606060606061","1","1"
"DG 34:1","0.7088122605363985","0.6140776699029127","0.5647668393782384","1.33066132264529","3.283636363636363","0.8635514018691589","0.5548654244306418","1.223021582733813","0.9140401146131805","1.705501618122977","0.5640449438202246","0.5053304904051173","0.5854800936768151","0.7563909774436091","0.8206388206388205","0.1532912533814247","0.5576923076923077","0.4940944881889763","0.4787234042553192","1.513888888888889","2.7","0.8333333333333334","1.572992700729927","1.22911051212938","0.6312741312741313","2.163398692810457","4.830379746835442","0.4309090909090909","0.7110778443113773","1.14375","0.5266106442577031","1.185185185185185","0.3866666666666667","0.5035971223021583","1.78894472361809","1.202346041055718","1.384341637010676","0.2594142259414226","0.5064102564102564","0.7575757575757577"
"DG 34:3","1","1","1","1","1.69","1","1","1","1","1","0.7299270072992701","1","1","1","1","0.625","1","0.6369426751592357","1","1","1","1","1","1","1","1","1.57","1","1","1","1","1","1","1","1","1","0.8620689655172414","1","1","1"
"DG 36:3","0.5813953488372093","0.7032520325203252","0.7706766917293232","1.222627737226277","2.402010050251256","0.9930795847750866","0.5597667638483964","1.111731843575419","0.8238095238095238","1.018867924528302","0.5454545454545454","0.7309644670050761","0.700507614213198","0.8440000000000001","1","0.2032520325203252","0.6475770925110133","0.6374269005847953","0.560483870967742","1.045977011494253","1.814606741573034","0.6329113924050632","1.410810810810811","1.122047244094488","0.7500000000000001","1.904580152671756","2.803149606299213","0.4048582995951417","0.6735294117647059","1.073578595317726","0.7459459459459459","1.264900662251656","0.3805555555555556","0.4651162790697674","1.082352941176471","1.305439330543933","1.082969432314411","0.3663003663003663","0.3831417624521072","0.9597989949748744"
"DG 34:2","1","0.5988023952095809","0.9866666666666667","1.15606936416185","1.724137931034483","1.043478260869565","0.5714285714285714","0.966887417218543","1.42","1.76","0.6857142857142857","0.6369426751592357","0.7142857142857143","0.4587155963302753","0.8333333333333333","0.3745318352059925","0.6711409395973155","0.6430868167202572","0.6578947368421053","1.124183006535948","1.95","1","0.9817073170731706","1.025806451612903","0.8903225806451612","1.81547619047619","2.351190476190476","1","0.8629441624365483","1.130681818181818","1","1","0.5586592178770949","0.628930817610063","1.43","1.82","1.081632653061224","0.5524861878453039","0.5988023952095809","1"
"DG 36:1","1","0.8695652173913044","1.14","1.043103448275862","1.27","1.162393162393162","0.8695652173913044","0.9090909090909091","1.15","1","0.9481481481481481","1","1","1","1.41","0.6711409395973155","1","0.9097222222222223","1","1.29","1.4","1","1.23","1.12","1.045045045045045","1.63","1.64406779661017","1","1.091603053435114","1.074074074074074","1","1","0.8695652173913044","0.8333333333333334","1","1.21","0.9433962264150942","1","1","1"
"DG 36:2","1.067873303167421","0.6473551637279598","1.327645051194539","1.593617021276596","2.147335423197492","1.25","0.5863874345549739","0.78125","1.197530864197531","1.415151515151515","1.022727272727273","0.6996047430830039","0.9475982532751092","0.7635574837310196","0.8785871964679913","0.1267427122940431","0.7961538461538462","0.6744827586206897","0.7006802721088435","1.296416938110749","1.775974025974026","1.532967032967033","1.852941176470588","1.055263157894737","0.7649880095923262","3.109634551495017","3.540625","0.7960526315789473","1.210045662100457","1.233890214797136","0.8260869565217391","1.147058823529412","0.4008097165991903","0.587719298245614","1.871794871794872","1.738983050847458","1.563025210084034","0.5167173252279635","0.5322033898305084","0.7733812949640286"
"DG 36:4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.63","1","1","1","1","1","1","1","1.36","1","1","1","1.91","1","0.8875","1","1","1","1","1","1","1","1","0.6756756756756757","1","1"
