"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"DG 30:0","DG 30:0","0.03221","2.32799","0.03354","0.09125","2.31199","0.69727","0.37057","0.12716","0.13774","0.16898","0.15252","1.37306","0.21343","0.13537","0.06264","0.92227","0.16202","0.26988","0.04548","0.44858","0.4053","1.15671","0.29574","0.18179","1.00682","0.0814","0.23988","0.88454","0.00521","0.222","0.03596","0.03969","0.00123","0.32692","0.93667","0.45037","0.08447","0.05904","0.60696","0.05485"
"DG 32:0","DG 32:0","1.44169","0.32824","0.71494","0.05696","0.88258","0.35411","0.01181","1.58182","0.04006","0.84274","0.42743","0.06247","0.00521","0.07475","0.59175","0.20356","0.40241","0.00973","0.09536","0.18976","1.85064","0.07539","0.53438","2.17447","0.06482","0.28478","1.93807","0.05319","0.53595","0.36179","0.30732","0.00041","0.02493","0.73154","2.61297","0.19848","0.00328","0.00906","0.47682","0.01954"
"DG 32:1","DG 32:1","0.83905","1.0552","0.0445","0.0001","2.84034","0.3661","0.3461","1.14076","0.00046","0.00695","0.77321","0.01242","0.21306","0.12361","0.4151","0.6603","0.04096","0.04905","0.03351","0.49205","0.99995","0.18468","0.02933","0.48192","0.43607","0.12035","0.52638","0.00456","0.51211","1.64642","0.0193","0.37301","0.04171","1.90317","0.11437","0.97698","1.7722","0.40347","0.07351","0.40162"
"DG 34:1","DG 34:1","1.70833","0.15223","0.51504","1.31471","0.34911","0.06946","0.01954","0.89201","0.00771","0.00036","1.39759","0.02027","0.36176","0.21089","0.21522","0.03985","0.17168","0.00825","0.6395","0.08404","0.03776","1.00582","1.73742","0.36786","0.18485","0.00007","0.69965","0.09429","0.16473","0.05597","0.70783","0.09263","0.00007","1.15843","0.00963","1.19593","0.19787","0.02559","0.34514","2.47674"
"DG 34:3","DG 34:3","0.00563","2.3658","0.00129","0.70732","1.95569","0.57859","0.00033","0.2387","0.06871","0.26951","0.37845","1.62618","0.00116","0.11989","0.01403","0.06661","0.30383","0.04153","1.03304","0.16474","0.78479","0.22969","0.03691","0.19566","0.02014","0.03177","0.08239","0.00292","0.6515","2.83285","0.06232","0.05589","0.61907","0.61493","0.70765","0.00052","0.08072","0.01052","0.02637","0.02026"
"DG 36:3","DG 36:3","1.37679","0.25622","0.54108","1.67531","0.10752","0.11797","0.01432","1.29542","0.16791","0.28893","1.42662","0.41984","0.54059","0.16899","0.54203","0.09601","0.02246","0.00575","0.00794","0.13955","0.07048","0.51365","0.25093","0.15939","0.58592","0.27474","0.71903","1.49895","0.16443","0.03218","0.49918","0.08284","0.28824","0.10614","0.12362","0.19064","0.08774","0.00188","2.78073","0.1365"
"DG 34:2","DG 34:2","1.3001","0.15034","0.79258","0.09272","0.22602","0.01147","0.07413","4.37594","0.00689","0.47811","0.75884","0.08158","0.40759","0.03976","0.57084","0.17133","0.1294","0.25439","0.13876","0.00105","0.13053","1.14955","0.41134","0.52909","0.36355","0.05745","0.50628","0.03017","0.84106","2.29524","1.36257","0.69341","0.27329","0.23669","0.41705","0.2529","0.58347","3.26469","0.07658","0.35899"
"DG 36:1","DG 36:1","0.06069","1.18733","2.02536","0.7295","0.18496","0.84415","0.00011","0.63475","0.0985","0.06695","0.00541","0.98234","0.60735","0.01308","0.4612","1.5364","0.88304","0.05427","1.67451","0","0.00223","0.08566","0.24539","0.00215","0.66405","0.46056","0.04388","0.0074","0.4437","0.02341","0.73882","0.43984","0.73229","3.71254","0.15705","0.04961","2.43141","0.0056","0.05271","0.08461"
"DG 36:2","DG 36:2","2.08159","0.00041","0.74684","0.75699","0.03849","0","0.14112","1.14787","0.08677","0.01296","0.12701","0.21127","0.00331","0.7262","0.64891","0.01615","0.00234","0.00058","0.01502","0.89432","0.73856","0.02329","1.15753","0.00652","0.23679","0.01099","0.16401","0.33999","0.04744","0.04749","0.29566","1.0894","0.00363","0.01645","1.72031","0.32557","0.89087","0.86488","0.27829","9.04289"
"DG 36:4","DG 36:4","0.45006","0.92491","0.83985","1.43","0.58216","0.89973","0.00894","0.57645","0.03843","0.63314","0.30171","0.16467","0.02707","0.72575","0.02109","0.43668","0.00135","1.52841","0.24943","0.68013","2.36539","0.04509","0.0541","0.38195","0.7273","0.08713","1.98284","0.32604","0.60449","0.11521","0.10663","0.40006","0.34668","0.00038","3.48414","0.15535","0.76943","0.18187","0.00025","0.0474"
"CAR 16:0","CAR 16:0","1.29022","1.58175","0.03271","0.07362","0.15739","0.98736","0.29417","0.10524","0.0673","0.056","0.45383","0.21005","0.00132","0.56319","0.17047","0.37463","0.75439","0.06439","0.02285","0.98297","0.04064","0.25491","0.00002","0.64703","0.0811","0.09707","0.33288","0.5464","0.12131","0.1169","3.29148","0.64709","0.05451","0.40364","0.07196","0.00212","1.60748","0.19949","0.44991","1.73365"
"CAR 18:1","CAR 18:1","1.1698","0.78482","0.00534","0.00222","0.14691","3.00745","0.19326","0.81221","0.00007","0.3577","0.78421","0.04698","0.02193","0.11908","0.22402","0.79737","0.85477","0.0119","0.48707","0.03183","0.07698","0.46432","0.09346","0.09798","0.02334","0.98597","0.05441","1.01681","0.75553","0.31556","1.43841","1.31317","0.06811","0.04173","0.53668","0.37261","0.02912","1.1298","1.0172","10.94634"
"CAR 18:2","CAR 18:2","1.55607","1.54584","0.05444","0.08139","0.12453","0.75462","0.13149","0.22719","0.04289","0.03804","0.07019","0.03128","0.10884","0.60053","0.36195","0.00566","0.02634","0.02377","0.18046","0.71781","0.09709","0.06635","0.26805","0.02617","0.01225","1.31584","0.00012","0.1941","0.96543","0.01097","2.45199","0.19623","0.14949","0.06705","0.29939","0.29918","0.28653","0.019","0.30922","1.26329"
"CAR 2:0","CAR 2:0","0.80499","1.42418","0.76573","0.15992","1.04364","0.02477","0.03576","0.00043","0.00848","0.24088","2.48523","0.11878","0.14913","0.20288","0.03156","0.58279","0.04635","0.04608","0.26261","0.02946","0.07078","1.64468","0.23308","1.14817","0.00348","0.02241","1.13073","0.40247","0.05448","0.01589","0.69192","1.4018","0.53472","0.79567","0.01028","0.28125","0.15731","3.84853","0.00043","0.01367"
"CAR 3:0","CAR 3:0","1.03263","1.76376","0.27322","0.45538","0.87842","0.02935","0.11269","0.00599","0.00494","0.12901","1.51955","0.03691","0.00081","0.77405","0.04302","0.02179","0.08922","0.00827","0.39402","0.10173","0.36884","0.16761","0.08973","0.84439","0.10456","0.33751","0.51817","0.22079","0.34738","0.17251","0.11745","0.01624","0.01335","0.22349","0.03699","0.45105","0.92326","0.68491","0.26597","0.81545"
"CAR 8:0","CAR 8:0","1.17505","1.44713","0.51713","0.29974","0.83801","0.0306","0.01956","0.01304","0.0019","0.00516","1.95692","0.00296","0.01087","0.82294","0.06707","0.05318","0.38399","0.05505","0.025","0.187","0.02441","0.85925","0.55452","0.00067","0.28348","0.08315","0.39137","0.334","0.00217","0.06678","0.22738","0.00524","0.64214","1.09493","0.43934","0.00232","0.21349","0.28873","0.66245","0.53059"
"CE 16:1","CE 16:1","0.02954","0.29108","0.00007","0.59013","0.05973","1.53486","0.09203","2.8862","2.42719","0.07354","0.27928","0.05758","0.2477","0.73341","0.52454","2.24376","6.91905","0.50579","0.1927","0.25963","1.29342","0.06151","0.00917","0.20327","3.47386","0.36298","0.27141","1.5236","0.21671","0.05205","0.15649","8.02059","0.03355","0.00049","2.24513","3.61786","0.57091","3.28243","0.5879","0.02451"
"CE 18:1","CE 18:1","0.70986","0.01227","0.10842","0.5022","0.23566","0.27233","0.01643","0.22722","0.06953","0.01953","2.2772","1.19205","1.3122","1.26701","0.56152","0.014","3.82743","0.06973","0.88484","1.42784","2.09055","0.13318","9.51207","0.00022","1.643","1.75555","0.91077","1.4304","1.46954","0.03308","7.45618","3.81564","0.32548","1.28004","0.05003","0.40411","0.14777","1.57278","0.01192","0.04636"
"CE 18:2","CE 18:2","0.73252","0.02313","0.44485","1.48959","0.03748","0.1018","0.61825","0.96702","2.12209","0.43939","0.00938","0.7847","2.6247","0.36486","0.03785","1.27317","0.95702","0.49088","0.72903","0.84314","1.04654","0.04988","2.02631","1.29594","0.00547","0.36669","0.369","0.47006","2.70781","1.3893","0.89845","0.04146","0.00419","1.33229","0.65798","0.50347","0.92118","0.42049","0.27962","0.06592"
"Cer 34:1;O2","Cer 34:1;O2","0.35972","0.05732","3.10441","0.15215","0.45922","0.00004","0.19908","0.00473","0.15267","0.06347","0.00078","0.13036","0.23799","0.06349","0.00784","1.35311","0.6462","3.03605","1.07328","2.48581","0.00602","0.63662","2.79461","3.24968","0.66858","2.84776","0.0283","0.44577","1.37678","0.38689","0.00059","0.08665","0.19206","0.2841","0.47419","3.24129","1.0716","0.69874","0.00992","0.0161"
"Cer 40:1;O2","Cer 40:1;O2","0.16322","0.6341","0.6544","1.75193","0.22252","2.36344","0.14201","0.01896","0.47256","0.00744","0.03164","1.16033","0.01794","0.02343","0.00664","0.1266","0.1113","0.06083","3.20435","0.74024","0.01251","0.00151","1.04617","0.26293","0.03486","0.04281","2.23809","8.61105","0.10084","0.00002","0.40575","1.13335","0.77527","0.72083","0.04141","0.20889","2.20536","2.50446","0.72384","0.23687"
"Cer 41:1;O2","Cer 41:1;O2","0.10368","0.46394","0.536","1.40412","0.20091","3.10538","0.03255","0.21636","0.05866","0.17263","0.3938","1.07326","0.16156","0.7607","0.94715","0.08332","0.64262","0.8702","3.69779","2.33897","1.24636","0.00636","0.00803","0.0799","0.36636","0.99772","1.32647","0.47235","0.12564","2.38096","0.7733","1.14026","0.68941","0.01279","0.01981","0.00364","1.86264","0.00292","0.97299","6.2336"
"Cer 42:1;O2","Cer 42:1;O2","0.10965","1.58105","0.15861","0.67174","0.07559","0.30027","1.06282","0.0012","1.11479","1.02616","1.32309","0.00776","0.04698","0.00596","0.00555","0.70446","0.62216","1.30486","1.60433","0.0748","1.0877","1.85345","1.79496","0.86184","0.62469","3.4589","0.40237","1.62638","0.96438","3.31252","0.13178","0.4112","0.45226","0.57224","0.5541","0.78994","1.03981","1.66627","1.16152","2.71575"
"Cer 42:2;O2","Cer 42:2;O2","0.32829","0.4067","0.07034","0.00032","0.81406","0.17707","0.26637","0.02008","0.04888","0.56783","1.15515","1.63653","0.00909","0.416","14.54474","0.37951","0.0018","0.12586","0.43479","0.56919","0.04887","3.21093","0.04441","0.67068","0.21594","2.06646","0.64424","2.31619","0.70681","2.10905","0.83142","0.6306","2.17843","0.04692","0.67619","1.75183","2.82644","0.03401","0.82033","1.45284"
"Cer 42:3;O2","Cer 42:3;O2","0.93161","1.61549","0.85478","0.52232","0.02408","0.00514","0.12473","0.00622","0.10627","0.0872","1.33528","0.0748","0.97942","0.0142","0.00165","0.37091","0.11285","0.00001","0.74575","0.10984","0.19279","0.2653","0.20613","0.71288","1.66799","0.23644","0.00041","0.02615","0.15611","0.6652","0.17746","0.94342","0.05047","0.06203","0.09693","0.08496","0.24805","0.00258","4.80699","2.27421"
"LPC 13:0","LPC 13:0","0.01403","0.74297","0.32259","0.04081","0.18559","2.30174","0.65858","0.52844","0.2976","0.88467","0.00395","2.31902","0.25541","1.88863","0.12721","0.0769","0.07069","0.23418","0.27944","0.99529","2.95857","2.97728","4.04222","0.00947","0.90714","1.9147","0.03902","2.82396","2.79454","0.00636","2.22233","0.09518","2.0058","0.03234","2.79511","0.29497","0.11548","3.21127","0.84237","0.1901"
"LPC 14:0","LPC 14:0","0.03564","0.14615","1.72353","0.39015","2.16408","0.02571","0.99961","0.00355","0.67658","3.26915","0.24066","0.63971","0.4903","0.03551","1.28408","0.00528","0.43776","1.7618","0.28174","0.02983","0.10148","0.10495","1.46184","0.34132","0.52082","0.01486","0.02082","0.20186","4.63081","0.85875","1.95084","0.04229","0.48021","0.15764","1.12136","0.00873","0.26489","2.18743","0.04708","0.50469"
"LPC 15:0","LPC 15:0","0.39892","0.06647","0.17839","0.7627","1.06078","0.07053","1.16152","0.34723","0.17703","0.26757","0.38831","0.3376","0.72986","4.10582","4.90847","0.259","0.06748","0.35174","0.87598","1.43716","1.68232","1.22169","1.2293","3.34117","0.0989","0.80423","3.31249","1.40311","0.66889","0.82266","1.63537","0.37813","0.09531","2.38411","0.2316","0.38835","2.19908","0.19732","0.21994","0.38063"
"LPC 16:0","LPC 16:0","0.07418","0.29947","0.98421","2.81659","0.47461","0.01772","0.02562","1.1451","0.00416","0.51152","2.18255","0.71364","0.4058","1.76918","0.84556","0.00155","2.143","1.75899","0.07855","0.01718","0.80761","0.07637","0.35723","0.08401","0.03405","1.21967","0.30068","0.8608","0.02711","0.69155","0.3699","0.22076","0.01515","0.08181","0.01122","0.1066","0.42021","0.3774","0.15012","1.91762"
"LPC 16:1","LPC 16:1","0.00094","0.01497","0.50634","0.29792","0.26475","0.35483","0.95552","0.1586","0.70067","0.03512","3.71349","1.12622","6.41463","2.31665","0.87796","2.03083","0","0.06486","1.60189","2.2387","1.03955","0.35248","0.21672","0.60807","0.13805","0.23937","2.92362","3.16258","0.00224","0","1.05529","1.25945","3.0921","3.11465","0.14148","0.20065","0.24714","0.2663","1.53842","0.47423"
"LPC 17:0","LPC 17:0","0.17023","0.34993","0.51617","0.23589","0.54892","0.0582","2.67224","0.85778","1.15605","3.17365","0.20621","0.61674","0.00759","1.83563","0.52866","0.00293","1.71598","3.8168","0.32811","1.12181","0.52344","0.28267","0.16156","0.22749","2.20983","0.14911","0.34701","0.06472","1.03226","0.65736","0.26522","0.36814","0.41499","0.68793","2.36808","0.41384","0.78589","0.23239","1.33042","0.81856"
"LPC 18:0","LPC 18:0","0.28898","0.02947","1.20689","3.236","0.01605","0.00961","0.00453","2.03561","0.37817","0.1854","1.23499","0.06007","0.91867","0.6329","0.1175","0.01671","0.41247","1.54518","0.06049","0.3827","0.75009","0.24386","0.11331","0.37683","0.36235","0.48328","0.5462","1.16499","0.23066","0.0169","1.165","0.00573","0.01644","2.2753","1.15254","0.00676","0.1163","1.84249","1.47182","0.14938"
"LPC 18:1","LPC 18:1","0.03447","0.45456","0.00874","2.9392","1.39648","0.26502","0.09066","3.11577","0.63631","0.10313","0.78426","0.12181","0.73055","1.65822","0.10511","0.04542","0.29972","0.28977","0.97268","0.07897","1.5485","0.55435","0.04175","0.62699","0.56094","0.49142","0.08993","0.00007","1.12505","0.00324","0.00066","0.04495","0.05443","0.00407","0.0535","0.03347","0.49974","0.18401","0.68791","0.68242"
