"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"KT-539_D0_D60","KT-539_D0_D60","2","-1.43958","-2.53885","-1.19289","5.78013","-1.29509","2.4428","-0.28624","2.93974","-0.91806","0.16789","-1.36686","0.76308","1.33455","-0.64029","1.58257","0.76762","-2.1295","-2.23307","0.41229","2.11826","1.04747","1.02643","1.93623","-1.90283","-1.54148","-0.10451","-1.01205","1.46464","1.51083","-1.04488","-0.40974","-0.32733","-0.16119","-0.32739","-1.28358","0.17823","0.44334","-0.12945","-0.16943","0"
"BS-671_D0_D60","BS-671_D0_D60","1","2.40294","-0.31718","-2.77262","-2.97019","1.65269","-0.4269","0.65516","-2.07955","0.66224","1.73975","-0.53288","0.79475","-3.02152","1.80789","3.32297","0.81684","0.0485","-1.01233","1.23468","0.27966","-0.50777","0.39585","-0.08023","-0.16681","1.93325","1.17393","1.18307","0.84214","1.39118","2.19814","-1.80743","-0.14259","-0.43245","0.36708","-0.05517","1.0202","0.30613","-0.20599","-0.37457","0"
"BS-064_D0_D60","BS-064_D0_D60","2","-1.90748","-7.20281","0.77014","6.13358","1.0035","-4.59771","-2.21592","0.68241","-1.26301","-1.35692","-0.36882","-1.03595","-0.62596","0.70121","0.38688","-0.7603","-4.34981","1.39029","-1.59124","-2.77767","0.44707","-0.3686","0.38815","-0.46731","0.72596","0.8855","-0.71082","-0.60472","-1.45154","0.31775","-0.46494","-0.14797","0.28983","0.76376","0.04887","1.12026","0.20381","-0.34837","0.39151","0"
"KT-805_D0_D60","KT-805_D0_D60","2","-4.57542","-4.06207","-0.90158","-0.62846","2.33757","3.54096","-4.78729","-3.45201","-1.02312","-0.70829","4.27313","0.14283","-1.17268","-2.50365","-1.96005","1.49238","0.59476","-1.18111","-2.57149","0.47213","0.19802","1.41928","0.17736","-0.53315","1.99946","1.21366","0.55889","0.44752","-0.1424","0.0646","1.48857","-0.17177","0.33622","-0.12406","-0.45109","-0.35265","0.59903","-0.31487","-0.51657","0"
"KT-926_D0_D60","KT-926_D0_D60","2","-10.40618","5.15887","-5.75504","-5.91899","-2.05806","-0.1405","3.06675","-0.05704","-2.87417","1.14681","1.09409","0.55467","0.31302","-1.67236","-0.07626","1.19488","-1.72013","0.07984","-1.53131","0.19949","-2.78014","-3.13834","0.59331","0.17055","-1.25716","-0.14325","-0.38773","1.27826","-1.10765","0.75673","-0.06499","-0.02622","-0.36386","0.2355","-0.40323","0.07669","0.08134","0.32445","-0.06714","0"
"KT-705_D0_D60","KT-705_D0_D60","1","2.32409","1.28752","7.18837","-4.19133","1.80835","1.75472","2.86587","1.44184","-0.80034","-1.48206","-3.73124","-0.75868","2.51202","1.72298","-0.07415","-0.45812","0.86303","-0.70072","-1.71369","-0.93794","0.73818","0.67339","-0.34315","-0.01327","-0.4524","0.97431","-0.61017","-0.12834","-0.82468","2.22901","0.54479","-0.49784","0.95925","-1.03699","-1.57777","-0.22607","-0.32463","-0.23315","-0.41871","0"
"BS-336_D0_D60","BS-336_D0_D60","1","-0.45046","1.12384","-4.85318","-0.75427","0.52588","1.42381","1.26771","-2.42257","-1.34901","0.07041","-1.53828","1.98559","-0.67816","1.5613","2.1914","-0.36909","-0.60647","-0.60716","-0.15521","-1.00846","2.82541","-1.48201","-1.31278","-1.24633","1.06637","0.67067","-1.24528","0.09202","0.49746","-0.74042","1.42309","1.19307","0.59033","-0.15241","0.63369","-0.50691","-0.44022","1.60649","-0.06929","0"
"BS-082_D0_D60","BS-082_D0_D60","1","2.81053","8.09438","3.88662","-2.52277","-2.15309","-1.99404","1.25992","3.25486","-3.22595","-0.49287","-2.1264","-1.21198","1.16801","-2.57117","0.36603","1.48438","-1.19654","-2.074","1.74091","-1.41748","-1.34072","1.13215","0.4759","-0.92896","1.89992","-0.20874","1.11993","-0.82628","-0.16642","-0.76207","1.00398","-0.01396","-0.1274","-0.63521","1.40032","0.47965","0.33663","-0.12434","-0.26974","0"
"BS-351_D0_D60","BS-351_D0_D60","2","-0.88321","-2.31655","3.79783","6.59143","-1.46098","-3.11228","-3.59707","1.70023","-1.02767","-0.47336","-0.26996","3.25945","-1.11426","0.22232","1.19089","0.58571","1.25823","-0.07325","1.55928","-1.0703","-0.22764","-1.93913","-0.51183","2.55872","0.73875","-1.25562","-0.10799","1.04964","-0.34621","0.19515","0.83511","-1.06861","-0.80683","-0.69492","-0.57818","-0.64035","-0.03076","0.06549","-1.03818","0"
"KT-347_D0_D60","KT-347_D0_D60","2","-2.00643","1.28847","-1.10187","1.37054","1.31731","-0.65207","1.01273","0.59013","3.69223","1.70638","0.91754","1.37592","0.77369","-0.15624","-0.04523","0.37306","0.3347","1.08849","1.22496","-0.90451","1.92855","-1.9527","2.27685","-0.35362","-1.86977","1.67459","1.91734","-0.68273","0.59123","0.92438","1.82417","0.46556","-0.08498","-0.42285","0.62472","0.02638","0.46782","-0.96359","0.17282","0"
"BS-377_D0_D60","BS-377_D0_D60","1","5.78238","-10.16467","0.83026","-1.96808","3.52551","6.26114","0.55336","0.21744","-1.95177","1.67997","0.34982","-0.98218","0.26194","-0.47551","2.66288","-0.82381","1.58082","2.68908","1.33063","-1.38921","-2.27017","0.07537","2.60415","-0.66043","0.20942","-0.92772","-0.67331","-0.4649","-0.37274","-0.38678","0.13898","0.07602","0.46147","0.4802","0.05495","-0.64672","0.1962","0.26632","-0.20156","0"
"KT-313_D0_D60","KT-313_D0_D60","1","2.14908","-3.29852","-5.53849","-0.91884","-2.77059","0.4942","2.39532","0.10268","-0.9072","-2.01046","-2.09458","1.68438","0.50997","-1.94969","-2.14478","0.13086","0.18382","1.98178","-2.12214","-1.14303","0.46956","0.65997","0.53653","0.61142","0.69781","-1.13592","-0.73578","-0.41628","3.04447","0.59496","0.03852","-0.44629","-1.07992","0.11786","0.48687","0.12959","-1.10753","-0.59741","-0.05843","0"
