"","KT-522_D0_D60","KT-539_D0_D60","BS-377_D0_D60","KT-193_D0_D60","JV-035_D0_D60","JV-138_D0_D60","BS-082_D0_D60","KT-723_D0_D60","KT-663_D0_D60","KT-313_D0_D60","KT-347_D0_D60","KT-537_D0_D60","KT-352_D0_D60","KT-695_D0_D60","BS-336_D0_D60","KT-412_D0_D60","KT-445_D0_D60","KT-771_D0_D60","KT-612_D0_D60","KT-434_D0_D60","BS-364_D0_D60","JV-148_D0_D60","KT-880_D0_D60","KT-515_D0_D60","BS-671_D0_D60","BS-346_D0_D60","KT-525_D0_D60","KT-417_D0_D60","KT-805_D0_D60","JV-157_D0_D60","KT-718_D0_D60","BS-064_D0_D60","BS-351_D0_D60","KT-312_D0_D60","KT-705_D0_D60","KT-247_D0_D60","KT-926_D0_D60","KT-716_D0_D60","KT-538_D0_D60","KT-974_D0_D60"
"KT-695_D0_D60",0.199484181754579,0.355720343182774,0.262358268321089,0.233151171973768,0.0657295737980584,0.404426259258861,0.511103433533326,0.416937107173605,0.51336153000581,0.437864761367221,0.418387360878762,0.625848010964415,0.241384243626955,1,0.425811572670131,0.455955933355107,0.466549557609051,0.285240769930796,0.357708034548084,0.455148174687507,-0.029324921607108,-0.228135957809759,0.340411245289289,0.574633773395151,0.343360169233441,0.279410239520043,0.127691759972837,0.32737063089987,0.053299122105207,0.144560079338743,0.273430358325626,0.236157149907289,0.400581705992452,0.150609634739999,0.380464342374614,0.277632046507886,-0.0435242172085271,0.219062602536587,0.595530850099729,0.492022735695438
"KT-663_D0_D60",0.272258806760358,0.314538095362092,0.335342090477962,0.0836834865686406,-0.0291688596269793,0.554298703112245,0.353496806725147,0.542434475693113,1,0.438474057520735,0.310296227989209,0.468946340746664,0.128151940131285,0.51336153000581,0.482266412454768,0.608527711772297,0.576697715190237,0.295156417448413,0.59875095116391,0.166114580309237,0.203206261508255,-0.124149198938534,0.304568136624339,0.64727104374432,0.580034032255534,0.466652812891207,-0.137351292829046,0.0489280721001792,-0.107821691020604,-0.00314759166903357,0.00144517341533424,0.270099439309894,0.327788540382597,-0.0186167627573582,0.297551391026961,0.240882230838053,-0.297351332978878,0.118263455813743,0.566918748548144,0.20199128101054
"BS-346_D0_D60",0.0487791414162742,0.386724727563702,0.492324909321373,0.132760825607168,-0.0863407068167023,0.220501707468152,0.202099728892794,0.480111427400012,0.466652812891207,0.390606714227782,0.249081523725418,0.237426154768678,0.210443892842156,0.279410239520043,0.565457558862936,0.539235309844961,0.533475123485025,0.379194522377817,0.589231605513747,0.265242776727493,0.316375773017767,0.0279165351580061,0.157780582484791,0.284761590444947,0.56629100421526,1,0.00828498824100006,0.0584085682634226,0.127642600332539,-0.00644315202551747,-0.0220825773082172,0.310918322280173,0.304518697767597,0.0370164740243596,0.253388347891234,0.326102659798836,-0.219218519876219,0.285884063945367,0.486960449125028,0.262149978280703
"JV-148_D0_D60",-0.04347908727204,0.0728564059522234,0.13967287205877,0.0974688646250809,0.319498868488402,-0.128840696379014,0.0838198370216554,0.00123448103488656,-0.124149198938534,-0.124944255958585,0.0453933431625044,0.0585652066310307,0.254650673060871,-0.228135957809759,0.0401361019738408,0.0673970829041784,0.0588030895286268,0.133316997810318,-0.105566296171007,-0.0981598729558443,0.0560241719526412,1,-0.1272696004255,0.0112426084466835,0.0973206752045629,0.0279165351580061,0.0888016846324156,0.117792005937854,0.11278578746052,0.185794566745162,0.0147644852858274,0.0871387007249278,0.000855698587409771,0.197393930608731,0.111741131919001,0.0811783103637296,0.163390442923449,0.124247775808616,-0.0350487883407477,-0.0265820579078715
"KT-352_D0_D60",0.394870961113388,0.492905633650761,0.550980907693818,0.290969044790249,0.299525103902214,0.318062274950759,0.134127637955307,0.184807351752199,0.128151940131285,0.341304443490645,0.304978485476688,0.391524691713241,1,0.241384243626955,0.282012423687548,0.257224175006112,0.277378294007455,0.317562143473726,0.197399759714149,0.0962961370094367,0.180284017028344,0.254650673060871,-0.107376315341029,0.111197230006589,0.325169497622702,0.210443892842156,0.485642261234116,0.443345010426043,0.423683077523918,0.368042967008309,0.0342363719858099,0.453500778286813,0.335539642132044,0.358544825037538,0.33292872576787,0.34580475644701,0.0578624460208917,0.378157919630114,0.214088575629198,0.092378733521519
"KT-525_D0_D60",0.480816863204012,0.510431579253225,0.254266409890943,0.547367437140961,0.407135140814712,0.124661390868905,0.0345828053609477,-0.0900351937898534,-0.137351292829046,0.0400175043840001,0.262614521847142,0.140205332093521,0.485642261234116,0.127691759972837,0.0703399053430913,-0.0983955302232153,-0.0565668987221234,0.270509035557399,0.0611883258114553,0.0294769944758421,0.0259533929786195,0.0888016846324156,-0.0844393899209534,-0.196546050753396,0.0336796446065423,0.00828498824100006,1,0.596855393941122,0.529408378607032,0.652560340381329,0.445388883153768,0.495742356060573,0.497208468229248,0.445874780592524,0.220550596868343,0.528317382375382,0.188647839149003,0.153342444950304,0.178372072845554,0.256731468746411
"KT-445_D0_D60",0.198025654680192,0.334045491456177,0.571430364051619,0.277229993015761,0.0689388830238378,0.461625156989541,0.427622155052904,0.564989029058656,0.576697715190237,0.460049161131085,0.335410979198488,0.557954552877274,0.277378294007455,0.466549557609051,0.555452035380804,0.812666721505434,1,0.482372894175192,0.386137139032565,0.245879675476859,0.1619392025399,0.0588030895286268,0.391758861201188,0.606435315860785,0.663839567474049,0.533475123485025,-0.0565668987221234,0.117651782747817,0.23184842684511,-0.0640170663211636,0.0295041226671911,0.22283471099877,0.343179645608189,0.183369455181573,0.46831439409848,0.352186039753198,-0.222419184653034,0.400474059544265,0.55792416825726,0.362044174032525
"KT-612_D0_D60",0.3485868059632,0.434233599521354,0.432997980733549,0.144173195907625,-0.137603022452466,0.400042626932117,0.0589703011319359,0.520839453687596,0.59875095116391,0.4214349454104,0.358071483320466,0.269285305138055,0.197399759714149,0.357708034548084,0.393397961966468,0.457244914499224,0.386137139032565,0.435058458632304,1,0.344496547388795,0.322965644598964,-0.105566296171007,0.0543906632135741,0.265296937528497,0.455771926697254,0.589231605513747,0.0611883258114553,0.130866686765473,0.184109068301902,0.0436338738723499,0.0113149255600486,0.508279160068386,0.427766211253242,0.0555941033667203,0.184809972629843,0.344100753669611,-0.448141229162897,0.301738680252174,0.533249775804603,0.171069884369306
"KT-537_D0_D60",0.294475666941176,0.328508472156813,0.328288375303354,0.228042629046072,0.26191336210241,0.374661651591787,0.503257013965181,0.482806168175792,0.468946340746664,0.37536187134928,0.519865965050183,1,0.391524691713241,0.625848010964415,0.355105537051298,0.520657348561296,0.557954552877274,0.334667709257349,0.269285305138055,0.302156846711509,0.0406562177237016,0.0585652066310307,0.253916568394585,0.477307274664378,0.449812024673361,0.237426154768678,0.140205332093521,0.278398036610338,0.124315691328473,0.135491428452177,0.101148997462029,0.189869384568953,0.292655524318814,0.248584610683025,0.466699328416268,0.210698546582998,-0.0206913712980032,0.420625195177125,0.555805363322107,0.373220794546087
"KT-974_D0_D60",0.244441702641386,0.489364624333368,0.195065648773287,0.510766198013015,0.326499259477863,0.0781143007340029,0.517461862657697,0.145737277695081,0.20199128101054,0.0514689169848646,0.441010672111621,0.373220794546087,0.092378733521519,0.492022735695438,0.377133497359218,0.362730589877195,0.362044174032525,0.298235449122782,0.171069884369306,0.532046010930585,-0.145515730473322,-0.0265820579078715,0.443996235377438,0.454312439881428,0.254602735939289,0.262149978280703,0.256731468746411,0.458378321784404,0.288874275852755,0.275012478124012,0.626768098884356,0.26613983840821,0.512486570162291,0.383330344703998,0.441022233240691,0.494769757182792,0.202902492622722,0.193195751545965,0.472805764449972,1
