"","LPC","LPC O-","CE","PC O-","DG","PE","PI","CAR","Cer","FA","TG","PC","SM"
"TG",-0.0440900562851782,-0.51125703564728,-0.106191369606004,-0.023827392120075,0.468292682926829,-0.026873421344312,0.212007504690432,-0.472045028142589,-0.222701688555347,0.180487804878049,1,-0.0196998123827392,-0.215947467166979
"SM",0.0399624765478424,0.334896810506567,0.461726078799249,0.372420262664165,-0.561350844277673,0.0312896828939017,-0.252908067542214,-0.049906191369606,0.447279549718574,0.0414634146341463,-0.215947467166979,0.29249530956848,1
"PI",0.116697936210131,-0.0866791744840525,-0.420075046904315,0.0110694183864916,0.307317073170732,-0.204463513444835,1,-0.307129455909944,-0.490431519699812,0.287429643527204,0.212007504690432,0.300375234521576,-0.252908067542214
"PE",-0.121400211107871,-0.0864459707579267,0.0342025362563971,0.0593846233902279,0.0593846233902279,1,-0.204463513444835,0.0655861821619922,0.0793047818692284,0.11942698786231,-0.026873421344312,-0.0637069219281242,0.0312896828939017
"PC O-",-0.0613508442776735,0.073733583489681,0.124202626641651,1,-0.0392120075046904,0.0593846233902279,0.0110694183864916,-0.154596622889306,0.206754221388368,-0.1093808630394,-0.023827392120075,0.394746716697936,0.372420262664165
"PC",0.0701688555347092,0.00637898686679174,-0.116322701688555,0.394746716697936,-0.15891181988743,-0.0637069219281242,0.300375234521576,-0.504878048780488,-0.0806754221388368,0.0846153846153846,-0.0196998123827392,1,0.29249530956848
"LPC O-",0.177861163227017,1,0.118574108818011,0.073733583489681,-0.291369606003752,-0.0864459707579267,-0.0866791744840525,0.260975609756098,-0.0285178236397749,-0.099437148217636,-0.51125703564728,0.00637898686679174,0.334896810506567
"LPC",1,0.177861163227017,-0.207129455909944,-0.0613508442776735,0.228893058161351,-0.121400211107871,0.116697936210131,0.125515947467167,-0.00712945590994371,-0.0622889305816135,-0.0440900562851782,0.0701688555347092,0.0399624765478424
"FA",-0.0622889305816135,-0.099437148217636,-0.0818011257035647,-0.1093808630394,0.199437148217636,0.11942698786231,0.287429643527204,-0.0681050656660413,-0.113883677298311,1,0.180487804878049,0.0846153846153846,0.0414634146341463
"DG",0.228893058161351,-0.291369606003752,-0.389118198874296,-0.0392120075046904,1,0.0593846233902279,0.307317073170732,-0.0532833020637899,-0.217260787992495,0.199437148217636,0.468292682926829,-0.15891181988743,-0.561350844277673
"Cer",-0.00712945590994371,-0.0285178236397749,0.385928705440901,0.206754221388368,-0.217260787992495,0.0793047818692284,-0.490431519699812,0.369418386491557,1,-0.113883677298311,-0.222701688555347,-0.0806754221388368,0.447279549718574
"CE",-0.207129455909944,0.118574108818011,1,0.124202626641651,-0.389118198874296,0.0342025362563971,-0.420075046904315,0.0431519699812383,0.385928705440901,-0.0818011257035647,-0.106191369606004,-0.116322701688555,0.461726078799249
"CAR",0.125515947467167,0.260975609756098,0.0431519699812383,-0.154596622889306,-0.0532833020637899,0.0655861821619922,-0.307129455909944,1,0.369418386491557,-0.0681050656660413,-0.472045028142589,-0.504878048780488,-0.049906191369606
