"feature","KT-539_D0_D60","BS-671_D0_D60","BS-064_D0_D60","KT-805_D0_D60","KT-926_D0_D60","KT-705_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","KT-347_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-515_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-538_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-612_D0_D60","KT-445_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60"
"DG 30:0","-0.03983","0","-0.0932","-0.09701","0","-0.07217","0.00099","0.15676","-0.01586","0","-0.24339","-0.00162","-0.00975","0.05756","-0.0189","0.07668","0.04786","-0.21609","0.02017","0","-0.09919","-0.02332","0","0","0","0.00749","0.15167","0.00479","0","0","0.04856","0","0","0.12057","-0.09074","-0.14014","0.0086","0","0","0"
"DG 32:0","-0.03983","-0.22011","-0.1402","-0.07009","0.18942","-0.03006","-0.16336","0.16248","-0.01291","0.22272","-0.43333","-0.2191","-0.21657","-0.23862","-0.0189","-0.3519","-0.08886","-0.22049","-0.11016","0.29226","0.18637","-0.02332","0.02119","0.1098","-0.0442","0.18032","0.47549","0.00479","0.01409","0.0157","-0.1217","0","-0.14417","-0.08625","-0.09074","0.01519","-0.12812","-0.33846","-0.15836","0"
"DG 32:1","-0.03983","0","-0.0932","-0.08009","0.33244","-0.28232","-0.19767","0.12322","-0.01586","0","-0.45153","-0.13459","-0.00975","0.05756","-0.33904","-0.15989","0.04786","-0.47608","-0.18122","0","0.06813","-0.02332","-0.04815","0.16137","0","0.00295","0.5372","0.00479","-0.25042","-0.17319","0.04856","0","-0.20952","-0.0584","-0.09074","-0.14014","-0.12173","-0.21748","0","0"
"DG 34:1","-0.1893","-0.21178","-0.34133","0.02706","0.51636","0.01946","-0.25482","0.2442","-0.05489","0.23185","-0.32182","-0.29804","-0.24224","-0.0637","-0.10474","-0.57644","-0.20574","-0.25982","-0.29974","0.18009","0.33218","-0.1025","0.19673","0.08959","-0.19978","0.34263","0.68337","-0.36083","-0.14808","0.05833","-0.22995","0.07379","-0.41266","-0.17734","0.16186","-0.06011","0.14984","-0.58601","-0.2955","-0.12057"
"DG 34:3","-0.03983","0","-0.0932","-0.09701","0.22789","0.08317","0.00099","0.15676","-0.01586","0","-0.20985","-0.00162","-0.00975","0.05756","-0.0189","0.03393","0.04786","-0.14953","0.02017","0","-0.09919","-0.02332","0","0","0","0.00749","0.19528","0.00479","0","0","0.04856","0","0","0.12057","-0.09074","-0.14014","-0.05586","0","0","0"
"DG 36:3","-0.27536","-0.15289","-0.20633","-0.00972","0.38057","0.08015","-0.251","0.20276","-0.10003","0.00812","-0.33637","-0.13772","-0.16434","-0.0161","-0.0189","-0.45392","-0.14085","-0.1492","-0.23126","0.01952","0.1596","-0.22197","0.14947","0.05001","-0.12494","0.28729","0.44703","-0.38791","-0.17164","0.03083","-0.07873","0.10206","-0.41958","-0.21186","-0.05637","-0.02439","0.04322","-0.43616","-0.41664","-0.01782"
"DG 34:2","-0.03983","-0.22272","-0.09903","-0.03403","0.23657","0.10165","-0.24205","0.14214","0.13643","0.24551","-0.23699","-0.19752","-0.15588","-0.2809","-0.09808","-0.18847","-0.12532","-0.14536","-0.16167","0.05084","0.19085","-0.02332","-0.00802","0.01107","-0.05045","0.26649","0.37067","0.00479","-0.06402","0.05334","0.04856","0","-0.25285","-0.08082","0.0646","0.11993","0.04268","-0.25768","-0.22272","0"
"DG 36:1","-0.03983","-0.0607","-0.0363","-0.07868","0.1038","0.14852","-0.05971","0.11537","0.04484","0","-0.09626","-0.00162","-0.00975","0.05756","0.13032","0.06486","0.04786","0.00527","0.02017","0.11059","0.04694","-0.02332","0.08991","0.04922","0.01914","0.21968","0.2153","0.00479","0.03806","0.03103","0.04856","0","-0.0607","0.04139","-0.09074","-0.05736","-0.01671","0","0","0"
"DG 36:2","-0.01131","-0.18886","0.02988","0.10537","0.3319","0.18008","-0.23083","0.04955","0.06243","0.1508","-0.06337","-0.15677","-0.03312","-0.0596","-0.07511","-0.65903","-0.05114","-0.12466","-0.13431","0.11274","0.15025","0.16222","0.26786","0.02336","-0.11635","0.5002","0.54846","-0.09427","0.0828","0.09128","-0.03441","0.05959","-0.39706","-0.11026","0.18152","0.10015","0.20257","-0.28675","-0.27392","-0.11161"
"DG 36:4","-0.03983","0","-0.0932","-0.09701","0","0.08317","0.00099","0.15676","-0.01586","0","-0.07313","-0.00162","-0.00975","0.05756","0.19329","0.23805","0.04786","0.04637","0.02017","0","-0.09919","-0.02332","0.13354","0","0","0.00749","0.28042","0.00479","-0.05183","0","0.04856","0","0","0.12057","-0.09074","-0.14014","0.0086","-0.17026","0","0"
