"","post.hoc.pval.signif","class","comparison","mean_ctrl","mean_exp","FC","log2FC","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","PI","severe(exp) / mild(ctrl)","4.26e+00","6.43e+00","1.51e+00","5.94e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","1.33e-03","2.88","9.69e-03","2.01","yes"
"2","yes","TG","severe(exp) / mild(ctrl)","3.25e+01","4.65e+01","1.43e+00","5.17e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","1.49e-03","2.83","9.69e-03","2.01","yes"
"3","yes","DG","severe(exp) / mild(ctrl)","8.86e+00","1.19e+01","1.34e+00","4.27e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","2.94e-03","2.53","1.27e-02","1.9","yes"
"4","yes","Cer","severe(exp) / mild(ctrl)","7.62e+00","6.67e+00","8.76e-01","-1.92e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","9.18e-03","2.04","2.98e-02","1.53","yes"
"5","yes","LPC O-","severe(exp) / mild(ctrl)","2.5e+00","1.67e+00","6.68e-01","-5.82e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","1.93e-02","1.71","5.02e-02","1.3","no"
"6","yes","CAR","severe(exp) / mild(ctrl)","6.82e+00","6.1e+00","8.94e-01","-1.61e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","3.62e-02","1.44","7.83e-02","1.11","no"
"7","no","SM","severe(exp) / mild(ctrl)","2.82e+01","2.51e+01","8.88e-01","-1.71e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","5.15e-02","1.29","9.56e-02","1.02","no"
"8","no","CE","severe(exp) / mild(ctrl)","4.13e+00","3.42e+00","8.27e-01","-2.75e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","1.25e-01","0.902","2.03e-01","0.692","no"
"9","no","PC O-","severe(exp) / mild(ctrl)","1.21e+00","1.4e+00","1.16e+00","2.09e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","1.69e-01","0.771","2.45e-01","0.612","no"
"10","no","PC","severe(exp) / mild(ctrl)","3.44e+01","3.6e+01","1.05e+00","6.73e-02","Two-way ANOVA","4.78e+00","1.99e-07","t-test","4.08e-01","0.389","5.31e-01","0.275","no"
"11","no","FA","severe(exp) / mild(ctrl)","2.5e+01","3.26e+01","1.3e+00","3.82e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","6.18e-01","0.209","7.3e-01","0.137","no"
"12","no","PE","severe(exp) / mild(ctrl)","4.6e+00","5.83e+00","1.27e+00","3.44e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","7.55e-01","0.122","8.18e-01","0.0873","no"
"13","no","LPC","severe(exp) / mild(ctrl)","1.32e+01","1.19e+01","9.02e-01","-1.48e-01","Two-way ANOVA","4.78e+00","1.99e-07","t-test","8.22e-01","0.0849","8.22e-01","0.0849","no"
