"","Aspect","Characteristic","feature*group_fval","feature*group_pval","feature*group_padj","feature_fval","feature_pval","feature_padj","group_fval","group_pval","group_padj"
"1","Fatty acid properties","Total.FA","3.4048","2.52e-29","7.06e-28","45.875","0.00e+00","0.00e+00","35.2649","3.11e-09","8.69e-08"
"2","Fatty acid properties","Total.C","2.6842","1.87e-07","1.86e-06","152.344","0.00e+00","0.00e+00","2.6628","1.03e-01","1.96e-01"
"3","Lipid classification","class","4.7765","1.99e-07","1.86e-06","194.235","2.82e-178","1.58e-177","0.3924","5.31e-01","6.47e-01"
"4","Physical or chemical properties","Lateral.Diffusion","7.1997","2.03e-05","1.42e-04","386.248","4.80e-90","1.03e-89","5.6122","1.88e-02","5.27e-02"
"5","Fatty acid properties","Total.OH","13.7822","3.89e-04","2.18e-03","3267.940","3.27e-64","5.38e-64","0.6766","4.13e-01","5.26e-01"
"6","Physical or chemical properties","Transition.Temperature","5.0153","7.28e-04","3.40e-03","204.425","1.14e-67","2.00e-67","2.4094","1.22e-01","2.09e-01"
"7","Fatty acid properties","Total.DB","2.9712","1.26e-03","5.03e-03","775.997","8.19e-263","5.73e-262","19.8705","1.07e-05","1.49e-04"
"8","Physical or chemical properties","Bilayer.Thickness","5.3520","1.57e-03","5.49e-03","55.522","2.72e-24","3.80e-24","13.4419","3.40e-04","2.76e-03"
"9","Lipid classification","Sub.Class","3.0452","2.54e-03","7.26e-03","268.245","2.36e-142","9.46e-142","10.7492","1.15e-03","6.44e-03"
"10","Lipid classification","Main.Class","2.8871","2.59e-03","7.26e-03","187.078","9.91e-134","3.47e-133","6.6433","1.03e-02","3.62e-02"
"11","Cellular component","Cellular.Component","3.6283","3.54e-03","9.00e-03","293.715","3.23e-97","8.22e-97","2.3446","1.27e-01","2.09e-01"
"12","Lipid classification","Category","3.8237","5.16e-03","1.20e-02","451.746","7.68e-96","1.79e-95","0.2785","5.98e-01","6.98e-01"
"13","Specific ratios","Chains Ether/Ester linked ratio","6.0979","1.58e-02","3.40e-02","5.871","1.78e-02","1.99e-02","4.7300","3.28e-02","8.34e-02"
"14","Function","Function","1.9293","1.50e-01","3.00e-01","233.856","4.52e-41","7.03e-41","13.3350","3.95e-04","2.76e-03"
"15","Fatty acid properties","FA.Chain.Length.Category2","1.5562","1.73e-01","3.24e-01","233.547","1.42e-87","2.83e-87","0.1499","6.99e-01","7.53e-01"
"16","Fatty acid properties","FA.OH","1.7614","1.88e-01","3.30e-01","676.330","1.41e-39","2.08e-39","4.0310","4.82e-02","1.13e-01"
"17","Fatty acid properties","FA.DB","1.1987","3.07e-01","5.04e-01","208.160","2.02e-97","5.66e-97","1.7886","1.82e-01","2.83e-01"
"18","Fatty acid properties","FA.Unsaturation.Category2","1.1730","3.24e-01","5.04e-01","300.779","5.27e-81","9.84e-81","0.2154","6.43e-01","7.20e-01"
"19","Fatty acid properties","FA","1.0350","4.12e-01","6.07e-01","56.594","5.09e-264","4.75e-263","9.7122","1.86e-03","7.46e-03"
"20","Physical or chemical properties","Headgroup.Charge","0.8086","4.48e-01","6.27e-01","35.703","9.13e-13","1.16e-12","6.2904","1.35e-02","4.21e-02"
"21","Specific ratios","Chains odd/even ratio","0.2804","5.98e-01","7.93e-01","6.948","1.02e-02","1.19e-02","0.0402","8.42e-01","8.42e-01"
"22","Specific ratios","Ratio of Lysophospholipids to Phospholipids","0.2349","6.29e-01","7.93e-01","1.489","2.26e-01","2.34e-01","1.4225","2.37e-01","3.49e-01"
"23","Specific ratios","Ratio of specific lipid class A to lipid class B","0.2043","6.53e-01","7.93e-01","41.228","1.06e-08","1.29e-08","0.0577","8.11e-01","8.41e-01"
"24","Fatty acid properties","FA.Unsaturation.Category1","0.1715","6.80e-01","7.93e-01","0.171","6.80e-01","6.80e-01","0.8176","3.69e-01","5.11e-01"
"25","Fatty acid properties","FA.Chain.Length.Category3","0.4487","7.19e-01","8.05e-01","2067.102","6.05e-123","1.88e-122","3.3156","7.06e-02","1.52e-01"
"26","Fatty acid properties","FA.Chain.Length.Category1","0.0869","7.69e-01","8.15e-01","4.127","4.57e-02","4.92e-02","0.7694","3.83e-01","5.11e-01"
"27","Physical or chemical properties","Intrinsic.Curvature","0.2415","7.86e-01","8.15e-01","62.183","5.50e-19","7.34e-19","10.3047","1.72e-03","7.46e-03"
"28","Fatty acid properties","FA.C","0.6526","8.41e-01","8.41e-01","113.796","1.07e-175","4.99e-175","2.6350","1.05e-01","1.96e-01"
