"","post.hoc.pval.signif","Total.C","comparison","mean_ctrl","mean_exp","FC","log2FC","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","51","severe(exp) / mild(ctrl)","1.52e+00","4e+00","2.64e+00","1.4e+00","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.06e-04","3.98","4.12e-03","2.38","yes"
"2","yes","32","severe(exp) / mild(ctrl)","6.75e+00","8.69e+00","1.29e+00","3.63e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","4.31e-04","3.37","8.31e-03","2.08","yes"
"3","yes","36","severe(exp) / mild(ctrl)","1.25e+01","1.58e+01","1.26e+00","3.38e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","6.39e-04","3.19","8.31e-03","2.08","yes"
"4","yes","34","severe(exp) / mild(ctrl)","1.34e+01","1.55e+01","1.16e+00","2.09e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.36e-03","2.87","1.33e-02","1.88","yes"
"5","yes","76","severe(exp) / mild(ctrl)","4.82e+00","3.26e+00","6.75e-01","-5.67e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.8e-03","2.75","1.4e-02","1.85","yes"
"6","yes","58","severe(exp) / mild(ctrl)","5.28e+00","7.48e+00","1.42e+00","5.02e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","3.02e-03","2.52","1.96e-02","1.71","yes"
"7","yes","42","severe(exp) / mild(ctrl)","9.35e+00","8e+00","8.55e-01","-2.26e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","5.19e-03","2.28","2.89e-02","1.54","yes"
"8","yes","54","severe(exp) / mild(ctrl)","5.29e+00","9.63e+00","1.82e+00","8.64e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","7.09e-03","2.15","3.46e-02","1.46","yes"
"9","yes","52","severe(exp) / mild(ctrl)","4.62e+00","5.78e+00","1.25e+00","3.24e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","8.49e-03","2.07","3.68e-02","1.43","yes"
"10","yes","72","severe(exp) / mild(ctrl)","4.2e+00","3.48e+00","8.28e-01","-2.72e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.05e-02","1.98","3.89e-02","1.41","yes"
"11","yes","39","severe(exp) / mild(ctrl)","1.24e+00","1.01e+00","8.17e-01","-2.91e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.1e-02","1.96","3.89e-02","1.41","yes"
"12","yes","49","severe(exp) / mild(ctrl)","1.73e+00","2.45e+00","1.41e+00","4.99e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.75e-02","1.76","5.62e-02","1.25","no"
"13","yes","37","severe(exp) / mild(ctrl)","1.14e+00","9.62e-01","8.43e-01","-2.47e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.87e-02","1.73","5.62e-02","1.25","no"
"14","yes","56","severe(exp) / mild(ctrl)","4.37e+00","6.97e+00","1.59e+00","6.72e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","2.59e-02","1.59","7.2e-02","1.14","no"
"15","yes","80","severe(exp) / mild(ctrl)","1.15e+00","9.89e-01","8.58e-01","-2.21e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","2.95e-02","1.53","7.67e-02","1.12","no"
"16","yes","41","severe(exp) / mild(ctrl)","3.75e+00","3.17e+00","8.44e-01","-2.44e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","3.2e-02","1.49","7.8e-02","1.11","no"
"17","yes","38","severe(exp) / mild(ctrl)","1.04e+01","1.29e+01","1.24e+00","3.11e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","4.3e-02","1.37","9.86e-02","1.01","no"
"18","no","43","severe(exp) / mild(ctrl)","2.28e+00","2.02e+00","8.89e-01","-1.7e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","6.25e-02","1.2","1.35e-01","0.868","no"
"19","no","84","severe(exp) / mild(ctrl)","1.18e+00","9.98e-01","8.48e-01","-2.39e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","8.21e-02","1.09","1.69e-01","0.773","no"
"20","no","8","severe(exp) / mild(ctrl)","1.06e+00","9.75e-01","9.19e-01","-1.23e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.21e-01","0.916","2.37e-01","0.626","no"
"21","no","20","severe(exp) / mild(ctrl)","5.05e+00","6.44e+00","1.28e+00","3.52e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.36e-01","0.867","2.52e-01","0.599","no"
"22","no","2","severe(exp) / mild(ctrl)","1.07e+00","1e+00","9.37e-01","-9.42e-02","Two-way ANOVA","2.68e+00","1.87e-07","t-test","1.85e-01","0.734","3.27e-01","0.485","no"
"23","no","22","severe(exp) / mild(ctrl)","2.77e+00","3.85e+00","1.39e+00","4.76e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","2.15e-01","0.667","3.65e-01","0.438","no"
"24","no","3","severe(exp) / mild(ctrl)","1.06e+00","9.9e-01","9.38e-01","-9.23e-02","Two-way ANOVA","2.68e+00","1.87e-07","t-test","2.47e-01","0.607","4.02e-01","0.396","no"
"25","no","30","severe(exp) / mild(ctrl)","1.96e+00","2.12e+00","1.08e+00","1.15e-01","Two-way ANOVA","2.68e+00","1.87e-07","t-test","2.89e-01","0.539","4.42e-01","0.355","no"
"26","no","46","severe(exp) / mild(ctrl)","1.73e+00","1.84e+00","1.06e+00","8.54e-02","Two-way ANOVA","2.68e+00","1.87e-07","t-test","2.94e-01","0.531","4.42e-01","0.355","no"
