"","post.hoc.pval.signif","Total.C","class","comparison","mean_ctrl","mean_exp","FC","log2FC","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","76","PC","severe(exp) / mild(ctrl)","3.22e+00","2.54e+00","7.88e-01","-3.44e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","2.40e-03","2.62","2.74e-02","1.562","yes"
"2","yes","32","PC","severe(exp) / mild(ctrl)","2.84e+00","3.93e+00","1.38e+00","4.65e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","6.57e-03","2.182","2.74e-02","1.562","yes"
"3","yes","34","PC","severe(exp) / mild(ctrl)","5.50e+00","6.36e+00","1.16e+00","2.10e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","6.85e-03","2.1644","2.74e-02","1.5623","yes"
"4","yes","72","PC","severe(exp) / mild(ctrl)","3.08e+00","2.60e+00","8.45e-01","-2.43e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","1.36e-02","1.866","4.08e-02","1.389","yes"
"5","yes","80","PC","severe(exp) / mild(ctrl)","1.15e+00","9.89e-01","8.58e-01","-2.21e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","2.95e-02","1.53","7.08e-02","1.15","no"
"6","no","84","PC","severe(exp) / mild(ctrl)","1.18e+00","9.98e-01","8.48e-01","-2.39e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","8.21e-02","1.09","1.64e-01","0.784","no"
"7","no","36","PC","severe(exp) / mild(ctrl)","4.56e+00","5.29e+00","1.16e+00","2.14e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","1.07e-01","0.973","1.83e-01","0.738","no"
"8","no","30","PC","severe(exp) / mild(ctrl)","9.57e-01","1.15e+00","1.20e+00","2.63e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","2.84e-01","0.547","4.26e-01","0.370","no"
"9","no","68","PC","severe(exp) / mild(ctrl)","2.08e+00","1.95e+00","9.37e-01","-9.34e-02","Two-way ANOVA","6.56e+00","1.07e-02","t-test","3.29e-01","0.483","4.38e-01","0.358","no"
"10","no","64","PC","severe(exp) / mild(ctrl)","1.03e+00","1.12e+00","1.09e+00","1.19e-01","Two-way ANOVA","6.56e+00","1.07e-02","t-test","4.75e-01","0.323","5.7e-01","0.244","no"
"11","no","40","PC","severe(exp) / mild(ctrl)","4.01e+00","4.26e+00","1.06e+00","8.68e-02","Two-way ANOVA","6.56e+00","1.07e-02","t-test","5.24e-01","0.281","5.71e-01","0.243","no"
"12","no","38","PC","severe(exp) / mild(ctrl)","4.74e+00","4.81e+00","1.02e+00","2.22e-02","Two-way ANOVA","6.56e+00","1.07e-02","t-test","6.76e-01","0.17","6.76e-01","0.170","no"
