"","post.hoc.pval.signif","Total.C","class","comparison","mean_ctrl","mean_exp","FC","log2FC","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","39","SM","severe(exp) / mild(ctrl)","1.24e+00","1.01e+00","8.17e-01","-2.91e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","1.1e-02","1.96","9.03e-02","1.04","no"
"2","yes","37","SM","severe(exp) / mild(ctrl)","1.14e+00","9.62e-01","8.43e-01","-2.47e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","1.87e-02","1.73","9.03e-02","1.04","no"
"3","yes","41","SM","severe(exp) / mild(ctrl)","2.63e+00","2.14e+00","8.15e-01","-2.95e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","2.26e-02","1.646","9.03e-02","1.044","no"
"4","yes","38","SM","severe(exp) / mild(ctrl)","2.56e+00","2.22e+00","8.66e-01","-2.08e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","4.86e-02","1.31","1.25e-01","0.903","no"
"5","no","40","SM","severe(exp) / mild(ctrl)","4.17e+00","3.60e+00","8.62e-01","-2.14e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","5.64e-02","1.249","1.25e-01","0.903","no"
"6","no","43","SM","severe(exp) / mild(ctrl)","2.28e+00","2.02e+00","8.89e-01","-1.7e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","6.25e-02","1.2","1.25e-01","0.903","no"
"7","no","42","SM","severe(exp) / mild(ctrl)","5.38e+00","4.76e+00","8.86e-01","-1.75e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","9.31e-02","1.03","1.60e-01","0.797","no"
"8","no","32","SM","severe(exp) / mild(ctrl)","1.09e+00","1.01e+00","9.27e-01","-1.09e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","1.62e-01","0.789","2.44e-01","0.613","no"
"9","no","36","SM","severe(exp) / mild(ctrl)","2.87e+00","2.67e+00","9.32e-01","-1.02e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","2.63e-01","0.580","3.51e-01","0.455","no"
"10","no","35","SM","severe(exp) / mild(ctrl)","1.31e+00","1.17e+00","8.95e-01","-1.6e-01","Two-way ANOVA","1.02e+00","3.13e-01","t-test","3.14e-01","0.503","3.77e-01","0.424","no"
"11","no","34","SM","severe(exp) / mild(ctrl)","2.43e+00","2.31e+00","9.49e-01","-7.52e-02","Two-way ANOVA","1.02e+00","3.13e-01","t-test","3.52e-01","0.4537","3.84e-01","0.4159","no"
"12","no","33","SM","severe(exp) / mild(ctrl)","1.15e+00","1.21e+00","1.05e+00","7.3e-02","Two-way ANOVA","1.02e+00","3.13e-01","t-test","6.76e-01","0.17","6.76e-01","0.17","no"
