"","Significance(p-value)","Feature","Comparison","Mean(ctrl)","Mean(exp)","Method","FC","Log2(FC)","Statistic","p-value","-Log10(p-value)","padj","-Log10(padj)","Significance(padj)"
"1","yes","PC 34:1","severe(exp) / mild(ctrl)","8.68e-01","1.48e+00","t-test","1.7","0.768","4.66","3.82e-05","4.42e+00","5.93e-03","2.23e+00","yes"
"2","yes","TG 51:1","severe(exp) / mild(ctrl)","7.36e-01","2.13e+00","t-test","2.89","1.53","4.41","8.12e-05","4.09e+00","6.29e-03","2.2e+00","yes"
"3","yes","DG 36:2","severe(exp) / mild(ctrl)","8.33e-01","1.53e+00","t-test","1.84","0.88","4.05","2.44e-04","3.61e+00","1.25e-02","1.9e+00","yes"
"4","yes","TG 51:2","severe(exp) / mild(ctrl)","7.81e-01","1.88e+00","t-test","2.4","1.27","3.9","3.81e-04","3.42e+00","1.25e-02","1.9e+00","yes"
"5","yes","DG 32:0","severe(exp) / mild(ctrl)","7.76e-01","1.24e+00","t-test","1.6","0.676","3.88","4.04e-04","3.39e+00","1.25e-02","1.9e+00","yes"
"6","yes","PC 32:1","severe(exp) / mild(ctrl)","9.17e-01","1.7e+00","t-test","1.85","0.886","3.74","6.05e-04","3.22e+00","1.37e-02","1.86e+00","yes"
"7","yes","TG 54:2","severe(exp) / mild(ctrl)","8.32e-01","2.49e+00","t-test","2.99","1.58","3.73","6.19e-04","3.21e+00","1.37e-02","1.86e+00","yes"
"8","yes","DG 34:2","severe(exp) / mild(ctrl)","8.26e-01","1.23e+00","t-test","1.49","0.574","3.66","7.68e-04","3.11e+00","1.49e-02","1.83e+00","yes"
"9","yes","PC 38:4;P/38:5;O","severe(exp) / mild(ctrl)","1.03e+00","7.56e-01","t-test","0.736","-0.441","-3.39","1.65e-03","2.78e+00","2.83e-02","1.55e+00","yes"
"10","yes","TG 52:1","severe(exp) / mild(ctrl)","6.89e-01","1.32e+00","t-test","1.92","0.937","3.34","1.88e-03","2.73e+00","2.91e-02","1.54e+00","yes"
"11","yes","TG 58:7","severe(exp) / mild(ctrl)","1.06e+00","1.76e+00","t-test","1.67","0.736","3.29","2.16e-03","2.67e+00","3.04e-02","1.52e+00","yes"
"12","yes","DG 34:1","severe(exp) / mild(ctrl)","7.17e-01","1.48e+00","t-test","2.07","1.05","3.25","2.39e-03","2.62e+00","3.09e-02","1.51e+00","yes"
"13","yes","TG 58:5","severe(exp) / mild(ctrl)","1.04e+00","1.64e+00","t-test","1.58","0.659","3.14","3.28e-03","2.48e+00","3.91e-02","1.41e+00","yes"
"14","yes","PC 38:2;P/38:3;O","severe(exp) / mild(ctrl)","1.15e+00","9.01e-01","t-test","0.785","-0.35","-3","4.8e-03","2.32e+00","5.31e-02","1.27e+00","no"
"15","yes","PC 36:2;P/36:3;O","severe(exp) / mild(ctrl)","9.63e-01","7.87e-01","t-test","0.818","-0.29","-2.94","5.61e-03","2.25e+00","5.79e-02","1.24e+00","no"
"16","yes","TG 56:6","severe(exp) / mild(ctrl)","9.58e-01","2.18e+00","t-test","2.27","1.19","2.89","6.4e-03","2.19e+00","6.2e-02","1.21e+00","no"
"17","yes","TG 58:8","severe(exp) / mild(ctrl)","1.14e+00","1.66e+00","t-test","1.47","0.551","2.84","7.24e-03","2.14e+00","6.39e-02","1.19e+00","no"
"18","yes","TG 49:2","severe(exp) / mild(ctrl)","6.98e-01","1.37e+00","t-test","1.97","0.976","2.83","7.42e-03","2.13e+00","6.39e-02","1.19e+00","no"
"19","yes","PI 36:2","severe(exp) / mild(ctrl)","6.41e-01","2.08e+00","t-test","3.24","1.69","2.8","8.05e-03","2.09e+00","6.57e-02","1.18e+00","no"
"20","yes","CAR 16:0","severe(exp) / mild(ctrl)","1.16e+00","1e+00","t-test","0.864","-0.21","-2.76","8.77e-03","2.06e+00","6.8e-02","1.17e+00","no"
"21","yes","SM 39:1;O2","severe(exp) / mild(ctrl)","1.24e+00","1.01e+00","t-test","0.817","-0.291","-2.67","1.1e-02","1.96e+00","8.09e-02","1.09e+00","no"
"22","yes","PC 34:2","severe(exp) / mild(ctrl)","7.15e-01","1.03e+00","t-test","1.44","0.529","2.63","1.23e-02","1.91e+00","8.66e-02","1.06e+00","no"
"23","yes","SM 41:2;O2","severe(exp) / mild(ctrl)","1.17e+00","9.93e-01","t-test","0.852","-0.231","-2.57","1.42e-02","1.85e+00","9.33e-02","1.03e+00","no"
"24","yes","TG 52:4","severe(exp) / mild(ctrl)","9.17e-01","1.17e+00","t-test","1.28","0.351","2.56","1.44e-02","1.84e+00","9.33e-02","1.03e+00","no"
"25","yes","PC 34:1;P/34:2;O","severe(exp) / mild(ctrl)","9.72e-01","7.58e-01","t-test","0.779","-0.36","-2.54","1.54e-02","1.81e+00","9.56e-02","1.02e+00","no"
"26","yes","TG 54:3","severe(exp) / mild(ctrl)","9.72e-01","2.2e+00","t-test","2.26","1.18","2.51","1.64e-02","1.79e+00","9.75e-02","1.01e+00","no"
"27","yes","PC 36:3;P/36:3;O","severe(exp) / mild(ctrl)","9.76e-01","7.73e-01","t-test","0.791","-0.338","-2.48","1.76e-02","1.75e+00","1.01e-01","9.95e-01","no"
"28","yes","SM 37:1;O2","severe(exp) / mild(ctrl)","1.14e+00","9.62e-01","t-test","0.843","-0.247","-2.46","1.87e-02","1.73e+00","1.01e-01","9.95e-01","no"
"29","yes","LPC O-16:0","severe(exp) / mild(ctrl)","2.5e+00","1.67e+00","t-test","0.668","-0.582","-2.44","1.93e-02","1.71e+00","1.01e-01","9.95e-01","no"
"30","yes","PC 36:1","severe(exp) / mild(ctrl)","7.27e-01","1.19e+00","t-test","1.64","0.711","2.44","1.96e-02","1.71e+00","1.01e-01","9.95e-01","no"
"31","yes","PC 36:0","severe(exp) / mild(ctrl)","1.14e+00","8.94e-01","t-test","0.785","-0.349","-2.4","2.17e-02","1.66e+00","1.08e-01","9.66e-01","no"
"32","yes","TG 50:0","severe(exp) / mild(ctrl)","6.24e-01","1.04e+00","t-test","1.67","0.741","2.38","2.26e-02","1.65e+00","1.09e-01","9.61e-01","no"
"33","yes","PC 32:0","severe(exp) / mild(ctrl)","1.13e+00","1.5e+00","t-test","1.33","0.415","2.34","2.46e-02","1.61e+00","1.16e-01","9.36e-01","no"
"34","yes","TG 58:9","severe(exp) / mild(ctrl)","9.99e-01","1.28e+00","t-test","1.29","0.363","2.32","2.55e-02","1.59e+00","1.16e-01","9.34e-01","no"
"35","yes","CAR 18:2","severe(exp) / mild(ctrl)","1.17e+00","1e+00","t-test","0.854","-0.227","-2.29","2.78e-02","1.56e+00","1.23e-01","9.11e-01","no"
"36","yes","DG 36:3","severe(exp) / mild(ctrl)","7.66e-01","1.15e+00","t-test","1.5","0.588","2.28","2.85e-02","1.55e+00","1.23e-01","9.11e-01","no"
"37","yes","PC 40:3;P/40:4;O","severe(exp) / mild(ctrl)","1.15e+00","9.89e-01","t-test","0.858","-0.221","-2.26","2.95e-02","1.53e+00","1.24e-01","9.08e-01","no"
"38","yes","PC 38:3;P/38:4;O","severe(exp) / mild(ctrl)","1.05e+00","8.81e-01","t-test","0.842","-0.248","-2.21","3.31e-02","1.48e+00","1.34e-01","8.73e-01","no"
"39","yes","PI 38:4","severe(exp) / mild(ctrl)","4.58e-01","6.69e-01","t-test","1.46","0.548","2.2","3.41e-02","1.47e+00","1.34e-01","8.73e-01","no"
"40","yes","SM 41:1;O2","severe(exp) / mild(ctrl)","1.46e+00","1.15e+00","t-test","0.785","-0.349","-2.17","3.66e-02","1.44e+00","1.34e-01","8.73e-01","no"
"41","yes","TG 56:8","severe(exp) / mild(ctrl)","9.41e-01","1.32e+00","t-test","1.4","0.49","2.17","3.67e-02","1.44e+00","1.34e-01","8.73e-01","no"
"42","yes","FA 20:3","severe(exp) / mild(ctrl)","1.71e+00","2.77e+00","t-test","1.62","0.697","2.16","3.71e-02","1.43e+00","1.34e-01","8.73e-01","no"
"43","yes","PC 36:2","severe(exp) / mild(ctrl)","6.67e-01","8.43e-01","t-test","1.26","0.338","2.16","3.71e-02","1.43e+00","1.34e-01","8.73e-01","no"
"44","yes","CAR 18:1","severe(exp) / mild(ctrl)","1.3e+00","1.13e+00","t-test","0.867","-0.206","-2.11","4.11e-02","1.39e+00","1.45e-01","8.39e-01","no"
"45","yes","SM 42:4;O2","severe(exp) / mild(ctrl)","1.24e+00","1.07e+00","t-test","0.864","-0.211","-2.09","4.37e-02","1.36e+00","1.5e-01","8.23e-01","no"
"46","yes","PE 38:4;P/38:5;O","severe(exp) / mild(ctrl)","1.6e+00","7.18e-01","t-test","0.448","-1.16","-2.07","4.54e-02","1.34e+00","1.53e-01","8.15e-01","no"
"47","no","CE 18:2","severe(exp) / mild(ctrl)","1.6e+00","1.07e+00","t-test","0.671","-0.577","-1.99","5.37e-02","1.27e+00","1.77e-01","7.52e-01","no"
"48","no","SM 38:2;O2","severe(exp) / mild(ctrl)","1.17e+00","1.04e+00","t-test","0.888","-0.171","-1.98","5.48e-02","1.26e+00","1.77e-01","7.52e-01","no"
"49","no","Cer 42:2;O2","severe(exp) / mild(ctrl)","1.5e+00","1.17e+00","t-test","0.78","-0.359","-1.95","5.86e-02","1.23e+00","1.84e-01","7.35e-01","no"
"50","no","SM 40:1;O2","severe(exp) / mild(ctrl)","1.5e+00","1.22e+00","t-test","0.816","-0.294","-1.94","6.05e-02","1.22e+00","1.84e-01","7.35e-01","no"
"51","no","SM 38:1;O2","severe(exp) / mild(ctrl)","1.39e+00","1.18e+00","t-test","0.847","-0.24","-1.93","6.06e-02","1.22e+00","1.84e-01","7.35e-01","no"
"52","no","TG 50:4","severe(exp) / mild(ctrl)","1.19e+00","9.67e-01","t-test","0.81","-0.303","-1.86","6.99e-02","1.16e+00","2.07e-01","6.84e-01","no"
"53","no","PC 34:3","severe(exp) / mild(ctrl)","7.07e-01","9.15e-01","t-test","1.29","0.372","1.86","7.08e-02","1.15e+00","2.07e-01","6.84e-01","no"
"54","no","SM 43:1;O2","severe(exp) / mild(ctrl)","1.13e+00","1.01e+00","t-test","0.891","-0.167","-1.8","7.94e-02","1.1e+00","2.25e-01","6.49e-01","no"
"55","no","LPC 18:0","severe(exp) / mild(ctrl)","6.81e-01","5.27e-01","t-test","0.774","-0.37","-1.8","7.97e-02","1.1e+00","2.25e-01","6.49e-01","no"
"56","no","PC 42:3;P/42:4;O","severe(exp) / mild(ctrl)","1.18e+00","9.98e-01","t-test","0.848","-0.239","-1.79","8.21e-02","1.09e+00","2.27e-01","6.43e-01","no"
"57","no","DG 32:1","severe(exp) / mild(ctrl)","8.31e-01","1.11e+00","t-test","1.34","0.418","1.75","8.8e-02","1.06e+00","2.37e-01","6.25e-01","no"
"58","no","PC 34:0","severe(exp) / mild(ctrl)","1.11e+00","9.7e-01","t-test","0.871","-0.2","-1.75","8.88e-02","1.05e+00","2.37e-01","6.25e-01","no"
"59","no","FA 22:6","severe(exp) / mild(ctrl)","1.18e+00","1.62e+00","t-test","1.37","0.456","1.72","9.28e-02","1.03e+00","2.44e-01","6.13e-01","no"
"60","no","PE 38:4","severe(exp) / mild(ctrl)","1.87e+00","4.24e+00","t-test","2.26","1.18","1.7","9.78e-02","1.01e+00","2.53e-01","5.98e-01","no"
"61","no","Cer 42:1;O2","severe(exp) / mild(ctrl)","1.39e+00","1.05e+00","t-test","0.758","-0.4","-1.68","1.01e-01","9.94e-01","2.56e-01","5.92e-01","no"
"62","no","SM 40:2;O2","severe(exp) / mild(ctrl)","1.22e+00","1.09e+00","t-test","0.891","-0.167","-1.67","1.02e-01","9.9e-01","2.56e-01","5.92e-01","no"
"63","no","SM 42:1;O2","severe(exp) / mild(ctrl)","1.53e+00","1.26e+00","t-test","0.828","-0.272","-1.65","1.08e-01","9.68e-01","2.65e-01","5.77e-01","no"
"64","no","PC 36:4","severe(exp) / mild(ctrl)","7.26e-01","8.79e-01","t-test","1.21","0.275","1.64","1.1e-01","9.6e-01","2.65e-01","5.76e-01","no"
"65","no","CAR 8:0","severe(exp) / mild(ctrl)","1.06e+00","9.75e-01","t-test","0.919","-0.123","-1.58","1.21e-01","9.16e-01","2.89e-01","5.39e-01","no"
"66","no","PC 36:3","severe(exp) / mild(ctrl)","6.2e-01","7.47e-01","t-test","1.21","0.269","1.52","1.36e-01","8.67e-01","3.19e-01","4.96e-01","no"
"67","no","PI 38:3","severe(exp) / mild(ctrl)","7.29e-01","9.12e-01","t-test","1.25","0.324","1.5","1.41e-01","8.52e-01","3.26e-01","4.87e-01","no"
"68","no","SM 32:1;O2","severe(exp) / mild(ctrl)","1.09e+00","1.01e+00","t-test","0.927","-0.109","-1.42","1.62e-01","7.89e-01","3.66e-01","4.36e-01","no"
"69","no","DG 36:1","severe(exp) / mild(ctrl)","1.03e+00","1.13e+00","t-test","1.09","0.129","1.42","1.63e-01","7.88e-01","3.66e-01","4.36e-01","no"
"70","no","PC O-32:0","severe(exp) / mild(ctrl)","1.21e+00","1.4e+00","t-test","1.16","0.209","1.4","1.69e-01","7.71e-01","3.73e-01","4.28e-01","no"
"71","no","SM 36:2;O2","severe(exp) / mild(ctrl)","1.29e+00","1.19e+00","t-test","0.925","-0.113","-1.39","1.72e-01","7.65e-01","3.73e-01","4.28e-01","no"
"72","no","TG 56:7","severe(exp) / mild(ctrl)","1.12e+00","1.5e+00","t-test","1.34","0.422","1.39","1.73e-01","7.61e-01","3.73e-01","4.28e-01","no"
"73","no","TG 54:4","severe(exp) / mild(ctrl)","1.16e+00","2.28e+00","t-test","1.96","0.971","1.38","1.76e-01","7.55e-01","3.73e-01","4.28e-01","no"
"74","no","TG 50:3","severe(exp) / mild(ctrl)","1.03e+00","9.7e-01","t-test","0.946","-0.0798","-1.35","1.84e-01","7.35e-01","3.82e-01","4.18e-01","no"
"75","no","CAR 2:0","severe(exp) / mild(ctrl)","1.07e+00","1e+00","t-test","0.937","-0.0942","-1.35","1.85e-01","7.34e-01","3.82e-01","4.18e-01","no"
"76","no","TG 46:2","severe(exp) / mild(ctrl)","7.92e-01","8.88e-01","t-test","1.12","0.165","1.33","1.92e-01","7.17e-01","3.91e-01","4.08e-01","no"
"77","no","PC 34:0;O","severe(exp) / mild(ctrl)","1.19e+00","1.07e+00","t-test","0.9","-0.152","-1.32","1.95e-01","7.1e-01","3.93e-01","4.06e-01","no"
"78","no","Cer 42:3;O2","severe(exp) / mild(ctrl)","1.09e+00","1.01e+00","t-test","0.927","-0.109","-1.3","2.02e-01","6.96e-01","3.96e-01","4.02e-01","no"
"79","no","SM 43:2;O2","severe(exp) / mild(ctrl)","1.14e+00","1.01e+00","t-test","0.887","-0.173","-1.29","2.04e-01","6.89e-01","3.96e-01","4.02e-01","no"
"80","no","PC 38:5","severe(exp) / mild(ctrl)","6.88e-01","7.57e-01","t-test","1.1","0.138","1.28","2.08e-01","6.82e-01","3.96e-01","4.02e-01","no"
"81","no","PC 38:2","severe(exp) / mild(ctrl)","8.59e-01","7.64e-01","t-test","0.89","-0.169","-1.28","2.09e-01","6.8e-01","3.96e-01","4.02e-01","no"
"82","no","PI 34:1","severe(exp) / mild(ctrl)","7.84e-01","8.88e-01","t-test","1.13","0.18","1.28","2.1e-01","6.78e-01","3.96e-01","4.02e-01","no"
"83","no","PC 38:6","severe(exp) / mild(ctrl)","7.78e-01","8.49e-01","t-test","1.09","0.126","1.27","2.13e-01","6.71e-01","3.98e-01","4e-01","no"
"84","no","PC 40:6","severe(exp) / mild(ctrl)","7.7e-01","8.9e-01","t-test","1.16","0.209","1.22","2.29e-01","6.4e-01","4.23e-01","3.74e-01","no"
"85","no","SM 42:3;O2","severe(exp) / mild(ctrl)","1.25e+00","1.15e+00","t-test","0.922","-0.117","-1.2","2.37e-01","6.26e-01","4.3e-01","3.67e-01","no"
"86","no","LPC 22:5","severe(exp) / mild(ctrl)","6.6e-01","1.14e+00","t-test","1.72","0.785","1.19","2.41e-01","6.18e-01","4.3e-01","3.67e-01","no"
"87","no","TG 58:11","severe(exp) / mild(ctrl)","1.05e+00","1.13e+00","t-test","1.08","0.107","1.19","2.41e-01","6.18e-01","4.3e-01","3.67e-01","no"
"88","no","CAR 3:0","severe(exp) / mild(ctrl)","1.06e+00","9.9e-01","t-test","0.938","-0.0923","-1.17","2.47e-01","6.07e-01","4.33e-01","3.63e-01","no"
"89","no","TG 56:5","severe(exp) / mild(ctrl)","1.36e+00","1.97e+00","t-test","1.45","0.537","1.17","2.49e-01","6.04e-01","4.33e-01","3.63e-01","no"
"90","no","TG 48:2","severe(exp) / mild(ctrl)","7.06e-01","8.29e-01","t-test","1.17","0.231","1.16","2.54e-01","5.94e-01","4.38e-01","3.58e-01","no"
"91","no","SM 40:3;O2","severe(exp) / mild(ctrl)","1.45e+00","1.28e+00","t-test","0.886","-0.175","-1.14","2.61e-01","5.83e-01","4.45e-01","3.51e-01","no"
"92","no","PC 36:1;P/36:2;O","severe(exp) / mild(ctrl)","1.14e+00","1.04e+00","t-test","0.914","-0.129","-1.12","2.72e-01","5.66e-01","4.58e-01","3.39e-01","no"
"93","no","PC 30:0","severe(exp) / mild(ctrl)","9.57e-01","1.15e+00","t-test","1.2","0.263","1.09","2.84e-01","5.47e-01","4.72e-01","3.26e-01","no"
"94","no","PC 32:2","severe(exp) / mild(ctrl)","7.99e-01","7.26e-01","t-test","0.909","-0.138","-1.08","2.86e-01","5.43e-01","4.72e-01","3.26e-01","no"
"95","no","PI 34:2","severe(exp) / mild(ctrl)","9.21e-01","9.7e-01","t-test","1.05","0.0754","1.06","2.94e-01","5.32e-01","4.79e-01","3.19e-01","no"
"96","no","SM 34:1;O2","severe(exp) / mild(ctrl)","1.3e+00","1.22e+00","t-test","0.936","-0.095","-1.03","3.1e-01","5.09e-01","4.99e-01","3.02e-01","no"
"97","no","SM 35:1;O2","severe(exp) / mild(ctrl)","1.31e+00","1.17e+00","t-test","0.895","-0.16","-1.02","3.14e-01","5.03e-01","4.99e-01","3.02e-01","no"
"98","no","PC 38:4","severe(exp) / mild(ctrl)","7.89e-01","8.56e-01","t-test","1.09","0.118","1.02","3.16e-01","5.01e-01","4.99e-01","3.02e-01","no"
"99","no","Cer 41:1;O2","severe(exp) / mild(ctrl)","1.12e+00","1.03e+00","t-test","0.914","-0.13","-0.992","3.28e-01","4.85e-01","5.13e-01","2.9e-01","no"
"100","no","FA 20:4","severe(exp) / mild(ctrl)","1.29e+00","1.67e+00","t-test","1.29","0.367","0.963","3.42e-01","4.67e-01","5.29e-01","2.76e-01","no"
