"","Significance(p-value)","Feature","Comparison","Mean(ctrl)","Mean(exp)","Method","FC","Log2(FC)","Statistic","p-value","-Log10(p-value)","padj","-Log10(padj)","Significance(padj)"
"1","yes","PC 34:1","severe(exp) / mild(ctrl)","8.67e-01","1.48e+00","Wilcoxon test","1.71","0.774","345","2.18e-05","4.66e+00","2.32e-03","2.63e+00","yes"
"2","yes","DG 36:2","severe(exp) / mild(ctrl)","8.32e-01","1.54e+00","Wilcoxon test","1.85","0.885","343","2.96e-05","4.53e+00","2.32e-03","2.63e+00","yes"
"3","yes","TG 51:1","severe(exp) / mild(ctrl)","7.34e-01","2.13e+00","Wilcoxon test","2.9","1.54","331","1.6e-04","3.8e+00","8.38e-03","2.08e+00","yes"
"4","yes","TG 51:2","severe(exp) / mild(ctrl)","7.8e-01","1.88e+00","Wilcoxon test","2.41","1.27","323","4.35e-04","3.36e+00","1.71e-02","1.77e+00","yes"
"5","yes","TG 54:2","severe(exp) / mild(ctrl)","8.3e-01","2.49e+00","Wilcoxon test","3","1.59","318","7.76e-04","3.11e+00","2.06e-02","1.69e+00","yes"
"6","yes","DG 32:0","severe(exp) / mild(ctrl)","7.76e-01","1.24e+00","Wilcoxon test","1.6","0.679","322","7.86e-04","3.1e+00","2.06e-02","1.69e+00","yes"
"7","yes","PC 32:1","severe(exp) / mild(ctrl)","9.17e-01","1.7e+00","Wilcoxon test","1.85","0.89","313","1.34e-03","2.87e+00","2.64e-02","1.58e+00","yes"
"8","yes","TG 58:7","severe(exp) / mild(ctrl)","1.05e+00","1.76e+00","Wilcoxon test","1.67","0.74","313","1.34e-03","2.87e+00","2.64e-02","1.58e+00","yes"
"9","yes","DG 34:2","severe(exp) / mild(ctrl)","8.25e-01","1.23e+00","Wilcoxon test","1.49","0.579","314","1.69e-03","2.77e+00","2.94e-02","1.53e+00","yes"
"10","yes","PC 38:4;P/38:5;O","severe(exp) / mild(ctrl)","1.02e+00","7.58e-01","Wilcoxon test","0.74","-0.435","88","2.26e-03","2.65e+00","3.22e-02","1.49e+00","yes"
"11","yes","TG 52:1","severe(exp) / mild(ctrl)","6.88e-01","1.32e+00","Wilcoxon test","1.92","0.942","308","2.26e-03","2.65e+00","3.22e-02","1.49e+00","yes"
"12","yes","TG 58:5","severe(exp) / mild(ctrl)","1.04e+00","1.65e+00","Wilcoxon test","1.58","0.664","305","3.04e-03","2.52e+00","3.98e-02","1.4e+00","yes"
"13","yes","DG 34:1","severe(exp) / mild(ctrl)","7.17e-01","1.48e+00","Wilcoxon test","2.07","1.05","297","6.41e-03","2.19e+00","7.74e-02","1.11e+00","no"
"14","yes","TG 49:2","severe(exp) / mild(ctrl)","6.97e-01","1.38e+00","Wilcoxon test","1.97","0.981","296","7.01e-03","2.15e+00","7.86e-02","1.1e+00","no"
"15","yes","SM 39:1;O2","severe(exp) / mild(ctrl)","1.24e+00","1.02e+00","Wilcoxon test","0.82","-0.286","101","7.65e-03","2.12e+00","8.01e-02","1.1e+00","no"
"16","yes","PC 36:2;P/36:3;O","severe(exp) / mild(ctrl)","9.62e-01","7.9e-01","Wilcoxon test","0.821","-0.284","102","8.35e-03","2.08e+00","8.18e-02","1.09e+00","no"
"17","yes","TG 56:6","severe(exp) / mild(ctrl)","9.57e-01","2.18e+00","Wilcoxon test","2.28","1.19","293","9.09e-03","2.04e+00","8.18e-02","1.09e+00","no"
"18","yes","PC 34:2","severe(exp) / mild(ctrl)","7.14e-01","1.03e+00","Wilcoxon test","1.45","0.536","292","9.9e-03","2e+00","8.18e-02","1.09e+00","no"
"19","yes","TG 58:8","severe(exp) / mild(ctrl)","1.13e+00","1.67e+00","Wilcoxon test","1.47","0.556","292","9.9e-03","2e+00","8.18e-02","1.09e+00","no"
"20","yes","SM 41:2;O2","severe(exp) / mild(ctrl)","1.16e+00","9.95e-01","Wilcoxon test","0.855","-0.226","104","1.1e-02","1.96e+00","8.64e-02","1.06e+00","no"
"21","yes","PC 36:3;P/36:3;O","severe(exp) / mild(ctrl)","9.75e-01","7.75e-01","Wilcoxon test","0.795","-0.331","107","1.27e-02","1.9e+00","9.49e-02","1.02e+00","no"
"22","yes","CAR 16:0","severe(exp) / mild(ctrl)","1.16e+00","1e+00","Wilcoxon test","0.867","-0.205","108","1.44e-02","1.84e+00","1.03e-01","9.88e-01","no"
"23","yes","TG 56:8","severe(exp) / mild(ctrl)","9.39e-01","1.32e+00","Wilcoxon test","1.41","0.495","282","2.2e-02","1.66e+00","1.47e-01","8.34e-01","no"
"24","yes","TG 58:9","severe(exp) / mild(ctrl)","9.97e-01","1.29e+00","Wilcoxon test","1.29","0.368","282","2.3e-02","1.64e+00","1.47e-01","8.34e-01","no"
"25","yes","PC 34:1;P/34:2;O","severe(exp) / mild(ctrl)","9.71e-01","7.6e-01","Wilcoxon test","0.783","-0.354","115","2.37e-02","1.63e+00","1.47e-01","8.34e-01","no"
"26","yes","PI 36:2","severe(exp) / mild(ctrl)","6.41e-01","2.08e+00","Wilcoxon test","3.25","1.7","281","2.49e-02","1.6e+00","1.47e-01","8.34e-01","no"
"27","yes","PC 34:3","severe(exp) / mild(ctrl)","7.07e-01","9.17e-01","Wilcoxon test","1.3","0.377","280","2.55e-02","1.59e+00","1.47e-01","8.34e-01","no"
"28","yes","PC 38:2;P/38:3;O","severe(exp) / mild(ctrl)","1.15e+00","9.04e-01","Wilcoxon test","0.788","-0.344","117","2.75e-02","1.56e+00","1.47e-01","8.34e-01","no"
"29","yes","SM 41:1;O2","severe(exp) / mild(ctrl)","1.46e+00","1.15e+00","Wilcoxon test","0.788","-0.344","117","2.75e-02","1.56e+00","1.47e-01","8.34e-01","no"
"30","yes","TG 50:0","severe(exp) / mild(ctrl)","6.23e-01","1.04e+00","Wilcoxon test","1.68","0.746","279","2.86e-02","1.54e+00","1.47e-01","8.34e-01","no"
"31","yes","PC 36:0","severe(exp) / mild(ctrl)","1.14e+00","8.97e-01","Wilcoxon test","0.788","-0.344","118","2.9e-02","1.54e+00","1.47e-01","8.34e-01","no"
"32","yes","DG 36:3","severe(exp) / mild(ctrl)","7.66e-01","1.15e+00","Wilcoxon test","1.51","0.592","275","3.65e-02","1.44e+00","1.76e-01","7.56e-01","no"
"33","yes","LPC O-16:0","severe(exp) / mild(ctrl)","2.5e+00","1.68e+00","Wilcoxon test","0.672","-0.574","122","3.91e-02","1.41e+00","1.76e-01","7.56e-01","no"
"34","yes","PC 36:1","severe(exp) / mild(ctrl)","7.26e-01","1.19e+00","Wilcoxon test","1.64","0.717","274","3.91e-02","1.41e+00","1.76e-01","7.56e-01","no"
"35","yes","PC 38:3;P/38:4;O","severe(exp) / mild(ctrl)","1.05e+00","8.84e-01","Wilcoxon test","0.846","-0.242","122","3.91e-02","1.41e+00","1.76e-01","7.56e-01","no"
"36","yes","TG 54:3","severe(exp) / mild(ctrl)","9.7e-01","2.2e+00","Wilcoxon test","2.27","1.18","272","4.48e-02","1.35e+00","1.95e-01","7.09e-01","no"
"37","no","CE 18:2","severe(exp) / mild(ctrl)","1.6e+00","1.07e+00","Wilcoxon test","0.672","-0.574","126","5.12e-02","1.29e+00","2.11e-01","6.75e-01","no"
"38","no","PC 32:0","severe(exp) / mild(ctrl)","1.13e+00","1.51e+00","Wilcoxon test","1.34","0.421","270","5.12e-02","1.29e+00","2.11e-01","6.75e-01","no"
"39","no","FA 20:3","severe(exp) / mild(ctrl)","1.71e+00","2.78e+00","Wilcoxon test","1.62","0.699","269","5.39e-02","1.27e+00","2.14e-01","6.7e-01","no"
"40","no","SM 42:4;O2","severe(exp) / mild(ctrl)","1.24e+00","1.07e+00","Wilcoxon test","0.866","-0.207","127","5.46e-02","1.26e+00","2.14e-01","6.7e-01","no"
"41","no","TG 52:4","severe(exp) / mild(ctrl)","9.16e-01","1.17e+00","Wilcoxon test","1.28","0.356","268","5.74e-02","1.24e+00","2.14e-01","6.7e-01","no"
"42","no","SM 38:2;O2","severe(exp) / mild(ctrl)","1.17e+00","1.04e+00","Wilcoxon test","0.891","-0.166","128","5.82e-02","1.23e+00","2.14e-01","6.7e-01","no"
"43","no","CAR 18:2","severe(exp) / mild(ctrl)","1.17e+00","1e+00","Wilcoxon test","0.857","-0.222","128","5.86e-02","1.23e+00","2.14e-01","6.7e-01","no"
"44","no","PI 38:4","severe(exp) / mild(ctrl)","4.57e-01","6.71e-01","Wilcoxon test","1.47","0.554","266","6.61e-02","1.18e+00","2.31e-01","6.37e-01","no"
"45","no","SM 38:1;O2","severe(exp) / mild(ctrl)","1.39e+00","1.18e+00","Wilcoxon test","0.85","-0.235","130","6.61e-02","1.18e+00","2.31e-01","6.37e-01","no"
"46","no","PC 40:3;P/40:4;O","severe(exp) / mild(ctrl)","1.15e+00","9.91e-01","Wilcoxon test","0.861","-0.215","131","7.03e-02","1.15e+00","2.35e-01","6.29e-01","no"
"47","no","SM 40:1;O2","severe(exp) / mild(ctrl)","1.5e+00","1.23e+00","Wilcoxon test","0.819","-0.289","131","7.03e-02","1.15e+00","2.35e-01","6.29e-01","no"
